Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.07,0.07,0.07,0.07,000,0.07
2013-09-19,0.07,0.07,0.07,0.07,000,0.07
2013-09-18,0.07,0.07,0.07,0.07,000,0.07
2013-09-17,0.07,0.07,0.07,0.07,100000,0.07
2013-09-16,0.07,0.07,0.07,0.07,000,0.07
2013-09-13,0.07,0.07,0.07,0.07,000,0.07
2013-09-12,0.07,0.07,0.07,0.07,116500,0.07
2013-09-11,0.09,0.09,0.09,0.09,000,0.09
2013-09-10,0.09,0.09,0.09,0.09,15700,0.09
2013-09-09,0.07,0.07,0.07,0.07,000,0.07
2013-09-06,0.07,0.07,0.07,0.07,60000,0.07
2013-09-05,0.07,0.07,0.07,0.07,000,0.07
2013-09-04,0.07,0.07,0.07,0.07,000,0.07
2013-09-03,0.07,0.07,0.07,0.07,5000,0.07
2013-09-02,0.07,0.07,0.07,0.07,44000,0.07
2013-08-30,0.09,0.09,0.06,0.06,278800,0.06
2013-08-29,0.10,0.10,0.10,0.10,000,0.10
2013-08-28,0.10,0.10,0.10,0.10,20000,0.10
2013-08-27,0.11,0.11,0.11,0.11,000,0.11
2013-08-26,0.11,0.11,0.11,0.11,000,0.11
2013-08-23,0.11,0.11,0.11,0.11,000,0.11
2013-08-22,0.11,0.11,0.11,0.11,10600,0.11
2013-08-21,0.11,0.11,0.11,0.11,20000,0.11
2013-08-20,0.12,0.12,0.12,0.12,000,0.12
2013-08-19,0.12,0.12,0.12,0.12,000,0.12
2013-08-16,0.12,0.12,0.12,0.12,4300,0.12
2013-08-15,0.12,0.12,0.12,0.12,000,0.12
2013-08-14,0.12,0.12,0.12,0.12,000,0.12
2013-08-13,0.12,0.12,0.12,0.12,000,0.12
2013-08-12,0.12,0.12,0.12,0.12,000,0.12
2013-08-09,0.11,0.12,0.11,0.12,140200,0.12
2013-08-08,0.12,0.12,0.12,0.12,305800,0.12
2013-08-07,0.12,0.12,0.12,0.12,4600,0.12
2013-08-06,0.11,0.11,0.11,0.11,62400,0.11
2013-08-05,0.11,0.11,0.11,0.11,000,0.11
2013-08-02,0.12,0.12,0.11,0.11,37800,0.11
2013-08-01,0.12,0.12,0.12,0.12,59800,0.12
2013-07-31,0.12,0.12,0.12,0.12,32700,0.12
2013-07-30,0.12,0.12,0.12,0.12,000,0.12
2013-07-29,0.12,0.12,0.12,0.12,27000,0.12
2013-07-26,0.12,0.12,0.12,0.12,62000,0.12
