Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,2.26,2.28,2.24,2.27,583400,2.27
2013-09-19,2.26,2.28,2.25,2.26,843800,2.26
2013-09-18,2.26,2.27,2.24,2.26,424900,2.26
2013-09-17,2.26,2.30,2.24,2.24,433400,2.24
2013-09-16,2.25,2.28,2.24,2.27,286300,2.27
2013-09-13,2.25,2.26,2.22,2.23,445200,2.23
2013-09-12,2.26,2.26,2.23,2.23,525800,2.23
2013-09-11,2.28,2.29,2.24,2.26,284200,2.26
2013-09-10,2.27,2.27,2.26,2.27,105300,2.27
2013-09-09,2.26,2.28,2.24,2.26,345500,2.26
2013-09-06,2.26,2.27,2.23,2.25,376600,2.25
2013-09-05,2.25,2.27,2.24,2.24,198800,2.24
2013-09-04,2.29,2.29,2.23,2.24,202200,2.24
2013-09-03,2.26,2.30,2.24,2.28,460200,2.28
2013-09-02,2.25,2.26,2.23,2.25,424200,2.25
2013-08-30,2.23,2.27,2.23,2.25,1521100,2.25
2013-08-29,2.25,2.25,2.22,2.23,698500,2.23
2013-08-28,2.22,2.25,2.20,2.25,555400,2.25
2013-08-27,2.22,2.24,2.21,2.24,112400,2.24
2013-08-26,2.24,2.25,2.22,2.22,493700,2.22
2013-08-23,2.21,2.25,2.20,2.22,1208700,2.22
2013-08-22,2.20,2.22,2.20,2.22,805700,2.22
2013-08-21,2.21,2.22,2.18,2.22,258800,2.22
2013-08-20,2.18,2.20,2.18,2.20,137300,2.20
2013-08-19,2.22,2.22,2.17,2.18,291600,2.18
2013-08-16,2.18,2.22,2.17,2.17,387600,2.17
2013-08-15,2.19,2.21,2.17,2.17,290000,2.17
2013-08-14,2.20,2.22,2.19,2.22,390600,2.22
2013-08-13,2.16,2.20,2.16,2.19,620700,2.19
2013-08-12,2.16,2.19,2.15,2.16,491900,2.16
2013-08-09,2.16,2.18,2.15,2.18,339900,2.18
2013-08-08,2.14,2.18,2.14,2.16,801600,2.16
2013-08-07,2.21,2.22,2.14,2.15,986900,2.15
2013-08-06,2.21,2.23,2.19,2.21,371500,2.21
2013-08-05,2.23,2.24,2.16,2.20,295700,2.20
2013-08-02,2.25,2.26,2.18,2.22,614700,2.22
2013-08-01,2.22,2.25,2.21,2.25,458400,2.25
2013-07-31,2.27,2.27,2.20,2.21,552800,2.21
2013-07-30,2.27,2.28,2.25,2.27,509100,2.27
2013-07-29,2.26,2.27,2.24,2.26,235400,2.26
2013-07-26,2.25,2.28,2.23,2.26,871600,2.26
2013-07-25,2.25,2.26,2.24,2.25,291100,2.25
2013-07-24,2.26,2.27,2.24,2.25,380600,2.25
2013-07-23,2.25,2.26,2.23,2.26,293800,2.26
2013-07-19,2.24,2.26,2.22,2.25,604200,2.25
2013-07-18,2.24,2.25,2.21,2.23,1024000,2.23
2013-07-17,2.20,2.24,2.19,2.22,253000,2.22
2013-07-16,2.21,2.23,2.18,2.23,286000,2.23
2013-07-15,2.19,2.20,2.16,2.18,229400,2.18
2013-07-12,2.18,2.20,2.18,2.18,367600,2.18
2013-07-11,2.20,2.21,2.18,2.19,392800,2.19
2013-07-10,2.19,2.21,2.17,2.19,426900,2.19
2013-07-09,2.22,2.22,2.19,2.20,479800,2.20
2013-07-08,2.21,2.23,2.18,2.18,656300,2.18
2013-07-05,2.25,2.26,2.17,2.23,378400,2.23
2013-07-04,2.30,2.32,2.28,2.29,357700,2.29
2013-07-03,2.31,2.32,2.28,2.30,607900,2.30
2013-07-02,2.28,2.32,2.27,2.32,806600,2.32
2013-07-01,2.29,2.30,2.26,2.28,408100,2.28
2013-06-28,2.26,2.30,2.26,2.27,489900,2.27
2013-06-27,2.30,2.31,2.26,2.28,563700,2.28
2013-06-26,2.28,2.34,2.27,2.28,526400,2.28
2013-06-25,2.25,2.32,2.25,2.30,932600,2.30
2013-06-24,2.26,2.31,2.24,2.26,1388600,2.26
2013-06-21,2.22,2.31,2.22,2.31,9742100,2.31
2013-06-20,2.31,2.34,2.24,2.25,1063800,2.25
2013-06-18,2.29,2.32,2.28,2.31,616900,2.31
2013-06-17,2.29,2.29,2.25,2.29,448700,2.29
2013-06-14,2.26,2.29,2.25,2.29,2221300,2.29
2013-06-13,2.28,2.28,2.21,2.25,739500,2.25
2013-06-12,2.31,2.32,2.30,2.30,414900,2.30
2013-06-11,2.34,2.35,2.31,2.31,453900,2.31
2013-06-10,2.30,2.30,2.30,2.30,000,2.30
2013-06-07,2.31,2.33,2.30,2.30,447200,2.30
2013-06-06,2.34,2.34,2.31,2.32,618700,2.32
2013-06-05,2.34,2.34,2.32,2.33,409300,2.33
2013-06-04,2.32,2.35,2.31,2.33,355300,2.33
2013-06-03,2.35,2.37,2.32,2.35,395300,2.35
2013-05-31,2.38,2.39,2.34,2.36,488200,2.36
2013-05-30,2.40,2.40,2.35,2.38,425300,2.38
2013-05-29,2.32,2.41,2.31,2.40,733900,2.40
2013-05-28,2.34,2.34,2.31,2.31,188800,2.31
2013-05-27,2.32,2.34,2.32,2.32,298500,2.32
2013-05-24,2.36,2.40,2.32,2.32,380200,2.32
2013-05-23,2.40,2.42,2.33,2.36,779700,2.36
2013-05-22,2.45,2.46,2.41,2.41,671200,2.41
2013-05-21,2.46,2.47,2.42,2.43,304400,2.43
2013-05-20,2.44,2.46,2.43,2.46,361200,2.46
2013-05-17,2.42,2.45,2.40,2.42,683300,2.42
2013-05-16,2.38,2.42,2.38,2.39,553400,2.39
2013-05-15,2.46,2.46,2.38,2.38,359300,2.38
2013-05-14,2.45,2.49,2.42,2.45,526900,2.45
2013-05-13,2.47,2.51,2.46,2.47,654900,2.47
2013-05-10,2.42,2.47,2.39,2.46,806000,2.46
2013-05-09,2.44,2.44,2.41,2.43,597800,2.43
2013-05-08,2.39,2.44,2.38,2.42,755500,2.42
2013-05-07,2.36,2.38,2.34,2.37,424400,2.37
2013-05-06,2.37,2.40,2.35,2.35,282600,2.35
2013-05-03,2.36,2.37,2.35,2.36,795100,2.36
2013-05-02,2.33,2.39,2.33,2.37,587500,2.37
2013-05-01,2.34,2.37,2.34,2.34,532800,2.34
2013-04-30,2.30,2.35,2.29,2.34,579500,2.34
2013-04-26,2.28,2.30,2.28,2.29,351600,2.29
2013-04-25,2.29,2.29,2.29,2.29,000,2.29
2013-04-24,2.26,2.31,2.25,2.29,406900,2.29
2013-04-23,2.26,2.26,2.23,2.25,314500,2.25
2013-04-22,2.19,2.26,2.19,2.23,432600,2.23
