Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.03,0.03,0.03,0.03,65022300,0.03
2013-09-19,0.04,0.04,0.03,0.03,18687400,0.03
2013-09-18,0.03,0.04,0.03,0.03,10204900,0.03
2013-09-17,0.04,0.04,0.03,0.03,4019800,0.03
2013-09-16,0.03,0.04,0.03,0.04,5645100,0.04
2013-09-13,0.04,0.04,0.03,0.03,13915800,0.03
2013-09-12,0.04,0.04,0.04,0.04,7944300,0.04
2013-09-11,0.04,0.04,0.04,0.04,5904300,0.04
2013-09-10,0.04,0.04,0.04,0.04,3027000,0.04
2013-09-09,0.04,0.04,0.04,0.04,3029700,0.04
2013-09-06,0.04,0.04,0.04,0.04,4651800,0.04
2013-09-05,0.04,0.04,0.04,0.04,5744500,0.04
2013-09-04,0.04,0.04,0.04,0.04,5310800,0.04
2013-09-03,0.04,0.04,0.04,0.04,1318100,0.04
2013-09-02,0.04,0.04,0.04,0.04,3074100,0.04
2013-08-30,0.04,0.04,0.04,0.04,4241800,0.04
2013-08-29,0.04,0.04,0.04,0.04,6465700,0.04
2013-08-28,0.04,0.04,0.04,0.04,4832600,0.04
2013-08-27,0.03,0.04,0.03,0.04,13765000,0.04
2013-08-26,0.03,0.03,0.03,0.03,86499900,0.03
2013-08-23,0.03,0.03,0.03,0.03,1085200,0.03
2013-08-22,0.03,0.03,0.03,0.03,11667500,0.03
2013-08-21,0.03,0.04,0.03,0.03,16323700,0.03
2013-08-20,0.04,0.04,0.03,0.03,4608900,0.03
2013-08-19,0.04,0.04,0.03,0.04,6313400,0.04
2013-08-16,0.04,0.04,0.03,0.04,15763300,0.04
2013-08-15,0.03,0.03,0.03,0.03,2952300,0.03
2013-08-14,0.03,0.03,0.03,0.03,2428800,0.03
2013-08-13,0.04,0.04,0.03,0.03,8577100,0.03
2013-08-12,0.03,0.04,0.03,0.04,3294000,0.04
2013-08-09,0.04,0.04,0.03,0.03,5183700,0.03
2013-08-08,0.03,0.04,0.03,0.03,6351300,0.03
