Date,Open,High,Low,Close,Volume,Adj Close
2013-09-19,1.07,1.07,1.07,1.07,300,1.07
2013-09-18,1.07,1.07,1.07,1.07,66400,1.07
2013-09-17,1.07,1.07,1.07,1.07,000,1.07
2013-09-16,1.07,1.07,1.07,1.07,000,1.07
2013-09-13,1.07,1.07,1.07,1.07,000,1.07
2013-09-12,1.08,1.08,1.07,1.08,202100,1.08
2013-09-11,1.08,1.08,1.07,1.07,76600,1.07
2013-09-10,1.08,1.08,1.07,1.08,114100,1.08
2013-09-09,1.08,1.08,1.08,1.08,42300,1.08
2013-09-06,1.08,1.08,1.08,1.08,17900,1.08
2013-09-05,1.08,1.08,1.08,1.08,22300,1.08
2013-09-04,1.07,1.07,1.07,1.07,000,1.07
2013-09-03,1.08,1.08,1.07,1.07,415900,1.07
2013-09-02,1.07,1.07,1.07,1.07,103800,1.07
2013-08-30,1.07,1.07,1.07,1.07,117000,1.07
2013-08-29,1.08,1.08,1.07,1.08,295300,1.08
2013-08-28,1.07,1.08,1.07,1.07,610500,1.07
2013-08-27,1.07,1.07,1.07,1.07,39300,1.07
2013-08-26,1.07,1.07,1.07,1.07,9900,1.07
2013-08-23,1.07,1.07,1.07,1.07,949600,1.07
2013-08-22,1.07,1.07,1.07,1.07,107500,1.07
2013-08-21,1.07,1.08,1.07,1.07,63600,1.07
2013-08-20,1.07,1.07,1.07,1.07,7500,1.07
2013-08-19,1.07,1.07,1.07,1.07,12100,1.07
2013-08-16,1.07,1.07,1.07,1.07,000,1.07
2013-08-15,1.07,1.07,1.07,1.07,000,1.07
2013-08-14,1.06,1.07,1.06,1.07,103700,1.07
2013-08-13,1.07,1.07,1.07,1.07,000,1.07
2013-08-12,1.06,1.06,1.06,1.06,5600,1.06
2013-08-09,1.06,1.06,1.06,1.06,400,1.06
2013-08-08,1.07,1.07,1.07,1.07,8300,1.07
2013-08-07,1.06,1.06,1.06,1.06,000,1.06
2013-08-06,1.07,1.07,1.07,1.07,28300,1.07
2013-08-05,1.06,1.06,1.06,1.06,7200,1.06
2013-08-02,1.07,1.07,1.06,1.06,113800,1.06
2013-08-01,1.07,1.07,1.07,1.07,19500,1.07
2013-07-31,1.07,1.07,1.07,1.07,23300,1.07
2013-07-30,1.06,1.06,1.06,1.06,000,1.06
2013-07-29,1.06,1.07,1.06,1.07,78300,1.07
2013-07-26,1.06,1.06,1.06,1.06,000,1.06
2013-07-25,1.06,1.06,1.06,1.06,000,1.06
2013-07-24,1.07,1.07,1.07,1.07,25400,1.07
2013-07-23,1.06,1.06,1.06,1.06,35800,1.06
2013-07-22,1.06,1.06,1.06,1.06,000,1.06
2013-07-19,1.07,1.07,1.07,1.07,67000,1.07
2013-07-18,1.08,1.08,1.08,1.08,000,1.08
2013-07-17,1.07,1.07,1.05,1.05,347600,1.05
2013-07-16,1.07,1.07,1.06,1.06,1400,1.06
2013-07-15,1.08,1.08,1.08,1.08,000,1.08
2013-07-12,1.07,1.07,1.07,1.07,56800,1.07
2013-07-11,1.08,1.08,1.08,1.08,000,1.08
2013-07-10,1.07,1.07,1.07,1.07,36000,1.07
2013-07-09,1.08,1.08,1.08,1.08,000,1.08
2013-07-08,1.08,1.08,1.08,1.08,000,1.08
2013-07-05,1.08,1.08,1.08,1.08,000,1.08
2013-07-04,1.06,1.06,1.06,1.06,42400,1.06
2013-07-03,1.05,1.05,1.05,1.05,100,1.05
2013-07-02,1.05,1.05,1.05,1.05,18200,1.05
2013-07-01,1.05,1.06,1.05,1.06,55100,1.06
