Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.05,0.05,0.05,0.05,110000,0.05
2013-09-19,0.05,0.05,0.05,0.05,000,0.05
2013-09-18,0.06,0.06,0.05,0.05,121500,0.05
2013-09-17,0.05,0.06,0.05,0.06,251500,0.06
2013-09-16,0.05,0.05,0.05,0.05,34600,0.05
2013-09-13,0.06,0.06,0.06,0.06,000,0.06
2013-09-12,0.06,0.06,0.06,0.06,124600,0.06
2013-09-11,0.06,0.06,0.06,0.06,203600,0.06
2013-09-10,0.06,0.06,0.06,0.06,10000,0.06
2013-09-09,0.06,0.06,0.06,0.06,000,0.06
2013-09-06,0.06,0.06,0.06,0.06,45000,0.06
2013-09-05,0.06,0.06,0.06,0.06,70000,0.06
2013-09-04,0.06,0.06,0.06,0.06,206800,0.06
2013-09-03,0.06,0.06,0.06,0.06,19000,0.06
2013-09-02,0.06,0.06,0.06,0.06,49300,0.06
2013-08-30,0.07,0.07,0.06,0.06,21100,0.06
2013-08-29,0.07,0.07,0.07,0.07,000,0.07
2013-08-28,0.07,0.07,0.07,0.07,86100,0.07
2013-08-27,0.07,0.07,0.07,0.07,197500,0.07
2013-08-26,0.07,0.07,0.07,0.07,126300,0.07
2013-08-23,0.07,0.07,0.07,0.07,3300,0.07
2013-08-22,0.06,0.06,0.06,0.06,93500,0.06
2013-08-21,0.07,0.07,0.06,0.06,204400,0.06
2013-08-20,0.07,0.07,0.07,0.07,119900,0.07
2013-08-19,0.07,0.07,0.07,0.07,35100,0.07
2013-08-16,0.07,0.07,0.07,0.07,25000,0.07
2013-08-15,0.07,0.07,0.06,0.07,125700,0.07
2013-08-14,0.08,0.08,0.07,0.07,80000,0.07
2013-08-13,0.08,0.08,0.08,0.08,102000,0.08
2013-08-12,0.08,0.08,0.08,0.08,135000,0.08
2013-08-09,0.08,0.08,0.08,0.08,133300,0.08
2013-08-08,0.09,0.09,0.09,0.09,84700,0.09
2013-08-07,0.08,0.09,0.08,0.09,140000,0.09
2013-08-06,0.08,0.08,0.08,0.08,361600,0.08
2013-08-05,0.08,0.08,0.08,0.08,265500,0.08
2013-08-02,0.08,0.08,0.08,0.08,652200,0.08
2013-08-01,0.08,0.08,0.08,0.08,436700,0.08
2013-07-31,0.08,0.08,0.08,0.08,892000,0.08
2013-07-30,0.07,0.07,0.07,0.07,335000,0.07
2013-07-29,0.07,0.07,0.07,0.07,68800,0.07
2013-07-26,0.07,0.07,0.07,0.07,405000,0.07
2013-07-25,0.07,0.07,0.07,0.07,139100,0.07
2013-07-24,0.08,0.08,0.08,0.08,000,0.08
2013-07-23,0.08,0.08,0.08,0.08,163300,0.08
2013-07-22,0.07,0.08,0.07,0.08,624600,0.08
2013-07-19,0.05,0.07,0.05,0.07,295300,0.07
2013-07-18,0.05,0.05,0.05,0.05,82000,0.05
2013-07-17,0.05,0.05,0.05,0.05,000,0.05
2013-07-16,0.05,0.05,0.05,0.05,50000,0.05
2013-07-15,0.05,0.05,0.05,0.05,000,0.05
2013-07-12,0.05,0.05,0.05,0.05,67800,0.05
2013-07-11,0.05,0.05,0.05,0.05,58000,0.05
2013-07-10,0.05,0.05,0.05,0.05,100000,0.05
2013-07-09,0.05,0.05,0.05,0.05,17500,0.05
2013-07-08,0.05,0.05,0.05,0.05,142100,0.05
2013-07-05,0.05,0.05,0.05,0.05,263500,0.05
2013-07-04,0.05,0.05,0.05,0.05,4800,0.05
2013-07-03,0.05,0.05,0.05,0.05,1500,0.05
2013-07-02,0.05,0.05,0.05,0.05,142800,0.05
