Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.54,0.57,0.54,0.56,1420000,0.56
2013-09-19,0.52,0.55,0.52,0.53,1314400,0.53
2013-09-18,0.50,0.52,0.50,0.51,1932100,0.51
2013-09-17,0.48,0.51,0.48,0.50,418700,0.50
2013-09-16,0.46,0.47,0.46,0.47,190700,0.47
2013-09-13,0.45,0.45,0.45,0.45,10000,0.45
2013-09-12,0.45,0.46,0.45,0.45,292400,0.45
2013-09-11,0.46,0.46,0.44,0.45,84300,0.45
2013-09-10,0.45,0.46,0.44,0.46,596700,0.46
2013-09-09,0.45,0.46,0.45,0.46,52600,0.46
2013-09-06,0.46,0.46,0.44,0.44,208000,0.44
2013-09-05,0.47,0.47,0.44,0.44,337800,0.44
2013-09-04,0.47,0.47,0.46,0.47,277500,0.47
2013-09-03,0.44,0.47,0.44,0.47,1775200,0.47
2013-09-02,0.44,0.44,0.43,0.43,178400,0.43
2013-08-30,0.42,0.43,0.41,0.41,114500,0.41
2013-08-29,0.41,0.42,0.41,0.42,99000,0.42
2013-08-28,0.41,0.41,0.41,0.41,81900,0.41
2013-08-27,0.42,0.42,0.42,0.42,26500,0.42
2013-08-26,0.43,0.43,0.41,0.42,50500,0.42
2013-08-23,0.41,0.43,0.41,0.41,243000,0.41
2013-08-22,0.42,0.42,0.40,0.41,260800,0.41
2013-08-21,0.43,0.44,0.41,0.42,579700,0.42
2013-08-20,0.41,0.43,0.39,0.41,1225700,0.41
2013-08-19,0.36,0.40,0.36,0.39,685200,0.39
2013-08-16,0.37,0.37,0.36,0.36,76600,0.36
2013-08-15,0.36,0.36,0.36,0.36,251000,0.36
2013-08-14,0.36,0.38,0.36,0.37,345500,0.37
2013-08-13,0.34,0.35,0.34,0.35,189100,0.35
2013-08-12,0.34,0.34,0.34,0.34,58600,0.34
2013-08-09,0.34,0.34,0.34,0.34,18500,0.34
2013-08-08,0.34,0.35,0.34,0.35,21400,0.35
2013-08-07,0.33,0.34,0.33,0.34,219600,0.34
2013-08-06,0.35,0.35,0.31,0.31,573000,0.31
2013-08-05,0.36,0.37,0.35,0.35,307900,0.35
2013-08-02,0.35,0.37,0.35,0.37,64500,0.37
2013-08-01,0.36,0.37,0.35,0.35,63600,0.35
2013-07-31,0.36,0.37,0.35,0.37,167300,0.37
2013-07-30,0.35,0.35,0.35,0.35,261800,0.35
2013-07-29,0.35,0.35,0.35,0.35,79000,0.35
2013-07-26,0.37,0.37,0.35,0.35,20800,0.35
2013-07-25,0.37,0.37,0.36,0.37,211400,0.37
2013-07-24,0.37,0.37,0.34,0.37,50000,0.37
2013-07-23,0.34,0.38,0.34,0.38,234700,0.38
2013-07-22,0.34,0.34,0.34,0.34,92500,0.34
2013-07-19,0.33,0.34,0.33,0.33,29500,0.33
2013-07-18,0.34,0.34,0.33,0.33,62900,0.33
2013-07-17,0.34,0.34,0.33,0.34,35600,0.34
2013-07-16,0.32,0.35,0.32,0.34,464900,0.34
