Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.02,0.02,0.02,0.02,25000,0.02
2013-09-19,0.02,0.02,0.02,0.02,332400,0.02
2013-09-18,0.02,0.02,0.02,0.02,35800,0.02
2013-09-17,0.02,0.02,0.02,0.02,250000,0.02
2013-09-16,0.02,0.02,0.02,0.02,000,0.02
2013-09-13,0.02,0.02,0.02,0.02,561900,0.02
2013-09-12,0.02,0.02,0.02,0.02,870000,0.02
2013-09-11,0.02,0.02,0.02,0.02,500000,0.02
2013-09-10,0.02,0.02,0.02,0.02,225000,0.02
2013-09-09,0.02,0.02,0.02,0.02,1032100,0.02
2013-09-06,0.02,0.02,0.02,0.02,1176800,0.02
2013-09-05,0.02,0.02,0.02,0.02,897800,0.02
2013-09-04,0.02,0.02,0.02,0.02,407600,0.02
2013-09-03,0.02,0.02,0.02,0.02,214000,0.02
2013-09-02,0.02,0.02,0.02,0.02,4011300,0.02
2013-08-30,0.02,0.02,0.02,0.02,804600,0.02
2013-08-29,0.02,0.02,0.02,0.02,000,0.02
2013-08-28,0.02,0.02,0.02,0.02,445000,0.02
2013-08-27,0.02,0.02,0.02,0.02,1467400,0.02
2013-08-26,0.02,0.02,0.02,0.02,000,0.02
2013-08-23,0.02,0.02,0.02,0.02,362200,0.02
2013-08-22,0.02,0.02,0.02,0.02,301200,0.02
2013-08-21,0.02,0.02,0.02,0.02,239700,0.02
2013-08-20,0.02,0.02,0.02,0.02,40000,0.02
2013-08-19,0.02,0.02,0.02,0.02,000,0.02
2013-08-16,0.02,0.02,0.02,0.02,240000,0.02
2013-08-15,0.02,0.02,0.02,0.02,000,0.02
2013-08-14,0.02,0.02,0.02,0.02,200000,0.02
2013-08-13,0.02,0.02,0.02,0.02,32700,0.02
2013-08-12,0.01,0.01,0.01,0.01,000,0.01
2013-08-09,0.01,0.01,0.01,0.01,000,0.01
2013-08-08,0.01,0.01,0.01,0.01,000,0.01
2013-08-07,0.01,0.01,0.01,0.01,700000,0.01
2013-08-06,0.01,0.01,0.01,0.01,300000,0.01
2013-08-05,0.01,0.01,0.01,0.01,7000,0.01
2013-08-02,0.01,0.01,0.01,0.01,000,0.01
