Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.18,0.18,0.17,0.17,181300,0.17
2013-09-19,0.18,0.19,0.18,0.19,88400,0.19
2013-09-18,0.19,0.19,0.19,0.19,7500,0.19
2013-09-17,0.19,0.19,0.19,0.19,5000,0.19
2013-09-16,0.19,0.19,0.19,0.19,40100,0.19
2013-09-13,0.19,0.19,0.19,0.19,16700,0.19
2013-09-12,0.19,0.19,0.19,0.19,31300,0.19
2013-09-11,0.19,0.19,0.18,0.19,47700,0.19
2013-09-10,0.19,0.19,0.19,0.19,29100,0.19
2013-09-09,0.20,0.20,0.19,0.19,40000,0.19
2013-09-06,0.19,0.19,0.19,0.19,18500,0.19
2013-09-05,0.19,0.19,0.19,0.19,000,0.19
2013-09-04,0.19,0.19,0.19,0.19,3000,0.19
2013-09-03,0.19,0.19,0.19,0.19,50500,0.19
2013-09-02,0.19,0.19,0.19,0.19,2500,0.19
2013-08-30,0.20,0.20,0.19,0.20,59700,0.20
2013-08-29,0.19,0.19,0.19,0.19,000,0.19
2013-08-28,0.19,0.19,0.19,0.19,19300,0.19
2013-08-27,0.20,0.20,0.19,0.19,105500,0.19
2013-08-26,0.20,0.22,0.19,0.20,78200,0.20
2013-08-23,0.21,0.22,0.20,0.22,158800,0.22
2013-08-22,0.22,0.22,0.21,0.21,23600,0.21
2013-08-21,0.22,0.22,0.21,0.21,68800,0.21
2013-08-20,0.22,0.22,0.22,0.22,16000,0.22
2013-08-19,0.22,0.22,0.21,0.21,19700,0.21
2013-08-16,0.22,0.22,0.22,0.22,18200,0.22
2013-08-15,0.22,0.22,0.22,0.22,114000,0.22
2013-08-14,0.22,0.22,0.22,0.22,55000,0.22
2013-08-13,0.22,0.22,0.22,0.22,46700,0.22
2013-08-12,0.22,0.22,0.22,0.22,62500,0.22
2013-08-09,0.21,0.22,0.21,0.22,133500,0.22
2013-08-08,0.22,0.22,0.21,0.21,7400,0.21
2013-08-07,0.22,0.22,0.20,0.22,171500,0.22
2013-08-06,0.22,0.22,0.22,0.22,000,0.22
2013-08-05,0.22,0.22,0.22,0.22,35000,0.22
2013-08-02,0.22,0.22,0.22,0.22,57200,0.22
2013-08-01,0.22,0.22,0.22,0.22,65800,0.22
2013-07-31,0.22,0.22,0.22,0.22,146400,0.22
2013-07-30,0.22,0.22,0.20,0.22,57000,0.22
2013-07-29,0.21,0.22,0.21,0.22,122600,0.22
2013-07-26,0.20,0.21,0.19,0.21,42900,0.21
2013-07-25,0.21,0.21,0.19,0.19,67400,0.19
2013-07-24,0.20,0.22,0.20,0.21,88800,0.21
2013-07-23,0.22,0.22,0.20,0.20,116700,0.20
2013-07-19,0.21,0.22,0.21,0.22,97000,0.22
2013-07-18,0.21,0.21,0.21,0.21,86700,0.21
2013-07-17,0.22,0.22,0.19,0.21,271100,0.21
2013-07-16,0.25,0.25,0.24,0.25,188600,0.25
2013-07-15,0.25,0.25,0.24,0.25,330900,0.25
2013-07-12,0.25,0.25,0.25,0.25,477700,0.25
2013-07-11,0.25,0.25,0.25,0.25,234700,0.25
2013-07-10,0.25,0.25,0.25,0.25,621600,0.25
2013-07-09,0.25,0.25,0.25,0.25,335800,0.25
