Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.09,0.09,0.09,0.09,000,0.09
2013-09-19,0.09,0.09,0.09,0.09,000,0.09
2013-09-18,0.09,0.09,0.09,0.09,36500,0.09
2013-09-17,0.09,0.09,0.09,0.09,259900,0.09
2013-09-16,0.09,0.09,0.09,0.09,000,0.09
2013-09-13,0.09,0.09,0.09,0.09,000,0.09
2013-09-12,0.09,0.09,0.09,0.09,47400,0.09
2013-09-11,0.09,0.09,0.09,0.09,000,0.09
2013-09-10,0.09,0.09,0.09,0.09,2000,0.09
2013-09-09,0.10,0.10,0.10,0.10,000,0.10
2013-09-06,0.10,0.10,0.10,0.10,25100,0.10
2013-09-05,0.10,0.10,0.10,0.10,35000,0.10
2013-09-04,0.09,0.10,0.09,0.10,302900,0.10
2013-09-03,0.09,0.09,0.09,0.09,136800,0.09
2013-09-02,0.09,0.09,0.09,0.09,10000,0.09
2013-08-30,0.09,0.09,0.09,0.09,100000,0.09
2013-08-29,0.09,0.09,0.09,0.09,224900,0.09
2013-08-28,0.08,0.09,0.08,0.09,213900,0.09
2013-08-27,0.08,0.08,0.08,0.08,7000,0.08
2013-08-26,0.09,0.09,0.08,0.08,117300,0.08
2013-08-23,0.09,0.09,0.09,0.09,100000,0.09
2013-08-22,0.09,0.09,0.09,0.09,100000,0.09
2013-08-21,0.08,0.08,0.08,0.08,200000,0.08
2013-08-20,0.07,0.07,0.07,0.07,100000,0.07
2013-08-19,0.07,0.07,0.07,0.07,167700,0.07
2013-08-16,0.07,0.07,0.07,0.07,000,0.07
2013-08-15,0.07,0.07,0.07,0.07,7500,0.07
2013-08-14,0.06,0.06,0.06,0.06,000,0.06
2013-08-13,0.06,0.06,0.06,0.06,2600,0.06
2013-08-12,0.07,0.07,0.07,0.07,000,0.07
2013-08-09,0.07,0.07,0.07,0.07,000,0.07
2013-08-08,0.07,0.07,0.07,0.07,15800,0.07
2013-08-07,0.07,0.07,0.07,0.07,12600,0.07
2013-08-06,0.07,0.07,0.07,0.07,2000,0.07
2013-08-05,0.08,0.08,0.08,0.08,000,0.08
2013-08-02,0.08,0.08,0.08,0.08,000,0.08
2013-08-01,0.08,0.08,0.08,0.08,000,0.08
2013-07-31,0.08,0.08,0.08,0.08,238000,0.08
2013-07-30,0.08,0.08,0.08,0.08,000,0.08
2013-07-29,0.08,0.08,0.07,0.08,60700,0.08
2013-07-26,0.08,0.08,0.08,0.08,101200,0.08
2013-07-25,0.08,0.08,0.07,0.07,87700,0.07
2013-07-24,0.08,0.08,0.08,0.08,1200,0.08
2013-07-23,0.08,0.08,0.07,0.08,269400,0.08
2013-07-22,0.09,0.09,0.09,0.09,10000,0.09
2013-07-19,0.09,0.09,0.09,0.09,000,0.09
2013-07-18,0.09,0.09,0.09,0.09,87500,0.09
2013-07-17,0.07,0.07,0.07,0.07,000,0.07
2013-07-16,0.07,0.07,0.07,0.07,3300,0.07
2013-07-15,0.07,0.07,0.07,0.07,000,0.07
2013-07-12,0.07,0.07,0.07,0.07,7800,0.07
2013-07-11,0.07,0.07,0.07,0.07,142200,0.07
2013-07-10,0.07,0.07,0.07,0.07,7800,0.07
2013-07-09,0.06,0.06,0.06,0.06,4000,0.06
2013-07-08,0.05,0.06,0.05,0.06,136000,0.06
2013-07-05,0.05,0.05,0.05,0.05,50000,0.05
2013-07-04,0.05,0.05,0.05,0.05,49400,0.05
2013-07-03,0.03,0.03,0.03,0.03,000,0.03
2013-07-02,0.03,0.03,0.03,0.03,000,0.03
2013-07-01,0.03,0.03,0.03,0.03,000,0.03
2013-06-28,0.03,0.03,0.03,0.03,54600,0.03
2013-06-27,0.04,0.04,0.04,0.04,000,0.04
2013-06-26,0.04,0.04,0.04,0.04,53700,0.04
2013-06-25,0.04,0.04,0.04,0.04,100000,0.04
2013-06-24,0.04,0.04,0.04,0.04,000,0.04
2013-06-21,0.04,0.04,0.04,0.04,51900,0.04
2013-06-20,0.05,0.05,0.05,0.05,50000,0.05
2013-06-19,0.05,0.05,0.05,0.05,76200,0.05
2013-06-18,0.05,0.05,0.05,0.05,25000,0.05
2013-06-17,0.05,0.05,0.05,0.05,75500,0.05
2013-06-14,0.05,0.05,0.05,0.05,2200,0.05
2013-06-13,0.05,0.05,0.05,0.05,15600,0.05
2013-06-12,0.05,0.05,0.05,0.05,000,0.05
2013-06-11,0.05,0.05,0.05,0.05,250300,0.05
2013-06-10,0.05,0.05,0.05,0.05,000,0.05
2013-06-07,0.05,0.05,0.05,0.05,000,0.05
2013-06-06,0.05,0.05,0.05,0.05,100000,0.05
2013-06-05,0.05,0.05,0.05,0.05,50000,0.05
2013-06-04,0.05,0.06,0.05,0.06,59400,0.06
2013-06-03,0.05,0.05,0.05,0.05,000,0.05
2013-05-31,0.05,0.05,0.05,0.05,100000,0.05
2013-05-30,0.05,0.05,0.05,0.05,5000,0.05
2013-05-29,0.05,0.05,0.05,0.05,30000,0.05
2013-05-28,0.06,0.06,0.06,0.06,000,0.06
2013-05-27,0.06,0.06,0.06,0.06,000,0.06
2013-05-24,0.06,0.06,0.06,0.06,25000,0.06
2013-05-23,0.05,0.05,0.05,0.05,000,0.05
2013-05-22,0.05,0.05,0.05,0.05,000,0.05
2013-05-21,0.05,0.05,0.05,0.05,75000,0.05
2013-05-20,0.06,0.06,0.06,0.06,000,0.06
2013-05-17,0.06,0.06,0.06,0.06,000,0.06
2013-05-16,0.06,0.06,0.06,0.06,000,0.06
2013-05-15,0.06,0.06,0.06,0.06,000,0.06
2013-05-14,0.06,0.06,0.06,0.06,000,0.06
2013-05-13,0.06,0.06,0.06,0.06,50000,0.06
2013-05-10,0.05,0.05,0.05,0.05,000,0.05
2013-05-09,0.05,0.05,0.05,0.05,1800,0.05
2013-05-08,0.06,0.06,0.06,0.06,000,0.06
2013-05-07,0.06,0.06,0.06,0.06,000,0.06
2013-05-06,0.06,0.06,0.06,0.06,93700,0.06
2013-05-03,0.06,0.06,0.06,0.06,1200,0.06
2013-05-02,0.06,0.06,0.06,0.06,000,0.06
2013-05-01,0.06,0.06,0.06,0.06,000,0.06
2013-04-30,0.06,0.06,0.06,0.06,000,0.06
2013-04-29,0.06,0.06,0.06,0.06,5000,0.06
2013-04-26,0.07,0.07,0.07,0.07,000,0.07
2013-04-25,0.07,0.07,0.07,0.07,000,0.07
2013-04-24,0.07,0.07,0.07,0.07,000,0.07
2013-04-23,0.06,0.07,0.06,0.07,201900,0.07
2013-04-22,0.07,0.07,0.07,0.07,000,0.07
2013-04-19,0.07,0.07,0.07,0.07,14200,0.07
2013-04-18,0.06,0.06,0.06,0.06,000,0.06
2013-04-17,0.06,0.06,0.06,0.06,000,0.06
2013-04-16,0.06,0.06,0.06,0.06,66500,0.06
2013-04-15,0.06,0.06,0.06,0.06,000,0.06
2013-04-12,0.06,0.06,0.06,0.06,000,0.06
2013-04-11,0.06,0.06,0.06,0.06,28800,0.06
2013-04-10,0.06,0.07,0.06,0.07,80300,0.07
2013-04-09,0.06,0.06,0.06,0.06,85000,0.06
2013-04-08,0.06,0.06,0.06,0.06,82700,0.06
2013-04-05,0.06,0.06,0.06,0.06,000,0.06
2013-04-04,0.06,0.06,0.06,0.06,000,0.06
2013-04-03,0.06,0.06,0.06,0.06,000,0.06
2013-04-02,0.06,0.06,0.06,0.06,50000,0.06
2013-04-01,0.06,0.06,0.06,0.06,000,0.06
2013-03-29,0.06,0.06,0.06,0.06,000,0.06
