Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.55,1.57,1.53,1.56,1089500,1.56
2013-09-19,1.57,1.57,1.54,1.55,145800,1.55
2013-09-18,1.57,1.58,1.57,1.57,293400,1.57
2013-09-17,1.58,1.58,1.57,1.58,46000,1.58
2013-09-16,1.58,1.58,1.57,1.57,54800,1.57
2013-09-13,1.57,1.58,1.56,1.56,86800,1.56
2013-09-12,1.58,1.58,1.57,1.57,70300,1.57
2013-09-11,1.58,1.59,1.58,1.58,88900,1.58
2013-09-10,1.58,1.58,1.57,1.57,21300,1.57
2013-09-09,1.58,1.58,1.56,1.56,28100,1.56
2013-09-06,1.58,1.58,1.56,1.58,100500,1.58
2013-09-05,1.58,1.58,1.57,1.58,152400,1.58
2013-09-04,1.57,1.58,1.57,1.57,83600,1.57
2013-09-03,1.58,1.58,1.56,1.57,60900,1.57
2013-09-02,1.55,1.58,1.55,1.56,135300,1.56
2013-08-30,1.57,1.57,1.55,1.57,66400,1.57
2013-08-29,1.57,1.58,1.56,1.57,202800,1.57
2013-08-28,1.55,1.58,1.55,1.57,235400,1.57
2013-08-27,1.55,1.57,1.55,1.55,60300,1.55
2013-08-26,1.55,1.57,1.55,1.55,98200,1.55
2013-08-23,1.57,1.57,1.55,1.55,143500,1.55
2013-08-22,1.56,1.57,1.55,1.57,97900,1.57
2013-08-21,1.57,1.57,1.54,1.57,35900,1.57
2013-08-20,1.57,1.57,1.54,1.57,239500,1.57
2013-08-19,1.55,1.55,1.54,1.55,179100,1.55
2013-08-16,1.55,1.58,1.55,1.55,246300,1.55
2013-08-15,1.55,1.55,1.54,1.55,270200,1.55
2013-08-14,1.55,1.55,1.53,1.54,121500,1.54
2013-08-13,1.54,1.55,1.53,1.55,83100,1.55
2013-08-12,1.55,1.56,1.54,1.55,72400,1.55
2013-08-09,1.53,1.55,1.53,1.53,193900,1.53
2013-08-08,1.50,1.52,1.50,1.52,455800,1.52
2013-08-07,1.49,1.49,1.48,1.49,56500,1.49
2013-08-06,1.49,1.50,1.49,1.49,62900,1.49
2013-08-05,1.49,1.50,1.49,1.49,148000,1.49
2013-08-02,1.48,1.49,1.47,1.49,103100,1.49
2013-08-01,1.48,1.48,1.47,1.47,148000,1.47
