Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,5.82,5.87,5.80,5.82,285900,5.82
2013-09-19,5.85,5.87,5.78,5.79,436300,5.79
2013-09-18,5.86,5.86,5.80,5.84,305400,5.84
2013-09-17,5.88,5.90,5.84,5.84,333900,5.84
2013-09-16,5.91,5.98,5.88,5.91,239900,5.91
2013-09-13,5.94,5.99,5.91,5.91,264900,5.91
2013-09-12,5.91,5.97,5.90,5.93,303700,5.93
2013-09-11,5.88,5.91,5.86,5.87,297300,5.87
2013-09-10,5.86,5.87,5.82,5.87,172200,5.87
2013-09-09,5.80,5.87,5.80,5.81,177500,5.81
2013-09-06,5.77,5.80,5.74,5.80,262000,5.80
2013-09-05,5.76,5.78,5.72,5.77,327900,5.77
2013-09-04,5.70,5.78,5.69,5.78,313200,5.78
2013-09-03,5.70,5.74,5.69,5.71,433200,5.71
2013-09-02,5.66,5.69,5.64,5.69,372000,5.69
2013-08-30,5.69,5.69,5.63,5.69,283600,5.69
2013-08-29,5.65,5.71,5.64,5.71,231900,5.71
2013-08-28,5.63,5.67,5.61,5.64,317900,5.64
2013-08-27,5.65,5.66,5.63,5.63,155800,5.63
2013-08-26,5.62,5.66,5.62,5.66,293500,5.66
2013-08-23,5.66,5.67,5.62,5.62,266700,5.62
2013-08-22,5.63,5.67,5.61,5.62,242100,5.62
2013-08-21,5.65,5.68,5.62,5.62,356600,5.62
2013-08-20,5.65,5.69,5.64,5.64,270600,5.64
2013-08-19,5.68,5.70,5.65,5.65,366400,5.65
2013-08-16,5.65,5.71,5.65,5.71,304900,5.71
2013-08-15,5.74,5.75,5.68,5.70,266600,5.70
2013-08-14,5.77,5.79,5.72,5.72,335200,5.72
2013-08-13,5.80,5.81,5.76,5.80,341700,5.80
2013-08-12,5.81,5.81,5.76,5.79,269800,5.79
2013-08-09,5.80,5.88,5.77,5.78,525300,5.78
2013-08-08,6.00,6.02,5.94,5.94,465800,5.94
2013-08-07,6.05,6.07,5.96,6.02,600600,6.02
2013-08-06,5.99,6.05,5.98,6.02,444700,6.02
2013-08-05,5.89,6.03,5.89,5.96,439600,5.96
2013-08-02,5.77,5.85,5.77,5.84,360100,5.84
2013-08-01,5.77,5.78,5.72,5.75,392300,5.75
2013-07-31,5.72,5.77,5.71,5.75,202800,5.75
2013-07-30,5.70,5.72,5.68,5.70,264000,5.70
2013-07-29,5.62,5.70,5.62,5.70,340900,5.70
2013-07-26,5.64,5.69,5.61,5.64,444600,5.64
2013-07-25,5.65,5.68,5.64,5.64,295000,5.64
2013-07-24,5.63,5.70,5.62,5.66,596500,5.66
2013-07-23,5.62,5.64,5.58,5.62,380900,5.62
2013-07-22,5.56,5.61,5.55,5.59,321200,5.59
2013-07-19,5.57,5.58,5.55,5.56,281800,5.56
2013-07-18,5.55,5.59,5.53,5.56,351000,5.56
2013-07-17,5.55,5.55,5.51,5.53,358900,5.53
2013-07-16,5.47,5.54,5.47,5.52,345100,5.52
2013-07-15,5.50,5.54,5.44,5.47,439800,5.47
2013-07-12,5.55,5.60,5.44,5.45,561400,5.45
2013-07-11,5.60,5.65,5.49,5.52,606900,5.52
2013-07-10,5.53,5.65,5.52,5.65,257300,5.65
2013-07-09,5.53,5.55,5.50,5.55,240700,5.55
2013-07-08,5.53,5.53,5.45,5.50,257500,5.50
2013-07-05,5.50,5.53,5.47,5.47,194100,5.47
2013-07-04,5.50,5.55,5.44,5.47,381300,5.47
2013-07-03,5.44,5.54,5.40,5.54,230200,5.54
2013-07-02,5.37,5.48,5.35,5.45,317600,5.45
2013-07-01,5.35,5.43,5.32,5.35,318600,5.35
2013-06-28,5.38,5.44,5.32,5.44,250200,5.44
2013-06-27,5.37,5.44,5.29,5.31,603200,5.31
2013-06-26,5.34,5.47,5.34,5.36,258000,5.36
2013-06-25,5.39,5.42,5.30,5.30,338800,5.30
2013-06-24,5.49,5.49,5.37,5.41,194900,5.41
2013-06-21,5.34,5.54,5.28,5.53,390100,5.53
2013-06-20,5.41,5.45,5.33,5.41,330000,5.41
2013-06-19,5.37,5.46,5.32,5.45,261000,5.45
2013-06-18,5.35,5.43,5.32,5.34,307900,5.34
2013-06-17,5.35,5.36,5.24,5.32,321300,5.32
2013-06-14,5.16,5.41,5.16,5.38,401300,5.38
2013-06-13,5.22,5.25,5.10,5.13,657000,5.13
2013-06-12,5.30,5.30,5.19,5.25,478200,5.25
2013-06-11,5.32,5.35,5.27,5.31,341900,5.31
2013-06-07,5.38,5.40,5.32,5.32,252700,5.32
2013-06-06,5.43,5.43,5.34,5.37,442000,5.37
2013-06-05,5.50,5.53,5.46,5.47,227200,5.47
2013-06-04,5.48,5.55,5.46,5.51,266700,5.51
2013-06-03,5.44,5.50,5.41,5.48,245500,5.48
2013-05-31,5.49,5.52,5.44,5.44,237200,5.44
2013-05-30,5.57,5.57,5.43,5.49,310400,5.49
2013-05-29,5.50,5.59,5.46,5.57,278600,5.57
2013-05-28,5.40,5.50,5.37,5.47,355200,5.47
2013-05-24,5.64,5.65,5.47,5.50,488900,5.50
2013-05-23,5.75,5.77,5.60,5.61,261200,5.61
2013-05-22,5.72,5.85,5.71,5.72,280200,5.72
2013-05-21,5.75,5.79,5.72,5.72,329600,5.72
2013-05-20,5.72,5.75,5.64,5.72,348000,5.72
2013-05-17,5.65,5.73,5.63,5.72,168500,5.72
2013-05-16,5.70,5.72,5.66,5.66,345800,5.66
2013-05-15,5.69,5.71,5.67,5.67,352300,5.67
2013-05-14,5.67,5.67,5.63,5.67,338400,5.67
2013-05-13,5.63,5.67,5.61,5.67,309200,5.67
2013-05-10,5.65,5.68,5.60,5.61,286300,5.61
2013-05-09,5.63,5.69,5.61,5.64,360000,5.64
2013-05-08,5.61,5.67,5.59,5.61,248900,5.61
2013-05-07,5.67,5.68,5.59,5.59,216500,5.59
2013-05-06,5.62,5.70,5.60,5.66,346800,5.66
2013-05-03,5.63,5.67,5.56,5.57,363400,5.57
2013-05-02,5.58,5.67,5.58,5.63,284700,5.63
2013-05-01,5.55,5.64,5.55,5.60,511300,5.60
2013-04-30,5.49,5.60,5.46,5.58,635600,5.58
2013-04-29,5.46,5.50,5.44,5.49,298200,5.49
2013-04-26,5.45,5.49,5.44,5.46,273800,5.46
2013-04-24,5.43,5.47,5.42,5.47,242600,5.47
2013-04-23,5.39,5.45,5.37,5.43,233800,5.43
2013-04-22,5.40,5.40,5.34,5.36,263300,5.36
2013-04-19,5.40,5.42,5.35,5.40,239000,5.40
2013-04-18,5.39,5.39,5.35,5.35,226200,5.35
2013-04-17,5.40,5.44,5.36,5.39,243200,5.39
2013-04-16,5.36,5.42,5.34,5.41,326400,5.41
2013-04-15,5.39,5.42,5.35,5.36,292300,5.36
2013-04-12,5.39,5.42,5.36,5.37,484800,5.37
2013-04-11,5.44,5.47,5.37,5.38,436400,5.38
2013-04-10,5.44,5.49,5.43,5.45,248800,5.45
2013-04-09,5.44,5.47,5.43,5.43,269900,5.43
2013-04-08,5.48,5.48,5.42,5.42,253800,5.42
2013-04-05,5.45,5.50,5.43,5.49,355400,5.49
2013-04-04,5.44,5.50,5.40,5.43,300100,5.43
2013-04-03,5.46,5.52,5.45,5.45,422200,5.45
2013-04-02,5.47,5.49,5.45,5.45,400000,5.45
2013-03-28,5.44,5.47,5.43,5.47,363800,5.47
2013-03-27,5.42,5.45,5.41,5.45,422000,5.45
2013-03-26,5.40,5.46,5.40,5.42,371200,5.42
2013-03-25,5.36,5.43,5.36,5.40,406600,5.40
2013-03-22,5.35,5.38,5.34,5.35,313900,5.35
2013-03-21,5.35,5.39,5.33,5.36,286500,5.36
2013-03-20,5.33,5.38,5.27,5.37,301000,5.37
2013-03-19,5.37,5.38,5.31,5.33,404500,5.33
2013-03-18,5.43,5.43,5.35,5.36,284900,5.36
2013-03-15,5.40,5.45,5.36,5.40,505700,5.40
2013-03-14,5.40,5.40,5.37,5.37,437800,5.37
2013-03-13,5.45,5.48,5.36,5.36,551200,5.36
2013-03-12,5.48,5.49,5.45,5.48,276500,5.48
2013-03-11,5.48,5.48,5.44,5.48,198500,5.48
2013-03-08,5.44,5.47,5.42,5.46,324900,5.46
2013-03-07,5.43,5.46,5.42,5.45,443100,5.45
2013-03-06,5.40,5.45,5.39,5.42,460200,5.42
2013-03-05,5.40,5.44,5.38,5.38,374300,5.38
2013-03-04,5.41,5.45,5.38,5.39,351600,5.39
2013-03-01,5.47,5.47,5.40,5.41,338700,5.41
2013-02-28,5.45,5.47,5.45,5.45,279300,5.45
2013-02-27,5.44,5.46,5.43,5.44,321500,5.44
2013-02-26,5.46,5.48,5.41,5.41,302800,5.41
2013-02-25,5.46,5.50,5.46,5.49,262900,5.49
2013-02-22,5.46,5.51,5.41,5.46,420400,5.46
2013-02-21,5.52,5.54,5.46,5.51,428700,5.51
2013-02-19,5.49,5.53,5.47,5.49,448200,5.49
2013-02-18,5.46,5.54,5.46,5.49,328200,5.49
2013-02-15,5.43,5.47,5.41,5.43,303800,5.43
2013-02-14,5.40,5.48,5.39,5.48,220400,5.48
2013-02-13,5.37,5.42,5.36,5.39,437700,5.39
2013-02-12,5.38,5.45,5.36,5.37,363600,5.37
2013-02-11,5.40,5.45,5.37,5.40,347300,5.40
2013-02-08,5.40,5.42,5.37,5.38,404800,5.38
2013-02-07,5.37,5.43,5.35,5.42,451300,5.42
2013-02-06,5.35,5.38,5.32,5.36,343500,5.36
2013-02-05,5.36,5.36,5.30,5.31,388000,5.31
2013-02-04,5.44,5.48,5.40,5.45,544600,5.45
2013-02-01,5.45,5.46,5.42,5.42,289100,5.42
2013-01-31,5.45,5.47,5.41,5.41,376600,5.41
2013-01-30,5.43,5.48,5.42,5.43,465800,5.43
2013-01-29,5.39,5.44,5.37,5.41,488800,5.41
2013-01-25,5.36,5.40,5.35,5.39,384000,5.39
2013-01-24,5.35,5.37,5.33,5.34,394100,5.34
2013-01-23,5.31,5.39,5.31,5.37,383300,5.37
2013-01-22,5.32,5.40,5.31,5.31,516600,5.31
2013-01-21,5.30,5.34,5.29,5.32,350000,5.32
2013-01-18,5.28,5.38,5.26,5.28,464400,5.28
2013-01-17,5.24,5.28,5.23,5.28,315000,5.28
2013-01-16,5.24,5.26,5.22,5.23,357900,5.23
2013-01-15,5.26,5.26,5.23,5.24,204100,5.24
2013-01-14,5.25,5.28,5.20,5.25,376500,5.25
2013-01-11,5.30,5.31,5.25,5.25,218100,5.25
2013-01-10,5.21,5.30,5.20,5.28,336100,5.28
2013-01-09,5.24,5.24,5.17,5.18,305100,5.18
2013-01-08,5.24,5.25,5.22,5.25,283800,5.25
2013-01-07,5.20,5.25,5.15,5.21,417900,5.21
2013-01-04,5.23,5.25,5.15,5.15,210400,5.15
2013-01-03,5.15,5.28,5.15,5.26,332400,5.26
2013-01-02,5.10,5.15,5.08,5.12,256800,5.12
2012-12-31,5.07,5.09,5.02,5.04,96000,5.04
2012-12-28,5.07,5.10,5.05,5.07,132400,5.07
2012-12-27,5.01,5.08,4.99,5.08,86400,5.08
2012-12-24,4.98,5.06,4.98,5.01,37700,5.01
2012-12-21,5.00,5.09,4.96,4.98,320000,4.98
2012-12-20,5.01,5.02,4.97,4.97,487400,4.97
2012-12-19,5.00,5.08,5.00,5.01,387900,5.01
2012-12-18,4.96,5.05,4.95,5.03,266900,5.03
2012-12-17,4.95,4.97,4.93,4.96,270900,4.96
2012-12-14,4.95,5.00,4.94,4.94,288400,4.94
2012-12-13,4.95,5.00,4.94,4.96,279900,4.96
2012-12-12,4.95,4.96,4.93,4.95,248800,4.95
2012-12-11,4.91,4.97,4.90,4.94,280000,4.94
2012-12-10,4.85,4.90,4.85,4.90,328200,4.90
2012-12-07,4.85,4.95,4.83,4.85,600400,4.85
2012-12-06,4.85,4.86,4.82,4.82,275800,4.82
2012-12-05,4.85,4.86,4.82,4.83,364100,4.83
2012-12-04,4.81,4.87,4.80,4.81,465600,4.81
2012-12-03,4.75,4.80,4.75,4.80,249700,4.80
2012-11-30,4.74,4.75,4.71,4.75,637400,4.75
2012-11-29,4.75,4.75,4.72,4.75,355000,4.75
2012-11-28,4.76,4.76,4.74,4.75,250100,4.75
2012-11-27,4.76,4.78,4.74,4.75,346500,4.75
2012-11-26,4.78,4.84,4.75,4.78,324100,4.78
2012-11-23,4.73,4.78,4.69,4.78,471800,4.78
2012-11-22,4.76,4.76,4.72,4.75,344500,4.75
2012-11-21,4.73,4.73,4.65,4.68,325400,4.68
2012-11-20,4.69,4.74,4.68,4.74,312500,4.74
2012-11-19,4.70,4.70,4.65,4.68,328700,4.68
2012-11-16,4.70,4.72,4.67,4.70,194600,4.70
2012-11-15,4.72,4.74,4.70,4.70,359800,4.70
2012-11-14,4.76,4.77,4.73,4.73,264300,4.73
2012-11-13,4.79,4.79,4.75,4.76,201600,4.76
2012-11-12,4.75,4.80,4.75,4.79,244100,4.79
2012-11-09,4.80,4.80,4.73,4.75,285900,4.75
2012-11-08,4.82,4.83,4.80,4.80,315500,4.80
2012-11-07,4.85,4.86,4.83,4.84,238700,4.84
2012-11-06,4.83,4.88,4.83,4.85,143400,4.85
2012-11-05,4.78,4.82,4.77,4.82,179300,4.82
2012-11-02,4.75,4.80,4.75,4.78,256000,4.78
2012-11-01,4.73,4.76,4.73,4.74,205600,4.74
2012-10-31,4.75,4.77,4.71,4.71,357500,4.71
2012-10-30,4.78,4.80,4.70,4.72,301000,4.72
2012-10-29,4.77,4.80,4.75,4.80,321300,4.80
2012-10-26,4.76,4.83,4.75,4.75,309400,4.75
2012-10-25,4.71,4.75,4.69,4.75,324300,4.75
2012-10-24,4.72,4.72,4.70,4.70,379700,4.70
2012-10-23,4.70,4.77,4.70,4.76,560600,4.76
2012-10-22,4.68,4.72,4.66,4.72,344100,4.72
2012-10-19,4.68,4.70,4.65,4.69,286200,4.69
2012-10-18,4.60,4.69,4.60,4.69,316100,4.69
2012-10-17,4.59,4.62,4.58,4.62,330400,4.62
2012-10-16,4.58,4.59,4.55,4.56,506100,4.56
2012-10-15,4.58,4.58,4.53,4.57,372200,4.57
2012-10-10,4.58,4.60,4.56,4.60,193400,4.60
2012-10-09,4.58,4.62,4.56,4.62,310800,4.62
2012-10-05,4.58,4.61,4.56,4.59,344400,4.59
2012-10-04,4.53,4.56,4.52,4.54,312800,4.54
2012-10-03,4.50,4.52,4.49,4.51,345600,4.51
2012-10-02,4.45,4.50,4.45,4.50,253100,4.50
2012-10-01,4.46,4.46,4.42,4.43,140200,4.43
2012-09-28,4.46,4.49,4.44,4.44,242700,4.44
2012-09-27,4.41,4.48,4.40,4.48,239100,4.48
2012-09-25,4.42,4.43,4.40,4.40,252100,4.40
2012-09-24,4.45,4.45,4.42,4.42,257800,4.42
2012-09-21,4.48,4.49,4.44,4.45,327100,4.45
2012-09-20,4.47,4.49,4.46,4.48,340900,4.48
2012-09-19,4.48,4.49,4.45,4.46,204800,4.46
2012-09-18,4.50,4.50,4.47,4.49,191100,4.49
2012-09-17,4.45,4.50,4.45,4.48,372700,4.48
2012-09-14,4.44,4.50,4.42,4.45,393700,4.45
2012-09-13,4.42,4.42,4.40,4.41,257800,4.41
2012-09-12,4.38,4.44,4.38,4.42,338800,4.42
2012-09-11,4.37,4.42,4.36,4.37,270600,4.37
2012-09-10,4.37,4.39,4.35,4.39,271900,4.39
2012-09-07,4.38,4.39,4.34,4.37,283100,4.37
2012-09-06,4.35,4.39,4.33,4.35,329700,4.35
2012-09-05,4.34,4.36,4.32,4.33,224800,4.33
2012-09-03,4.33,4.36,4.32,4.36,209200,4.36
2012-08-31,4.32,4.35,4.30,4.32,346400,4.32
2012-08-30,4.35,4.37,4.33,4.33,375900,4.33
2012-08-29,4.36,4.38,4.35,4.36,228800,4.36
2012-08-28,4.37,4.40,4.35,4.35,299900,4.35
2012-08-27,4.39,4.42,4.36,4.36,167600,4.36
2012-08-24,4.40,4.41,4.36,4.40,219900,4.40
2012-08-23,4.38,4.42,4.38,4.40,212100,4.40
2012-08-22,4.37,4.40,4.37,4.37,267500,4.37
2012-08-21,4.37,4.41,4.37,4.37,339200,4.37
2012-08-20,4.38,4.41,4.36,4.36,373600,4.36
2012-08-17,4.35,4.37,4.35,4.36,259700,4.36
2012-08-16,4.36,4.37,4.35,4.35,335000,4.35
2012-08-15,4.36,4.36,4.35,4.35,237000,4.35
2012-08-14,4.37,4.37,4.35,4.36,233900,4.36
2012-08-13,4.36,4.37,4.35,4.37,282000,4.37
2012-08-10,4.33,4.39,4.33,4.36,400200,4.36
2012-08-09,4.54,4.57,4.52,4.54,356700,4.41
2012-08-08,4.52,4.57,4.52,4.54,380600,4.41
2012-08-07,4.56,4.58,4.51,4.51,373600,4.38
2012-08-06,4.50,4.56,4.49,4.56,375100,4.43
2012-08-03,4.50,4.52,4.46,4.46,257700,4.33
2012-08-02,4.51,4.54,4.49,4.51,292400,4.38
2012-08-01,4.46,4.51,4.46,4.49,301500,4.36
2012-07-31,4.49,4.50,4.45,4.47,338400,4.34
2012-07-27,4.39,4.42,4.38,4.42,310400,4.29
2012-07-25,4.35,4.37,4.30,4.31,252900,4.19
2012-07-12,4.18,4.19,4.16,4.18,311800,4.06
2012-07-09,4.16,4.17,4.15,4.17,267900,4.05
2012-07-06,4.17,4.20,4.16,4.16,199300,4.04
2012-07-05,4.16,4.18,4.15,4.15,308700,4.03
2012-07-04,4.17,4.19,4.16,4.16,473000,4.04
2012-07-03,4.18,4.22,4.16,4.16,398600,4.04
2012-07-02,4.19,4.21,4.13,4.16,617600,4.04
2012-06-29,4.12,4.16,4.10,4.16,219900,4.04
2012-06-28,4.09,4.12,4.08,4.10,316500,3.98
2012-06-27,4.05,4.09,4.05,4.08,476400,3.96
2012-06-26,4.08,4.11,4.05,4.05,392700,3.93
