Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,15.65,15.65,15.50,15.64,2937500,15.64
2013-09-19,15.73,15.75,15.43,15.52,2557400,15.52
2013-09-18,15.32,15.57,15.20,15.57,1930700,15.57
2013-09-17,15.13,15.29,15.05,15.25,1532800,15.25
2013-09-16,15.51,15.57,15.18,15.18,1591100,15.18
2013-09-13,15.20,15.39,15.14,15.37,2001800,15.37
2013-09-12,15.30,15.30,15.11,15.25,1575700,15.25
2013-09-11,15.30,15.32,15.12,15.23,2126000,15.23
2013-09-10,15.43,15.57,15.28,15.32,1907600,15.32
2013-09-09,15.65,15.66,15.43,15.43,2471300,15.43
2013-09-06,15.80,15.80,15.41,15.62,2261800,15.62
2013-09-05,15.75,15.75,15.49,15.74,2472100,15.74
2013-09-04,15.74,15.84,15.59,15.80,2010100,15.80
2013-09-03,15.59,15.99,15.58,15.93,2573700,15.93
2013-09-02,15.54,15.64,15.37,15.57,3402800,15.57
2013-08-30,15.37,15.77,15.31,15.75,4100200,15.75
2013-08-29,15.20,15.40,15.15,15.36,3611100,15.36
2013-08-28,14.31,15.11,14.31,15.08,3992700,15.08
2013-08-27,14.48,14.50,14.31,14.37,874500,14.37
2013-08-26,14.42,14.47,14.35,14.45,1259300,14.45
2013-08-23,14.48,14.48,14.21,14.22,1635400,14.22
2013-08-22,14.15,14.40,14.14,14.36,1914200,14.36
2013-08-21,14.14,14.34,14.14,14.25,1167800,14.25
2013-08-20,14.20,14.32,14.13,14.15,1048600,14.15
2013-08-19,14.20,14.39,14.19,14.22,1012300,14.22
2013-08-16,14.14,14.33,14.11,14.20,1197400,14.20
2013-08-15,14.44,14.48,14.16,14.21,2068100,14.21
2013-08-14,14.44,14.59,14.44,14.46,1605400,14.46
2013-08-13,14.58,14.64,14.44,14.52,1131000,14.52
2013-08-12,14.61,14.72,14.52,14.65,883700,14.65
2013-08-09,14.55,14.66,14.48,14.66,733000,14.66
2013-08-08,14.68,14.76,14.55,14.64,821700,14.64
2013-08-07,14.75,14.78,14.57,14.59,1489700,14.59
2013-08-06,14.75,14.81,14.69,14.81,915600,14.81
2013-08-05,14.70,14.78,14.67,14.72,598600,14.72
2013-08-02,14.82,14.91,14.70,14.75,852000,14.75
2013-08-01,14.67,14.84,14.65,14.80,1494600,14.80
2013-07-31,14.80,14.82,14.55,14.55,990100,14.55
2013-07-30,14.73,14.82,14.65,14.69,1283300,14.69
2013-07-29,14.65,14.79,14.61,14.69,716700,14.69
2013-07-26,14.80,14.89,14.72,14.74,1301500,14.74
2013-07-25,14.90,14.90,14.72,14.75,1297000,14.75
2013-07-24,14.97,15.04,14.91,14.97,757500,14.97
2013-07-23,15.00,15.04,14.84,14.89,1144700,14.89
2013-07-22,15.10,15.20,14.91,14.96,768500,14.96
2013-07-19,14.99,15.02,14.82,15.01,1102400,15.01
