Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.07,0.07,0.07,0.07,000,0.07
2013-09-19,0.07,0.07,0.07,0.07,576500,0.07
2013-09-18,0.08,0.08,0.07,0.07,516600,0.07
2013-09-17,0.08,0.08,0.08,0.08,000,0.08
2013-09-16,0.08,0.08,0.08,0.08,000,0.08
2013-09-13,0.08,0.08,0.08,0.08,159200,0.08
2013-09-12,0.08,0.08,0.08,0.08,161500,0.08
2013-09-11,0.08,0.08,0.08,0.08,132700,0.08
2013-09-10,0.09,0.09,0.08,0.08,622000,0.08
2013-09-09,0.08,0.08,0.08,0.08,16000,0.08
2013-09-06,0.09,0.09,0.08,0.08,430800,0.08
2013-09-05,0.09,0.09,0.09,0.09,987000,0.09
2013-09-04,0.07,0.09,0.07,0.08,1472600,0.08
2013-09-03,0.07,0.07,0.07,0.07,1286800,0.07
2013-09-02,0.07,0.07,0.07,0.07,259600,0.07
2013-08-30,0.06,0.07,0.06,0.07,101100,0.07
2013-08-29,0.06,0.06,0.06,0.06,219200,0.06
2013-08-28,0.06,0.06,0.06,0.06,10000,0.06
2013-08-27,0.06,0.06,0.06,0.06,128000,0.06
2013-08-26,0.07,0.07,0.06,0.06,207300,0.06
2013-08-23,0.06,0.07,0.06,0.07,1018000,0.07
2013-08-22,0.06,0.06,0.06,0.06,150000,0.06
2013-08-21,0.06,0.06,0.06,0.06,000,0.06
2013-08-20,0.06,0.06,0.06,0.06,62600,0.06
2013-08-19,0.06,0.06,0.06,0.06,698800,0.06
2013-08-16,0.06,0.06,0.06,0.06,75000,0.06
2013-08-15,0.06,0.06,0.06,0.06,25000,0.06
2013-08-14,0.05,0.05,0.05,0.05,100000,0.05
2013-08-13,0.05,0.05,0.05,0.05,166400,0.05
2013-08-12,0.05,0.05,0.05,0.05,4100,0.05
2013-08-09,0.05,0.05,0.05,0.05,291300,0.05
2013-08-08,0.05,0.05,0.05,0.05,45000,0.05
2013-08-07,0.05,0.05,0.05,0.05,38400,0.05
2013-08-06,0.05,0.05,0.05,0.05,293100,0.05
2013-08-05,0.05,0.05,0.05,0.05,54400,0.05
2013-08-02,0.05,0.05,0.05,0.05,20000,0.05
2013-08-01,0.05,0.05,0.05,0.05,000,0.05
2013-07-31,0.05,0.05,0.05,0.05,100000,0.05
2013-07-30,0.05,0.05,0.05,0.05,20600,0.05
2013-07-29,0.05,0.05,0.05,0.05,350000,0.05
2013-07-26,0.05,0.05,0.05,0.05,250000,0.05
2013-07-25,0.05,0.05,0.05,0.05,000,0.05
2013-07-24,0.05,0.05,0.05,0.05,000,0.05
2013-07-23,0.05,0.05,0.05,0.05,49300,0.05
2013-07-19,0.05,0.05,0.05,0.05,55600,0.05
2013-07-18,0.05,0.05,0.05,0.05,000,0.05
2013-07-17,0.05,0.05,0.05,0.05,480000,0.05
2013-07-16,0.05,0.05,0.05,0.05,20000,0.05
2013-07-15,0.05,0.05,0.05,0.05,000,0.05
2013-07-12,0.05,0.05,0.05,0.05,000,0.05
2013-07-11,0.05,0.05,0.05,0.05,74300,0.05
2013-07-10,0.05,0.05,0.05,0.05,200000,0.05
2013-07-09,0.05,0.05,0.05,0.05,000,0.05
2013-07-08,0.05,0.05,0.05,0.05,295400,0.05
2013-07-05,0.05,0.05,0.05,0.05,50000,0.05
2013-07-04,0.05,0.05,0.05,0.05,120000,0.05
2013-07-03,0.05,0.05,0.05,0.05,3187500,0.05
2013-07-02,0.05,0.05,0.05,0.05,000,0.05
2013-07-01,0.05,0.05,0.05,0.05,000,0.05
2013-06-28,0.05,0.05,0.05,0.05,000,0.05
2013-06-27,0.05,0.05,0.05,0.05,000,0.05
2013-06-26,0.05,0.05,0.05,0.05,000,0.05
2013-06-25,0.05,0.05,0.05,0.05,491400,0.05
2013-06-24,0.05,0.05,0.05,0.05,633700,0.05
2013-06-21,0.05,0.05,0.05,0.05,50000,0.05
2013-06-20,0.05,0.05,0.05,0.05,423200,0.05
2013-06-18,0.05,0.05,0.05,0.05,487700,0.05
2013-06-17,0.05,0.05,0.05,0.05,433700,0.05
2013-06-14,0.05,0.05,0.05,0.05,1226500,0.05
2013-06-13,0.05,0.05,0.05,0.05,20080000,0.05
2013-06-12,0.05,0.05,0.05,0.05,135700,0.05
2013-06-11,0.05,0.05,0.05,0.05,100000,0.05
2013-06-10,0.06,0.06,0.06,0.06,000,0.06
2013-06-07,0.06,0.06,0.06,0.06,129900,0.06
2013-06-06,0.06,0.06,0.06,0.06,79300,0.06
2013-06-05,0.06,0.06,0.06,0.06,99300,0.06
2013-06-04,0.06,0.06,0.06,0.06,442100,0.06
2013-06-03,0.06,0.06,0.06,0.06,000,0.06
2013-05-31,0.06,0.06,0.06,0.06,655800,0.06
2013-05-30,0.05,0.05,0.05,0.05,175000,0.05
2013-05-29,0.05,0.06,0.05,0.05,467200,0.05
2013-05-28,0.06,0.06,0.05,0.05,383300,0.05
2013-05-27,0.06,0.06,0.06,0.06,321600,0.06
2013-05-24,0.06,0.06,0.06,0.06,125000,0.06
2013-05-23,0.06,0.06,0.06,0.06,100000,0.06
2013-05-22,0.06,0.06,0.06,0.06,208700,0.06
2013-05-21,0.06,0.06,0.06,0.06,140000,0.06
2013-05-20,0.07,0.07,0.07,0.07,000,0.07
2013-05-17,0.07,0.07,0.07,0.07,50000,0.07
2013-05-16,0.07,0.07,0.07,0.07,15000,0.07
2013-05-15,0.07,0.07,0.07,0.07,210000,0.07
2013-05-14,0.07,0.07,0.07,0.07,15000,0.07
2013-05-13,0.08,0.08,0.07,0.07,475000,0.07
2013-05-10,0.08,0.08,0.08,0.08,105900,0.08
2013-05-09,0.08,0.08,0.08,0.08,332900,0.08
2013-05-08,0.08,0.08,0.08,0.08,50000,0.08
2013-05-07,0.08,0.08,0.08,0.08,000,0.08
2013-05-06,0.08,0.08,0.08,0.08,455000,0.08
2013-05-03,0.08,0.08,0.08,0.08,469800,0.08
2013-05-02,0.08,0.08,0.08,0.08,51000,0.08
2013-05-01,0.08,0.08,0.08,0.08,404000,0.08
2013-04-30,0.08,0.08,0.08,0.08,250000,0.08
2013-04-26,0.08,0.08,0.08,0.08,126800,0.08
2013-04-25,0.08,0.08,0.08,0.08,000,0.08
2013-04-24,0.08,0.08,0.08,0.08,50000,0.08
2013-04-23,0.09,0.09,0.08,0.08,100000,0.08
2013-04-22,0.09,0.09,0.09,0.09,000,0.09
2013-04-19,0.09,0.09,0.09,0.09,21800,0.09
2013-04-18,0.09,0.09,0.09,0.09,000,0.09
2013-04-17,0.09,0.09,0.09,0.09,48000,0.09
