Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.00,1.00,1.00,1.00,25000,1.00
2013-09-19,1.00,1.00,1.00,1.00,1500,1.00
2013-09-18,1.00,1.00,1.00,1.00,000,1.00
2013-09-17,1.00,1.00,1.00,1.00,000,1.00
2013-09-16,1.00,1.00,1.00,1.00,11900,1.00
2013-09-13,1.00,1.00,1.00,1.00,000,1.00
2013-09-12,1.00,1.00,1.00,1.00,6000,1.00
2013-09-11,1.00,1.00,1.00,1.00,000,1.00
2013-09-10,1.00,1.00,1.00,1.00,000,1.00
2013-09-09,1.00,1.00,1.00,1.00,000,1.00
2013-09-06,1.00,1.00,1.00,1.00,10900,1.00
2013-09-05,1.00,1.00,1.00,1.00,50000,1.00
2013-09-04,1.00,1.00,1.00,1.00,25000,1.00
2013-09-03,1.00,1.00,1.00,1.00,31500,1.00
2013-09-02,1.01,1.01,1.01,1.01,000,1.01
2013-08-30,1.01,1.01,1.01,1.01,000,1.01
2013-08-29,1.00,1.00,1.00,1.00,9000,1.00
2013-08-28,1.01,1.01,1.01,1.01,000,1.01
2013-08-27,1.00,1.00,1.00,1.00,9100,1.00
2013-08-26,1.00,1.00,1.00,1.00,2500,1.00
2013-08-23,1.01,1.01,1.01,1.01,000,1.01
2013-08-22,1.01,1.01,1.01,1.01,000,1.01
2013-08-21,1.01,1.01,1.01,1.01,000,1.01
2013-08-20,1.01,1.01,1.01,1.01,000,1.01
2013-08-19,1.00,1.00,1.00,1.00,19200,1.00
2013-08-16,1.00,1.00,1.00,1.00,1200,1.00
2013-08-15,1.02,1.02,1.02,1.02,000,1.02
2013-08-14,1.02,1.02,1.02,1.02,000,1.02
2013-08-13,1.02,1.02,1.02,1.02,000,1.02
2013-08-12,1.00,1.00,1.00,1.00,14000,1.00
2013-08-09,1.00,1.00,1.00,1.00,500,1.00
2013-08-08,1.02,1.02,1.02,1.02,000,1.02
2013-08-07,1.02,1.02,1.02,1.02,000,1.02
