Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,3.49,3.53,3.45,3.50,60200,3.50
2013-09-19,3.53,3.58,3.48,3.48,100400,3.48
2013-09-18,3.65,3.65,3.53,3.53,9300,3.53
2013-09-17,3.60,3.65,3.55,3.56,30900,3.56
2013-09-16,3.49,3.65,3.48,3.55,78200,3.55
2013-09-13,3.48,3.48,3.47,3.48,51700,3.48
2013-09-12,3.50,3.55,3.47,3.47,32300,3.47
2013-09-11,3.47,3.48,3.44,3.48,147700,3.48
2013-09-10,3.46,3.46,3.44,3.45,130800,3.45
2013-09-09,3.49,3.49,3.43,3.45,53500,3.45
2013-09-06,3.42,3.46,3.41,3.46,17800,3.46
2013-09-05,3.45,3.48,3.41,3.43,34600,3.43
2013-09-04,3.42,3.46,3.40,3.45,13700,3.45
2013-09-03,3.37,3.50,3.37,3.42,65400,3.42
2013-09-02,3.36,3.40,3.36,3.40,32100,3.40
2013-08-30,3.35,3.39,3.35,3.36,28200,3.36
2013-08-29,3.38,3.40,3.32,3.35,86900,3.35
2013-08-28,3.31,3.46,3.31,3.37,114700,3.37
2013-08-27,3.31,3.33,3.30,3.31,39700,3.31
2013-08-26,3.29,3.32,3.29,3.30,23000,3.30
2013-08-23,3.29,3.34,3.29,3.30,22800,3.30
2013-08-22,3.30,3.34,3.28,3.30,59900,3.30
2013-08-21,3.31,3.35,3.27,3.34,25200,3.34
2013-08-20,3.26,3.32,3.26,3.30,18300,3.30
2013-08-19,3.33,3.33,3.25,3.25,19400,3.25
2013-08-16,3.33,3.36,3.30,3.32,42100,3.32
2013-08-15,3.37,3.39,3.34,3.34,36800,3.34
2013-08-14,3.43,3.43,3.37,3.38,134400,3.38
2013-08-13,3.43,3.43,3.38,3.41,19800,3.41
2013-08-12,3.34,3.42,3.34,3.38,61900,3.38
2013-08-09,3.36,3.39,3.30,3.33,29500,3.33
2013-08-08,3.36,3.40,3.35,3.36,24300,3.36
2013-08-07,3.42,3.42,3.34,3.34,51300,3.34
2013-08-06,3.40,3.45,3.39,3.40,43000,3.40
2013-08-05,3.41,3.47,3.39,3.40,32800,3.40
2013-08-02,3.50,3.50,3.39,3.39,39200,3.39
2013-08-01,3.46,3.50,3.46,3.49,74700,3.49
2013-07-31,3.50,3.50,3.44,3.49,65800,3.49
2013-07-30,3.50,3.52,3.45,3.46,63200,3.46
2013-07-29,3.50,3.53,3.47,3.50,46000,3.50
2013-07-26,3.51,3.56,3.50,3.50,116800,3.50
2013-07-25,3.51,3.51,3.48,3.48,73100,3.48
2013-07-24,3.41,3.49,3.40,3.45,117200,3.45
2013-07-23,3.32,3.39,3.28,3.38,14300,3.38
2013-07-22,3.33,3.36,3.32,3.36,4000,3.36
2013-07-19,3.28,3.33,3.28,3.33,13700,3.33
2013-07-18,3.25,3.35,3.25,3.28,52300,3.28
2013-07-17,3.25,3.27,3.25,3.25,8200,3.25
2013-07-16,3.24,3.27,3.20,3.26,20800,3.26
2013-07-15,3.17,3.23,3.16,3.20,55200,3.20
2013-07-12,3.18,3.20,3.11,3.14,224800,3.14
2013-07-11,3.17,3.21,3.15,3.16,462500,3.16
2013-07-10,3.16,3.29,3.16,3.16,126700,3.16
2013-07-09,3.15,3.21,3.14,3.15,77500,3.15
2013-07-08,3.15,3.17,3.12,3.15,18700,3.15
2013-07-05,3.13,3.17,3.13,3.15,189100,3.15
2013-07-04,3.13,3.14,3.10,3.11,116200,3.11
2013-07-03,3.16,3.23,3.10,3.15,277100,3.15
2013-07-02,3.00,3.18,3.00,3.13,1096000,3.13
2013-07-01,2.96,3.01,2.95,3.00,80000,3.00
2013-06-28,3.02,3.02,2.94,3.00,973700,3.00
2013-06-27,3.03,3.09,3.00,3.00,429700,3.00
2013-06-26,2.99,3.03,2.99,3.00,236800,3.00
2013-06-25,3.03,3.03,2.92,3.00,383500,3.00
2013-06-24,3.10,3.10,3.00,3.00,71300,3.00
2013-06-21,3.14,3.22,3.09,3.18,76300,3.08
2013-06-20,3.35,3.35,3.14,3.14,17000,3.04
2013-06-19,3.26,3.27,3.20,3.24,293600,3.14
2013-06-18,3.25,3.32,3.25,3.25,15100,3.15
2013-06-17,3.27,3.31,3.23,3.29,535800,3.19
2013-06-14,3.26,3.33,3.26,3.29,25900,3.19
2013-06-13,3.29,3.29,3.23,3.26,69000,3.16
2013-06-12,3.26,3.40,3.26,3.33,44200,3.23
2013-06-11,3.28,3.42,3.24,3.31,48600,3.21
2013-06-10,3.30,3.30,3.30,3.30,000,3.20
2013-06-07,3.25,3.30,3.17,3.30,239300,3.20
2013-06-06,3.10,3.23,3.08,3.21,138800,3.11
2013-06-05,3.25,3.27,3.08,3.12,216400,3.02
2013-06-04,3.30,3.32,3.22,3.25,388800,3.15
2013-06-03,3.50,3.50,3.29,3.35,88000,3.24
2013-05-31,3.57,3.59,3.36,3.53,110300,3.42
2013-05-30,3.52,3.57,3.52,3.52,92600,3.41
2013-05-29,3.57,3.60,3.55,3.55,81800,3.44
2013-05-28,3.60,3.60,3.53,3.55,50200,3.44
2013-05-27,3.50,3.57,3.41,3.55,645900,3.44
2013-05-24,3.58,3.58,3.52,3.53,118600,3.42
2013-05-23,3.64,3.65,3.50,3.58,172300,3.47
2013-05-22,3.78,3.78,3.60,3.64,806700,3.53
2013-05-21,3.74,3.75,3.72,3.72,21900,3.60
2013-05-20,3.80,3.80,3.72,3.73,74500,3.61
2013-05-17,3.89,3.89,3.76,3.80,68000,3.68
2013-05-16,3.92,3.92,3.86,3.89,37200,3.77
2013-05-15,3.95,3.95,3.87,3.90,158400,3.78
2013-05-14,3.95,3.95,3.90,3.92,63200,3.80
2013-05-13,3.94,3.95,3.90,3.90,38800,3.78
2013-05-10,3.94,3.95,3.80,3.93,70100,3.81
2013-05-09,3.93,3.95,3.91,3.94,219000,3.82
2013-05-08,3.90,3.90,3.88,3.90,33000,3.78
2013-05-07,3.90,3.90,3.81,3.86,27400,3.74
2013-05-06,3.86,3.94,3.84,3.84,149800,3.72
2013-05-03,3.92,3.92,3.85,3.86,18600,3.74
2013-05-02,3.92,3.92,3.81,3.88,57100,3.76
2013-05-01,3.91,3.95,3.84,3.88,32400,3.76
2013-04-30,3.94,3.95,3.81,3.91,103900,3.79
2013-04-29,3.90,3.94,3.85,3.89,18000,3.77
2013-04-26,3.94,3.94,3.89,3.93,18200,3.81
2013-04-25,3.95,3.95,3.95,3.95,000,3.83
2013-04-24,3.95,3.95,3.93,3.95,85900,3.83
2013-04-23,3.88,3.95,3.88,3.95,15800,3.83
2013-04-22,3.95,3.95,3.90,3.94,17700,3.82
2013-04-19,3.93,3.95,3.89,3.95,135300,3.83
2013-04-18,3.90,3.93,3.90,3.93,78200,3.81
2013-04-17,3.93,3.94,3.90,3.90,27400,3.78
2013-04-16,3.95,3.95,3.89,3.93,54500,3.81
2013-04-15,3.98,3.98,3.92,3.94,346500,3.82
2013-04-12,3.94,3.95,3.90,3.95,159400,3.83
2013-04-11,3.91,3.95,3.90,3.94,145900,3.82
