Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.12,1.13,1.12,1.13,64700,1.11
2013-09-19,1.10,1.12,1.10,1.12,107700,1.09
2013-09-18,1.10,1.10,1.09,1.10,239000,1.07
2013-09-17,1.09,1.10,1.09,1.10,369400,1.08
2013-09-16,1.09,1.10,1.09,1.10,211400,1.07
2013-09-13,1.10,1.10,1.09,1.09,46600,1.06
2013-09-12,1.10,1.10,1.08,1.10,29500,1.07
2013-09-11,1.09,1.10,1.09,1.09,144800,1.06
2013-09-10,1.10,1.10,1.09,1.09,80500,1.06
2013-09-09,1.10,1.10,1.09,1.10,29900,1.07
2013-09-06,1.10,1.10,1.09,1.09,34000,1.06
2013-09-05,1.11,1.11,1.09,1.09,67000,1.06
2013-09-04,1.10,1.10,1.09,1.10,97300,1.08
2013-09-03,1.09,1.10,1.09,1.10,72000,1.07
2013-09-02,1.10,1.10,1.10,1.10,2500,1.08
2013-08-30,1.11,1.12,1.10,1.12,58300,1.09
2013-08-29,1.11,1.12,1.11,1.12,105500,1.10
2013-08-28,1.11,1.11,1.11,1.11,39000,1.09
2013-08-27,1.10,1.11,1.10,1.11,476300,1.09
2013-08-26,1.10,1.11,1.10,1.11,30300,1.09
2013-08-23,1.12,1.12,1.09,1.09,58800,1.06
2013-08-22,1.11,1.11,1.10,1.10,25000,1.08
2013-08-21,1.11,1.11,1.10,1.10,48700,1.07
2013-08-20,1.12,1.12,1.10,1.11,71100,1.09
2013-08-19,1.12,1.12,1.10,1.12,17000,1.10
2013-08-16,1.12,1.12,1.12,1.12,73900,1.10
2013-08-15,1.13,1.13,1.12,1.12,147800,1.10
2013-08-14,1.13,1.13,1.12,1.12,20600,1.10
2013-08-13,1.13,1.13,1.11,1.11,76400,1.09
2013-08-12,1.13,1.13,1.12,1.13,98600,1.11
2013-08-09,1.12,1.13,1.12,1.12,71000,1.10
2013-08-08,1.12,1.14,1.12,1.12,103800,1.10
2013-08-07,1.12,1.13,1.11,1.11,74000,1.09
2013-08-06,1.12,1.13,1.12,1.12,40400,1.10
2013-08-05,1.09,1.13,1.09,1.13,128700,1.11
2013-08-02,1.09,1.09,1.09,1.09,60300,1.07
2013-08-01,1.09,1.09,1.05,1.09,265700,1.06
2013-07-31,1.10,1.10,1.09,1.09,159000,1.07
2013-07-30,1.09,1.10,1.09,1.10,212500,1.08
2013-07-29,1.09,1.10,1.09,1.09,145800,1.06
2013-07-26,1.09,1.10,1.09,1.10,78700,1.07
2013-07-25,1.08,1.09,1.08,1.09,83500,1.07
2013-07-24,1.08,1.08,1.07,1.08,292700,1.06
2013-07-23,1.07,1.08,1.07,1.08,266000,1.05
2013-07-22,1.07,1.07,1.07,1.07,397200,1.05
2013-07-19,1.07,1.07,1.05,1.05,454500,1.03
2013-07-18,1.07,1.07,1.07,1.07,296400,1.04
2013-07-17,1.07,1.07,1.05,1.07,336200,1.04
2013-07-16,1.06,1.07,1.06,1.07,342500,1.04
2013-07-15,1.07,1.08,1.06,1.07,243400,1.04
2013-07-12,1.06,1.08,1.06,1.07,195300,1.05
2013-07-11,1.09,1.09,1.06,1.06,198000,1.04
2013-07-10,1.08,1.08,1.06,1.08,118100,1.06
2013-07-09,1.07,1.07,1.05,1.06,255200,1.04
2013-07-08,1.10,1.10,1.08,1.08,124000,1.05
2013-07-05,1.09,1.10,1.08,1.10,146700,1.08
2013-07-04,1.08,1.09,1.08,1.09,331500,1.07
2013-07-03,1.09,1.09,1.08,1.08,29095100,1.06
2013-07-02,1.11,1.15,1.11,1.13,91200,1.11
2013-07-01,1.11,1.11,1.07,1.07,65000,1.05
2013-06-28,1.13,1.13,1.07,1.07,115300,1.05
2013-06-27,1.09,1.09,1.09,1.09,26000,1.07
2013-06-26,1.09,1.09,1.09,1.09,3400,1.07
2013-06-25,1.09,1.10,1.08,1.09,84000,1.07
2013-06-24,1.09,1.09,1.08,1.09,60000,1.06
