Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.10,0.10,0.10,0.10,80700,0.10
2013-09-19,0.10,0.10,0.10,0.10,99000,0.10
2013-09-18,0.10,0.10,0.10,0.10,000,0.10
2013-09-17,0.10,0.10,0.10,0.10,000,0.10
2013-09-16,0.10,0.10,0.10,0.10,5500,0.10
2013-09-13,0.10,0.11,0.10,0.11,2396000,0.11
2013-09-12,0.10,0.10,0.10,0.10,000,0.10
2013-09-11,0.10,0.10,0.10,0.10,10700,0.10
2013-09-10,0.10,0.10,0.10,0.10,100000,0.10
2013-09-09,0.10,0.10,0.10,0.10,60000,0.10
2013-09-06,0.10,0.10,0.10,0.10,500000,0.10
2013-09-05,0.10,0.10,0.10,0.10,5000,0.10
2013-09-04,0.10,0.10,0.10,0.10,000,0.10
2013-09-03,0.10,0.10,0.10,0.10,143000,0.10
2013-09-02,0.10,0.10,0.10,0.10,20000,0.10
2013-08-30,0.10,0.10,0.10,0.10,11200,0.10
2013-08-29,0.10,0.10,0.10,0.10,10000,0.10
2013-08-28,0.10,0.10,0.10,0.10,11000,0.10
2013-08-27,0.10,0.10,0.10,0.10,1472700,0.10
2013-08-26,0.12,0.12,0.10,0.10,97000,0.10
2013-08-23,0.10,0.10,0.10,0.10,15900,0.10
2013-08-22,0.10,0.10,0.10,0.10,000,0.10
2013-08-21,0.10,0.10,0.10,0.10,191400,0.10
2013-08-20,0.10,0.10,0.10,0.10,95900,0.10
2013-08-19,0.10,0.11,0.10,0.11,270000,0.11
2013-08-16,0.10,0.10,0.10,0.10,40000,0.10
2013-08-15,0.10,0.10,0.10,0.10,3500,0.10
2013-08-14,0.10,0.10,0.10,0.10,153800,0.10
2013-08-13,0.11,0.11,0.10,0.10,127100,0.10
2013-08-12,0.12,0.12,0.12,0.12,12900,0.12
2013-08-09,0.12,0.12,0.12,0.12,17200,0.12
2013-08-08,0.10,0.12,0.10,0.10,212600,0.10
2013-08-07,0.12,0.12,0.12,0.12,208000,0.12
2013-08-06,0.12,0.13,0.12,0.12,474600,0.12
2013-08-05,0.11,0.11,0.11,0.11,42100,0.11
2013-08-02,0.10,0.10,0.10,0.10,000,0.10
2013-08-01,0.10,0.10,0.10,0.10,137500,0.10
2013-07-31,0.09,0.09,0.09,0.09,29000,0.09
2013-07-30,0.09,0.09,0.09,0.09,284000,0.09
2013-07-29,0.09,0.09,0.09,0.09,30900,0.09
2013-07-26,0.09,0.09,0.09,0.09,000,0.09
2013-07-25,0.09,0.09,0.09,0.09,75000,0.09
2013-07-24,0.08,0.08,0.08,0.08,000,0.08
2013-07-23,0.08,0.08,0.08,0.08,000,0.08
2013-07-22,0.08,0.08,0.08,0.08,100000,0.08
2013-07-19,0.09,0.09,0.09,0.09,000,0.09
2013-07-18,0.08,0.09,0.08,0.09,50000,0.09
2013-07-17,0.08,0.08,0.08,0.08,18300,0.08
2013-07-16,0.08,0.08,0.08,0.08,000,0.08
2013-07-15,0.09,0.09,0.08,0.08,160000,0.08
2013-07-12,0.08,0.08,0.08,0.08,000,0.08
2013-07-11,0.08,0.08,0.08,0.08,2200,0.08
2013-07-10,0.09,0.09,0.09,0.09,56400,0.09
2013-07-09,0.09,0.09,0.09,0.09,100,0.09
2013-07-08,0.09,0.09,0.09,0.09,29800,0.09
2013-07-05,0.09,0.09,0.09,0.09,5100,0.09
2013-07-04,0.09,0.09,0.09,0.09,20000,0.09
2013-07-03,0.09,0.09,0.09,0.09,64800,0.09
2013-07-02,0.08,0.09,0.08,0.09,44000,0.09
2013-07-01,0.08,0.08,0.08,0.08,6500,0.08
2013-06-28,0.08,0.08,0.08,0.08,46400,0.08
2013-06-27,0.08,0.09,0.08,0.09,40400,0.09
2013-06-26,0.08,0.08,0.08,0.08,119000,0.08
2013-06-25,0.09,0.09,0.08,0.08,621300,0.08
2013-06-24,0.10,0.10,0.09,0.09,142900,0.09
2013-06-21,0.10,0.10,0.10,0.10,350000,0.10
2013-06-20,0.12,0.12,0.11,0.11,24600,0.11
2013-06-19,0.12,0.12,0.12,0.12,26200,0.12
2013-06-18,0.11,0.12,0.11,0.12,134000,0.12
