Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.93,0.93,0.93,0.93,000,0.93
2013-09-19,0.90,0.93,0.90,0.93,49800,0.93
2013-09-18,0.90,0.90,0.90,0.90,21400,0.90
2013-09-17,0.90,0.90,0.90,0.90,000,0.90
2013-09-16,0.90,0.90,0.90,0.90,746300,0.90
2013-09-13,0.93,0.93,0.90,0.90,62600,0.90
2013-09-12,0.93,0.94,0.93,0.94,10000,0.94
2013-09-11,0.87,0.91,0.87,0.91,10100,0.91
2013-09-10,0.90,0.92,0.89,0.92,50300,0.92
2013-09-09,0.96,0.96,0.96,0.96,000,0.96
2013-09-06,0.96,0.96,0.96,0.96,000,0.96
2013-09-05,0.96,0.96,0.96,0.96,000,0.93
2013-09-04,0.96,0.96,0.96,0.96,000,0.93
2013-09-03,0.96,0.96,0.96,0.96,000,0.93
2013-09-02,0.96,0.96,0.96,0.96,000,0.93
2013-08-30,0.96,0.96,0.96,0.96,2700,0.93
2013-08-29,0.96,0.98,0.96,0.98,16500,0.95
2013-08-28,0.96,0.96,0.96,0.96,000,0.93
2013-08-27,0.96,0.96,0.96,0.96,16400,0.93
2013-08-26,0.96,0.96,0.96,0.96,11000,0.93
2013-08-23,0.96,0.96,0.96,0.96,000,0.93
2013-08-22,0.96,0.96,0.96,0.96,000,0.93
2013-08-21,0.98,0.98,0.97,0.97,28800,0.94
2013-08-20,0.95,0.95,0.95,0.95,45000,0.93
2013-08-19,0.95,0.95,0.95,0.95,3000,0.93
2013-08-16,0.93,0.93,0.93,0.93,2100,0.90
2013-08-15,0.90,0.90,0.90,0.90,131000,0.88
2013-08-14,0.90,0.90,0.90,0.90,2000,0.88
2013-08-13,0.90,0.90,0.90,0.90,66600,0.88
2013-08-12,0.89,0.89,0.89,0.89,30100,0.87
2013-08-09,0.89,0.90,0.85,0.85,74900,0.83
2013-08-08,0.88,0.88,0.88,0.88,000,0.86
2013-08-07,0.85,0.88,0.85,0.88,54500,0.86
2013-08-06,0.83,0.85,0.83,0.85,40000,0.83
2013-08-05,0.82,0.82,0.82,0.82,43600,0.80
2013-08-02,0.82,0.82,0.82,0.82,3000,0.80
2013-08-01,0.84,0.84,0.84,0.84,000,0.82
2013-07-31,0.84,0.84,0.84,0.84,000,0.82
2013-07-30,0.84,0.84,0.84,0.84,6400,0.82
2013-07-29,0.81,0.81,0.80,0.80,41400,0.78
2013-07-26,0.80,0.80,0.80,0.80,60000,0.78
2013-07-25,0.78,0.78,0.78,0.78,000,0.76
2013-07-24,0.78,0.78,0.78,0.78,000,0.76
2013-07-23,0.78,0.78,0.78,0.78,000,0.76
2013-07-22,0.78,0.78,0.78,0.78,000,0.76
2013-07-19,0.78,0.78,0.78,0.78,000,0.76
2013-07-18,0.78,0.78,0.78,0.78,5000,0.76
2013-07-17,0.78,0.78,0.78,0.78,900,0.76
2013-07-16,0.78,0.78,0.78,0.78,000,0.76
2013-07-15,0.78,0.78,0.78,0.78,000,0.76
2013-07-12,0.78,0.78,0.78,0.78,000,0.76
2013-07-11,0.78,0.78,0.78,0.78,000,0.76
2013-07-10,0.78,0.78,0.78,0.78,000,0.76
2013-07-09,0.78,0.78,0.78,0.78,000,0.76
2013-07-08,0.78,0.78,0.78,0.78,000,0.76
2013-07-05,0.78,0.78,0.78,0.78,000,0.76
2013-07-04,0.78,0.78,0.78,0.78,000,0.76
2013-07-03,0.78,0.78,0.78,0.78,800,0.76
2013-07-02,0.78,0.78,0.78,0.78,000,0.76
2013-07-01,0.78,0.78,0.78,0.78,000,0.76
2013-06-28,0.78,0.78,0.78,0.78,000,0.76
2013-06-27,0.78,0.78,0.78,0.78,8300,0.76
2013-06-26,0.84,0.84,0.84,0.84,000,0.82
2013-06-25,0.84,0.84,0.84,0.84,000,0.82
2013-06-24,0.82,0.84,0.82,0.84,6000,0.82
2013-06-21,0.82,0.82,0.82,0.82,000,0.80
2013-06-20,0.82,0.82,0.82,0.82,000,0.80
2013-06-19,0.78,0.82,0.78,0.82,7200,0.80
2013-06-18,0.82,0.82,0.82,0.82,000,0.80
2013-06-17,0.82,0.82,0.82,0.82,000,0.80
2013-06-14,0.82,0.82,0.82,0.82,2500,0.80
2013-06-13,0.80,0.80,0.80,0.80,2800,0.78
2013-06-12,0.77,0.77,0.77,0.77,000,0.75
2013-06-11,0.77,0.77,0.77,0.77,000,0.75
2013-06-10,0.77,0.77,0.77,0.77,000,0.75
2013-06-07,0.77,0.77,0.77,0.77,000,0.75
2013-06-06,0.77,0.77,0.77,0.77,7000,0.75
2013-06-05,0.78,0.78,0.77,0.77,7400,0.75
2013-06-04,0.80,0.80,0.80,0.80,000,0.78
2013-06-03,0.80,0.80,0.80,0.80,000,0.78
2013-05-31,0.80,0.80,0.80,0.80,000,0.78
2013-05-30,0.80,0.80,0.80,0.80,5000,0.78
2013-05-29,0.77,0.77,0.77,0.77,1600,0.75
2013-05-28,0.80,0.80,0.80,0.80,000,0.78
2013-05-27,0.80,0.80,0.80,0.80,32200,0.78
2013-05-24,0.80,0.80,0.80,0.80,14800,0.78
2013-05-23,0.80,0.80,0.80,0.80,20000,0.78
2013-05-22,0.80,0.80,0.80,0.80,900,0.78
2013-05-21,0.80,0.80,0.80,0.80,000,0.78
2013-05-20,0.80,0.80,0.80,0.80,21800,0.78
2013-05-17,0.76,0.76,0.76,0.76,000,0.74
2013-05-16,0.76,0.76,0.76,0.76,18800,0.74
2013-05-15,0.71,0.71,0.71,0.71,000,0.69
2013-05-14,0.71,0.71,0.71,0.71,000,0.69
2013-05-13,0.71,0.71,0.71,0.71,000,0.69
2013-05-10,0.71,0.71,0.71,0.71,3500,0.69
2013-05-09,0.69,0.69,0.69,0.69,000,0.67
2013-05-08,0.69,0.69,0.69,0.69,000,0.67
2013-05-07,0.69,0.69,0.69,0.69,000,0.67
2013-05-06,0.69,0.69,0.69,0.69,000,0.67
2013-05-03,0.69,0.69,0.69,0.69,1300,0.67
2013-05-02,0.69,0.69,0.69,0.69,000,0.67
2013-05-01,0.70,0.70,0.69,0.69,31800,0.67
2013-04-30,0.69,0.69,0.69,0.69,000,0.67
2013-04-29,0.69,0.69,0.69,0.69,2000,0.67
2013-04-26,0.69,0.69,0.69,0.69,000,0.67
2013-04-25,0.69,0.69,0.69,0.69,000,0.67
2013-04-24,0.69,0.69,0.69,0.69,11500,0.67
2013-04-23,0.69,0.69,0.69,0.69,11000,0.67
2013-04-22,0.69,0.69,0.69,0.69,19000,0.67
2013-04-19,0.66,0.66,0.66,0.66,000,0.64
2013-04-18,0.65,0.66,0.65,0.66,81600,0.64
2013-04-17,0.67,0.67,0.65,0.65,42000,0.64
2013-04-16,0.64,0.64,0.64,0.64,3000,0.62
2013-04-15,0.64,0.64,0.64,0.64,000,0.62
2013-04-12,0.64,0.64,0.64,0.64,000,0.62
2013-04-11,0.64,0.64,0.64,0.64,21500,0.62
2013-04-10,0.67,0.67,0.67,0.67,000,0.65
