Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.01,0.01,0.01,0.01,1057000,0.01
2013-09-19,0.01,0.01,0.01,0.01,961000,0.01
2013-09-18,0.01,0.01,0.01,0.01,332100,0.01
2013-09-17,0.01,0.01,0.01,0.01,541200,0.01
2013-09-16,0.01,0.01,0.01,0.01,8415900,0.01
2013-09-13,0.01,0.01,0.01,0.01,1765000,0.01
2013-09-12,0.01,0.01,0.01,0.01,7549300,0.01
2013-09-11,0.01,0.01,0.01,0.01,17406300,0.01
2013-09-10,0.01,0.01,0.01,0.01,3247900,0.01
2013-09-09,0.01,0.01,0.01,0.01,1206400,0.01
2013-09-06,0.01,0.01,0.01,0.01,1752200,0.01
2013-09-05,0.01,0.01,0.01,0.01,100200,0.01
2013-09-04,0.01,0.01,0.01,0.01,6349300,0.01
2013-09-03,0.01,0.01,0.01,0.01,10826200,0.01
2013-09-02,0.01,0.01,0.01,0.01,1660000,0.01
2013-08-30,0.01,0.01,0.01,0.01,7704700,0.01
2013-08-29,0.01,0.01,0.01,0.01,1805800,0.01
2013-08-28,0.01,0.01,0.01,0.01,3350400,0.01
2013-08-27,0.01,0.01,0.01,0.01,2235000,0.01
2013-08-26,0.01,0.01,0.01,0.01,1108500,0.01
2013-08-23,0.01,0.01,0.01,0.01,3263600,0.01
2013-08-22,0.01,0.01,0.01,0.01,5652500,0.01
2013-08-21,0.01,0.01,0.01,0.01,7962200,0.01
2013-08-20,0.01,0.01,0.01,0.01,2562000,0.01
2013-08-19,0.01,0.01,0.01,0.01,2189400,0.01
2013-08-16,0.01,0.01,0.01,0.01,3148500,0.01
2013-08-15,0.01,0.01,0.01,0.01,8331300,0.01
2013-08-14,0.01,0.01,0.01,0.01,19972000,0.01
2013-08-13,0.01,0.01,0.01,0.01,32450700,0.01
2013-08-12,0.01,0.01,0.01,0.01,3461900,0.01
2013-08-09,0.01,0.01,0.01,0.01,2892900,0.01
2013-08-08,0.01,0.01,0.01,0.01,1047500,0.01
2013-08-07,0.01,0.01,0.01,0.01,11272800,0.01
2013-08-06,0.01,0.01,0.01,0.01,6762000,0.01
2013-08-05,0.01,0.01,0.01,0.01,13624800,0.01
2013-08-02,0.01,0.01,0.01,0.01,000,0.01
2013-08-01,0.01,0.01,0.01,0.01,000,0.01
2013-07-31,0.01,0.01,0.01,0.01,4042100,0.01
2013-07-30,0.02,0.02,0.01,0.01,11613200,0.01
2013-07-29,0.01,0.01,0.01,0.01,000,0.01
2013-07-26,0.01,0.01,0.01,0.01,409200,0.01
2013-07-25,0.01,0.01,0.01,0.01,3697900,0.01
2013-07-24,0.01,0.01,0.01,0.01,1003000,0.01
2013-07-23,0.01,0.01,0.01,0.01,1556300,0.01
2013-07-22,0.01,0.01,0.01,0.01,677000,0.01
2013-07-19,0.01,0.01,0.01,0.01,900000,0.01
2013-07-18,0.01,0.01,0.01,0.01,591000,0.01
2013-07-17,0.01,0.02,0.01,0.02,3292500,0.02
2013-07-16,0.01,0.02,0.01,0.02,4671000,0.02
2013-07-15,0.01,0.01,0.01,0.01,2462200,0.01
2013-07-12,0.01,0.01,0.01,0.01,1720100,0.01
2013-07-11,0.01,0.01,0.01,0.01,1964600,0.01
2013-07-10,0.01,0.01,0.01,0.01,2373200,0.01
2013-07-09,0.01,0.01,0.01,0.01,2782900,0.01
2013-07-08,0.01,0.01,0.01,0.01,557100,0.01
2013-07-05,0.01,0.01,0.01,0.01,14738000,0.01
2013-07-04,0.01,0.02,0.01,0.01,16530800,0.01
2013-07-03,0.01,0.01,0.01,0.01,1937300,0.01
2013-07-02,0.01,0.01,0.01,0.01,2334300,0.01
2013-07-01,0.01,0.02,0.01,0.01,4556600,0.01
2013-06-28,0.01,0.02,0.01,0.01,2283000,0.01
2013-06-27,0.01,0.01,0.01,0.01,2986800,0.01
2013-06-26,0.01,0.01,0.01,0.01,5016700,0.01
2013-06-25,0.01,0.01,0.01,0.01,2287500,0.01
2013-06-24,0.01,0.01,0.01,0.01,4447700,0.01
2013-06-21,0.01,0.01,0.01,0.01,9391000,0.01
2013-06-20,0.01,0.01,0.01,0.01,1217000,0.01
2013-06-19,0.01,0.01,0.01,0.01,3739800,0.01
2013-06-18,0.01,0.02,0.01,0.01,6919500,0.01
2013-06-17,0.02,0.02,0.01,0.02,1543600,0.02
2013-06-14,0.01,0.01,0.01,0.01,4379900,0.01
2013-06-13,0.01,0.01,0.01,0.01,9834600,0.01
