Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.05,0.05,0.05,0.05,000,0.05
2013-09-19,0.05,0.06,0.05,0.05,120000,0.05
2013-09-18,0.05,0.06,0.05,0.05,726000,0.05
2013-09-17,0.05,0.05,0.05,0.05,331700,0.05
2013-09-16,0.05,0.05,0.05,0.05,355000,0.05
2013-09-13,0.05,0.05,0.05,0.05,359400,0.05
2013-09-12,0.05,0.05,0.05,0.05,25000,0.05
2013-09-11,0.05,0.05,0.05,0.05,205000,0.05
2013-09-10,0.05,0.05,0.05,0.05,41900,0.05
2013-09-09,0.05,0.05,0.05,0.05,000,0.05
2013-09-06,0.05,0.05,0.05,0.05,160000,0.05
2013-09-05,0.05,0.05,0.05,0.05,13800,0.05
2013-09-04,0.05,0.05,0.05,0.05,161000,0.05
2013-09-03,0.05,0.05,0.05,0.05,62400,0.05
2013-09-02,0.05,0.05,0.05,0.05,178800,0.05
2013-08-30,0.05,0.05,0.05,0.05,85200,0.05
2013-08-29,0.05,0.05,0.05,0.05,215100,0.05
2013-08-28,0.05,0.05,0.05,0.05,40000,0.05
2013-08-27,0.05,0.05,0.05,0.05,69800,0.05
2013-08-26,0.05,0.05,0.05,0.05,1000,0.05
2013-08-23,0.05,0.05,0.05,0.05,187500,0.05
2013-08-22,0.05,0.05,0.05,0.05,32400,0.05
2013-08-21,0.06,0.06,0.05,0.05,420900,0.05
2013-08-20,0.06,0.06,0.06,0.06,84800,0.06
2013-08-19,0.06,0.06,0.06,0.06,50000,0.06
2013-08-16,0.06,0.06,0.06,0.06,86800,0.06
2013-08-15,0.06,0.06,0.06,0.06,34500,0.06
2013-08-14,0.06,0.06,0.06,0.06,162900,0.06
2013-08-13,0.06,0.06,0.06,0.06,911500,0.06
2013-08-12,0.06,0.06,0.06,0.06,227000,0.06
2013-08-09,0.06,0.06,0.05,0.05,133300,0.05
2013-08-08,0.06,0.06,0.06,0.06,52700,0.06
2013-08-07,0.06,0.06,0.06,0.06,345800,0.06
2013-08-06,0.06,0.06,0.06,0.06,261700,0.06
2013-08-05,0.06,0.06,0.06,0.06,14000,0.06
2013-08-02,0.06,0.06,0.06,0.06,37800,0.06
2013-08-01,0.06,0.06,0.06,0.06,82700,0.06
2013-07-31,0.06,0.06,0.06,0.06,350400,0.06
2013-07-30,0.06,0.06,0.06,0.06,100000,0.06
2013-07-29,0.06,0.06,0.06,0.06,122500,0.06
2013-07-26,0.06,0.06,0.06,0.06,000,0.06
2013-07-25,0.06,0.06,0.06,0.06,308800,0.06
2013-07-24,0.06,0.06,0.06,0.06,368300,0.06
2013-07-23,0.05,0.06,0.05,0.06,216800,0.06
2013-07-22,0.05,0.06,0.05,0.05,152500,0.05
2013-07-19,0.05,0.05,0.05,0.05,233900,0.05
2013-07-18,0.05,0.05,0.05,0.05,156100,0.05
2013-07-17,0.05,0.05,0.05,0.05,573800,0.05
2013-07-16,0.05,0.05,0.05,0.05,65500,0.05
2013-07-15,0.05,0.05,0.05,0.05,000,0.05
2013-07-12,0.06,0.06,0.05,0.05,49300,0.05
2013-07-11,0.06,0.06,0.06,0.06,111300,0.06
2013-07-10,0.05,0.06,0.05,0.06,68800,0.06
2013-07-09,0.05,0.06,0.05,0.05,249800,0.05
2013-07-08,0.06,0.06,0.05,0.05,205300,0.05
2013-07-05,0.06,0.06,0.06,0.06,45500,0.06
2013-07-04,0.06,0.06,0.06,0.06,28000,0.06
2013-07-03,0.06,0.06,0.06,0.06,96800,0.06
2013-07-02,0.06,0.06,0.06,0.06,122100,0.06
2013-07-01,0.06,0.07,0.06,0.06,977100,0.06
2013-06-28,0.05,0.05,0.04,0.05,920200,0.05
2013-06-27,0.04,0.04,0.04,0.04,258400,0.04
2013-06-26,0.04,0.04,0.04,0.04,625000,0.04
2013-06-25,0.04,0.04,0.03,0.04,929300,0.04
2013-06-24,0.04,0.04,0.04,0.04,483900,0.04
2013-06-21,0.05,0.05,0.04,0.04,446600,0.04
2013-06-20,0.05,0.05,0.05,0.05,123500,0.05
2013-06-19,0.05,0.05,0.05,0.05,135000,0.05
2013-06-18,0.05,0.05,0.05,0.05,66900,0.05
2013-06-17,0.05,0.05,0.05,0.05,353000,0.05
2013-06-14,0.05,0.05,0.05,0.05,238800,0.05
2013-06-13,0.05,0.05,0.05,0.05,605500,0.05
2013-06-12,0.06,0.06,0.05,0.05,2804800,0.05
