Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,5.20,5.23,5.20,5.23,1900,5.23
2013-09-19,5.05,5.05,5.05,5.05,1600,5.05
2013-09-18,5.05,5.05,5.05,5.05,000,5.05
2013-09-17,5.05,5.05,5.05,5.05,1300,5.05
2013-09-16,5.00,5.05,5.00,5.05,6000,5.05
2013-09-13,5.25,5.30,5.10,5.10,15300,5.10
2013-09-12,5.48,5.48,5.30,5.30,15000,5.30
2013-09-11,5.48,5.49,5.48,5.48,17700,5.48
2013-09-10,5.50,5.50,5.49,5.49,31500,5.49
2013-09-09,5.78,5.78,5.25,5.25,35900,5.25
2013-09-06,4.10,5.30,4.10,5.30,27900,5.30
2013-09-05,4.15,4.15,4.15,4.15,000,4.15
2013-09-04,4.15,4.15,4.15,4.15,000,4.15
2013-09-03,4.00,4.15,4.00,4.15,3300,4.15
2013-09-02,4.00,4.00,4.00,4.00,000,4.00
2013-08-30,3.85,4.00,3.85,4.00,6600,4.00
2013-08-29,3.95,3.95,3.95,3.95,000,3.95
2013-08-28,3.95,3.95,3.95,3.95,000,3.95
2013-08-27,3.95,3.95,3.95,3.95,000,3.95
2013-08-26,3.95,3.95,3.95,3.95,000,3.95
2013-08-23,3.95,3.95,3.95,3.95,000,3.95
2013-08-22,3.95,3.95,3.95,3.95,000,3.95
2013-08-21,3.91,3.95,3.91,3.95,10500,3.95
2013-08-20,3.92,3.92,3.92,3.92,400,3.92
2013-08-19,3.96,3.99,3.96,3.99,1400,3.99
2013-08-16,3.60,3.60,3.60,3.60,1000,3.60
2013-08-15,3.75,3.75,3.75,3.75,2000,3.75
2013-08-14,3.75,3.75,3.75,3.75,000,3.75
2013-08-13,3.65,3.75,3.65,3.75,1100,3.75
2013-08-12,3.60,3.60,3.20,3.45,7900,3.45
2013-08-09,4.30,4.30,4.00,4.00,4100,4.00
2013-08-08,4.64,4.64,4.64,4.64,000,4.64
2013-08-07,4.64,4.64,4.64,4.64,2000,4.64
2013-08-06,4.70,4.70,4.70,4.70,000,4.70
2013-08-05,4.65,4.70,4.60,4.70,4600,4.70
2013-08-02,4.65,4.65,4.65,4.65,2100,4.65
2013-08-01,4.70,4.70,4.30,4.65,11900,4.65
2013-07-31,4.70,4.80,4.70,4.70,38200,4.70
2013-07-30,4.40,4.77,4.40,4.50,13700,4.50
2013-07-29,4.25,4.40,4.25,4.40,16700,4.40
2013-07-26,4.00,4.00,4.00,4.00,1200,4.00
2013-07-25,3.55,4.03,3.55,4.00,10600,4.00
2013-07-24,3.50,3.50,3.50,3.50,4300,3.50
2013-07-23,3.42,3.50,3.42,3.45,4700,3.45
2013-07-19,3.18,3.30,3.18,3.30,7800,3.30
2013-07-18,3.10,3.10,3.10,3.10,700,3.10
2013-07-17,2.95,3.10,2.95,3.10,6300,3.10
2013-07-16,2.70,2.98,2.70,2.98,3400,2.98
2013-07-15,2.50,2.50,2.50,2.50,000,2.50
2013-07-12,2.65,2.65,2.50,2.50,6400,2.50
2013-07-11,2.30,2.30,2.30,2.30,000,2.30
2013-07-10,2.30,2.31,2.30,2.30,10000,2.30
2013-07-09,2.38,2.38,2.31,2.31,800,2.31
2013-07-08,2.20,2.20,2.20,2.20,000,2.20
2013-07-05,2.20,2.20,2.20,2.20,000,2.20
2013-07-04,2.20,2.20,2.20,2.20,000,2.20
2013-07-03,2.20,2.20,2.20,2.20,000,2.20
2013-07-02,2.20,2.20,2.20,2.20,000,2.20
2013-07-01,2.20,2.20,2.20,2.20,000,2.20
2013-06-28,2.20,2.20,2.20,2.20,12200,2.20
2013-06-27,2.19,2.20,2.19,2.20,1700,2.20
2013-06-26,2.20,2.20,2.20,2.20,2500,2.20
2013-06-25,2.20,2.23,2.20,2.23,300,2.23
2013-06-24,2.26,2.26,2.20,2.20,85900,2.20
2013-06-21,2.35,2.35,2.21,2.21,5300,2.21
2013-06-20,2.60,2.60,2.50,2.50,3500,2.50
2013-06-18,2.70,2.70,2.65,2.65,7300,2.65
2013-06-17,2.65,2.65,2.65,2.65,700,2.65
2013-06-14,2.65,2.65,2.62,2.62,8000,2.62
2013-06-13,2.75,2.75,2.60,2.62,12400,2.62
2013-06-12,2.89,2.89,2.89,2.89,000,2.89
2013-06-11,2.89,2.89,2.88,2.89,7100,2.89
2013-06-10,2.75,2.75,2.75,2.75,000,2.75
2013-06-07,2.60,2.75,2.60,2.75,16400,2.75
2013-06-06,2.75,2.75,2.61,2.61,5700,2.61
2013-06-05,2.86,2.86,2.86,2.86,1000,2.86
2013-06-04,2.90,2.90,2.90,2.90,400,2.90
2013-06-03,3.00,3.00,2.90,2.90,2300,2.90
2013-05-31,3.10,3.10,3.10,3.10,000,3.10
2013-05-30,3.10,3.10,3.10,3.10,3700,3.10
