Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,4.45,4.49,4.39,4.39,1738800,4.39
2013-09-19,4.48,4.51,4.47,4.49,2625200,4.49
2013-09-18,4.59,4.60,4.47,4.54,2502700,4.54
2013-09-17,4.56,4.59,4.55,4.58,1349200,4.58
2013-09-16,4.64,4.66,4.58,4.59,1019400,4.59
2013-09-13,4.59,4.65,4.59,4.60,2265500,4.60
2013-09-12,4.60,4.70,4.55,4.64,2312800,4.64
2013-09-11,4.61,4.62,4.58,4.58,1387000,4.58
2013-09-10,4.60,4.66,4.59,4.60,972800,4.60
2013-09-09,4.65,4.69,4.60,4.61,1415700,4.61
2013-09-06,4.68,4.70,4.57,4.64,1402900,4.64
2013-09-05,4.62,4.66,4.55,4.65,2108800,4.65
2013-09-04,4.59,4.62,4.51,4.60,1427300,4.60
2013-09-03,4.64,4.69,4.50,4.57,3467800,4.57
2013-09-02,4.56,4.61,4.53,4.61,940400,4.61
2013-08-30,4.37,4.56,4.37,4.52,1765900,4.52
2013-08-29,4.44,4.48,4.31,4.42,2289200,4.42
2013-08-28,4.43,4.46,4.32,4.40,1511900,4.40
2013-08-27,4.58,4.58,4.46,4.49,2010600,4.49
2013-08-26,4.46,4.61,4.43,4.59,1888200,4.59
2013-08-23,4.40,4.58,4.37,4.49,1728500,4.49
2013-08-22,4.23,4.46,4.20,4.42,3172100,4.42
2013-08-21,4.38,4.43,4.30,4.31,1748700,4.31
2013-08-20,4.23,4.36,4.23,4.28,369600,4.28
2013-08-19,4.34,4.41,4.30,4.32,496300,4.32
2013-08-16,4.29,4.36,4.24,4.31,947500,4.31
2013-08-15,4.38,4.38,4.28,4.29,626500,4.29
2013-08-14,4.27,4.39,4.27,4.39,1776700,4.39
2013-08-13,4.29,4.36,4.28,4.30,1267800,4.30
2013-08-12,4.30,4.34,4.24,4.33,1036900,4.33
2013-08-09,4.39,4.43,4.30,4.32,1165100,4.32
2013-08-08,4.35,4.49,4.35,4.42,2821100,4.42
2013-08-07,4.50,4.63,4.34,4.35,1795300,4.35
2013-08-06,4.49,4.53,4.37,4.52,1904800,4.52
2013-08-05,4.44,4.54,4.38,4.38,983800,4.38
2013-08-02,4.44,4.49,4.36,4.41,1298100,4.41
2013-08-01,4.32,4.40,4.32,4.39,1420600,4.39
2013-07-31,4.39,4.41,4.34,4.34,1250200,4.34
2013-07-30,4.26,4.32,4.16,4.31,2766100,4.31
2013-07-29,4.28,4.28,4.18,4.23,777300,4.23
2013-07-26,4.28,4.32,4.22,4.25,1534900,4.25
2013-07-25,4.31,4.33,4.26,4.31,2612300,4.31
2013-07-24,4.30,4.32,4.23,4.27,1689500,4.27
2013-07-23,4.35,4.37,4.21,4.30,1913600,4.30
2013-07-22,4.46,4.47,4.34,4.37,950400,4.37
2013-07-19,4.43,4.48,4.40,4.42,3299400,4.42
2013-07-18,4.42,4.47,4.36,4.39,1360800,4.39
2013-07-17,4.34,4.39,4.31,4.38,1024500,4.38
2013-07-16,4.30,4.39,4.25,4.34,6115300,4.34
2013-07-15,4.30,4.30,4.23,4.28,878000,4.28
2013-07-12,4.32,4.32,4.24,4.28,1515100,4.28
2013-07-11,4.28,4.31,4.19,4.25,2484100,4.25
2013-07-10,4.30,4.36,4.21,4.22,1245500,4.22
2013-07-09,4.30,4.34,4.27,4.30,1800000,4.30
2013-07-08,4.23,4.31,4.21,4.24,1318400,4.24
2013-07-05,4.30,4.35,4.28,4.29,947700,4.29
2013-07-04,4.39,4.39,4.28,4.29,1632400,4.29
