Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.34,1.34,1.30,1.30,26000,1.30
2013-09-19,1.29,1.34,1.29,1.34,57000,1.34
2013-09-18,1.34,1.34,1.34,1.34,46300,1.34
2013-09-17,1.34,1.34,1.29,1.29,23900,1.29
2013-09-16,1.31,1.34,1.31,1.34,60600,1.34
2013-09-13,1.32,1.32,1.30,1.30,18400,1.30
2013-09-12,1.33,1.33,1.33,1.33,15600,1.33
2013-09-11,1.34,1.34,1.33,1.33,43200,1.33
2013-09-10,1.34,1.34,1.32,1.32,16000,1.32
2013-09-09,1.32,1.34,1.32,1.34,11400,1.34
2013-09-05,1.29,1.29,1.28,1.28,35600,1.28
2013-09-04,1.30,1.30,1.29,1.29,14000,1.29
2013-09-03,1.29,1.32,1.29,1.29,20300,1.29
2013-09-02,1.30,1.30,1.29,1.29,21200,1.29
2013-08-30,1.30,1.30,1.30,1.30,84700,1.30
2013-08-29,1.16,1.16,1.16,1.16,000,1.16
2013-08-28,1.30,1.32,1.27,1.27,59300,1.27
2013-08-27,1.17,1.17,1.17,1.17,000,1.17
2013-08-26,1.31,1.33,1.30,1.30,49200,1.30
2013-08-23,1.30,1.30,1.30,1.30,39700,1.30
2013-08-22,1.30,1.30,1.30,1.30,41900,1.30
2013-08-21,1.29,1.30,1.29,1.29,48600,1.29
2013-08-20,1.26,1.28,1.26,1.28,20200,1.28
2013-08-19,1.27,1.27,1.25,1.26,74100,1.26
2013-08-16,1.25,1.25,1.25,1.25,5300,1.25
2013-08-15,1.25,1.26,1.25,1.26,36100,1.26
2013-08-14,1.25,1.25,1.25,1.25,45000,1.25
2013-08-13,1.26,1.27,1.25,1.25,24900,1.25
2013-08-12,1.26,1.26,1.26,1.26,15000,1.26
2013-08-09,1.26,1.26,1.25,1.25,71400,1.25
2013-08-08,1.28,1.28,1.28,1.28,2000,1.28
2013-08-07,1.28,1.28,1.25,1.26,42600,1.26
2013-08-06,1.29,1.29,1.25,1.29,27000,1.29
2013-08-05,1.26,1.29,1.26,1.29,40200,1.29
2013-08-02,1.25,1.27,1.24,1.24,87400,1.24
2013-08-01,1.27,1.27,1.26,1.26,6900,1.26
2013-07-31,1.25,1.27,1.25,1.27,34800,1.27
2013-07-30,1.26,1.27,1.26,1.26,15600,1.26
2013-07-29,1.25,1.26,1.24,1.26,46600,1.26
2013-07-26,1.16,1.16,1.16,1.16,000,1.16
2013-07-25,1.16,1.16,1.16,1.16,000,1.16
2013-07-24,1.27,1.28,1.26,1.26,66200,1.26
2013-07-23,1.27,1.28,1.27,1.28,35000,1.28
