Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,3.51,3.55,3.48,3.55,1042600,3.55
2013-09-19,3.49,3.55,3.47,3.50,1817400,3.50
2013-09-18,3.43,3.45,3.42,3.44,808600,3.44
2013-09-17,3.42,3.44,3.42,3.42,511200,3.42
2013-09-16,3.45,3.46,3.42,3.43,618300,3.43
2013-09-13,3.42,3.44,3.41,3.43,537000,3.43
2013-09-12,3.46,3.47,3.42,3.42,1926600,3.42
2013-09-11,3.48,3.50,3.45,3.47,1060200,3.47
2013-09-10,3.40,3.50,3.40,3.49,1934600,3.49
2013-09-09,3.37,3.42,3.37,3.39,328500,3.39
2013-09-06,3.39,3.40,3.37,3.37,434300,3.37
2013-09-05,3.40,3.41,3.38,3.38,305300,3.38
2013-09-04,3.41,3.42,3.39,3.39,430000,3.39
2013-09-03,3.39,3.42,3.39,3.40,588000,3.40
2013-09-02,3.39,3.41,3.39,3.39,467400,3.39
2013-08-30,3.40,3.42,3.38,3.38,1032900,3.38
2013-08-29,3.42,3.43,3.40,3.40,654300,3.40
2013-08-28,3.42,3.44,3.38,3.40,640100,3.40
2013-08-27,3.44,3.48,3.42,3.47,237300,3.47
2013-08-26,3.43,3.45,3.42,3.44,205500,3.44
2013-08-23,3.41,3.46,3.41,3.42,334400,3.42
2013-08-22,3.39,3.43,3.39,3.40,1892600,3.40
2013-08-21,3.49,3.49,3.42,3.43,262500,3.43
2013-08-20,3.40,3.45,3.40,3.45,276100,3.45
2013-08-19,3.42,3.42,3.39,3.42,339200,3.42
2013-08-16,3.43,3.43,3.39,3.41,534200,3.41
2013-08-15,3.44,3.46,3.42,3.44,277000,3.44
2013-08-14,3.45,3.50,3.44,3.46,597000,3.46
2013-08-13,3.42,3.45,3.42,3.45,384700,3.45
2013-08-12,3.42,3.45,3.40,3.43,246900,3.43
2013-08-09,3.42,3.44,3.40,3.43,499900,3.43
2013-08-08,3.40,3.45,3.40,3.43,397400,3.43
2013-08-07,3.41,3.44,3.40,3.40,537200,3.40
2013-08-06,3.40,3.42,3.37,3.42,661100,3.42
2013-08-05,3.44,3.44,3.39,3.43,1351100,3.43
2013-08-02,3.47,3.53,3.38,3.44,1033800,3.44
2013-08-01,3.46,3.49,3.43,3.43,2230000,3.43
2013-07-31,3.48,3.52,3.44,3.45,904400,3.45
2013-07-30,3.55,3.56,3.45,3.48,544400,3.48
2013-07-29,3.56,3.57,3.51,3.54,1065700,3.54
2013-07-26,3.43,3.54,3.43,3.52,986900,3.52
2013-07-25,3.45,3.47,3.37,3.43,1080300,3.43
2013-07-24,3.50,3.54,3.45,3.45,541200,3.45
2013-07-23,3.56,3.56,3.45,3.50,727100,3.50
2013-07-22,3.64,3.65,3.57,3.61,351600,3.61
2013-07-19,3.53,3.60,3.51,3.60,484000,3.60
2013-07-18,3.56,3.57,3.51,3.57,380700,3.57
2013-07-17,3.48,3.56,3.48,3.54,488500,3.54
2013-07-16,3.55,3.55,3.50,3.52,197600,3.52
2013-07-15,3.55,3.55,3.49,3.53,224400,3.53
2013-07-12,3.53,3.57,3.49,3.54,282300,3.54
2013-07-11,3.48,3.53,3.48,3.49,314000,3.49
2013-07-10,3.52,3.54,3.48,3.49,826400,3.49
2013-07-09,3.49,3.52,3.47,3.51,453100,3.51
2013-07-08,3.45,3.49,3.42,3.45,279700,3.45
2013-07-05,3.45,3.51,3.45,3.49,275700,3.49
2013-07-04,3.42,3.46,3.41,3.44,309100,3.44
2013-07-03,3.40,3.44,3.36,3.41,1595900,3.41
2013-07-02,3.42,3.48,3.40,3.43,719900,3.43
2013-07-01,3.44,3.45,3.33,3.38,495300,3.38
2013-06-28,3.38,3.50,3.36,3.48,601200,3.48
2013-06-27,3.36,3.42,3.26,3.40,648000,3.40
2013-06-26,3.27,3.36,3.24,3.31,616900,3.31
2013-06-25,3.21,3.26,3.18,3.24,1305500,3.24
2013-06-24,3.20,3.21,3.14,3.20,1942300,3.20
2013-06-21,3.38,3.42,3.30,3.34,1313400,3.24
2013-06-20,3.46,3.47,3.36,3.39,1177000,3.28
2013-06-19,3.40,3.50,3.39,3.50,522200,3.39
2013-06-18,3.35,3.43,3.32,3.40,651500,3.29
2013-06-17,3.39,3.40,3.32,3.40,632600,3.29
2013-06-14,3.27,3.39,3.27,3.39,639900,3.28
2013-06-13,3.33,3.35,3.26,3.29,984900,3.19
2013-06-12,3.43,3.43,3.35,3.38,825600,3.27
2013-06-11,3.44,3.46,3.41,3.43,675700,3.32
2013-06-10,3.44,3.44,3.44,3.44,000,3.33
2013-06-07,3.43,3.45,3.41,3.44,608900,3.33
2013-06-06,3.43,3.44,3.40,3.42,731400,3.31
2013-06-05,3.43,3.45,3.41,3.45,713000,3.34
2013-06-04,3.43,3.51,3.40,3.49,779500,3.38
2013-06-03,3.48,3.51,3.46,3.48,614500,3.37
2013-05-31,3.42,3.55,3.42,3.48,770300,3.37
2013-05-30,3.54,3.55,3.42,3.42,1004500,3.31
2013-05-29,3.47,3.57,3.45,3.54,1421200,3.43
2013-05-28,3.40,3.50,3.31,3.50,6297400,3.39
2013-05-27,3.58,3.60,3.52,3.53,282800,3.42
2013-05-24,3.60,3.60,3.49,3.56,752900,3.45
2013-05-23,3.64,3.64,3.56,3.59,1664000,3.48
2013-05-22,3.63,3.64,3.60,3.61,1017800,3.50
2013-05-21,3.64,3.64,3.57,3.62,1015200,3.51
2013-05-20,3.53,3.64,3.53,3.63,755700,3.52
2013-05-17,3.64,3.64,3.54,3.55,615100,3.44
2013-05-16,3.63,3.64,3.59,3.62,665900,3.51
2013-05-15,3.69,3.69,3.59,3.63,407500,3.52
2013-05-14,3.60,3.68,3.60,3.65,576700,3.54
2013-05-13,3.66,3.72,3.60,3.60,676200,3.49
2013-05-10,3.64,3.68,3.62,3.63,268200,3.52
2013-05-09,3.63,3.65,3.59,3.64,509900,3.53
2013-05-08,3.61,3.65,3.60,3.63,313400,3.52
2013-05-07,3.70,3.70,3.59,3.61,386400,3.50
2013-05-06,3.73,3.73,3.67,3.69,789800,3.57
2013-05-03,3.73,3.73,3.68,3.70,695500,3.58
2013-05-02,3.70,3.74,3.64,3.70,660000,3.58
2013-05-01,3.69,3.75,3.69,3.70,404900,3.58
2013-04-30,3.68,3.76,3.64,3.75,824500,3.63
2013-04-29,3.70,3.70,3.63,3.70,784000,3.58
2013-04-26,3.78,3.78,3.64,3.70,921500,3.58
