Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.36,0.37,0.36,0.37,109700,0.35
2013-09-19,0.37,0.37,0.36,0.37,114300,0.35
2013-09-18,0.37,0.38,0.36,0.37,401600,0.35
2013-09-17,0.36,0.37,0.35,0.35,403600,0.34
2013-09-16,0.36,0.37,0.36,0.37,431900,0.35
2013-09-13,0.35,0.36,0.35,0.36,172200,0.34
2013-09-12,0.35,0.38,0.35,0.35,1698600,0.34
2013-09-11,0.34,0.34,0.34,0.34,905000,0.33
2013-09-10,0.32,0.34,0.32,0.34,649300,0.32
2013-09-09,0.32,0.32,0.32,0.32,575500,0.31
2013-09-06,0.33,0.33,0.32,0.32,896900,0.31
2013-09-05,0.33,0.33,0.32,0.32,880800,0.31
2013-09-04,0.34,0.34,0.33,0.33,257300,0.32
2013-09-03,0.33,0.34,0.32,0.34,382100,0.32
2013-09-02,0.32,0.32,0.32,0.32,44600,0.31
2013-08-30,0.33,0.33,0.32,0.32,274400,0.31
2013-08-29,0.34,0.34,0.32,0.34,716900,0.32
2013-08-28,0.34,0.35,0.34,0.35,43800,0.34
2013-08-27,0.35,0.36,0.34,0.34,507700,0.33
2013-08-26,0.35,0.35,0.35,0.35,59700,0.34
2013-08-23,0.34,0.35,0.34,0.34,215500,0.33
2013-08-22,0.34,0.34,0.33,0.34,139500,0.32
2013-08-21,0.34,0.34,0.34,0.34,65000,0.33
2013-08-20,0.35,0.35,0.34,0.34,250200,0.33
2013-08-19,0.34,0.35,0.33,0.34,472500,0.33
2013-08-16,0.31,0.34,0.31,0.32,234700,0.31
2013-08-15,0.32,0.32,0.31,0.32,73100,0.31
2013-08-14,0.32,0.32,0.31,0.31,45100,0.30
2013-08-13,0.32,0.32,0.32,0.32,000,0.31
2013-08-12,0.32,0.33,0.32,0.32,122000,0.31
2013-08-09,0.31,0.33,0.31,0.31,467400,0.30
2013-08-08,0.31,0.31,0.31,0.31,2572300,0.29
2013-08-07,0.31,0.31,0.31,0.31,98200,0.29
2013-08-06,0.32,0.32,0.29,0.31,462400,0.30
2013-08-05,0.32,0.32,0.31,0.32,394300,0.31
2013-08-02,0.32,0.32,0.31,0.32,148300,0.31
2013-08-01,0.33,0.33,0.32,0.33,517700,0.32
2013-07-31,0.33,0.33,0.32,0.33,315800,0.32
2013-07-30,0.33,0.34,0.32,0.33,315400,0.32
2013-07-29,0.34,0.34,0.33,0.34,252000,0.32
2013-07-26,0.33,0.34,0.33,0.34,39900,0.32
2013-07-25,0.34,0.34,0.33,0.33,200000,0.32
2013-07-24,0.35,0.35,0.34,0.35,97400,0.34
2013-07-23,0.34,0.35,0.34,0.35,126600,0.34
2013-07-22,0.34,0.34,0.34,0.34,30400,0.33
2013-07-19,0.34,0.34,0.34,0.34,94400,0.33
2013-07-18,0.34,0.34,0.33,0.34,632800,0.32
2013-07-17,0.34,0.34,0.34,0.34,93600,0.32
2013-07-16,0.34,0.35,0.34,0.34,288300,0.33
2013-07-15,0.34,0.34,0.34,0.34,21100,0.33
2013-07-12,0.34,0.34,0.34,0.34,000,0.32
2013-07-11,0.33,0.34,0.33,0.34,23800,0.32
2013-07-10,0.33,0.34,0.33,0.33,396200,0.32
2013-07-09,0.32,0.32,0.32,0.32,1200,0.31
2013-07-08,0.33,0.34,0.32,0.32,127500,0.31
2013-07-05,0.29,0.34,0.29,0.32,1049700,0.31
2013-07-04,0.28,0.29,0.28,0.28,511800,0.27
2013-07-03,0.28,0.29,0.28,0.28,1604400,0.27
2013-07-02,0.28,0.28,0.28,0.28,1865100,0.27
2013-07-01,0.28,0.28,0.28,0.28,171000,0.26
2013-06-28,0.28,0.29,0.28,0.28,1152900,0.27
2013-06-27,0.28,0.28,0.27,0.28,586300,0.27
2013-06-26,0.26,0.28,0.26,0.27,97900,0.26
2013-06-25,0.26,0.28,0.26,0.28,323500,0.26
2013-06-24,0.27,0.27,0.26,0.26,55300,0.25
2013-06-21,0.27,0.28,0.26,0.27,119000,0.26
2013-06-20,0.27,0.27,0.27,0.27,117700,0.26
2013-06-19,0.28,0.28,0.27,0.28,234500,0.26
2013-06-18,0.28,0.28,0.28,0.28,884800,0.27
2013-06-17,0.28,0.28,0.28,0.28,1800,0.26
2013-06-14,0.28,0.28,0.28,0.28,222400,0.26
2013-06-13,0.28,0.28,0.28,0.28,405700,0.27
2013-06-12,0.27,0.28,0.27,0.28,2298600,0.27
2013-06-11,0.28,0.28,0.28,0.28,223600,0.26
2013-06-10,0.28,0.28,0.28,0.28,000,0.27
2013-06-07,0.29,0.29,0.28,0.28,107600,0.27
2013-06-06,0.28,0.29,0.28,0.28,203600,0.27
2013-06-05,0.30,0.30,0.29,0.29,599800,0.28
2013-06-04,0.29,0.30,0.29,0.30,655400,0.29
2013-06-03,0.29,0.29,0.28,0.29,9800,0.28
2013-05-31,0.29,0.30,0.29,0.29,55600,0.28
2013-05-30,0.29,0.30,0.29,0.29,209000,0.28
2013-05-29,0.30,0.30,0.29,0.29,4593500,0.28
2013-05-28,0.29,0.29,0.29,0.29,421900,0.28
2013-05-27,0.29,0.29,0.28,0.29,311700,0.28
2013-05-24,0.30,0.31,0.29,0.30,363700,0.29
2013-05-23,0.30,0.30,0.29,0.29,229200,0.28
2013-05-22,0.29,0.31,0.29,0.30,56000,0.29
2013-05-21,0.30,0.30,0.28,0.29,723300,0.28
2013-05-20,0.31,0.31,0.28,0.30,1162700,0.29
2013-05-17,0.31,0.31,0.31,0.31,4375400,0.29
2013-05-16,0.32,0.32,0.31,0.31,747400,0.30
2013-05-15,0.31,0.32,0.31,0.32,420200,0.31
2013-05-14,0.31,0.31,0.31,0.31,157200,0.30
2013-05-13,0.31,0.31,0.31,0.31,141400,0.30
2013-05-10,0.32,0.32,0.31,0.31,80600,0.30
2013-05-09,0.32,0.32,0.31,0.32,92000,0.31
2013-05-08,0.32,0.32,0.31,0.32,93100,0.31
2013-05-07,0.31,0.32,0.31,0.32,268600,0.31
2013-05-06,0.32,0.32,0.31,0.31,229900,0.30
2013-05-03,0.31,0.32,0.31,0.32,221500,0.31
2013-05-02,0.32,0.33,0.32,0.32,113400,0.31
2013-05-01,0.34,0.34,0.32,0.32,231200,0.31
2013-04-30,0.34,0.34,0.33,0.34,226100,0.33
2013-04-29,0.34,0.34,0.34,0.34,87100,0.33
2013-04-26,0.34,0.34,0.34,0.34,84300,0.33
2013-04-25,0.34,0.34,0.34,0.34,000,0.33
2013-04-24,0.34,0.36,0.34,0.34,205800,0.33
2013-04-23,0.34,0.36,0.33,0.36,287600,0.34
2013-04-22,0.34,0.35,0.33,0.35,495000,0.34
2013-04-19,0.35,0.36,0.35,0.36,28700,0.34
2013-04-18,0.36,0.36,0.36,0.36,000,0.34
2013-04-17,0.35,0.36,0.35,0.36,164100,0.34
2013-04-16,0.35,0.36,0.34,0.36,134900,0.34
2013-04-15,0.37,0.37,0.37,0.37,15200,0.35
2013-04-12,0.34,0.37,0.34,0.37,494100,0.35
2013-04-11,0.34,0.35,0.34,0.34,1007300,0.33
2013-04-10,0.32,0.34,0.32,0.34,898700,0.33
2013-04-09,0.32,0.34,0.32,0.32,187700,0.31
2013-04-08,0.31,0.32,0.31,0.31,6246400,0.30
2013-04-05,0.31,0.32,0.30,0.32,2878000,0.31
2013-04-04,0.32,0.32,0.31,0.31,481700,0.30
2013-04-03,0.33,0.34,0.32,0.33,285300,0.32
2013-04-02,0.35,0.35,0.34,0.34,818700,0.33
2013-04-01,0.35,0.35,0.35,0.35,000,0.34
2013-03-29,0.35,0.35,0.35,0.35,000,0.34
2013-03-28,0.36,0.36,0.30,0.35,1101600,0.34
2013-03-27,0.37,0.37,0.36,0.37,25500,0.35
2013-03-26,0.37,0.37,0.36,0.37,41400,0.35
2013-03-25,0.37,0.37,0.37,0.37,82400,0.35
2013-03-22,0.37,0.37,0.37,0.37,26600,0.35
2013-03-21,0.37,0.37,0.37,0.37,379600,0.35
2013-03-20,0.37,0.38,0.37,0.38,440600,0.36
2013-03-19,0.38,0.38,0.37,0.37,71100,0.35
2013-03-18,0.38,0.38,0.37,0.38,366400,0.36
2013-03-15,0.38,0.38,0.38,0.38,180100,0.36
2013-03-14,0.38,0.38,0.38,0.38,55200,0.36
2013-03-13,0.38,0.38,0.38,0.38,358500,0.36
2013-03-12,0.37,0.38,0.37,0.38,59300,0.36
2013-03-11,0.38,0.38,0.37,0.37,116500,0.35
2013-03-08,0.38,0.38,0.38,0.38,389600,0.36
2013-03-07,0.38,0.38,0.37,0.38,798400,0.36
2013-03-06,0.38,0.38,0.37,0.38,472700,0.36
2013-03-05,0.38,0.38,0.38,0.38,136100,0.36
2013-03-04,0.39,0.39,0.38,0.38,986900,0.37
2013-03-01,0.40,0.40,0.40,0.40,71500,0.38
2013-02-28,0.39,0.40,0.38,0.40,240000,0.38
2013-02-27,0.40,0.40,0.37,0.40,653500,0.38
2013-02-26,0.40,0.40,0.39,0.40,178700,0.38
2013-02-25,0.38,0.40,0.38,0.40,370600,0.38
2013-02-22,0.42,0.42,0.35,0.38,1453100,0.36
2013-02-21,0.41,0.42,0.41,0.41,644800,0.40
2013-02-20,0.41,0.42,0.41,0.42,433800,0.40
2013-02-19,0.41,0.42,0.41,0.41,443400,0.40
2013-02-18,0.42,0.43,0.41,0.42,593100,0.40
2013-02-15,0.42,0.43,0.41,0.42,848700,0.40
2013-02-14,0.42,0.43,0.41,0.41,722300,0.40
2013-02-13,0.41,0.43,0.41,0.41,1629900,0.40
2013-02-12,0.41,0.41,0.40,0.41,445200,0.39
2013-02-11,0.39,0.42,0.39,0.40,2344300,0.38
2013-02-08,0.38,0.38,0.38,0.38,199600,0.37
2013-02-07,0.39,0.39,0.38,0.38,45000,0.37
2013-02-06,0.38,0.39,0.38,0.39,127700,0.37
2013-02-05,0.40,0.40,0.38,0.38,128900,0.36
2013-02-04,0.38,0.39,0.38,0.39,208600,0.37
2013-02-01,0.38,0.39,0.38,0.39,315500,0.37
2013-01-31,0.39,0.39,0.38,0.38,324400,0.37
2013-01-30,0.38,0.39,0.38,0.38,462000,0.37
2013-01-29,0.38,0.39,0.38,0.38,397200,0.36
2013-01-28,0.38,0.38,0.38,0.38,000,0.37
2013-01-25,0.38,0.39,0.38,0.38,170400,0.37
2013-01-24,0.38,0.39,0.38,0.39,285500,0.37
2013-01-23,0.38,0.40,0.38,0.40,1817800,0.38
2013-01-22,0.38,0.38,0.38,0.38,181300,0.36
2013-01-21,0.37,0.38,0.37,0.38,54400,0.36
2013-01-18,0.38,0.38,0.37,0.38,127800,0.36
2013-01-17,0.36,0.38,0.35,0.38,187800,0.36
2013-01-16,0.37,0.37,0.37,0.37,000,0.35
2013-01-15,0.38,0.38,0.37,0.37,85000,0.35
2013-01-14,0.38,0.38,0.38,0.38,218200,0.36
2013-01-11,0.37,0.38,0.37,0.38,139200,0.36
2013-01-10,0.38,0.38,0.37,0.38,72300,0.36
2013-01-09,0.37,0.38,0.37,0.38,37900,0.36
2013-01-08,0.37,0.38,0.37,0.38,129000,0.36
2013-01-07,0.38,0.38,0.37,0.38,191400,0.36
2013-01-04,0.38,0.38,0.38,0.38,000,0.37
2013-01-03,0.38,0.38,0.38,0.38,260400,0.37
2013-01-02,0.38,0.38,0.38,0.38,449800,0.36
2013-01-01,0.38,0.38,0.38,0.38,000,0.36
2012-12-31,0.38,0.38,0.38,0.38,21400,0.36
2012-12-28,0.38,0.38,0.37,0.38,111300,0.36
2012-12-27,0.38,0.39,0.38,0.38,97100,0.36
2012-12-26,0.38,0.38,0.38,0.38,000,0.37
2012-12-25,0.38,0.38,0.38,0.38,000,0.37
2012-12-24,0.38,0.39,0.38,0.38,179200,0.37
2012-12-21,0.38,0.38,0.38,0.38,591300,0.36
2012-12-20,0.38,0.38,0.37,0.38,394100,0.36
2012-12-19,0.38,0.38,0.38,0.38,241200,0.36
2012-12-18,0.38,0.38,0.38,0.38,115900,0.37
2012-12-17,0.37,0.37,0.36,0.37,137800,0.35
2012-12-14,0.38,0.38,0.34,0.37,254300,0.35
2012-12-13,0.38,0.39,0.38,0.38,47700,0.37
2012-12-12,0.39,0.39,0.38,0.38,28900,0.37
2012-12-11,0.37,0.39,0.37,0.39,278700,0.37
2012-12-10,0.38,0.39,0.36,0.37,166600,0.35
2012-12-07,0.39,0.40,0.38,0.39,269400,0.37
2012-12-06,0.40,0.40,0.38,0.40,611400,0.38
2012-12-05,0.38,0.40,0.38,0.40,1415500,0.38
2012-12-04,0.37,0.38,0.37,0.38,676000,0.36
2012-12-03,0.36,0.37,0.35,0.37,759000,0.35
2012-11-30,0.35,0.35,0.34,0.35,172200,0.34
2012-11-29,0.34,0.35,0.34,0.35,496800,0.34
2012-11-28,0.32,0.35,0.32,0.34,405800,0.33
2012-11-27,0.32,0.33,0.31,0.32,242700,0.31
2012-11-26,0.34,0.34,0.32,0.32,262500,0.31
2012-11-23,0.32,0.34,0.32,0.34,165500,0.33
2012-11-22,0.33,0.33,0.32,0.32,150000,0.31
2012-11-21,0.33,0.34,0.33,0.34,125800,0.32
2012-11-20,0.34,0.34,0.33,0.34,272200,0.33
2012-11-19,0.34,0.34,0.33,0.34,261500,0.33
2012-11-16,0.34,0.34,0.33,0.34,447800,0.32
2012-11-15,0.34,0.35,0.34,0.35,30700,0.34
2012-11-14,0.34,0.35,0.34,0.35,153700,0.34
2012-11-13,0.35,0.35,0.33,0.34,365100,0.33
2012-11-12,0.35,0.36,0.34,0.35,211000,0.34
2012-11-09,0.33,0.35,0.33,0.35,1674400,0.34
2012-11-08,0.32,0.32,0.32,0.32,000,0.31
2012-11-07,0.34,0.35,0.31,0.32,865100,0.31
2012-11-06,0.34,0.35,0.34,0.34,331200,0.33
2012-11-05,0.34,0.34,0.33,0.34,703000,0.32
2012-11-02,0.32,0.34,0.31,0.34,956000,0.33
2012-11-01,0.29,0.32,0.28,0.32,289100,0.31
2012-10-31,0.28,0.30,0.28,0.29,364400,0.28
2012-10-30,0.27,0.28,0.27,0.28,365300,0.26
2012-10-29,0.27,0.27,0.26,0.27,193900,0.26
2012-10-26,0.27,0.28,0.27,0.27,156900,0.26
2012-10-25,0.26,0.27,0.26,0.26,140100,0.25
2012-10-24,0.27,0.28,0.26,0.27,415500,0.26
2012-10-23,0.28,0.28,0.26,0.27,510000,0.26
2012-10-22,0.28,0.28,0.27,0.28,200400,0.26
2012-10-19,0.29,0.30,0.27,0.28,3997100,0.27
2012-10-18,0.26,0.28,0.26,0.28,20115500,0.27
2012-10-17,0.25,0.28,0.24,0.27,3240300,0.26
2012-10-16,0.24,0.24,0.23,0.24,895000,0.23
2012-10-15,0.23,0.23,0.22,0.23,1054300,0.22
2012-10-12,0.22,0.23,0.22,0.23,2077500,0.22
2012-10-11,0.22,0.22,0.22,0.22,87000,0.22
2012-10-10,0.22,0.22,0.22,0.22,395200,0.22
2012-10-09,0.21,0.22,0.21,0.22,435300,0.22
2012-10-08,0.23,0.23,0.22,0.23,431100,0.20
2012-10-05,0.22,0.22,0.22,0.22,101400,0.20
2012-10-04,0.23,0.23,0.22,0.22,364900,0.20
2012-10-03,0.25,0.25,0.23,0.24,414000,0.21
2012-10-02,0.24,0.24,0.23,0.24,413600,0.21
2012-10-01,0.22,0.26,0.22,0.23,288100,0.20
2012-09-28,0.22,0.23,0.21,0.22,1153600,0.19
2012-09-27,0.21,0.21,0.20,0.20,202500,0.18
2012-09-26,0.21,0.21,0.21,0.21,235000,0.19
2012-09-25,0.21,0.22,0.20,0.20,2125600,0.18
2012-09-24,0.20,0.21,0.20,0.20,245000,0.18
2012-09-21,0.20,0.20,0.20,0.20,57500,0.18
2012-09-20,0.20,0.20,0.20,0.20,37500,0.18
2012-09-19,0.20,0.20,0.20,0.20,100000,0.18
2012-09-18,0.20,0.20,0.20,0.20,160000,0.18
2012-09-17,0.20,0.20,0.20,0.20,35700,0.18
2012-09-14,0.20,0.20,0.20,0.20,35000,0.18
2012-09-13,0.20,0.20,0.20,0.20,156100,0.18
2012-09-12,0.20,0.20,0.20,0.20,231100,0.18
2012-09-11,0.20,0.20,0.20,0.20,68800,0.18
2012-09-10,0.20,0.20,0.20,0.20,30000,0.18
2012-09-07,0.20,0.20,0.20,0.20,000,0.18
2012-09-06,0.20,0.20,0.20,0.20,125000,0.18
2012-09-05,0.19,0.19,0.19,0.19,260000,0.17
2012-09-04,0.20,0.21,0.19,0.19,125100,0.17
2012-09-03,0.19,0.19,0.19,0.19,000,0.17
2012-08-31,0.19,0.20,0.19,0.19,378500,0.17
2012-08-30,0.19,0.19,0.19,0.19,60000,0.17
2012-08-29,0.20,0.20,0.20,0.20,000,0.18
2012-08-28,0.20,0.20,0.20,0.20,163900,0.18
2012-08-27,0.20,0.20,0.20,0.20,193600,0.18
2012-08-24,0.20,0.20,0.20,0.20,118600,0.18
2012-08-23,0.19,0.19,0.17,0.19,1998900,0.17
2012-08-22,0.20,0.20,0.19,0.20,689700,0.18
2012-08-21,0.19,0.20,0.19,0.20,984900,0.18
2012-08-20,0.19,0.19,0.19,0.19,178900,0.17
2012-08-17,0.19,0.19,0.19,0.19,698900,0.17
2012-08-16,0.18,0.18,0.18,0.18,70100,0.16
2012-08-15,0.17,0.17,0.17,0.17,4500,0.15
2012-08-14,0.18,0.18,0.17,0.17,245400,0.15
2012-08-13,0.18,0.19,0.18,0.19,683700,0.16
2012-08-10,0.17,0.18,0.17,0.18,2505000,0.16
2012-08-09,0.15,0.16,0.15,0.16,1927600,0.14
2012-08-08,0.15,0.15,0.15,0.15,000,0.13
2012-08-07,0.15,0.15,0.15,0.15,63300,0.13
2012-08-06,0.15,0.15,0.15,0.15,113500,0.13
2012-08-03,0.15,0.15,0.15,0.15,000,0.13
2012-08-02,0.15,0.15,0.15,0.15,400000,0.13
2012-08-01,0.15,0.15,0.15,0.15,000,0.13
2012-07-31,0.15,0.15,0.15,0.15,70000,0.13
2012-07-30,0.14,0.14,0.14,0.14,37000,0.13
2012-07-27,0.15,0.15,0.15,0.15,143900,0.13
2012-07-26,0.14,0.14,0.14,0.14,138000,0.13
2012-07-25,0.14,0.14,0.14,0.14,000,0.13
2012-07-24,0.14,0.14,0.14,0.14,440000,0.13
2012-07-23,0.15,0.15,0.15,0.15,102200,0.13
2012-07-20,0.15,0.15,0.15,0.15,11000,0.13
2012-07-19,0.15,0.15,0.15,0.15,20000,0.13
2012-07-18,0.14,0.14,0.14,0.14,000,0.13
2012-07-17,0.14,0.14,0.14,0.14,000,0.13
2012-07-16,0.15,0.15,0.14,0.14,492500,0.13
2012-07-13,0.14,0.15,0.14,0.15,90000,0.13
2012-07-12,0.14,0.14,0.14,0.14,646200,0.12
2012-07-11,0.14,0.14,0.14,0.14,493800,0.12
2012-07-10,0.14,0.14,0.14,0.14,981600,0.12
2012-07-09,0.14,0.14,0.14,0.14,31200,0.13
2012-07-06,0.14,0.14,0.14,0.14,2700,0.12
2012-07-05,0.14,0.14,0.14,0.14,000,0.13
2012-07-04,0.14,0.14,0.14,0.14,11000,0.13
2012-07-03,0.14,0.14,0.14,0.14,570000,0.12
2012-07-02,0.14,0.14,0.14,0.14,000,0.13
2012-06-29,0.14,0.14,0.14,0.14,000,0.13
2012-06-28,0.14,0.14,0.14,0.14,000,0.13
2012-06-27,0.14,0.14,0.14,0.14,81700,0.13
2012-06-26,0.14,0.14,0.14,0.14,6000,0.12
2012-06-25,0.14,0.14,0.14,0.14,000,0.13
2012-06-22,0.14,0.14,0.14,0.14,000,0.13
2012-06-21,0.14,0.14,0.14,0.14,7000,0.13
2012-06-20,0.14,0.14,0.14,0.14,000,0.12
2012-06-19,0.14,0.14,0.14,0.14,000,0.12
2012-06-18,0.14,0.14,0.14,0.14,000,0.12
2012-06-15,0.14,0.14,0.14,0.14,100000,0.12
2012-06-14,0.14,0.14,0.14,0.14,000,0.12
2012-06-13,0.14,0.14,0.14,0.14,40000,0.12
2012-06-12,0.14,0.14,0.14,0.14,000,0.13
2012-06-11,0.14,0.14,0.14,0.14,000,0.13
2012-06-08,0.14,0.14,0.14,0.14,000,0.13
2012-06-07,0.14,0.14,0.14,0.14,400000,0.13
2012-06-06,0.14,0.14,0.14,0.14,231100,0.13
2012-06-05,0.14,0.14,0.14,0.14,280000,0.13
2012-06-04,0.14,0.14,0.14,0.14,507000,0.12
2012-06-01,0.14,0.14,0.14,0.14,78500,0.13
2012-05-31,0.14,0.14,0.14,0.14,607000,0.13
2012-05-30,0.14,0.14,0.14,0.14,000,0.12
2012-05-29,0.14,0.14,0.14,0.14,000,0.12
2012-05-28,0.14,0.14,0.14,0.14,943100,0.12
2012-05-25,0.14,0.14,0.14,0.14,36100,0.12
2012-05-24,0.14,0.14,0.14,0.14,51000,0.12
2012-05-23,0.14,0.14,0.14,0.14,000,0.12
2012-05-22,0.14,0.14,0.14,0.14,212000,0.12
2012-05-21,0.14,0.14,0.14,0.14,446200,0.12
2012-05-18,0.14,0.14,0.14,0.14,51500,0.12
2012-05-17,0.14,0.14,0.14,0.14,5000,0.12
2012-05-16,0.14,0.14,0.14,0.14,000,0.12
2012-05-15,0.14,0.14,0.14,0.14,000,0.12
2012-05-14,0.14,0.14,0.14,0.14,65100,0.12
2012-05-11,0.14,0.14,0.14,0.14,000,0.12
2012-05-10,0.14,0.14,0.14,0.14,340000,0.12
2012-05-09,0.14,0.14,0.14,0.14,378800,0.13
2012-05-08,0.14,0.14,0.14,0.14,44400,0.12
2012-05-07,0.14,0.14,0.14,0.14,273300,0.12
2012-05-04,0.14,0.14,0.14,0.14,65000,0.12
2012-05-03,0.14,0.14,0.14,0.14,5000,0.13
2012-05-02,0.14,0.14,0.14,0.14,264000,0.12
2012-05-01,0.14,0.14,0.14,0.14,000,0.13
2012-04-30,0.15,0.15,0.14,0.14,36500,0.13
2012-04-27,0.15,0.16,0.15,0.15,983300,0.13
2012-04-26,0.14,0.14,0.14,0.14,112600,0.13
2012-04-25,0.14,0.14,0.14,0.14,000,0.13
2012-04-24,0.14,0.14,0.14,0.14,231000,0.13
2012-04-23,0.14,0.15,0.14,0.14,132500,0.13
2012-04-20,0.14,0.14,0.14,0.14,48200,0.13
2012-04-19,0.14,0.14,0.14,0.14,118000,0.13
2012-04-18,0.14,0.14,0.14,0.14,000,0.13
2012-04-17,0.14,0.14,0.14,0.14,180000,0.13
2012-04-16,0.14,0.14,0.14,0.14,70000,0.13
2012-04-13,0.14,0.14,0.14,0.14,70000,0.13
2012-04-12,0.14,0.14,0.14,0.14,10200,0.13
2012-04-11,0.14,0.14,0.14,0.14,000,0.12
2012-04-10,0.14,0.14,0.14,0.14,70000,0.12
2012-04-09,0.15,0.15,0.15,0.15,000,0.13
2012-04-06,0.15,0.15,0.15,0.15,000,0.13
2012-04-05,0.15,0.15,0.15,0.15,000,0.13
2012-04-04,0.15,0.15,0.15,0.15,000,0.13
2012-04-03,0.15,0.15,0.15,0.15,340000,0.13
2012-04-02,0.15,0.15,0.15,0.15,000,0.13
2012-03-30,0.15,0.15,0.14,0.15,294500,0.13
2012-03-29,0.15,0.15,0.15,0.15,31500,0.13
2012-03-28,0.15,0.15,0.15,0.15,1693200,0.13
2012-03-27,0.16,0.16,0.15,0.15,51200,0.13
2012-03-26,0.15,0.16,0.15,0.16,71000,0.14
2012-03-23,0.14,0.15,0.14,0.15,473700,0.13
2012-03-22,0.14,0.14,0.14,0.14,44200,0.12
2012-03-21,0.14,0.15,0.14,0.15,236000,0.13
2012-03-20,0.14,0.14,0.14,0.14,177500,0.12
2012-03-19,0.14,0.14,0.14,0.14,225000,0.13
2012-03-16,0.14,0.14,0.14,0.14,126400,0.12
2012-03-15,0.14,0.14,0.14,0.14,130000,0.12
2012-03-14,0.13,0.13,0.13,0.13,000,0.12
2012-03-13,0.14,0.14,0.13,0.13,746000,0.12
2012-03-12,0.15,0.16,0.14,0.14,34500,0.13
2012-03-09,0.15,0.15,0.15,0.15,000,0.13
