Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,10.65,10.65,10.35,10.44,6165000,10.44
2013-09-19,10.70,10.83,10.55,10.60,8699500,10.60
2013-09-18,10.88,10.94,10.73,10.80,3564400,10.80
2013-09-17,10.96,11.03,10.92,10.95,2925900,10.95
2013-09-16,11.03,11.09,10.93,10.93,3174900,10.93
2013-09-13,10.81,10.94,10.77,10.92,5200900,10.92
2013-09-12,10.77,10.81,10.71,10.76,4621500,10.76
2013-09-11,10.70,10.73,10.67,10.70,3037200,10.70
2013-09-10,10.68,10.73,10.62,10.62,3533300,10.62
2013-09-09,10.66,10.69,10.56,10.61,2652900,10.61
2013-09-06,10.65,10.70,10.53,10.62,4260800,10.62
2013-09-05,10.70,10.70,10.59,10.64,3778100,10.64
2013-09-04,10.50,10.62,10.48,10.50,5725500,10.50
2013-09-03,10.40,10.53,10.38,10.50,10644400,10.50
2013-09-02,10.29,10.35,10.24,10.34,4741300,10.34
2013-08-30,10.30,10.45,10.28,10.43,10745500,10.23
2013-08-29,10.46,10.47,10.28,10.38,6002900,10.18
2013-08-28,10.41,10.53,10.38,10.38,5146600,10.18
2013-08-27,10.52,10.60,10.52,10.56,4651400,10.35
2013-08-26,10.58,10.64,10.43,10.51,7055600,10.30
2013-08-23,10.79,10.79,10.55,10.60,4046800,10.39
2013-08-22,10.73,10.77,10.53,10.73,4446400,10.52
2013-08-21,10.70,10.84,10.61,10.76,3356700,10.55
2013-08-20,10.42,10.65,10.10,10.61,4975600,10.40
2013-08-19,10.70,10.76,10.33,10.49,4175500,10.28
2013-08-16,10.75,10.75,10.64,10.68,1921600,10.47
2013-08-15,10.82,10.84,10.66,10.74,3797000,10.53
2013-08-14,10.85,10.89,10.73,10.79,2854900,10.58
2013-08-13,10.69,10.74,10.61,10.73,2748700,10.52
2013-08-12,10.50,10.68,10.46,10.64,3365700,10.43
2013-08-09,10.60,10.63,10.44,10.52,3312900,10.31
2013-08-08,10.60,10.70,10.52,10.56,4595800,10.35
2013-08-07,10.89,10.90,10.49,10.57,8568500,10.36
2013-08-06,10.86,10.96,10.83,10.89,4388900,10.68
2013-08-05,10.89,10.94,10.81,10.85,2215600,10.64
2013-08-02,10.87,10.93,10.74,10.79,3482600,10.58
2013-08-01,11.11,11.17,10.65,10.74,7810300,10.53
2013-07-31,10.50,10.68,10.44,10.59,3596000,10.38
2013-07-30,10.58,10.64,10.20,10.48,3979400,10.27
2013-07-29,10.63,10.64,10.38,10.45,2705200,10.24
2013-07-26,10.40,10.63,10.38,10.55,7108000,10.34
2013-07-25,10.42,10.48,10.36,10.48,6291200,10.27
2013-07-24,10.53,10.55,10.32,10.38,6130900,10.18
2013-07-23,10.40,10.45,10.27,10.35,2961700,10.15
2013-07-22,10.46,10.53,10.35,10.37,2805100,10.17
2013-07-19,10.53,10.56,10.26,10.37,7967200,10.17
2013-07-18,10.80,10.81,10.47,10.58,5029500,10.37
2013-07-17,10.79,10.79,10.63,10.66,3107000,10.45
2013-07-16,10.90,10.95,10.73,10.76,2998300,10.55
2013-07-15,10.66,10.89,10.66,10.82,2986400,10.61
2013-07-12,10.77,10.90,10.66,10.66,4361500,10.45
2013-07-11,10.83,10.97,10.76,10.82,3664500,10.61
2013-07-10,10.72,10.82,10.65,10.80,4118600,10.59
2013-07-09,10.75,10.79,10.58,10.74,4652100,10.53
2013-07-08,10.75,10.83,10.59,10.67,3645500,10.46
2013-07-05,10.49,10.62,10.47,10.57,3022500,10.36
2013-07-04,10.30,10.41,10.25,10.39,3049700,10.19
2013-07-03,10.25,10.34,10.06,10.17,5111000,9.97
2013-07-02,10.31,10.37,10.23,10.37,4564700,10.17
2013-07-01,10.30,10.30,9.95,10.11,3095300,9.91
2013-06-28,10.11,10.29,10.08,10.14,5335000,9.94
2013-06-27,10.07,10.29,10.07,10.23,7024300,10.03
2013-06-26,10.07,10.12,9.98,10.09,5895100,9.89
2013-06-25,9.79,10.15,9.73,10.11,6652200,9.91
2013-06-24,9.85,9.95,9.75,9.86,3471700,9.67
2013-06-21,9.66,9.96,9.66,9.84,7981500,9.65
2013-06-20,9.78,9.86,9.70,9.73,11942300,9.54
2013-06-19,9.68,9.92,9.66,9.89,7225400,9.70
2013-06-18,9.52,9.60,9.47,9.54,7918900,9.35
2013-06-17,9.67,9.74,9.50,9.60,6097400,9.41
2013-06-14,9.77,9.82,9.71,9.80,3039200,9.61
2013-06-13,9.83,9.83,9.57,9.74,4074800,9.55
2013-06-12,9.75,9.87,9.74,9.79,4223600,9.60
