Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.91,0.91,0.89,0.91,151100,0.91
2013-09-19,0.91,0.92,0.91,0.91,51200,0.91
2013-09-18,0.91,0.91,0.91,0.91,32000,0.91
2013-09-17,0.91,0.91,0.90,0.90,93700,0.90
2013-09-16,0.91,0.92,0.91,0.91,84800,0.91
2013-09-13,0.92,0.92,0.92,0.92,30400,0.92
2013-09-12,0.92,0.93,0.91,0.91,115900,0.91
2013-09-11,0.90,0.92,0.90,0.92,23700,0.92
2013-09-10,0.92,0.92,0.90,0.90,49700,0.90
2013-09-09,0.91,0.91,0.90,0.91,80900,0.91
2013-09-06,0.92,0.92,0.91,0.91,49100,0.91
2013-09-05,0.90,0.91,0.90,0.91,37500,0.91
2013-09-04,0.90,0.91,0.90,0.91,60100,0.91
2013-09-03,0.90,0.90,0.90,0.90,82600,0.90
2013-09-02,0.89,0.90,0.89,0.90,59700,0.90
2013-08-30,0.91,0.91,0.91,0.91,6000,0.91
2013-08-29,0.88,0.92,0.88,0.91,139900,0.91
2013-08-28,0.90,0.90,0.88,0.88,100000,0.88
2013-08-27,0.90,0.92,0.89,0.92,158300,0.92
2013-08-26,0.94,0.94,0.94,0.94,000,0.94
2013-08-23,0.90,0.90,0.89,0.90,58300,0.90
2013-08-22,0.89,0.90,0.89,0.90,32300,0.90
2013-08-21,0.92,0.92,0.89,0.89,94500,0.89
2013-08-20,0.92,0.93,0.92,0.93,53100,0.93
2013-08-19,0.92,0.92,0.92,0.92,29100,0.92
2013-08-16,0.92,0.92,0.92,0.92,31800,0.92
2013-08-15,0.92,0.92,0.90,0.90,71000,0.90
2013-08-14,0.93,0.93,0.92,0.92,60600,0.92
2013-08-13,0.96,0.96,0.92,0.93,312200,0.93
2013-08-12,1.04,1.04,1.02,1.04,237400,1.04
2013-08-09,1.04,1.04,1.03,1.04,311600,1.04
2013-08-08,1.02,1.05,1.02,1.03,210700,1.03
2013-08-07,1.03,1.03,1.01,1.01,53300,1.01
2013-08-06,1.04,1.04,1.03,1.03,78000,1.03
2013-08-05,1.04,1.04,1.02,1.04,263600,1.04
2013-08-02,1.02,1.04,1.02,1.04,176500,1.04
2013-08-01,1.02,1.02,1.02,1.02,40600,1.02
2013-07-31,1.03,1.03,1.02,1.02,131700,1.02
2013-07-30,1.03,1.03,1.03,1.03,57000,1.03
2013-07-29,1.00,1.07,1.00,1.03,99600,1.03
2013-07-26,0.99,0.99,0.98,0.99,123400,0.99
2013-07-25,0.90,0.90,0.90,0.90,000,0.90
2013-07-24,0.98,1.00,0.98,1.00,173400,1.00
2013-07-23,0.94,0.95,0.94,0.95,35600,0.95
2013-07-22,0.93,0.94,0.93,0.94,65700,0.94
2013-07-19,0.93,0.93,0.93,0.93,9500,0.93
2013-07-18,0.94,0.94,0.94,0.94,22600,0.94
2013-07-17,0.90,0.90,0.90,0.90,000,0.90
2013-07-16,0.94,0.95,0.94,0.95,36000,0.95
2013-07-15,0.94,0.94,0.94,0.94,4000,0.94
2013-07-12,0.92,0.94,0.92,0.94,104800,0.94
2013-07-11,0.92,0.93,0.88,0.92,119900,0.92
2013-07-10,0.87,0.90,0.87,0.88,63200,0.88
2013-07-09,0.88,0.88,0.87,0.87,30500,0.87
2013-07-08,0.90,0.90,0.90,0.90,000,0.90
2013-07-05,0.88,0.88,0.86,0.88,84900,0.88
2013-07-04,0.88,0.88,0.87,0.88,118600,0.88
2013-07-03,0.87,0.87,0.87,0.87,44000,0.87
2013-07-02,0.88,0.88,0.88,0.88,2000,0.88
2013-07-01,0.88,0.88,0.87,0.87,16500,0.87
2013-06-28,0.92,0.92,0.92,0.92,000,0.92
2013-06-27,0.92,0.92,0.92,0.92,000,0.92
2013-06-26,0.87,0.87,0.85,0.85,55000,0.85
