Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,21.03,21.24,20.89,20.94,702100,20.94
2013-09-19,20.97,21.65,20.78,21.36,1655200,21.36
2013-09-18,21.00,21.62,21.00,21.39,644700,21.39
2013-09-17,21.69,22.00,21.24,21.49,1015700,21.49
2013-09-16,21.88,22.24,21.83,22.08,558700,22.08
2013-09-13,21.50,21.96,21.31,21.81,443000,21.81
2013-09-12,21.21,21.69,21.21,21.61,576300,21.61
2013-09-11,20.72,21.22,20.29,21.09,466500,21.09
2013-09-10,20.39,20.58,20.22,20.52,357300,20.52
2013-09-09,20.20,20.41,20.00,20.38,296400,20.38
2013-09-06,20.12,20.37,19.95,20.13,331600,20.13
2013-09-05,19.80,20.44,19.71,20.39,323900,20.39
2013-09-04,20.14,20.30,19.90,20.15,520800,20.15
2013-09-03,20.24,20.25,19.81,19.84,339900,19.84
2013-09-02,20.41,20.60,20.06,20.34,471900,20.34
2013-08-30,19.35,19.57,19.31,19.42,259700,19.42
2013-08-29,19.95,19.95,19.33,19.77,248700,19.55
2013-08-28,19.00,19.97,19.00,19.86,487100,19.64
2013-08-27,19.45,19.46,19.19,19.34,288700,19.12
2013-08-26,19.86,19.86,19.48,19.69,271000,19.47
2013-08-23,19.50,19.96,19.41,19.70,281300,19.48
2013-08-22,19.00,19.76,18.68,19.68,582500,19.46
2013-08-21,19.33,19.38,18.94,19.21,354100,19.00
2013-08-20,17.98,19.76,17.85,19.10,768500,18.89
2013-08-19,18.50,18.74,18.40,18.45,285100,18.24
2013-08-16,18.36,18.40,18.13,18.30,278000,18.10
2013-08-15,18.28,18.50,18.25,18.38,150500,18.18
2013-08-14,18.66,18.75,18.23,18.32,378800,18.12
2013-08-13,18.17,18.59,18.06,18.56,399000,18.35
2013-08-12,18.12,18.25,17.73,18.24,431400,18.04
2013-08-09,18.14,18.31,17.92,18.14,230200,17.94
2013-08-08,18.01,18.44,17.88,18.21,402500,18.01
2013-08-07,18.36,18.60,18.04,18.05,570700,17.85
2013-08-06,18.92,18.95,18.22,18.35,483300,18.15
2013-08-05,18.91,18.99,18.69,18.92,160500,18.71
2013-08-02,18.78,18.90,18.75,18.81,342100,18.60
2013-08-01,18.69,18.97,18.47,18.58,294000,18.37
2013-07-31,18.29,18.65,18.21,18.54,354400,18.33
2013-07-30,18.57,18.57,18.15,18.18,351600,17.98
2013-07-29,18.62,18.79,18.28,18.31,290700,18.11
2013-07-26,18.15,18.65,18.15,18.56,369600,18.35
2013-07-25,18.20,18.62,18.03,18.13,467900,17.93
2013-07-24,19.00,19.07,18.26,18.29,682000,18.09
2013-07-23,18.90,19.15,18.40,18.94,470400,18.73
2013-07-22,19.00,19.03,18.49,18.62,564200,18.41
2013-07-19,18.56,19.04,18.48,18.87,700800,18.66
2013-07-18,19.15,19.15,18.40,18.55,445000,18.34
2013-07-17,18.69,19.38,18.69,19.12,712100,18.91
2013-07-16,18.87,19.10,18.71,18.78,383900,18.57
2013-07-15,19.11,19.19,18.87,18.94,400900,18.73
2013-07-12,18.75,19.42,18.64,18.91,687100,18.70
2013-07-11,18.99,19.04,18.65,18.85,426500,18.64
2013-07-10,18.80,19.22,18.50,18.82,796300,18.61
2013-07-09,18.25,18.61,18.16,18.56,440300,18.35
2013-07-08,18.12,18.54,18.12,18.25,659900,18.05
2013-07-05,18.20,18.38,18.11,18.28,271500,18.08
2013-07-04,18.14,18.27,17.99,18.10,424900,17.90
2013-07-03,18.35,18.35,17.73,18.02,613200,17.82
2013-07-02,17.42,18.22,17.42,18.08,773300,17.88
2013-07-01,17.40,17.69,17.17,17.39,589600,17.20
2013-06-28,18.09,18.22,17.56,17.63,1480300,17.43
2013-06-27,18.36,18.76,18.35,18.50,581900,18.29
2013-06-26,18.43,18.67,18.22,18.38,543600,18.18
2013-06-25,18.15,18.46,17.82,18.41,761700,18.21
2013-06-24,18.49,18.49,17.78,17.85,563600,17.65
2013-06-21,18.09,18.47,17.90,18.16,959900,17.96
2013-06-20,18.08,18.27,17.49,18.10,1032400,17.90
2013-06-19,17.97,18.34,17.92,18.28,816600,18.08
2013-06-18,17.59,17.78,17.49,17.62,657200,17.42
2013-06-17,17.64,17.74,17.21,17.74,367500,17.54
2013-06-14,17.54,17.68,17.21,17.56,616700,17.36
2013-06-13,17.91,18.15,17.34,17.53,1024800,17.33
2013-06-12,18.35,18.53,18.07,18.07,1363500,17.87
2013-06-11,18.15,18.85,18.15,18.73,814600,18.52
2013-06-10,18.04,18.04,18.04,18.04,000,17.84
2013-06-07,17.57,18.15,17.55,18.04,896600,17.84
2013-06-06,17.44,17.76,17.30,17.66,697200,17.46
2013-06-05,17.60,17.82,17.36,17.44,1121400,17.25
2013-06-04,17.38,17.76,17.31,17.71,779500,17.51
2013-06-03,17.24,17.41,17.04,17.35,1142400,17.16
2013-05-31,17.25,17.27,16.92,17.24,839100,17.05
2013-05-30,16.90,17.16,16.80,17.16,990100,16.97
2013-05-29,17.10,17.17,16.69,16.84,606500,16.65
2013-05-28,16.95,17.12,16.77,17.10,1866500,16.91
2013-05-27,16.34,16.82,16.17,16.77,1939600,16.58
2013-05-24,16.68,16.71,16.19,16.45,396500,16.27
2013-05-23,16.74,16.89,16.63,16.68,802900,16.49
2013-05-22,16.75,16.78,16.55,16.71,557200,16.52
2013-05-21,16.62,16.87,16.52,16.78,698800,16.59
2013-05-20,16.50,16.71,16.37,16.60,501400,16.42
2013-05-17,16.80,16.80,16.28,16.32,1398200,16.14
2013-05-16,16.94,17.11,16.56,16.66,838600,16.47
2013-05-15,17.20,17.28,17.00,17.10,748800,16.91
2013-05-14,16.92,17.30,16.90,17.20,1184300,17.01
2013-05-13,16.77,16.98,16.66,16.89,447000,16.70
