Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.00,0.00,0.00,0.00,998800,0.02
2013-09-19,0.00,0.00,0.00,0.00,889000,0.02
2013-09-18,0.00,0.00,0.00,0.00,700000,0.02
2013-09-17,0.00,0.00,0.00,0.00,1738900,0.02
2013-09-16,0.00,0.00,0.00,0.00,500000,0.02
2013-09-13,0.00,0.00,0.00,0.00,5492900,0.02
2013-09-12,0.00,0.00,0.00,0.00,2395000,0.02
2013-09-11,0.00,0.00,0.00,0.00,5660700,0.02
2013-09-10,0.00,0.00,0.00,0.00,28179100,0.02
2013-09-09,0.00,0.00,0.00,0.00,1298600,0.01
2013-09-06,0.00,0.00,0.00,0.00,347800,0.01
2013-09-05,0.00,0.00,0.00,0.00,000,0.01
2013-09-04,0.00,0.00,0.00,0.00,2113000,0.01
2013-09-03,0.00,0.00,0.00,0.00,4029500,0.01
2013-09-02,0.00,0.00,0.00,0.00,1349000,0.01
2013-08-30,0.00,0.00,0.00,0.00,8062300,0.01
2013-08-29,0.00,0.00,0.00,0.00,1538100,0.01
2013-08-28,0.00,0.00,0.00,0.00,14736900,0.01
2013-08-27,0.00,0.00,0.00,0.00,384500,0.01
2013-08-26,0.00,0.00,0.00,0.00,1762800,0.01
2013-08-23,0.00,0.00,0.00,0.00,862000,0.01
2013-08-22,0.00,0.00,0.00,0.00,914700,0.01
2013-08-21,0.00,0.00,0.00,0.00,1936900,0.01
2013-08-20,0.00,0.00,0.00,0.00,7472800,0.01
2013-08-19,0.00,0.00,0.00,0.00,847700,0.01
2013-08-16,0.00,0.00,0.00,0.00,9320500,0.01
2013-08-15,0.00,0.00,0.00,0.00,1954000,0.01
2013-08-14,0.00,0.00,0.00,0.00,1206700,0.01
2013-08-13,0.00,0.00,0.00,0.00,8370400,0.01
2013-08-12,0.00,0.00,0.00,0.00,1642600,0.01
2013-08-09,0.00,0.00,0.00,0.00,11092300,0.01
2013-08-08,0.00,0.00,0.00,0.00,957400,0.01
2013-08-07,0.00,0.00,0.00,0.00,3029900,0.01
2013-08-06,0.00,0.00,0.00,0.00,5576400,0.01
2013-08-05,0.00,0.00,0.00,0.00,19004800,0.01
2013-08-02,0.00,0.00,0.00,0.00,26989900,0.01
2013-08-01,0.00,0.00,0.00,0.00,16395900,0.02
2013-07-31,0.00,0.00,0.00,0.00,1807400,0.02
2013-07-30,0.00,0.00,0.00,0.00,3555200,0.02
2013-07-29,0.00,0.00,0.00,0.00,6764800,0.02
2013-07-26,0.00,0.00,0.00,0.00,2134000,0.02
2013-07-25,0.00,0.00,0.00,0.00,10960800,0.02
2013-07-24,0.00,0.00,0.00,0.00,16367300,0.02
2013-07-23,0.00,0.00,0.00,0.00,1480100,0.02
2013-07-22,0.00,0.00,0.00,0.00,5028000,0.02
2013-07-19,0.00,0.00,0.00,0.00,4026600,0.02
2013-07-18,0.00,0.00,0.00,0.00,5016800,0.02
2013-07-17,0.00,0.00,0.00,0.00,4978900,0.02
2013-07-16,0.00,0.00,0.00,0.00,9750000,0.02
2013-07-15,0.00,0.00,0.00,0.00,17419200,0.02
2013-07-12,0.00,0.00,0.00,0.00,4940000,0.01
2013-07-11,0.00,0.00,0.00,0.00,18547400,0.01
2013-07-10,0.00,0.00,0.00,0.00,4417700,0.01
2013-07-09,0.00,0.00,0.00,0.00,19086300,0.01
2013-07-08,0.00,0.00,0.00,0.00,45447600,0.01
2013-07-05,0.00,0.00,0.00,0.00,2437800,0.01
2013-07-04,0.00,0.00,0.00,0.00,6312800,0.01
