Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.01,0.01,0.01,0.01,385000,0.01
2013-09-19,0.01,0.01,0.01,0.01,1486100,0.01
2013-09-18,0.01,0.01,0.01,0.01,000,0.01
2013-09-17,0.01,0.01,0.01,0.01,000,0.01
2013-09-16,0.01,0.01,0.01,0.01,681000,0.01
2013-09-13,0.01,0.01,0.01,0.01,123100,0.01
2013-09-12,0.01,0.01,0.01,0.01,1670100,0.01
2013-09-11,0.01,0.01,0.01,0.01,2942600,0.01
2013-09-10,0.01,0.01,0.01,0.01,2575000,0.01
2013-09-09,0.01,0.01,0.01,0.01,8590700,0.01
2013-09-06,0.01,0.01,0.01,0.01,000,0.01
2013-09-05,0.01,0.01,0.01,0.01,000,0.01
2013-09-04,0.01,0.01,0.01,0.01,200000,0.01
2013-09-03,0.01,0.01,0.01,0.01,000,0.01
2013-09-02,0.01,0.01,0.01,0.01,317500,0.01
2013-08-30,0.01,0.01,0.01,0.01,900100,0.01
2013-08-29,0.01,0.01,0.01,0.01,57700,0.01
2013-08-28,0.01,0.01,0.01,0.01,1866800,0.01
2013-08-27,0.01,0.01,0.01,0.01,2828700,0.01
2013-08-26,0.01,0.01,0.01,0.01,1770000,0.01
2013-08-23,0.01,0.01,0.01,0.01,12023800,0.01
2013-08-22,0.01,0.01,0.01,0.01,447000,0.01
2013-08-21,0.01,0.01,0.01,0.01,731500,0.01
2013-08-20,0.01,0.01,0.01,0.01,338800,0.01
2013-08-19,0.01,0.01,0.01,0.01,377700,0.01
2013-08-16,0.01,0.01,0.01,0.01,728300,0.01
2013-08-15,0.01,0.01,0.01,0.01,500000,0.01
2013-08-14,0.01,0.01,0.01,0.01,750000,0.01
2013-08-13,0.01,0.01,0.01,0.01,176100,0.01
2013-08-12,0.01,0.01,0.01,0.01,62500,0.01
2013-08-09,0.01,0.01,0.01,0.01,278800,0.01
2013-08-08,0.01,0.01,0.01,0.01,211100,0.01
2013-08-07,0.01,0.01,0.01,0.01,2016600,0.01
2013-08-06,0.01,0.01,0.01,0.01,2111100,0.01
2013-08-05,0.01,0.01,0.01,0.01,5758400,0.01
2013-08-02,0.01,0.01,0.01,0.01,2715200,0.01
2013-08-01,0.01,0.01,0.01,0.01,000,0.01
2013-07-31,0.01,0.01,0.01,0.01,1350000,0.01
2013-07-30,0.01,0.01,0.01,0.01,000,0.01
2013-07-29,0.01,0.01,0.01,0.01,2070000,0.01
2013-07-26,0.01,0.01,0.01,0.01,2897100,0.01
2013-07-25,0.01,0.01,0.01,0.01,594100,0.01
2013-07-24,0.01,0.01,0.01,0.01,160000,0.01
2013-07-23,0.01,0.01,0.01,0.01,2661500,0.01
2013-07-22,0.01,0.01,0.01,0.01,1729400,0.01
2013-07-19,0.01,0.01,0.01,0.01,158500,0.01
2013-07-18,0.01,0.01,0.01,0.01,759200,0.01
2013-07-17,0.01,0.01,0.01,0.01,936300,0.01
2013-07-16,0.01,0.01,0.01,0.01,8575200,0.01
2013-07-15,0.01,0.01,0.01,0.01,1900000,0.01
2013-07-12,0.01,0.01,0.01,0.01,4100000,0.01
2013-07-11,0.01,0.01,0.01,0.01,772500,0.01
2013-07-10,0.01,0.01,0.01,0.01,1000000,0.01
2013-07-09,0.01,0.01,0.01,0.01,12306700,0.01
2013-07-08,0.01,0.01,0.01,0.01,3409200,0.01
2013-07-05,0.01,0.01,0.01,0.01,301100,0.01
2013-07-04,0.01,0.01,0.01,0.01,118500,0.01
2013-07-03,0.01,0.01,0.01,0.01,759100,0.01
2013-07-02,0.01,0.01,0.01,0.01,300000,0.01
2013-07-01,0.01,0.01,0.01,0.01,000,0.01
2013-06-28,0.01,0.01,0.01,0.01,950000,0.01
2013-06-27,0.01,0.01,0.01,0.01,000,0.01
2013-06-26,0.01,0.01,0.01,0.01,274300,0.01
2013-06-25,0.01,0.01,0.01,0.01,733300,0.01
2013-06-24,0.01,0.01,0.01,0.01,6408600,0.01
2013-06-21,0.01,0.01,0.01,0.01,1811300,0.01
2013-06-20,0.01,0.01,0.01,0.01,100000,0.01
2013-06-19,0.01,0.01,0.01,0.01,2380000,0.01
2013-06-18,0.01,0.01,0.01,0.01,000,0.01
2013-06-17,0.01,0.01,0.01,0.01,9755400,0.01
2013-06-14,0.01,0.01,0.01,0.01,1070000,0.01
2013-06-13,0.01,0.01,0.01,0.01,375900,0.01
2013-06-12,0.01,0.01,0.01,0.01,2856600,0.01
2013-06-11,0.01,0.01,0.01,0.01,3153300,0.01
2013-06-10,0.01,0.01,0.01,0.01,000,0.01
2013-06-07,0.01,0.01,0.01,0.01,710000,0.01
2013-06-06,0.01,0.01,0.01,0.01,10000000,0.01
2013-06-05,0.01,0.01,0.01,0.01,308700,0.01
2013-06-04,0.01,0.01,0.01,0.01,5415000,0.01
2013-06-03,0.01,0.01,0.01,0.01,1000000,0.01
2013-05-31,0.01,0.01,0.01,0.01,520000,0.01
2013-05-30,0.01,0.01,0.01,0.01,5047200,0.01
2013-05-29,0.01,0.01,0.01,0.01,734500,0.01
2013-05-28,0.01,0.01,0.01,0.01,25000,0.01
2013-05-27,0.01,0.01,0.01,0.01,15714300,0.01
2013-05-24,0.01,0.01,0.01,0.01,3675000,0.01
2013-05-23,0.01,0.01,0.01,0.01,12025400,0.01
2013-05-22,0.01,0.01,0.01,0.01,2883300,0.01
2013-05-21,0.01,0.01,0.01,0.01,9074800,0.01
2013-05-20,0.01,0.01,0.01,0.01,1698400,0.01
2013-05-17,0.01,0.01,0.01,0.01,1791600,0.01
2013-05-16,0.01,0.01,0.01,0.01,2335200,0.01
2013-05-15,0.01,0.01,0.01,0.01,5290200,0.01
2013-05-14,0.01,0.01,0.01,0.01,7233900,0.01
2013-05-13,0.01,0.01,0.01,0.01,17637300,0.01
2013-05-10,0.01,0.01,0.01,0.01,1000000,0.01
2013-05-09,0.01,0.01,0.01,0.01,7023200,0.01
2013-05-08,0.01,0.01,0.01,0.01,17756600,0.01
2013-05-07,0.01,0.01,0.01,0.01,951600,0.01
2013-05-06,0.01,0.01,0.01,0.01,1721500,0.01
2013-05-03,0.01,0.01,0.01,0.01,1724500,0.01
2013-05-02,0.01,0.01,0.01,0.01,976600,0.01
2013-05-01,0.01,0.01,0.01,0.01,2537300,0.01
2013-04-30,0.01,0.01,0.01,0.01,6240900,0.01
2013-04-29,0.01,0.01,0.01,0.01,2896000,0.01
2013-04-26,0.01,0.01,0.01,0.01,1300000,0.01
2013-04-25,0.01,0.01,0.01,0.01,000,0.01
2013-04-24,0.01,0.01,0.01,0.01,230000,0.01
