Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.07,0.07,0.07,0.07,000,0.07
2013-09-19,0.07,0.07,0.07,0.07,200000,0.07
2013-09-18,0.07,0.07,0.07,0.07,138300,0.07
2013-09-17,0.06,0.06,0.06,0.06,000,0.06
2013-09-16,0.06,0.06,0.06,0.06,000,0.06
2013-09-13,0.06,0.06,0.06,0.06,000,0.06
2013-09-12,0.06,0.06,0.06,0.06,300000,0.06
2013-09-11,0.06,0.06,0.06,0.06,136600,0.06
2013-09-10,0.06,0.06,0.06,0.06,159200,0.06
2013-09-09,0.06,0.06,0.06,0.06,42000,0.06
2013-09-06,0.06,0.06,0.06,0.06,000,0.06
2013-09-05,0.06,0.06,0.06,0.06,50000,0.06
2013-09-04,0.06,0.06,0.06,0.06,4900,0.06
2013-09-03,0.06,0.06,0.06,0.06,15300,0.06
2013-09-02,0.06,0.06,0.06,0.06,000,0.06
2013-08-30,0.06,0.06,0.06,0.06,164700,0.06
2013-08-29,0.05,0.05,0.05,0.05,000,0.05
2013-08-28,0.05,0.05,0.05,0.05,39600,0.05
2013-08-27,0.06,0.06,0.05,0.06,1048800,0.06
2013-08-26,0.07,0.07,0.06,0.06,239300,0.06
2013-08-23,0.07,0.07,0.07,0.07,000,0.07
2013-08-22,0.07,0.07,0.06,0.07,410000,0.07
2013-08-21,0.06,0.06,0.06,0.06,000,0.06
2013-08-20,0.06,0.06,0.06,0.06,000,0.06
2013-08-19,0.06,0.06,0.06,0.06,408400,0.06
2013-08-16,0.06,0.06,0.06,0.06,326600,0.06
2013-08-15,0.06,0.06,0.06,0.06,218800,0.06
2013-08-14,0.05,0.05,0.05,0.05,000,0.05
2013-08-13,0.05,0.05,0.05,0.05,104800,0.05
2013-08-12,0.05,0.05,0.05,0.05,130000,0.05
2013-08-09,0.05,0.05,0.05,0.05,000,0.05
2013-08-08,0.05,0.05,0.05,0.05,000,0.05
2013-08-07,0.05,0.05,0.05,0.05,264400,0.05
2013-08-06,0.05,0.05,0.05,0.05,101000,0.05
2013-08-05,0.05,0.06,0.05,0.06,135000,0.06
2013-08-02,0.05,0.05,0.05,0.05,1085000,0.05
2013-08-01,0.05,0.05,0.05,0.05,000,0.05
2013-07-31,0.05,0.05,0.05,0.05,966200,0.05
2013-07-30,0.05,0.05,0.05,0.05,36000,0.05
2013-07-29,0.04,0.04,0.04,0.04,000,0.04
2013-07-26,0.04,0.04,0.04,0.04,000,0.04
2013-07-25,0.04,0.04,0.04,0.04,000,0.04
2013-07-24,0.04,0.04,0.04,0.04,10200,0.04
2013-07-23,0.04,0.04,0.04,0.04,90000,0.04
2013-07-19,0.03,0.03,0.03,0.03,000,0.03
2013-07-18,0.03,0.03,0.03,0.03,000,0.03
2013-07-17,0.03,0.03,0.03,0.03,50000,0.03
2013-07-16,0.04,0.04,0.04,0.04,000,0.04
2013-07-15,0.04,0.04,0.04,0.04,000,0.04
2013-07-12,0.04,0.04,0.04,0.04,000,0.04
2013-07-11,0.04,0.04,0.04,0.04,000,0.04
2013-07-10,0.03,0.04,0.03,0.04,93600,0.04
2013-07-09,0.03,0.03,0.03,0.03,000,0.03
2013-07-08,0.03,0.03,0.03,0.03,000,0.03
2013-07-05,0.03,0.03,0.03,0.03,000,0.03
2013-07-04,0.03,0.03,0.03,0.03,000,0.03
2013-07-03,0.03,0.03,0.03,0.03,100000,0.03
2013-07-02,0.04,0.04,0.04,0.04,000,0.04
2013-07-01,0.04,0.04,0.04,0.04,000,0.04
2013-06-28,0.04,0.04,0.04,0.04,000,0.04
2013-06-27,0.04,0.04,0.04,0.04,000,0.04
