Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.05,1.05,1.05,1.05,34100,1.05
2013-09-19,1.04,1.04,1.04,1.04,20000,1.04
2013-09-18,1.04,1.04,1.04,1.04,000,1.04
2013-09-17,1.04,1.04,1.04,1.04,000,1.04
2013-09-16,1.04,1.04,1.04,1.04,000,1.04
2013-09-13,1.04,1.04,1.03,1.04,41300,1.04
2013-09-12,1.04,1.04,1.04,1.04,14700,1.04
2013-09-11,1.03,1.04,1.03,1.04,10500,1.04
2013-09-10,1.03,1.03,1.03,1.03,9600,1.03
2013-09-09,1.03,1.03,1.03,1.03,000,1.03
2013-09-06,1.02,1.02,1.02,1.02,19500,1.02
2013-09-05,1.03,1.03,1.03,1.03,40800,1.03
2013-09-04,1.03,1.03,1.03,1.03,35000,1.03
2013-09-03,1.03,1.03,1.03,1.03,000,1.03
2013-09-02,1.03,1.03,1.03,1.03,2500,1.03
2013-08-30,1.02,1.02,1.01,1.01,36100,1.01
2013-08-29,1.01,1.01,1.01,1.01,62300,1.01
2013-08-28,1.01,1.01,1.01,1.01,80700,1.01
2013-08-27,1.01,1.01,1.01,1.01,7300,1.01
2013-08-26,1.01,1.01,1.01,1.01,9000,1.01
2013-08-23,1.01,1.01,1.01,1.01,59400,1.01
2013-08-22,1.01,1.01,1.01,1.01,000,1.01
2013-08-21,1.00,1.00,1.00,1.00,34100,1.00
2013-08-20,1.01,1.01,1.01,1.01,000,1.01
2013-08-19,1.01,1.01,1.01,1.01,8100,1.01
2013-08-16,1.01,1.01,1.00,1.00,42900,1.00
2013-08-15,1.01,1.01,1.01,1.01,000,1.01
2013-08-14,1.01,1.01,1.01,1.01,40000,1.01
2013-08-13,1.01,1.01,1.01,1.01,000,1.01
2013-08-12,1.00,1.00,1.00,1.00,8900,1.00
2013-08-09,1.00,1.00,1.00,1.00,50500,1.00
2013-08-08,0.99,0.99,0.99,0.99,000,0.99
2013-08-07,1.00,1.00,1.00,1.00,000,1.00
2013-08-06,1.00,1.00,1.00,1.00,8000,1.00
2013-08-05,1.01,1.01,1.01,1.01,29500,1.01
2013-08-01,1.00,1.00,1.00,1.00,67700,1.00
2013-07-31,1.00,1.00,1.00,1.00,10000,1.00
2013-07-30,0.99,0.99,0.99,0.99,000,0.99
2013-07-29,0.99,0.99,0.99,0.99,000,0.99
2013-07-26,0.99,0.99,0.99,0.99,000,0.99
2013-07-25,0.99,0.99,0.99,0.99,000,0.99
2013-07-24,0.98,0.98,0.98,0.98,000,0.98
2013-07-23,0.99,0.99,0.99,0.99,54500,0.99
2013-07-22,0.99,0.99,0.99,0.99,10000,0.99
2013-07-18,0.98,0.98,0.98,0.98,2500,0.98
2013-07-17,0.98,0.98,0.98,0.98,10200,0.98
2013-07-16,0.97,0.98,0.97,0.98,41300,0.98
2013-07-15,0.97,0.97,0.96,0.96,28300,0.96
2013-07-12,0.96,0.97,0.96,0.97,57300,0.97
2013-07-11,0.96,0.96,0.96,0.96,12600,0.96
2013-07-10,0.95,0.96,0.95,0.96,59700,0.96
2013-07-09,0.96,0.96,0.96,0.96,37600,0.96
2013-07-08,0.94,0.95,0.94,0.95,59700,0.95
2013-07-05,0.94,0.94,0.94,0.94,8000,0.94
2013-07-04,0.95,0.95,0.95,0.95,15700,0.95
2013-07-03,0.95,0.95,0.95,0.95,50000,0.95
2013-07-02,0.95,0.96,0.95,0.95,44000,0.95
2013-07-01,0.95,0.95,0.95,0.95,15000,0.95
2013-06-28,0.96,0.96,0.96,0.96,000,0.96
2013-06-27,0.95,0.95,0.95,0.95,000,0.95
2013-06-26,0.94,0.94,0.94,0.94,000,0.94
2013-06-25,0.94,0.94,0.94,0.94,1400,0.94
2013-06-24,0.95,0.95,0.95,0.95,000,0.95
