Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.35,0.37,0.34,0.35,507400,0.35
2013-09-19,0.37,0.38,0.35,0.35,1417100,0.35
2013-09-18,0.37,0.38,0.37,0.37,2411800,0.37
2013-09-17,0.34,0.37,0.34,0.37,1862600,0.37
2013-09-16,0.34,0.34,0.34,0.34,380900,0.34
2013-09-13,0.34,0.34,0.34,0.34,4766300,0.34
2013-09-12,0.34,0.34,0.34,0.34,665000,0.34
2013-09-11,0.34,0.34,0.34,0.34,328300,0.34
2013-09-10,0.34,0.34,0.34,0.34,3206100,0.34
2013-09-09,0.34,0.34,0.34,0.34,1379300,0.34
2013-09-06,0.34,0.34,0.34,0.34,569100,0.34
2013-09-05,0.34,0.35,0.34,0.34,121800,0.34
2013-09-04,0.34,0.35,0.34,0.34,341400,0.34
2013-09-03,0.35,0.35,0.34,0.34,385000,0.34
2013-09-02,0.34,0.35,0.34,0.35,238300,0.35
2013-08-30,0.34,0.35,0.34,0.35,1037600,0.35
2013-08-29,0.35,0.35,0.34,0.34,1558300,0.34
2013-08-28,0.34,0.35,0.34,0.34,529000,0.34
2013-08-27,0.35,0.36,0.34,0.35,597200,0.35
2013-08-26,0.34,0.35,0.34,0.35,10875400,0.35
2013-08-23,0.34,0.34,0.34,0.34,689900,0.34
2013-08-22,0.34,0.35,0.34,0.34,722200,0.34
2013-08-21,0.34,0.34,0.34,0.34,438400,0.34
2013-08-20,0.34,0.34,0.34,0.34,1571600,0.34
2013-08-19,0.35,0.35,0.34,0.34,1378400,0.34
2013-08-16,0.31,0.37,0.31,0.35,7187000,0.35
2013-08-15,0.28,0.30,0.28,0.29,624400,0.29
2013-08-14,0.28,0.29,0.28,0.29,1850900,0.29
2013-08-13,0.28,0.28,0.28,0.28,197300,0.28
2013-08-12,0.28,0.29,0.28,0.28,417700,0.28
2013-08-09,0.28,0.29,0.28,0.28,222200,0.28
2013-08-08,0.28,0.28,0.28,0.28,483000,0.28
2013-08-07,0.28,0.29,0.28,0.29,1408200,0.29
2013-08-06,0.28,0.29,0.28,0.28,361700,0.28
2013-08-05,0.28,0.29,0.28,0.28,216700,0.28
2013-08-02,0.28,0.29,0.28,0.28,3452500,0.28
2013-08-01,0.29,0.29,0.28,0.29,389700,0.29
2013-07-31,0.28,0.29,0.28,0.29,205200,0.29
2013-07-30,0.29,0.29,0.28,0.28,292600,0.28
2013-07-29,0.28,0.31,0.28,0.29,1272500,0.29
2013-07-26,0.28,0.28,0.28,0.28,346200,0.28
2013-07-25,0.27,0.28,0.27,0.28,269400,0.28
2013-07-24,0.28,0.28,0.27,0.27,459100,0.27
2013-07-23,0.27,0.28,0.26,0.27,1779100,0.27
2013-07-22,0.26,0.27,0.26,0.26,1120400,0.26
2013-07-19,0.26,0.26,0.25,0.26,991500,0.26
2013-07-18,0.27,0.27,0.26,0.26,370500,0.26
2013-07-17,0.26,0.27,0.26,0.26,88400,0.26
2013-07-16,0.26,0.28,0.25,0.25,2239000,0.25
2013-07-15,0.28,0.28,0.26,0.27,411400,0.27
2013-07-12,0.28,0.28,0.28,0.28,272700,0.28
2013-07-11,0.27,0.28,0.27,0.28,547800,0.28
2013-07-10,0.28,0.28,0.27,0.27,236800,0.27
2013-07-09,0.28,0.28,0.27,0.28,567800,0.28
2013-07-08,0.26,0.28,0.26,0.28,810100,0.28
2013-07-05,0.27,0.28,0.26,0.28,298700,0.28
2013-07-04,0.26,0.27,0.26,0.26,423500,0.26
2013-07-03,0.26,0.27,0.26,0.26,365400,0.26
2013-07-02,0.25,0.27,0.25,0.26,1565800,0.26
2013-07-01,0.25,0.25,0.25,0.25,61900,0.25
2013-06-28,0.25,0.26,0.25,0.25,842800,0.25
2013-06-27,0.28,0.29,0.25,0.26,2429400,0.26
2013-06-26,0.25,0.28,0.25,0.28,731200,0.28
2013-06-25,0.25,0.26,0.25,0.25,1044300,0.25
2013-06-24,0.25,0.26,0.25,0.25,233400,0.25
2013-06-21,0.25,0.26,0.25,0.26,1726300,0.26
2013-06-20,0.28,0.28,0.26,0.26,552600,0.26
2013-06-19,0.27,0.28,0.26,0.28,663900,0.28
2013-06-18,0.25,0.27,0.25,0.27,518600,0.27
2013-06-17,0.25,0.25,0.24,0.25,575500,0.25
2013-06-14,0.25,0.26,0.23,0.24,2487000,0.24
2013-06-13,0.26,0.26,0.25,0.25,2363200,0.25
2013-06-12,0.27,0.28,0.26,0.26,811200,0.26
2013-06-11,0.26,0.27,0.26,0.26,344300,0.26
2013-06-10,0.26,0.26,0.26,0.26,000,0.26
2013-06-07,0.27,0.27,0.26,0.26,534300,0.26
2013-06-06,0.28,0.28,0.27,0.27,241300,0.27
2013-06-05,0.29,0.29,0.28,0.28,1276600,0.28
2013-06-04,0.27,0.29,0.27,0.29,611700,0.29
2013-06-03,0.28,0.28,0.27,0.28,1419500,0.28
2013-05-31,0.29,0.29,0.28,0.28,1107300,0.28
2013-05-30,0.29,0.30,0.29,0.29,1357600,0.29
2013-05-29,0.29,0.30,0.29,0.30,769500,0.30
2013-05-28,0.29,0.30,0.29,0.29,1432800,0.29
2013-05-27,0.31,0.31,0.29,0.30,1600100,0.30
2013-05-24,0.29,0.31,0.29,0.31,1112000,0.31
2013-05-23,0.31,0.32,0.29,0.30,2311600,0.30
2013-05-22,0.33,0.33,0.31,0.31,1894400,0.31
2013-05-21,0.34,0.34,0.32,0.33,1486300,0.33
2013-05-20,0.34,0.34,0.34,0.34,1927800,0.34
2013-05-17,0.31,0.34,0.31,0.34,2798600,0.34
2013-05-16,0.38,0.38,0.34,0.34,2423500,0.34
2013-05-15,0.38,0.38,0.37,0.38,1620700,0.38
2013-05-14,0.38,0.38,0.37,0.38,1529000,0.38
2013-05-13,0.39,0.39,0.38,0.38,218700,0.38
2013-05-10,0.39,0.40,0.38,0.39,3148800,0.39
2013-05-09,0.38,0.39,0.38,0.39,906100,0.39
2013-05-08,0.38,0.40,0.38,0.38,1722500,0.38
2013-05-07,0.39,0.40,0.38,0.38,1417700,0.38
2013-05-06,0.37,0.41,0.37,0.39,2270000,0.39
2013-05-03,0.38,0.38,0.37,0.37,1294600,0.37
2013-05-02,0.39,0.39,0.37,0.37,3395400,0.37
2013-05-01,0.42,0.43,0.40,0.40,1395800,0.40
2013-04-30,0.41,0.44,0.41,0.42,4425800,0.42
2013-04-29,0.40,0.41,0.39,0.40,1333600,0.40
2013-04-26,0.38,0.41,0.38,0.38,2460300,0.38
2013-04-25,0.38,0.38,0.38,0.38,000,0.38
2013-04-24,0.35,0.38,0.35,0.38,2080500,0.38
2013-04-23,0.33,0.35,0.33,0.35,397300,0.35
2013-04-22,0.33,0.34,0.32,0.32,2249000,0.32
2013-04-19,0.33,0.34,0.33,0.33,96100,0.33
2013-04-18,0.32,0.34,0.32,0.33,634000,0.33
2013-04-17,0.31,0.32,0.31,0.32,1663600,0.32
2013-04-16,0.30,0.31,0.30,0.31,1944100,0.31
2013-04-15,0.34,0.34,0.31,0.32,1681400,0.32
2013-04-12,0.34,0.34,0.34,0.34,892400,0.34
2013-04-11,0.35,0.35,0.34,0.34,576500,0.34
2013-04-10,0.36,0.36,0.34,0.34,866600,0.34
2013-04-09,0.36,0.37,0.35,0.36,789900,0.36
2013-04-08,0.37,0.37,0.36,0.36,523200,0.36
2013-04-05,0.37,0.37,0.34,0.36,1037600,0.36
2013-04-04,0.37,0.38,0.36,0.37,1438700,0.37
2013-04-03,0.37,0.37,0.36,0.37,1550800,0.37
2013-04-02,0.37,0.37,0.37,0.37,1170100,0.37
2013-04-01,0.37,0.37,0.37,0.37,000,0.37
2013-03-29,0.37,0.37,0.37,0.37,000,0.37
2013-03-28,0.37,0.37,0.36,0.37,1770200,0.37
2013-03-27,0.37,0.37,0.37,0.37,1922100,0.37
2013-03-26,0.37,0.38,0.37,0.37,2457700,0.37
2013-03-25,0.37,0.38,0.36,0.38,1489100,0.38
2013-03-22,0.36,0.37,0.36,0.37,1859600,0.37
2013-03-21,0.37,0.37,0.36,0.36,370100,0.36
2013-03-20,0.38,0.38,0.36,0.36,1104200,0.36
2013-03-19,0.37,0.38,0.37,0.37,664800,0.37
2013-03-18,0.37,0.38,0.37,0.37,2531700,0.37
2013-03-15,0.34,0.38,0.34,0.38,5273300,0.38
2013-03-14,0.36,0.37,0.34,0.34,1415400,0.34
2013-03-13,0.35,0.37,0.34,0.36,2551600,0.36
2013-03-12,0.38,0.38,0.34,0.35,4550100,0.35
2013-03-11,0.34,0.37,0.34,0.36,4947100,0.36
2013-03-08,0.31,0.34,0.31,0.33,4556200,0.33
2013-03-07,0.29,0.31,0.29,0.30,1107300,0.30
2013-03-06,0.30,0.31,0.29,0.30,1355800,0.30
2013-03-05,0.30,0.31,0.30,0.30,927300,0.30
2013-03-04,0.31,0.32,0.29,0.31,1085100,0.31
2013-03-01,0.31,0.32,0.31,0.31,3119300,0.31
2013-02-28,0.28,0.30,0.28,0.30,3200000,0.30
2013-02-27,0.27,0.28,0.27,0.27,4413900,0.27
2013-02-26,0.27,0.28,0.27,0.27,5059200,0.27
