Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,2.19,2.20,2.15,2.20,718400,2.20
2013-09-19,2.21,2.25,2.20,2.20,448100,2.20
2013-09-18,2.23,2.23,2.19,2.21,178500,2.21
2013-09-17,2.17,2.26,2.16,2.22,271400,2.22
2013-09-16,2.16,2.19,2.14,2.18,418300,2.18
2013-09-13,2.20,2.22,2.16,2.16,190200,2.16
2013-09-12,2.22,2.29,2.22,2.22,270700,2.22
2013-09-11,2.25,2.26,2.21,2.23,300100,2.23
2013-09-10,2.25,2.34,2.18,2.23,316900,2.23
2013-09-09,2.13,2.27,2.13,2.23,443600,2.23
2013-09-06,2.12,2.15,2.11,2.12,318700,2.12
2013-09-05,2.12,2.15,2.10,2.12,173800,2.12
2013-09-04,2.10,2.12,2.04,2.11,543700,2.11
2013-09-03,2.11,2.13,2.09,2.10,192800,2.10
2013-09-02,2.10,2.13,2.08,2.10,362500,2.10
2013-08-30,2.08,2.10,2.07,2.07,321200,2.07
2013-08-29,2.17,2.17,2.06,2.10,576600,2.10
2013-08-28,2.19,2.19,2.12,2.14,329600,2.14
2013-08-27,2.20,2.21,2.16,2.20,162800,2.20
2013-08-26,2.20,2.25,2.20,2.21,210800,2.21
2013-08-23,2.17,2.28,2.17,2.24,324900,2.24
2013-08-22,2.17,2.19,2.11,2.19,254500,2.19
2013-08-21,2.21,2.26,2.16,2.19,257900,2.19
2013-08-20,2.24,2.24,2.15,2.16,280000,2.16
2013-08-19,2.17,2.27,2.17,2.27,191700,2.27
2013-08-16,2.16,2.21,2.12,2.16,259200,2.16
2013-08-15,2.26,2.26,2.15,2.16,494800,2.16
2013-08-14,2.38,2.38,2.26,2.29,456300,2.29
2013-08-13,2.13,2.26,2.13,2.25,510700,2.25
2013-08-12,2.09,2.17,2.06,2.17,706600,2.17
2013-08-09,2.05,2.08,2.04,2.05,3118700,2.05
2013-08-08,2.12,2.16,2.01,2.05,1546100,2.05
2013-08-07,2.13,2.17,2.09,2.12,441900,2.12
2013-08-06,2.15,2.18,2.15,2.16,143600,2.16
2013-08-05,2.18,2.20,2.13,2.16,174800,2.16
2013-08-02,2.14,2.19,2.13,2.16,192100,2.16
2013-08-01,2.10,2.16,2.10,2.13,280800,2.13
2013-07-31,2.15,2.18,2.09,2.09,695000,2.09
2013-07-30,2.12,2.13,2.08,2.11,401000,2.11
2013-07-29,2.06,2.11,2.06,2.10,83700,2.10
2013-07-26,2.06,2.10,2.06,2.09,377800,2.09
2013-07-25,2.07,2.11,2.06,2.09,326300,2.09
2013-07-24,2.09,2.15,2.08,2.09,302000,2.09
2013-07-23,2.14,2.20,2.09,2.09,422800,2.09
2013-07-22,2.15,2.20,2.09,2.16,151200,2.16
2013-07-19,2.06,2.17,2.01,2.08,389200,2.08
2013-07-18,2.07,2.07,2.01,2.06,264700,2.06
2013-07-17,1.97,2.04,1.93,2.00,221900,2.00
2013-07-16,2.09,2.09,1.97,1.97,387900,1.97
2013-07-15,2.00,2.09,2.00,2.08,186300,2.08
2013-07-12,2.00,2.07,2.00,2.00,126200,2.00
