Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.16,0.16,0.16,0.16,21100,0.16
2013-09-19,0.16,0.16,0.16,0.16,000,0.16
2013-09-18,0.16,0.16,0.16,0.16,000,0.16
2013-09-17,0.16,0.16,0.16,0.16,000,0.16
2013-09-16,0.14,0.16,0.14,0.16,698200,0.16
2013-09-13,0.15,0.15,0.15,0.15,15000,0.15
2013-09-12,0.14,0.16,0.14,0.16,159700,0.16
2013-09-11,0.15,0.15,0.14,0.15,70700,0.15
2013-09-10,0.15,0.15,0.15,0.15,130000,0.15
2013-09-09,0.16,0.16,0.15,0.16,120000,0.16
2013-09-06,0.16,0.16,0.15,0.16,42500,0.16
2013-09-05,0.16,0.16,0.15,0.16,167400,0.16
2013-09-04,0.16,0.16,0.16,0.16,5000,0.16
2013-09-03,0.17,0.17,0.15,0.17,87700,0.17
2013-09-02,0.16,0.16,0.16,0.16,000,0.16
2013-08-30,0.15,0.16,0.15,0.16,165000,0.16
2013-08-29,0.15,0.15,0.15,0.15,30900,0.15
2013-08-28,0.16,0.16,0.15,0.15,127000,0.15
2013-08-27,0.15,0.15,0.15,0.15,150000,0.15
2013-08-26,0.16,0.16,0.16,0.16,13000,0.16
2013-08-23,0.16,0.16,0.15,0.16,71700,0.16
2013-08-22,0.16,0.16,0.16,0.16,41300,0.16
2013-08-21,0.16,0.16,0.16,0.16,000,0.16
2013-08-20,0.16,0.16,0.16,0.16,58300,0.16
2013-08-19,0.16,0.16,0.16,0.16,31200,0.16
2013-08-16,0.14,0.17,0.14,0.16,329200,0.16
2013-08-15,0.16,0.16,0.16,0.16,10000,0.16
2013-08-14,0.14,0.16,0.14,0.16,82500,0.16
2013-08-13,0.15,0.15,0.15,0.15,130000,0.15
2013-08-12,0.15,0.15,0.14,0.15,35000,0.15
2013-08-09,0.15,0.16,0.15,0.16,450000,0.16
2013-08-08,0.16,0.16,0.16,0.16,000,0.16
2013-08-07,0.16,0.16,0.16,0.16,200000,0.16
2013-08-06,0.17,0.17,0.14,0.15,896500,0.15
2013-08-05,0.18,0.19,0.17,0.17,620900,0.17
2013-08-02,0.19,0.19,0.19,0.19,000,0.19
2013-08-01,0.19,0.19,0.19,0.19,000,0.19
2013-07-31,0.19,0.19,0.17,0.19,80000,0.19
2013-07-30,0.19,0.19,0.18,0.19,252200,0.19
2013-07-29,0.18,0.19,0.18,0.19,566500,0.19
2013-07-26,0.16,0.18,0.16,0.18,328800,0.18
2013-07-25,0.16,0.17,0.16,0.17,119800,0.17
2013-07-24,0.16,0.16,0.16,0.16,10000,0.16
2013-07-23,0.16,0.16,0.16,0.16,25000,0.16
2013-07-22,0.16,0.17,0.16,0.16,198100,0.16
2013-07-19,0.16,0.17,0.16,0.17,80900,0.17
2013-07-18,0.17,0.17,0.17,0.17,000,0.17
2013-07-17,0.16,0.17,0.16,0.17,226400,0.17
2013-07-16,0.17,0.17,0.17,0.17,62800,0.17
2013-07-15,0.17,0.17,0.17,0.17,179800,0.17
2013-07-12,0.16,0.17,0.16,0.17,178900,0.17
2013-07-11,0.15,0.16,0.15,0.16,580900,0.16
2013-07-10,0.15,0.15,0.14,0.14,88400,0.14
2013-07-09,0.14,0.14,0.14,0.14,31500,0.14
2013-07-08,0.15,0.15,0.14,0.14,25000,0.14
2013-07-05,0.14,0.15,0.14,0.15,154700,0.15
2013-07-04,0.14,0.14,0.13,0.14,835000,0.14
2013-07-03,0.14,0.14,0.14,0.14,41500,0.14
2013-07-02,0.14,0.14,0.14,0.14,7000,0.14
2013-07-01,0.14,0.14,0.14,0.14,100000,0.14
2013-06-28,0.15,0.15,0.14,0.14,755000,0.14
2013-06-27,0.15,0.15,0.15,0.15,50000,0.15
2013-06-26,0.14,0.15,0.14,0.15,395000,0.15
2013-06-25,0.14,0.15,0.14,0.14,63000,0.14
