Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.03,0.03,0.03,0.03,25000,0.03
2013-09-19,0.03,0.03,0.03,0.03,125000,0.03
2013-09-18,0.03,0.03,0.03,0.03,130000,0.03
2013-09-17,0.03,0.03,0.03,0.03,27000,0.03
2013-09-16,0.03,0.03,0.03,0.03,175000,0.03
2013-09-13,0.03,0.03,0.03,0.03,40000,0.03
2013-09-12,0.03,0.03,0.03,0.03,000,0.03
2013-09-11,0.03,0.03,0.03,0.03,210000,0.03
2013-09-10,0.03,0.03,0.03,0.03,100000,0.03
2013-09-09,0.03,0.03,0.03,0.03,000,0.03
2013-09-06,0.03,0.03,0.03,0.03,80300,0.03
2013-09-05,0.03,0.03,0.03,0.03,50300,0.03
2013-09-04,0.03,0.03,0.03,0.03,37900,0.03
2013-09-03,0.03,0.03,0.03,0.03,000,0.03
2013-09-02,0.03,0.03,0.03,0.03,000,0.03
2013-08-30,0.03,0.03,0.03,0.03,270000,0.03
2013-08-29,0.03,0.03,0.03,0.03,46000,0.03
2013-08-28,0.03,0.03,0.03,0.03,70000,0.03
2013-08-27,0.03,0.03,0.03,0.03,70000,0.03
2013-08-26,0.03,0.03,0.03,0.03,116000,0.03
2013-08-23,0.03,0.03,0.03,0.03,000,0.03
2013-08-22,0.03,0.03,0.03,0.03,187000,0.03
2013-08-21,0.03,0.03,0.03,0.03,170000,0.03
2013-08-20,0.03,0.03,0.03,0.03,000,0.03
2013-08-19,0.03,0.03,0.03,0.03,100000,0.03
2013-08-16,0.03,0.03,0.03,0.03,90000,0.03
2013-08-15,0.03,0.03,0.03,0.03,20000,0.03
2013-08-14,0.03,0.03,0.03,0.03,3900,0.03
2013-08-13,0.03,0.03,0.03,0.03,20000,0.03
2013-08-12,0.03,0.03,0.03,0.03,000,0.03
2013-08-09,0.03,0.03,0.03,0.03,139000,0.03
2013-08-08,0.02,0.02,0.02,0.02,000,0.02
2013-08-07,0.02,0.02,0.02,0.02,294700,0.02
2013-08-06,0.03,0.03,0.03,0.03,406000,0.03
2013-08-05,0.03,0.03,0.03,0.03,50000,0.03
2013-08-02,0.03,0.03,0.03,0.03,70000,0.03
2013-08-01,0.03,0.03,0.03,0.03,48000,0.03
2013-07-31,0.03,0.03,0.03,0.03,000,0.03
2013-07-30,0.03,0.03,0.02,0.03,336000,0.03
2013-07-29,0.03,0.03,0.03,0.03,36600,0.03
2013-07-26,0.03,0.03,0.03,0.03,120000,0.03
2013-07-25,0.03,0.03,0.03,0.03,49000,0.03
2013-07-24,0.03,0.03,0.03,0.03,246000,0.03
