Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.48,1.49,1.48,1.48,15700,1.48
2013-09-19,1.50,1.50,1.47,1.48,60500,1.48
2013-09-18,1.48,1.48,1.47,1.48,68200,1.48
2013-09-17,1.50,1.50,1.48,1.48,69900,1.48
2013-09-16,1.48,1.49,1.48,1.49,94700,1.49
2013-09-13,1.50,1.50,1.48,1.48,3700,1.48
2013-09-12,1.50,1.50,1.50,1.50,78600,1.50
2013-09-11,1.50,1.50,1.46,1.49,46300,1.49
2013-09-10,1.55,1.55,1.49,1.52,139000,1.46
2013-09-09,1.60,1.60,1.50,1.55,328200,1.49
2013-09-06,1.60,1.60,1.60,1.60,20700,1.54
2013-09-05,1.61,1.61,1.57,1.57,488800,1.51
2013-09-04,1.64,1.64,1.64,1.64,300,1.58
2013-09-03,1.60,1.64,1.59,1.64,28100,1.58
2013-09-02,1.61,1.61,1.60,1.60,40600,1.54
2013-08-30,1.56,1.62,1.53,1.62,11600,1.57
2013-08-29,1.63,1.63,1.62,1.62,1800,1.56
2013-08-28,1.63,1.65,1.63,1.63,4800,1.57
2013-08-27,1.62,1.70,1.62,1.63,9600,1.57
2013-08-26,1.70,1.70,1.61,1.62,11600,1.56
2013-08-23,1.68,1.70,1.65,1.65,47900,1.59
2013-08-22,1.67,1.70,1.67,1.70,000,1.64
2013-08-21,1.70,1.70,1.70,1.70,000,1.64
2013-08-20,1.67,1.70,1.67,1.70,000,1.64
2013-08-19,1.69,1.70,1.68,1.69,19200,1.63
2013-08-16,1.69,1.72,1.67,1.69,56700,1.63
2013-08-15,1.77,1.80,1.69,1.69,17000,1.63
2013-08-14,1.77,1.78,1.77,1.77,4900,1.70
2013-08-13,1.78,1.78,1.78,1.78,000,1.71
2013-08-12,1.78,1.78,1.78,1.78,000,1.71
2013-08-09,1.78,1.78,1.78,1.78,3800,1.71
2013-08-08,1.78,1.78,1.76,1.78,15700,1.71
2013-08-07,1.78,1.80,1.78,1.80,26800,1.73
2013-08-06,1.78,1.78,1.78,1.78,000,1.71
2013-08-05,1.78,1.78,1.78,1.78,500,1.71
2013-08-02,1.77,1.77,1.77,1.77,000,1.70
2013-08-01,1.74,1.74,1.74,1.74,000,1.68
2013-07-31,1.74,1.74,1.74,1.74,000,1.68
2013-07-30,1.82,1.82,1.74,1.74,600,1.68
2013-07-29,1.83,1.83,1.83,1.83,1500,1.76
2013-07-26,1.84,1.84,1.83,1.83,5000,1.76
2013-07-25,1.85,1.85,1.85,1.85,000,1.78
2013-07-24,1.85,1.85,1.85,1.85,2700,1.78
2013-07-23,1.85,1.85,1.85,1.85,800,1.78
2013-07-22,1.84,1.85,1.83,1.85,15600,1.78
2013-07-19,1.83,1.84,1.82,1.84,7700,1.77
2013-07-18,1.81,1.81,1.81,1.81,100,1.74
2013-07-17,1.83,1.83,1.83,1.83,569400,1.76
2013-07-16,1.84,1.84,1.79,1.83,11500,1.76
2013-07-15,1.79,1.81,1.79,1.79,11500,1.72
2013-07-12,1.74,1.79,1.74,1.79,1800,1.72
2013-07-11,1.74,1.74,1.74,1.74,000,1.67
2013-07-10,1.79,1.79,1.79,1.79,000,1.72
2013-07-09,1.74,1.79,1.74,1.79,3900,1.72
2013-07-08,1.75,1.76,1.74,1.76,5500,1.70
2013-07-05,1.75,1.76,1.75,1.76,9500,1.70
2013-07-04,1.71,1.74,1.71,1.74,19800,1.68
2013-07-03,1.74,1.74,1.71,1.71,2500,1.65
2013-07-02,1.75,1.79,1.75,1.77,21100,1.70
2013-07-01,1.80,1.80,1.80,1.80,000,1.73
2013-06-28,1.80,1.80,1.80,1.80,5000,1.73
2013-06-27,1.89,1.89,1.89,1.89,000,1.83
2013-06-26,1.89,1.89,1.89,1.89,000,1.83
2013-06-25,1.67,1.89,1.67,1.89,14800,1.83
2013-06-24,1.77,1.77,1.77,1.77,000,1.70
2013-06-21,1.60,1.77,1.57,1.77,61600,1.70
2013-06-20,1.60,1.60,1.60,1.60,12200,1.54
2013-06-19,1.58,1.60,1.57,1.60,13200,1.54
2013-06-18,1.60,1.60,1.60,1.60,000,1.54
2013-06-17,1.70,1.70,1.58,1.60,742300,1.54
2013-06-14,1.69,1.70,1.69,1.70,6500,1.64
2013-06-13,1.60,1.70,1.60,1.65,11300,1.59
2013-06-12,1.70,1.72,1.70,1.72,229700,1.66
