Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.04,0.04,0.04,0.04,25000,0.04
2013-09-19,0.04,0.04,0.04,0.04,34900,0.04
2013-09-18,0.04,0.04,0.04,0.04,000,0.04
2013-09-17,0.04,0.04,0.04,0.04,48000,0.04
2013-09-16,0.04,0.04,0.04,0.04,39900,0.04
2013-09-13,0.04,0.04,0.04,0.04,83000,0.04
2013-09-12,0.04,0.04,0.04,0.04,3000,0.04
2013-09-11,0.04,0.04,0.04,0.04,440000,0.04
2013-09-10,0.04,0.04,0.04,0.04,445500,0.04
2013-09-09,0.04,0.04,0.04,0.04,53400,0.04
2013-09-06,0.04,0.04,0.04,0.04,164400,0.04
2013-09-05,0.04,0.04,0.04,0.04,000,0.04
2013-09-04,0.04,0.04,0.04,0.04,26000,0.04
2013-09-03,0.04,0.04,0.04,0.04,14000,0.04
2013-09-02,0.05,0.05,0.05,0.05,000,0.05
2013-08-30,0.05,0.05,0.05,0.05,000,0.05
2013-08-29,0.05,0.05,0.05,0.05,000,0.05
2013-08-28,0.04,0.05,0.04,0.05,63900,0.05
2013-08-27,0.05,0.05,0.05,0.05,000,0.05
2013-08-26,0.05,0.05,0.05,0.05,53000,0.05
2013-08-23,0.05,0.05,0.05,0.05,27000,0.05
2013-08-22,0.05,0.05,0.05,0.05,000,0.05
2013-08-21,0.05,0.05,0.05,0.05,000,0.05
2013-08-20,0.05,0.05,0.05,0.05,44000,0.05
2013-08-19,0.05,0.05,0.05,0.05,000,0.05
2013-08-16,0.05,0.05,0.05,0.05,46500,0.05
2013-08-15,0.05,0.05,0.05,0.05,000,0.05
2013-08-14,0.05,0.05,0.05,0.05,68000,0.05
2013-08-13,0.05,0.05,0.05,0.05,000,0.05
2013-08-12,0.05,0.05,0.05,0.05,20000,0.05
2013-08-09,0.05,0.05,0.05,0.05,82000,0.05
2013-08-08,0.05,0.05,0.05,0.05,000,0.05
2013-08-07,0.05,0.05,0.05,0.05,000,0.05
2013-08-06,0.05,0.05,0.05,0.05,300000,0.05
2013-08-05,0.05,0.05,0.05,0.05,85000,0.05
2013-08-02,0.05,0.05,0.05,0.05,000,0.05
2013-08-01,0.05,0.05,0.05,0.05,34000,0.05
2013-07-31,0.05,0.05,0.05,0.05,15900,0.05
2013-07-30,0.05,0.05,0.05,0.05,000,0.05
2013-07-29,0.05,0.05,0.05,0.05,000,0.05
2013-07-26,0.05,0.05,0.05,0.05,000,0.05
2013-07-25,0.05,0.05,0.05,0.05,30000,0.05
2013-07-24,0.05,0.05,0.05,0.05,000,0.05
2013-07-23,0.05,0.05,0.05,0.05,70000,0.05
2013-07-19,0.05,0.05,0.05,0.05,000,0.05
2013-07-18,0.05,0.05,0.05,0.05,43000,0.05
2013-07-17,0.05,0.05,0.05,0.05,000,0.05
2013-07-16,0.05,0.05,0.05,0.05,11000,0.05
2013-07-15,0.05,0.05,0.05,0.05,1000,0.05
2013-07-12,0.04,0.04,0.04,0.04,40000,0.04
2013-07-11,0.05,0.05,0.05,0.05,000,0.05
2013-07-10,0.05,0.05,0.05,0.05,99000,0.05
2013-07-09,0.04,0.04,0.04,0.04,16500,0.04
2013-07-08,0.04,0.04,0.04,0.04,58500,0.04
2013-07-05,0.05,0.05,0.05,0.05,000,0.05
2013-07-04,0.04,0.05,0.04,0.05,178500,0.05
2013-07-03,0.04,0.04,0.04,0.04,000,0.04
2013-07-02,0.04,0.04,0.04,0.04,50000,0.04
2013-07-01,0.03,0.04,0.03,0.04,104600,0.04
2013-06-28,0.03,0.03,0.03,0.03,705000,0.03
2013-06-27,0.04,0.04,0.03,0.03,260700,0.03
2013-06-26,0.04,0.04,0.04,0.04,113700,0.04
2013-06-25,0.04,0.04,0.04,0.04,200000,0.04
2013-06-24,0.04,0.04,0.04,0.04,155000,0.04
2013-06-21,0.04,0.04,0.04,0.04,93500,0.04
2013-06-20,0.04,0.04,0.04,0.04,56500,0.04
2013-06-18,0.04,0.05,0.04,0.04,32000,0.04
2013-06-17,0.05,0.05,0.05,0.05,24600,0.05
2013-06-14,0.05,0.05,0.05,0.05,111700,0.05
2013-06-13,0.05,0.05,0.05,0.05,000,0.05
2013-06-12,0.05,0.05,0.05,0.05,000,0.05
2013-06-11,0.05,0.05,0.05,0.05,9000,0.05
2013-06-10,0.05,0.05,0.05,0.05,000,0.05
2013-06-07,0.05,0.05,0.05,0.05,27500,0.05
2013-06-06,0.05,0.05,0.05,0.05,60600,0.05
2013-06-05,0.05,0.05,0.05,0.05,000,0.05
2013-06-04,0.05,0.05,0.05,0.05,56600,0.05
2013-06-03,0.05,0.05,0.05,0.05,135000,0.05
2013-05-31,0.05,0.05,0.05,0.05,50000,0.05
2013-05-30,0.05,0.05,0.05,0.05,80000,0.05
2013-05-29,0.05,0.05,0.05,0.05,000,0.05
2013-05-28,0.05,0.05,0.05,0.05,000,0.05
2013-05-27,0.05,0.05,0.05,0.05,000,0.05
2013-05-24,0.05,0.05,0.05,0.05,25600,0.05
2013-05-23,0.05,0.05,0.05,0.05,240000,0.05
2013-05-22,0.05,0.05,0.05,0.05,000,0.05
2013-05-21,0.05,0.05,0.05,0.05,358300,0.05
2013-05-20,0.05,0.05,0.05,0.05,30000,0.05
2013-05-17,0.05,0.06,0.05,0.06,81700,0.06
2013-05-16,0.05,0.06,0.05,0.05,215000,0.05
2013-05-15,0.06,0.06,0.06,0.06,000,0.06
2013-05-14,0.06,0.06,0.06,0.06,000,0.06
2013-05-13,0.06,0.06,0.06,0.06,000,0.06
2013-05-10,0.06,0.06,0.06,0.06,000,0.06
2013-05-09,0.06,0.06,0.06,0.06,7500,0.06
2013-05-08,0.06,0.06,0.06,0.06,3900,0.06
2013-05-07,0.06,0.07,0.06,0.07,66000,0.07
2013-05-06,0.07,0.07,0.07,0.07,000,0.07
2013-05-03,0.07,0.07,0.07,0.07,000,0.07
2013-05-02,0.07,0.07,0.07,0.07,24300,0.07
2013-05-01,0.07,0.07,0.07,0.07,000,0.07
2013-04-30,0.07,0.07,0.07,0.07,000,0.07
2013-04-26,0.06,0.06,0.06,0.06,000,0.06
2013-04-25,0.06,0.06,0.06,0.06,000,0.06
2013-04-24,0.07,0.07,0.06,0.06,96800,0.06
2013-04-23,0.07,0.07,0.06,0.06,123600,0.06
2013-04-22,0.07,0.07,0.07,0.07,97000,0.07
2013-04-19,0.05,0.07,0.05,0.07,150200,0.07
2013-04-18,0.06,0.07,0.06,0.06,364600,0.06
2013-04-17,0.06,0.06,0.06,0.06,8500,0.06
2013-04-16,0.07,0.07,0.07,0.07,70300,0.07
2013-04-15,0.09,0.09,0.07,0.08,210000,0.08
2013-04-12,0.09,0.09,0.09,0.09,118500,0.09
2013-04-11,0.09,0.09,0.09,0.09,125500,0.09
2013-04-10,0.08,0.08,0.08,0.08,6000,0.08
2013-04-09,0.08,0.08,0.08,0.08,169100,0.08
2013-04-08,0.09,0.09,0.08,0.08,146400,0.08
2013-04-05,0.08,0.08,0.08,0.08,80000,0.08
2013-04-04,0.09,0.09,0.07,0.08,96800,0.08
2013-04-03,0.08,0.09,0.07,0.09,248700,0.09
2013-04-02,0.08,0.09,0.08,0.09,279600,0.09
2013-04-01,0.08,0.08,0.08,0.08,000,0.08
2013-03-29,0.08,0.08,0.08,0.08,000,0.08
2013-03-28,0.09,0.09,0.08,0.08,306100,0.08
2013-03-27,0.09,0.09,0.09,0.09,114400,0.09
2013-03-26,0.09,0.09,0.09,0.09,000,0.09
2013-03-25,0.09,0.09,0.09,0.09,15400,0.09
