Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.02,0.02,0.02,0.02,300000,0.02
2013-09-19,0.02,0.02,0.02,0.02,160000,0.02
2013-09-18,0.02,0.02,0.02,0.02,152500,0.02
2013-09-17,0.02,0.02,0.02,0.02,150000,0.02
2013-09-16,0.02,0.02,0.02,0.02,000,0.02
2013-09-13,0.02,0.02,0.02,0.02,4000,0.02
2013-09-12,0.02,0.02,0.02,0.02,000,0.02
2013-09-11,0.02,0.02,0.02,0.02,000,0.02
2013-09-10,0.02,0.02,0.02,0.02,50000,0.02
2013-09-09,0.03,0.03,0.03,0.03,50000,0.03
2013-09-06,0.02,0.02,0.02,0.02,000,0.02
2013-09-05,0.02,0.02,0.02,0.02,100000,0.02
2013-09-04,0.02,0.02,0.02,0.02,000,0.02
2013-09-03,0.02,0.02,0.02,0.02,46000,0.02
2013-09-02,0.02,0.02,0.02,0.02,000,0.02
2013-08-30,0.02,0.02,0.02,0.02,000,0.02
2013-08-29,0.02,0.02,0.02,0.02,3400,0.02
2013-08-28,0.02,0.02,0.02,0.02,386200,0.02
2013-08-27,0.02,0.02,0.02,0.02,300000,0.02
2013-08-26,0.02,0.02,0.02,0.02,000,0.02
2013-08-23,0.02,0.02,0.02,0.02,000,0.02
2013-08-22,0.02,0.02,0.02,0.02,000,0.02
2013-08-21,0.02,0.02,0.02,0.02,100000,0.02
2013-08-20,0.02,0.02,0.02,0.02,102000,0.02
2013-08-19,0.02,0.02,0.02,0.02,000,0.02
2013-08-16,0.02,0.02,0.02,0.02,000,0.02
2013-08-15,0.02,0.02,0.02,0.02,000,0.02
2013-08-14,0.02,0.02,0.02,0.02,30000,0.02
2013-08-13,0.03,0.03,0.02,0.02,25000,0.02
2013-08-12,0.02,0.02,0.02,0.02,000,0.02
2013-08-09,0.02,0.02,0.02,0.02,16000,0.02
2013-08-08,0.03,0.03,0.03,0.03,107500,0.03
2013-08-07,0.03,0.03,0.02,0.02,297300,0.02
2013-08-06,0.03,0.03,0.03,0.03,238300,0.03
2013-08-05,0.02,0.03,0.02,0.03,269000,0.03
2013-08-02,0.02,0.02,0.02,0.02,399100,0.02
2013-08-01,0.02,0.02,0.02,0.02,311400,0.02
2013-07-31,0.02,0.02,0.02,0.02,000,0.02
