Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.10,0.10,0.10,0.10,1910300,0.10
2013-09-19,0.11,0.11,0.10,0.10,492900,0.10
2013-09-18,0.11,0.11,0.11,0.11,57100,0.11
2013-09-17,0.12,0.12,0.11,0.11,149000,0.11
2013-09-16,0.12,0.12,0.11,0.12,198800,0.12
2013-09-13,0.11,0.12,0.11,0.12,442100,0.12
2013-09-12,0.12,0.12,0.11,0.12,1031900,0.12
2013-09-11,0.12,0.14,0.12,0.12,2103700,0.12
2013-09-10,0.09,0.12,0.09,0.11,1620400,0.11
2013-09-09,0.09,0.09,0.09,0.09,18000,0.09
2013-09-06,0.09,0.09,0.09,0.09,203400,0.09
2013-09-05,0.09,0.09,0.09,0.09,131500,0.09
2013-09-04,0.09,0.09,0.09,0.09,47000,0.09
2013-09-03,0.09,0.09,0.09,0.09,99900,0.09
2013-09-02,0.09,0.09,0.09,0.09,326000,0.09
2013-08-30,0.09,0.09,0.09,0.09,142300,0.09
2013-08-29,0.09,0.09,0.09,0.09,54000,0.09
2013-08-28,0.09,0.09,0.09,0.09,243300,0.09
2013-08-27,0.09,0.09,0.09,0.09,66000,0.09
2013-08-26,0.09,0.09,0.09,0.09,55000,0.09
2013-08-23,0.09,0.09,0.09,0.09,124400,0.09
2013-08-22,0.09,0.09,0.09,0.09,320000,0.09
2013-08-21,0.09,0.09,0.09,0.09,132600,0.09
2013-08-20,0.09,0.09,0.09,0.09,60600,0.09
2013-08-19,0.09,0.09,0.09,0.09,795800,0.09
2013-08-16,0.10,0.10,0.09,0.09,362300,0.09
2013-08-15,0.10,0.10,0.10,0.10,157000,0.10
2013-08-14,0.10,0.10,0.10,0.10,331100,0.10
2013-08-13,0.10,0.10,0.09,0.10,124000,0.10
2013-08-12,0.10,0.10,0.10,0.10,28500,0.10
2013-08-09,0.09,0.10,0.09,0.10,365000,0.10
2013-08-08,0.09,0.09,0.09,0.09,107800,0.09
2013-08-07,0.09,0.09,0.09,0.09,114200,0.09
2013-08-06,0.10,0.10,0.10,0.10,93300,0.10
2013-08-05,0.09,0.10,0.09,0.10,68500,0.10
2013-08-02,0.10,0.10,0.09,0.09,15000,0.09
2013-08-01,0.10,0.10,0.10,0.10,239200,0.10
2013-07-31,0.10,0.10,0.10,0.10,47300,0.10
2013-07-30,0.10,0.10,0.10,0.10,25000,0.10
2013-07-29,0.10,0.11,0.10,0.10,89800,0.10
2013-07-26,0.10,0.10,0.10,0.10,147600,0.10
2013-07-25,0.10,0.10,0.10,0.10,256300,0.10
2013-07-24,0.10,0.10,0.10,0.10,61100,0.10
2013-07-23,0.10,0.10,0.09,0.10,194000,0.10
2013-07-22,0.10,0.10,0.09,0.10,301000,0.10
2013-07-19,0.11,0.11,0.10,0.10,921500,0.10
2013-07-18,0.10,0.12,0.10,0.12,563700,0.12
2013-07-17,0.10,0.10,0.10,0.10,444000,0.10
2013-07-16,0.10,0.10,0.09,0.09,231500,0.09
2013-07-15,0.09,0.10,0.09,0.10,129400,0.10
2013-07-12,0.09,0.09,0.09,0.09,120000,0.09
2013-07-11,0.08,0.09,0.08,0.09,166500,0.09
2013-07-10,0.09,0.09,0.08,0.08,172900,0.08
2013-07-09,0.09,0.09,0.09,0.09,70800,0.09
2013-07-08,0.08,0.08,0.08,0.08,7100,0.08
2013-07-05,0.08,0.09,0.08,0.08,173200,0.08
2013-07-04,0.08,0.08,0.08,0.08,161200,0.08
2013-07-03,0.08,0.08,0.08,0.08,99900,0.08
2013-07-02,0.08,0.08,0.08,0.08,304000,0.08
2013-07-01,0.08,0.08,0.08,0.08,587600,0.08
2013-06-28,0.08,0.08,0.08,0.08,1414700,0.08
2013-06-27,0.07,0.07,0.07,0.07,500900,0.07
2013-06-26,0.06,0.07,0.06,0.07,985400,0.07
2013-06-25,0.07,0.07,0.06,0.06,781100,0.06
2013-06-24,0.08,0.08,0.06,0.07,1214200,0.07
2013-06-21,0.09,0.09,0.08,0.08,367500,0.08
2013-06-20,0.09,0.09,0.09,0.09,297600,0.09
2013-06-19,0.09,0.10,0.09,0.09,922800,0.09
2013-06-18,0.10,0.10,0.09,0.09,349400,0.09
2013-06-17,0.10,0.10,0.09,0.09,152500,0.09
2013-06-14,0.09,0.10,0.09,0.10,70700,0.10
2013-06-13,0.10,0.10,0.09,0.10,576100,0.10
2013-06-12,0.10,0.10,0.10,0.10,198000,0.10
2013-06-11,0.11,0.11,0.10,0.10,340500,0.10
2013-06-10,0.10,0.10,0.10,0.10,000,0.10
2013-06-07,0.10,0.11,0.10,0.10,236800,0.10
2013-06-06,0.10,0.10,0.10,0.10,137800,0.10
2013-06-05,0.11,0.11,0.10,0.11,966600,0.11
2013-06-04,0.12,0.12,0.10,0.10,811600,0.10
2013-06-03,0.10,0.10,0.10,0.10,131700,0.10
2013-05-31,0.10,0.11,0.10,0.10,257300,0.10
2013-05-30,0.10,0.10,0.10,0.10,230100,0.10
2013-05-29,0.11,0.11,0.10,0.10,118000,0.10
2013-05-28,0.10,0.11,0.10,0.10,392900,0.10
2013-05-27,0.10,0.11,0.10,0.10,249200,0.10
2013-05-24,0.11,0.11,0.10,0.10,150500,0.10
2013-05-23,0.11,0.12,0.11,0.11,119500,0.11
2013-05-22,0.12,0.12,0.10,0.12,382300,0.12
2013-05-21,0.11,0.12,0.10,0.11,449800,0.11
2013-05-20,0.12,0.12,0.10,0.10,734700,0.10
2013-05-17,0.12,0.12,0.12,0.12,238400,0.12
2013-05-16,0.12,0.12,0.12,0.12,224000,0.12
2013-05-15,0.13,0.14,0.12,0.12,239400,0.12
2013-05-14,0.14,0.14,0.13,0.14,227300,0.14
2013-05-13,0.12,0.14,0.12,0.14,587400,0.14
2013-05-10,0.11,0.12,0.11,0.12,1243300,0.12
2013-05-09,0.11,0.11,0.10,0.11,71900,0.11
2013-05-08,0.10,0.12,0.10,0.11,99600,0.11
2013-05-07,0.10,0.11,0.10,0.11,42300,0.11
2013-05-06,0.11,0.11,0.10,0.10,198900,0.10
2013-05-03,0.11,0.11,0.10,0.10,87400,0.10
2013-05-02,0.11,0.11,0.10,0.11,170500,0.11
2013-05-01,0.10,0.11,0.10,0.11,310500,0.11
2013-04-30,0.10,0.11,0.10,0.10,651800,0.10
2013-04-29,0.11,0.11,0.10,0.10,195300,0.10
2013-04-26,0.10,0.11,0.10,0.11,285800,0.11
2013-04-25,0.10,0.10,0.10,0.10,000,0.10
2013-04-24,0.12,0.12,0.10,0.10,500900,0.10
2013-04-23,0.11,0.12,0.11,0.11,402400,0.11
2013-04-22,0.12,0.12,0.11,0.11,642100,0.11
2013-04-19,0.10,0.12,0.10,0.12,642800,0.12
2013-04-18,0.11,0.12,0.11,0.11,644400,0.11
2013-04-17,0.12,0.12,0.11,0.11,313400,0.11
2013-04-16,0.12,0.12,0.11,0.12,574900,0.12
2013-04-15,0.12,0.12,0.12,0.12,59400,0.12
2013-04-12,0.12,0.12,0.12,0.12,227500,0.12
2013-04-11,0.12,0.12,0.12,0.12,430100,0.12
2013-04-10,0.12,0.12,0.12,0.12,319100,0.12
2013-04-09,0.12,0.12,0.12,0.12,414700,0.12
2013-04-08,0.12,0.12,0.12,0.12,568700,0.12
2013-04-05,0.12,0.12,0.11,0.12,403200,0.12
2013-04-04,0.12,0.12,0.11,0.12,1989100,0.12
2013-04-03,0.14,0.14,0.12,0.12,1258100,0.12
2013-04-02,0.14,0.14,0.14,0.14,314700,0.14
2013-04-01,0.14,0.14,0.14,0.14,000,0.14
2013-03-29,0.14,0.14,0.14,0.14,000,0.14
2013-03-28,0.14,0.14,0.14,0.14,367600,0.14
2013-03-27,0.14,0.14,0.14,0.14,456400,0.14
2013-03-26,0.15,0.15,0.14,0.14,339200,0.14
2013-03-25,0.15,0.15,0.14,0.14,253300,0.14
2013-03-22,0.15,0.15,0.14,0.15,786600,0.15
2013-03-21,0.15,0.16,0.15,0.16,95200,0.16
2013-03-20,0.16,0.16,0.15,0.16,923700,0.16
2013-03-19,0.15,0.16,0.15,0.16,338200,0.16
2013-03-18,0.16,0.16,0.16,0.16,154600,0.16
2013-03-15,0.17,0.17,0.16,0.16,1772500,0.16
2013-03-14,0.17,0.17,0.17,0.17,326000,0.17
2013-03-13,0.17,0.17,0.17,0.17,230300,0.17
2013-03-12,0.17,0.17,0.17,0.17,263700,0.17
2013-03-11,0.17,0.17,0.17,0.17,152100,0.17
2013-03-08,0.17,0.17,0.17,0.17,223000,0.17
2013-03-07,0.17,0.17,0.17,0.17,549600,0.17
2013-03-06,0.17,0.17,0.17,0.17,752900,0.17
2013-03-05,0.17,0.17,0.17,0.17,150800,0.17
2013-03-04,0.17,0.18,0.17,0.17,203200,0.17
2013-03-01,0.18,0.18,0.17,0.18,524500,0.18
2013-02-28,0.17,0.17,0.17,0.17,113200,0.17
2013-02-27,0.17,0.17,0.17,0.17,458200,0.17
2013-02-26,0.17,0.17,0.17,0.17,337500,0.17
2013-02-25,0.17,0.17,0.17,0.17,594300,0.17
2013-02-22,0.17,0.18,0.17,0.17,289600,0.17
2013-02-21,0.17,0.18,0.17,0.17,243200,0.17
2013-02-20,0.17,0.18,0.17,0.18,274600,0.18
2013-02-19,0.18,0.18,0.17,0.17,31100,0.17
2013-02-18,0.17,0.18,0.17,0.18,208000,0.18
2013-02-15,0.18,0.18,0.17,0.18,200300,0.18
2013-02-14,0.18,0.19,0.18,0.19,88700,0.19
2013-02-13,0.17,0.19,0.17,0.18,432100,0.18
2013-02-12,0.17,0.19,0.17,0.17,461400,0.17
2013-02-11,0.18,0.18,0.17,0.17,862400,0.17
2013-02-08,0.19,0.19,0.18,0.19,103200,0.19
2013-02-07,0.19,0.19,0.18,0.19,203600,0.19
2013-02-06,0.19,0.19,0.18,0.19,578800,0.19
2013-02-05,0.19,0.19,0.19,0.19,168200,0.19
2013-02-04,0.19,0.20,0.19,0.20,212000,0.20
2013-02-01,0.19,0.19,0.19,0.19,93900,0.19
2013-01-31,0.20,0.20,0.19,0.19,389100,0.19
2013-01-30,0.21,0.21,0.19,0.20,502900,0.20
2013-01-29,0.20,0.20,0.20,0.20,301900,0.20
2013-01-28,0.20,0.20,0.20,0.20,000,0.20
2013-01-25,0.20,0.20,0.19,0.20,577800,0.20
2013-01-24,0.20,0.20,0.19,0.19,615700,0.19
2013-01-23,0.22,0.22,0.20,0.20,636100,0.20
2013-01-22,0.21,0.22,0.20,0.22,1041600,0.22
2013-01-21,0.20,0.20,0.20,0.20,296400,0.20
2013-01-18,0.19,0.20,0.19,0.20,271600,0.20
2013-01-17,0.19,0.20,0.19,0.19,182300,0.19
2013-01-16,0.20,0.20,0.19,0.19,236100,0.19
2013-01-15,0.20,0.20,0.19,0.19,309000,0.19
2013-01-14,0.22,0.22,0.20,0.20,604500,0.20
2013-01-11,0.20,0.22,0.20,0.21,1321500,0.21
2013-01-10,0.21,0.21,0.20,0.20,240600,0.20
2013-01-09,0.20,0.21,0.19,0.21,528700,0.21
2013-01-08,0.20,0.21,0.19,0.19,922300,0.19
2013-01-07,0.19,0.21,0.19,0.21,1786800,0.21
2013-01-04,0.19,0.19,0.18,0.19,1480900,0.19
2013-01-03,0.17,0.19,0.17,0.19,1443700,0.19
2013-01-02,0.18,0.18,0.17,0.17,175800,0.17
2013-01-01,0.18,0.18,0.18,0.18,000,0.18
2012-12-31,0.17,0.18,0.17,0.18,78400,0.18
2012-12-28,0.17,0.18,0.17,0.17,661100,0.17
2012-12-27,0.17,0.17,0.17,0.17,270400,0.17
2012-12-26,0.17,0.17,0.17,0.17,000,0.17
2012-12-25,0.17,0.17,0.17,0.17,000,0.17
2012-12-24,0.17,0.17,0.17,0.17,319200,0.17
2012-12-21,0.17,0.17,0.17,0.17,979800,0.17
2012-12-20,0.17,0.17,0.17,0.17,837900,0.17
2012-12-19,0.17,0.17,0.17,0.17,576000,0.17
2012-12-18,0.18,0.18,0.17,0.17,1418000,0.17
2012-12-17,0.17,0.18,0.17,0.18,1633400,0.18
2012-12-14,0.17,0.17,0.17,0.17,441800,0.17
2012-12-13,0.17,0.17,0.17,0.17,357500,0.17
2012-12-12,0.17,0.17,0.17,0.17,395000,0.17
2012-12-11,0.17,0.18,0.17,0.17,781800,0.17
2012-12-10,0.17,0.17,0.17,0.17,434100,0.17
2012-12-07,0.17,0.17,0.17,0.17,289600,0.17
2012-12-06,0.17,0.17,0.17,0.17,215300,0.17
2012-12-05,0.17,0.17,0.17,0.17,124600,0.17
2012-12-04,0.17,0.17,0.17,0.17,228800,0.17
2012-12-03,0.17,0.18,0.17,0.17,184500,0.17
2012-11-30,0.17,0.18,0.17,0.17,112400,0.17
2012-11-29,0.18,0.18,0.17,0.17,302500,0.17
2012-11-28,0.19,0.19,0.18,0.19,331000,0.19
2012-11-27,0.19,0.19,0.19,0.19,374700,0.19
2012-11-26,0.19,0.19,0.18,0.18,596300,0.18
2012-11-23,0.17,0.19,0.17,0.19,516500,0.19
2012-11-22,0.17,0.17,0.17,0.17,367200,0.17
2012-11-21,0.17,0.17,0.17,0.17,550300,0.17
2012-11-20,0.17,0.17,0.17,0.17,448800,0.17
2012-11-19,0.17,0.17,0.17,0.17,193000,0.17
2012-11-16,0.17,0.17,0.17,0.17,255300,0.17
2012-11-15,0.17,0.17,0.17,0.17,770200,0.17
2012-11-14,0.17,0.18,0.17,0.17,650100,0.17
2012-11-13,0.17,0.17,0.17,0.17,154000,0.17
2012-11-12,0.18,0.19,0.17,0.17,1576800,0.17
2012-11-09,0.19,0.19,0.18,0.18,905500,0.18
2012-11-08,0.19,0.19,0.19,0.19,373500,0.19
2012-11-07,0.19,0.19,0.19,0.19,242600,0.19
2012-11-06,0.19,0.20,0.19,0.19,315500,0.19
2012-11-05,0.19,0.19,0.19,0.19,534300,0.19
2012-11-02,0.21,0.21,0.19,0.19,480900,0.19
2012-11-01,0.20,0.20,0.20,0.20,554300,0.20
