Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.00,0.00,0.00,0.00,100000,0.00
2013-09-19,0.00,0.00,0.00,0.00,1010000,0.00
2013-09-18,0.01,0.01,0.01,0.01,21345600,0.01
2013-09-17,0.01,0.01,0.01,0.01,9316300,0.01
2013-09-16,0.00,0.00,0.00,0.00,000,0.00
2013-09-13,0.00,0.00,0.00,0.00,6665700,0.00
2013-09-12,0.00,0.00,0.00,0.00,485000,0.00
2013-09-11,0.00,0.00,0.00,0.00,000,0.00
2013-09-10,0.00,0.00,0.00,0.00,399900,0.00
2013-09-09,0.00,0.00,0.00,0.00,1957900,0.00
2013-09-06,0.00,0.01,0.00,0.01,6744700,0.01
2013-09-05,0.00,0.01,0.00,0.00,32748700,0.00
2013-09-04,0.00,0.00,0.00,0.00,750000,0.00
2013-09-03,0.00,0.01,0.00,0.01,10345000,0.01
2013-09-02,0.01,0.01,0.01,0.01,6382000,0.01
2013-08-30,0.01,0.01,0.01,0.01,158800,0.01
2013-08-29,0.01,0.01,0.01,0.01,7654400,0.01
2013-08-28,0.01,0.01,0.01,0.01,174600,0.01
2013-08-27,0.01,0.01,0.01,0.01,1874500,0.01
2013-08-26,0.01,0.01,0.01,0.01,1440000,0.01
2013-08-23,0.01,0.01,0.01,0.01,2871000,0.01
2013-08-22,0.01,0.01,0.01,0.01,5139000,0.01
2013-08-21,0.01,0.01,0.01,0.01,11501400,0.01
2013-08-20,0.01,0.01,0.01,0.01,100000,0.01
2013-08-19,0.01,0.01,0.01,0.01,449700,0.01
2013-08-16,0.01,0.01,0.01,0.01,466600,0.01
2013-08-15,0.01,0.01,0.01,0.01,600000,0.01
2013-08-14,0.01,0.01,0.01,0.01,400200,0.01
2013-08-13,0.01,0.01,0.01,0.01,000,0.01
2013-08-12,0.01,0.01,0.01,0.01,000,0.01
2013-08-09,0.01,0.01,0.01,0.01,1170000,0.01
2013-08-08,0.01,0.01,0.01,0.01,1000000,0.01
2013-08-07,0.01,0.01,0.01,0.01,2140800,0.01
2013-08-06,0.01,0.01,0.01,0.01,000,0.01
2013-08-05,0.01,0.01,0.01,0.01,365000,0.01
2013-08-02,0.01,0.01,0.01,0.01,2386400,0.01
2013-08-01,0.01,0.01,0.01,0.01,659800,0.01
2013-07-31,0.01,0.01,0.01,0.01,000,0.01
2013-07-30,0.01,0.01,0.01,0.01,000,0.01
2013-07-29,0.01,0.01,0.01,0.01,100000,0.01
2013-07-26,0.01,0.01,0.01,0.01,65000,0.01
2013-07-25,0.01,0.01,0.01,0.01,530000,0.01
2013-07-24,0.01,0.01,0.01,0.01,6878200,0.01
2013-07-23,0.01,0.01,0.01,0.01,000,0.01
2013-07-22,0.01,0.01,0.01,0.01,000,0.01
2013-07-19,0.01,0.01,0.01,0.01,1000500,0.01
2013-07-18,0.01,0.01,0.01,0.01,299000,0.01
2013-07-17,0.01,0.01,0.01,0.01,645000,0.01
2013-07-16,0.01,0.01,0.01,0.01,200000,0.01
