Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.72,1.73,1.67,1.68,2734100,1.63
2013-09-19,1.70,1.76,1.70,1.73,2697900,1.67
2013-09-18,1.76,1.76,1.66,1.69,2799800,1.63
2013-09-17,1.75,1.77,1.74,1.75,1819000,1.69
2013-09-16,1.69,1.82,1.68,1.75,3709200,1.69
2013-09-13,1.75,1.75,1.65,1.67,4688500,1.61
2013-09-12,1.80,1.83,1.73,1.76,2827200,1.71
2013-09-11,1.83,1.86,1.80,1.81,2696100,1.75
2013-09-10,1.90,1.90,1.80,1.82,1619800,1.75
2013-09-09,1.83,1.91,1.81,1.88,2789100,1.81
2013-09-06,1.85,1.87,1.79,1.84,2458100,1.77
2013-09-05,1.86,1.92,1.77,1.88,5663900,1.81
2013-09-04,1.76,1.88,1.76,1.87,7658300,1.80
2013-09-03,1.62,1.83,1.62,1.80,12810100,1.75
2013-09-02,1.46,1.62,1.46,1.57,6633200,1.52
2013-08-30,1.43,1.49,1.41,1.47,4790600,1.42
2013-08-29,1.26,1.48,1.26,1.46,12350400,1.41
2013-08-28,1.26,1.36,1.22,1.26,5480100,1.22
2013-08-27,1.41,1.42,1.28,1.29,5280600,1.25
2013-08-26,1.46,1.48,1.42,1.42,2253100,1.38
2013-08-23,1.44,1.50,1.44,1.46,3553200,1.41
2013-08-22,1.44,1.45,1.37,1.41,4037200,1.36
2013-08-21,1.44,1.50,1.44,1.47,3020900,1.42
2013-08-20,1.49,1.49,1.39,1.43,4112100,1.38
2013-08-19,1.38,1.52,1.38,1.51,4244100,1.46
2013-08-16,1.37,1.38,1.34,1.38,2398200,1.34
2013-08-15,1.36,1.39,1.34,1.38,2694800,1.34
2013-08-14,1.42,1.43,1.32,1.35,6338500,1.31
2013-08-13,1.25,1.41,1.25,1.38,8398000,1.34
2013-08-12,1.16,1.24,1.16,1.24,3773200,1.20
2013-08-09,1.15,1.20,1.14,1.14,2394100,1.11
2013-08-08,1.13,1.16,1.13,1.13,1668200,1.10
2013-08-07,1.17,1.17,1.09,1.13,3973700,1.10
2013-08-06,1.17,1.18,1.14,1.17,2725200,1.13
2013-08-05,1.15,1.18,1.15,1.16,4211700,1.12
2013-08-02,1.17,1.17,1.12,1.12,3848900,1.09
2013-08-01,1.10,1.15,1.09,1.15,5601700,1.11
2013-07-31,1.10,1.12,1.08,1.08,2498700,1.04
2013-07-30,1.12,1.12,1.08,1.10,2965400,1.06
2013-07-29,1.10,1.12,1.09,1.10,3707400,1.06
2013-07-26,1.07,1.13,1.02,1.10,8296000,1.06
2013-07-25,1.26,1.27,1.07,1.09,12067200,1.05
2013-07-24,1.22,1.29,1.21,1.27,5695900,1.23
2013-07-23,1.22,1.24,1.17,1.21,4412000,1.17
2013-07-22,1.16,1.21,1.13,1.20,3282400,1.16
2013-07-19,1.19,1.22,1.13,1.14,4486700,1.10
2013-07-18,1.24,1.26,1.15,1.17,8410600,1.14
2013-07-17,1.06,1.22,1.05,1.21,7211100,1.17
2013-07-16,1.03,1.08,1.01,1.04,4884700,1.01
2013-07-15,1.02,1.04,0.98,1.01,4079300,0.98
2013-07-12,1.01,1.03,0.96,1.00,7819600,0.97
2013-07-11,0.87,0.95,0.86,0.95,5603600,0.92
2013-07-10,0.87,0.88,0.83,0.85,3208100,0.82
2013-07-09,0.85,0.86,0.81,0.85,3440200,0.82
2013-07-08,0.91,0.93,0.81,0.81,8304700,0.79
2013-07-05,0.85,0.92,0.85,0.89,5731400,0.87
2013-07-04,0.82,0.85,0.81,0.82,2225500,0.80
2013-07-03,0.81,0.82,0.78,0.79,3225900,0.76
2013-07-02,0.80,0.85,0.80,0.83,4573600,0.80
2013-07-01,0.85,0.86,0.79,0.79,5061200,0.76
2013-06-28,0.87,0.88,0.81,0.86,11060400,0.83
2013-06-27,0.93,0.93,0.84,0.86,11214300,0.83
2013-06-26,0.93,0.97,0.91,0.92,5698800,0.88
2013-06-25,1.01,1.01,0.93,0.95,5987200,0.92
2013-06-24,1.02,1.02,0.99,1.02,4440100,0.99
2013-06-21,1.12,1.13,0.98,1.04,11371900,1.01
2013-06-20,1.16,1.18,1.13,1.15,3892900,1.12
2013-06-19,1.13,1.21,1.13,1.20,1971100,1.16
2013-06-18,1.16,1.17,1.12,1.13,2719200,1.09
2013-06-17,1.15,1.20,1.12,1.17,3479900,1.14
2013-06-14,1.14,1.21,1.14,1.18,2504200,1.14
2013-06-13,1.20,1.20,1.14,1.14,2917900,1.10
2013-06-12,1.20,1.23,1.16,1.19,2226900,1.15
2013-06-11,1.25,1.25,1.18,1.21,1607100,1.16
2013-06-10,1.25,1.25,1.25,1.25,000,1.21
2013-06-07,1.26,1.27,1.22,1.25,2816000,1.21
2013-06-06,1.33,1.33,1.22,1.24,4104500,1.20
2013-06-05,1.34,1.37,1.32,1.33,2739600,1.29
2013-06-04,1.32,1.35,1.29,1.35,1777000,1.30
2013-06-03,1.28,1.35,1.26,1.30,1891100,1.26
2013-05-31,1.39,1.43,1.25,1.28,4959000,1.24
2013-05-30,1.25,1.37,1.24,1.36,3612500,1.31
2013-05-29,1.23,1.26,1.20,1.25,3015700,1.21
2013-05-28,1.20,1.24,1.18,1.21,2411100,1.16
2013-05-27,1.21,1.22,1.15,1.20,3396900,1.16
2013-05-24,1.13,1.21,1.12,1.19,5293900,1.15
2013-05-23,1.18,1.18,1.07,1.13,5145300,1.09
2013-05-22,1.24,1.25,1.12,1.17,7487500,1.13
2013-05-21,1.30,1.30,1.18,1.24,5345400,1.20
2013-05-20,1.30,1.33,1.27,1.27,3148100,1.23
2013-05-17,1.36,1.38,1.27,1.29,6798400,1.25
2013-05-16,1.54,1.55,1.30,1.35,6127300,1.30
2013-05-15,1.61,1.61,1.47,1.52,3469500,1.47
2013-05-14,1.70,1.71,1.61,1.63,2697500,1.58
2013-05-13,1.73,1.75,1.67,1.69,3190500,1.63
2013-05-10,1.70,1.75,1.69,1.71,4424000,1.65
2013-05-09,1.59,1.69,1.59,1.67,5671300,1.61
2013-05-08,1.60,1.63,1.55,1.58,3384400,1.52
2013-05-07,1.55,1.63,1.52,1.56,5754800,1.51
2013-05-06,1.51,1.61,1.50,1.58,4457500,1.53
2013-05-03,1.51,1.54,1.49,1.49,2457600,1.44
2013-05-02,1.50,1.52,1.46,1.49,1989000,1.44
2013-05-01,1.54,1.58,1.46,1.50,3777200,1.45
2013-04-30,1.60,1.62,1.51,1.51,2937700,1.46
2013-04-29,1.65,1.65,1.59,1.60,1364300,1.55
2013-04-26,1.65,1.70,1.63,1.64,2748300,1.59
2013-04-25,1.62,1.62,1.62,1.62,000,1.57
2013-04-24,1.56,1.65,1.55,1.62,2775500,1.57
2013-04-23,1.66,1.67,1.53,1.56,4529300,1.51
2013-04-22,1.69,1.71,1.60,1.64,4061100,1.59
2013-04-19,1.65,1.68,1.61,1.67,7098000,1.62
2013-04-18,1.85,1.85,1.71,1.72,4398600,1.66
2013-04-17,1.84,2.05,1.69,1.93,3762000,1.87
2013-04-16,2.12,2.12,2.12,2.12,000,2.05
2013-04-15,2.28,2.28,2.07,2.12,2764700,2.05
2013-04-12,2.42,2.46,2.27,2.31,2489300,2.23
2013-04-11,2.42,2.53,2.42,2.43,2517700,2.35
2013-04-10,2.39,2.46,2.35,2.41,3048600,2.33
2013-04-09,2.41,2.47,2.39,2.44,3795000,2.30
2013-04-08,2.49,2.54,2.36,2.37,3014000,2.23
2013-04-05,2.56,2.58,2.43,2.43,4474200,2.29
2013-04-04,2.63,2.63,2.48,2.52,2554800,2.37
