Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,35.35,35.50,35.25,35.33,764800,35.33
2013-09-19,35.51,35.55,35.26,35.26,759000,35.26
2013-09-18,35.56,35.56,35.10,35.13,582300,35.13
2013-09-17,35.26,35.55,35.06,35.50,693000,35.50
2013-09-16,35.28,35.50,34.97,35.42,460600,35.42
2013-09-13,35.29,35.33,34.85,34.85,686300,34.85
2013-09-12,35.03,35.35,35.00,35.35,710800,35.35
2013-09-11,34.63,35.03,34.62,35.02,661800,35.02
2013-09-10,34.67,34.93,34.60,34.63,309000,34.63
2013-09-09,34.77,35.04,34.63,34.69,456200,34.69
2013-09-06,34.46,34.50,34.20,34.49,523800,34.49
2013-09-05,34.60,34.60,34.21,34.45,530200,34.45
2013-09-04,34.55,34.63,34.36,34.50,475700,34.50
2013-09-03,35.20,35.23,34.68,34.69,493300,34.69
2013-09-02,34.91,35.25,34.89,35.17,484100,35.17
2013-08-30,35.45,35.50,35.18,35.45,1107500,34.63
2013-08-29,35.30,35.33,35.02,35.32,614300,34.50
2013-08-28,35.14,35.32,34.94,35.30,567100,34.48
2013-08-27,35.40,35.52,35.08,35.40,335500,34.58
2013-08-26,35.50,35.68,35.36,35.50,384500,34.68
2013-08-23,35.30,35.81,35.09,35.55,516000,34.72
2013-08-22,35.35,35.50,34.90,35.12,554200,34.30
2013-08-21,35.74,35.93,35.35,35.62,366200,34.79
2013-08-20,35.71,35.76,35.40,35.60,358300,34.77
2013-08-19,35.80,36.10,35.65,35.85,338100,35.02
2013-08-16,35.88,36.05,35.56,35.70,413800,34.87
2013-08-15,35.83,36.30,35.70,36.09,959900,35.25
2013-08-14,35.29,35.88,35.29,35.81,685200,34.98
2013-08-13,35.05,35.44,35.00,35.30,757100,34.48
2013-08-12,35.05,35.31,34.86,35.05,509300,34.24
2013-08-09,35.95,36.00,35.02,35.25,519100,34.43
2013-08-08,35.10,35.88,35.10,35.76,957100,34.93
2013-08-07,35.74,35.87,35.04,35.04,678200,34.23
2013-08-06,35.70,36.32,35.40,35.70,1367500,34.87
2013-08-05,35.47,35.85,34.68,34.91,326100,34.10
2013-08-02,34.59,35.15,34.59,35.03,909000,34.22
2013-08-01,34.75,34.86,34.33,34.59,441200,33.79
2013-07-31,34.80,34.93,34.67,34.70,560800,33.89
2013-07-30,34.64,34.68,34.33,34.57,519800,33.77
2013-07-29,34.55,34.62,34.25,34.50,426100,33.70
2013-07-26,34.70,34.88,34.60,34.60,617600,33.80
2013-07-25,34.90,34.90,34.66,34.76,513400,33.95
2013-07-24,34.70,34.99,34.65,34.79,396800,33.98
2013-07-23,34.90,35.02,34.68,34.76,606100,33.95
2013-07-22,34.85,35.00,34.67,34.76,531800,33.95
2013-07-19,34.77,34.97,34.60,34.80,724000,33.99
2013-07-18,34.95,35.07,34.66,34.76,498200,33.95
2013-07-17,34.74,34.87,34.38,34.76,450100,33.95
2013-07-16,35.10,35.30,34.76,35.00,287200,34.19
2013-07-15,35.07,35.38,34.95,35.16,585100,34.34
2013-07-12,34.77,35.16,34.30,34.80,673400,33.99
2013-07-11,34.55,34.92,34.17,34.84,1115100,34.03
2013-07-10,34.32,34.78,34.32,34.36,683300,33.56
2013-07-09,34.51,34.58,34.21,34.40,640300,33.60
2013-07-08,34.10,34.41,33.77,34.08,507200,33.29
2013-07-05,34.12,34.40,34.01,34.11,536200,33.32
2013-07-04,33.60,34.32,33.43,34.15,557500,33.36
2013-07-03,34.00,34.00,33.39,33.72,1102200,32.94
2013-07-02,33.51,34.16,33.24,34.15,1031000,33.36
2013-07-01,33.10,33.38,32.94,33.27,800100,32.50
2013-06-28,33.15,33.29,32.99,33.07,1081200,32.30
2013-06-27,32.98,33.13,32.69,33.03,809500,32.26
2013-06-26,32.32,32.74,32.19,32.70,835100,31.94
2013-06-25,32.50,32.57,32.06,32.21,1196700,31.46
2013-06-24,33.11,33.14,32.60,32.63,656100,31.87
2013-06-21,32.96,33.11,32.70,33.10,1022000,32.33
2013-06-20,33.00,33.42,33.00,33.00,1196100,32.23
2013-06-19,33.88,33.88,33.44,33.50,1007400,32.72
2013-06-18,33.66,33.67,33.19,33.60,1156600,32.82
2013-06-17,33.37,33.90,33.16,33.66,1794100,32.88
2013-06-14,34.01,34.40,32.51,33.15,2512100,32.38
2013-06-13,35.84,35.84,35.84,35.84,000,35.01
2013-06-12,35.84,35.84,35.84,35.84,000,35.01
2013-06-11,35.84,35.84,35.84,35.84,000,35.01
2013-06-10,35.84,35.84,35.84,35.84,000,35.01
2013-06-07,36.00,36.06,35.62,35.84,645000,35.01
2013-06-06,36.13,36.40,35.86,36.14,852100,35.30
2013-06-05,36.50,36.64,36.38,36.44,533200,35.59
2013-06-04,37.10,37.10,36.51,36.80,565800,35.95
2013-06-03,37.20,37.68,36.83,36.92,953200,36.06
2013-05-31,37.61,37.92,37.40,37.40,1245300,36.53
2013-05-30,37.65,38.09,37.38,37.49,491000,36.62
2013-05-29,38.44,38.65,37.90,37.92,422500,37.04
2013-05-28,38.00,38.44,37.75,38.25,456700,37.36
2013-05-27,38.07,38.31,37.79,38.05,533500,37.17
2013-05-24,39.00,39.08,37.74,38.07,797300,37.19
2013-05-23,39.71,39.71,38.68,38.76,809500,37.86
2013-05-22,39.74,39.97,39.40,39.77,625600,38.85
2013-05-21,39.53,39.74,39.02,39.57,460300,38.65
2013-05-20,39.40,40.00,39.30,39.70,288800,38.78
2013-05-17,39.10,39.83,39.05,39.36,557700,38.45
2013-05-16,39.50,39.50,38.89,39.10,689100,38.19
2013-05-15,39.25,39.50,39.00,39.33,437600,38.42
2013-05-14,39.30,39.49,38.94,39.20,400500,38.29
2013-05-13,38.71,39.24,38.71,39.04,466800,38.13
2013-05-10,38.35,38.76,38.31,38.69,533100,37.79
2013-05-09,38.25,38.58,38.21,38.42,593400,37.53
2013-05-08,37.86,38.49,37.80,38.16,654000,37.27
2013-05-07,37.81,38.00,37.42,37.83,631100,36.95
2013-05-06,38.00,38.19,37.53,37.60,534300,36.73
2013-05-03,37.75,38.01,37.60,37.84,712700,36.96
2013-05-02,37.45,37.77,37.20,37.68,476400,36.81
2013-05-01,37.70,38.07,37.57,37.77,460100,36.89
2013-04-30,37.28,37.67,37.00,37.61,928900,36.74
2013-04-29,37.10,37.40,37.02,37.17,405600,36.31
2013-04-26,37.20,37.56,36.92,37.10,613000,36.24
2013-04-25,37.28,37.28,37.28,37.28,000,36.41
2013-04-24,37.00,37.28,36.84,37.28,847700,36.41
2013-04-23,36.95,37.29,36.65,36.92,445000,36.06
2013-04-22,36.30,36.88,36.16,36.81,767300,35.96
2013-04-19,36.94,37.12,36.09,36.17,750600,35.33
2013-04-18,37.04,37.10,36.62,36.73,740200,35.88
2013-04-17,36.75,37.28,36.72,37.17,696700,36.31
2013-04-16,36.60,36.82,36.52,36.75,694300,35.90
2013-04-15,36.67,36.90,36.26,36.81,567000,35.96
2013-04-12,36.50,36.90,36.47,36.79,689100,35.94
2013-04-11,36.63,36.90,36.48,36.62,698000,35.77
2013-04-10,36.36,36.68,36.15,36.44,766100,35.59
2013-04-09,36.20,36.45,36.20,36.45,888200,35.60
2013-04-08,36.02,36.44,35.97,36.12,591600,35.28
2013-04-05,36.05,36.48,35.91,36.02,1063500,35.18
2013-04-04,36.44,36.50,36.04,36.23,433000,35.39
2013-04-03,36.30,36.59,36.08,36.48,762600,35.63
2013-04-02,36.18,36.70,35.86,36.19,610100,35.35
2013-04-01,36.19,36.19,36.19,36.19,000,35.35
2013-03-29,36.19,36.19,36.19,36.19,000,35.35
2013-03-28,35.99,36.28,35.64,36.19,972000,35.35
2013-03-27,35.60,36.13,35.49,35.99,499700,35.15
2013-03-26,35.40,35.66,35.18,35.51,491800,34.69
2013-03-25,35.55,35.94,35.34,35.69,378400,34.86
2013-03-22,35.28,35.59,35.17,35.41,544600,34.59
2013-03-21,35.84,35.92,35.13,35.43,712300,34.61
2013-03-20,35.31,35.84,34.88,35.56,698400,34.73
2013-03-19,36.02,36.09,35.29,35.41,493700,34.59
2013-03-18,35.98,36.22,35.60,35.77,383900,34.94
