Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.40,0.40,0.39,0.39,119400,0.39
2013-09-19,0.41,0.41,0.39,0.40,334100,0.40
2013-09-18,0.40,0.41,0.39,0.41,279800,0.41
2013-09-17,0.41,0.41,0.40,0.41,95900,0.41
2013-09-16,0.40,0.41,0.40,0.41,88300,0.41
2013-09-13,0.41,0.41,0.40,0.40,187100,0.40
2013-09-12,0.41,0.41,0.41,0.41,187800,0.41
2013-09-11,0.41,0.41,0.41,0.41,114500,0.41
2013-09-10,0.40,0.42,0.40,0.41,393100,0.41
2013-09-09,0.38,0.40,0.38,0.40,457700,0.40
2013-09-06,0.38,0.39,0.38,0.38,319600,0.38
2013-09-05,0.38,0.38,0.37,0.38,312300,0.38
2013-09-04,0.38,0.38,0.37,0.37,143500,0.37
2013-09-03,0.37,0.38,0.37,0.38,501300,0.38
2013-09-02,0.38,0.38,0.37,0.38,216500,0.38
2013-08-30,0.35,0.37,0.35,0.37,308500,0.37
2013-08-29,0.36,0.37,0.35,0.35,217900,0.35
2013-08-28,0.38,0.38,0.35,0.36,985600,0.36
2013-08-27,0.38,0.38,0.38,0.38,223000,0.38
2013-08-26,0.38,0.40,0.37,0.38,1069100,0.38
2013-08-23,0.38,0.38,0.37,0.37,592000,0.37
2013-08-22,0.43,0.43,0.34,0.38,2373900,0.38
2013-08-21,0.43,0.44,0.43,0.44,387900,0.44
2013-08-20,0.43,0.44,0.41,0.43,2048500,0.43
2013-08-19,0.41,0.45,0.41,0.44,1508400,0.44
2013-08-16,0.37,0.38,0.37,0.38,142400,0.38
2013-08-15,0.37,0.38,0.37,0.38,76400,0.38
2013-08-14,0.37,0.38,0.36,0.37,293600,0.37
2013-08-13,0.38,0.38,0.37,0.37,175200,0.37
2013-08-12,0.38,0.38,0.38,0.38,94100,0.38
2013-08-09,0.36,0.38,0.36,0.38,80300,0.38
2013-08-08,0.38,0.38,0.36,0.36,358500,0.36
2013-08-07,0.37,0.38,0.37,0.38,126700,0.38
2013-08-06,0.37,0.38,0.37,0.38,40000,0.38
2013-08-05,0.38,0.38,0.36,0.36,240100,0.36
2013-08-02,0.38,0.38,0.36,0.36,172000,0.36
2013-08-01,0.36,0.38,0.36,0.37,124000,0.37
2013-07-31,0.38,0.38,0.36,0.38,331200,0.38
2013-07-30,0.39,0.39,0.38,0.38,248500,0.38
2013-07-29,0.39,0.39,0.38,0.38,111700,0.38
2013-07-26,0.39,0.40,0.38,0.39,251600,0.39
2013-07-25,0.39,0.39,0.39,0.39,8200,0.39
2013-07-24,0.38,0.40,0.38,0.39,322500,0.39
2013-07-23,0.41,0.41,0.38,0.39,305900,0.39
2013-07-22,0.41,0.41,0.40,0.40,170600,0.40
2013-07-19,0.41,0.42,0.41,0.41,81400,0.41
2013-07-18,0.42,0.42,0.41,0.42,103500,0.42
2013-07-17,0.43,0.43,0.42,0.42,79500,0.42
2013-07-16,0.42,0.43,0.42,0.42,70600,0.42
2013-07-15,0.43,0.44,0.41,0.42,315500,0.42
2013-07-12,0.43,0.43,0.42,0.43,105500,0.43
2013-07-11,0.42,0.43,0.41,0.41,150700,0.41
2013-07-10,0.43,0.44,0.42,0.42,428600,0.42
2013-07-09,0.39,0.44,0.39,0.44,894000,0.44
2013-07-08,0.38,0.39,0.37,0.38,307200,0.38
2013-07-05,0.37,0.38,0.37,0.38,111400,0.38
2013-07-04,0.37,0.38,0.37,0.38,10600,0.38
2013-07-03,0.38,0.38,0.36,0.37,104700,0.37
2013-07-02,0.36,0.38,0.36,0.38,124100,0.38
2013-07-01,0.35,0.37,0.35,0.35,377600,0.35
2013-06-28,0.33,0.34,0.32,0.34,348900,0.34
2013-06-27,0.33,0.34,0.32,0.34,465700,0.34
2013-06-26,0.32,0.33,0.32,0.32,291200,0.32
2013-06-25,0.34,0.34,0.32,0.32,1046100,0.32
2013-06-24,0.33,0.34,0.33,0.34,157400,0.34
2013-06-21,0.32,0.34,0.32,0.33,341700,0.33
2013-06-20,0.33,0.35,0.33,0.34,1616700,0.34
2013-06-19,0.33,0.34,0.32,0.33,1725400,0.33
2013-06-18,0.32,0.33,0.32,0.32,359100,0.32
2013-06-17,0.32,0.33,0.32,0.33,67200,0.33
2013-06-14,0.31,0.31,0.31,0.31,384600,0.31
2013-06-13,0.31,0.31,0.30,0.31,275300,0.31
2013-06-12,0.32,0.32,0.31,0.31,684500,0.31
2013-06-11,0.33,0.33,0.32,0.32,528900,0.32
2013-06-10,0.32,0.32,0.32,0.32,000,0.32
2013-06-07,0.34,0.34,0.32,0.32,887600,0.32
2013-06-06,0.34,0.35,0.34,0.34,1027300,0.34
2013-06-05,0.34,0.37,0.32,0.34,3927800,0.34
2013-06-04,0.28,0.29,0.28,0.28,643400,0.28
2013-06-03,0.29,0.29,0.28,0.29,654200,0.29
2013-05-31,0.29,0.31,0.29,0.29,1455600,0.29
2013-05-30,0.31,0.31,0.28,0.30,2495700,0.30
2013-05-29,0.32,0.32,0.31,0.31,189100,0.31
2013-05-28,0.31,0.32,0.31,0.32,201100,0.32
2013-05-27,0.31,0.32,0.31,0.31,285100,0.31
2013-05-24,0.32,0.32,0.31,0.31,313100,0.31
2013-05-23,0.33,0.33,0.31,0.32,501300,0.32
2013-05-22,0.33,0.34,0.32,0.33,385100,0.33
2013-05-21,0.34,0.34,0.33,0.33,244600,0.33
2013-05-20,0.34,0.34,0.34,0.34,647900,0.34
2013-05-17,0.34,0.34,0.34,0.34,93600,0.34
2013-05-16,0.34,0.35,0.34,0.34,111700,0.34
2013-05-15,0.35,0.35,0.34,0.35,150800,0.35
2013-05-14,0.35,0.35,0.34,0.35,933500,0.35
2013-05-13,0.36,0.36,0.35,0.35,330900,0.35
2013-05-10,0.35,0.36,0.35,0.35,913200,0.35
2013-05-09,0.36,0.37,0.35,0.36,889900,0.36
2013-05-08,0.35,0.36,0.34,0.36,1963100,0.36
2013-05-07,0.34,0.35,0.34,0.34,1168800,0.34
2013-05-06,0.34,0.36,0.34,0.34,272600,0.34
2013-05-03,0.34,0.34,0.34,0.34,1685100,0.34
2013-05-02,0.34,0.34,0.34,0.34,454100,0.34
2013-05-01,0.34,0.34,0.34,0.34,358100,0.34
2013-04-30,0.34,0.35,0.32,0.35,578300,0.35
2013-04-29,0.35,0.36,0.34,0.35,829100,0.35
2013-04-26,0.36,0.37,0.35,0.35,571000,0.35
2013-04-25,0.36,0.36,0.36,0.36,000,0.36
2013-04-24,0.35,0.37,0.35,0.36,478300,0.36
2013-04-23,0.36,0.36,0.34,0.35,1524500,0.35
2013-04-22,0.38,0.38,0.36,0.36,310800,0.36
2013-04-19,0.38,0.39,0.37,0.37,426300,0.37
2013-04-18,0.38,0.40,0.37,0.38,231600,0.38
2013-04-17,0.38,0.38,0.37,0.38,191500,0.38
2013-04-16,0.38,0.38,0.37,0.37,505100,0.37
2013-04-15,0.38,0.38,0.38,0.38,241600,0.38
2013-04-12,0.38,0.39,0.38,0.38,498400,0.38
2013-04-11,0.41,0.41,0.38,0.38,717700,0.38
2013-04-10,0.40,0.42,0.40,0.41,364200,0.41
2013-04-09,0.39,0.40,0.38,0.40,177300,0.40
2013-04-08,0.41,0.41,0.38,0.38,414300,0.38
2013-04-05,0.37,0.41,0.37,0.41,1022000,0.41
