Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.05,0.05,0.05,0.05,000,0.05
2013-09-19,0.05,0.05,0.05,0.05,94800,0.05
2013-09-18,0.05,0.05,0.05,0.05,11000,0.05
2013-09-17,0.05,0.05,0.05,0.05,39000,0.05
2013-09-16,0.05,0.05,0.05,0.05,48000,0.05
2013-09-13,0.05,0.05,0.05,0.05,000,0.05
2013-09-12,0.05,0.05,0.05,0.05,000,0.05
2013-09-11,0.05,0.05,0.05,0.05,4500,0.05
2013-09-10,0.05,0.05,0.05,0.05,8500,0.05
2013-09-09,0.05,0.05,0.05,0.05,120000,0.05
2013-09-06,0.05,0.05,0.05,0.05,000,0.05
2013-09-05,0.05,0.05,0.05,0.05,000,0.05
2013-09-04,0.05,0.05,0.05,0.05,39500,0.05
2013-09-03,0.05,0.05,0.05,0.05,415400,0.05
2013-09-02,0.05,0.05,0.05,0.05,49400,0.05
2013-08-30,0.05,0.05,0.05,0.05,000,0.05
2013-08-29,0.05,0.05,0.05,0.05,100000,0.05
2013-08-28,0.05,0.05,0.05,0.05,34500,0.05
2013-08-27,0.05,0.05,0.05,0.05,9000,0.05
2013-08-26,0.05,0.05,0.05,0.05,91000,0.05
2013-08-23,0.05,0.05,0.05,0.05,000,0.05
2013-08-22,0.05,0.05,0.05,0.05,000,0.05
2013-08-21,0.05,0.05,0.05,0.05,18700,0.05
2013-08-20,0.05,0.05,0.05,0.05,10000,0.05
2013-08-19,0.05,0.05,0.05,0.05,120000,0.05
2013-08-16,0.05,0.05,0.05,0.05,23100,0.05
2013-08-15,0.05,0.05,0.05,0.05,350000,0.05
2013-08-14,0.05,0.05,0.05,0.05,28500,0.05
2013-08-13,0.05,0.05,0.05,0.05,154900,0.05
2013-08-12,0.05,0.05,0.05,0.05,107000,0.05
2013-08-09,0.05,0.05,0.05,0.05,155100,0.05
2013-08-08,0.05,0.05,0.05,0.05,357800,0.05
2013-08-07,0.05,0.05,0.05,0.05,110000,0.05
2013-08-06,0.05,0.05,0.05,0.05,430000,0.05
2013-08-05,0.04,0.04,0.04,0.04,000,0.04
2013-08-02,0.04,0.04,0.04,0.04,19000,0.04
2013-08-01,0.04,0.04,0.04,0.04,000,0.04
2013-07-31,0.04,0.04,0.04,0.04,10000,0.04
2013-07-30,0.04,0.04,0.04,0.04,10000,0.04
2013-07-29,0.04,0.04,0.04,0.04,000,0.04
2013-07-26,0.04,0.04,0.04,0.04,50000,0.04
2013-07-25,0.04,0.04,0.04,0.04,000,0.04
2013-07-24,0.05,0.05,0.04,0.04,332900,0.04
2013-07-23,0.05,0.05,0.05,0.05,000,0.05
2013-07-22,0.05,0.05,0.05,0.05,000,0.05
2013-07-19,0.05,0.05,0.05,0.05,10000,0.05
2013-07-18,0.05,0.05,0.05,0.05,000,0.05
2013-07-17,0.05,0.05,0.05,0.05,000,0.05
2013-07-16,0.05,0.05,0.05,0.05,7000,0.05
2013-07-15,0.05,0.05,0.05,0.05,000,0.05
2013-07-12,0.05,0.05,0.05,0.05,000,0.05
2013-07-11,0.05,0.05,0.05,0.05,000,0.05
2013-07-10,0.05,0.05,0.05,0.05,000,0.05
2013-07-09,0.05,0.05,0.05,0.05,000,0.05
2013-07-08,0.05,0.05,0.05,0.05,100000,0.05
2013-07-05,0.05,0.05,0.05,0.05,6900,0.05
2013-07-04,0.05,0.05,0.05,0.05,100000,0.05
2013-07-03,0.04,0.04,0.04,0.04,000,0.04
2013-07-02,0.04,0.04,0.04,0.04,000,0.04
2013-07-01,0.04,0.04,0.04,0.04,4400,0.04
2013-06-28,0.04,0.04,0.04,0.04,000,0.04
2013-06-27,0.04,0.05,0.04,0.04,85100,0.04
2013-06-26,0.04,0.04,0.04,0.04,264800,0.04
2013-06-25,0.05,0.05,0.05,0.05,67000,0.05
2013-06-24,0.05,0.05,0.05,0.05,104700,0.05
2013-06-21,0.05,0.05,0.04,0.05,303200,0.05
2013-06-20,0.04,0.04,0.04,0.04,18400,0.04
2013-06-19,0.04,0.04,0.04,0.04,93900,0.04
2013-06-18,0.05,0.05,0.05,0.05,75000,0.05
2013-06-17,0.04,0.05,0.04,0.05,73700,0.05
2013-06-14,0.05,0.05,0.04,0.04,180500,0.04
2013-06-13,0.04,0.04,0.04,0.04,25000,0.04
2013-06-12,0.05,0.05,0.05,0.05,000,0.05
2013-06-11,0.04,0.05,0.04,0.05,80000,0.05
2013-06-10,0.04,0.04,0.04,0.04,000,0.04
2013-06-07,0.04,0.04,0.04,0.04,000,0.04
2013-06-06,0.04,0.04,0.04,0.04,000,0.04
2013-06-05,0.04,0.04,0.04,0.04,25400,0.04
2013-06-04,0.04,0.04,0.04,0.04,000,0.04
2013-06-03,0.04,0.04,0.04,0.04,000,0.04
2013-05-31,0.04,0.04,0.04,0.04,13300,0.04
2013-05-30,0.04,0.04,0.04,0.04,000,0.04
2013-05-29,0.04,0.04,0.04,0.04,75000,0.04
2013-05-28,0.04,0.04,0.04,0.04,31100,0.04
2013-05-27,0.04,0.04,0.04,0.04,5000,0.04
2013-05-24,0.04,0.04,0.04,0.04,4500,0.04
2013-05-23,0.04,0.04,0.04,0.04,000,0.04
2013-05-22,0.04,0.04,0.04,0.04,000,0.04
2013-05-21,0.04,0.04,0.04,0.04,000,0.04
2013-05-20,0.04,0.04,0.04,0.04,33400,0.04
2013-05-17,0.04,0.04,0.04,0.04,15000,0.04
2013-05-16,0.04,0.04,0.04,0.04,8000,0.04
2013-05-15,0.04,0.04,0.04,0.04,200000,0.04
2013-05-14,0.04,0.04,0.04,0.04,36100,0.04
2013-05-13,0.04,0.04,0.04,0.04,51400,0.04
2013-05-10,0.04,0.04,0.04,0.04,100000,0.04
2013-05-09,0.04,0.04,0.04,0.04,19400,0.04
2013-05-08,0.04,0.04,0.04,0.04,000,0.04
2013-05-07,0.04,0.04,0.03,0.04,316600,0.04
2013-05-06,0.04,0.04,0.04,0.04,93000,0.04
2013-05-03,0.04,0.04,0.04,0.04,000,0.04
2013-05-02,0.04,0.04,0.04,0.04,000,0.04
2013-05-01,0.04,0.04,0.04,0.04,393800,0.04
2013-04-30,0.04,0.04,0.04,0.04,33200,0.04
2013-04-29,0.05,0.05,0.05,0.05,82000,0.05
2013-04-26,0.05,0.05,0.04,0.04,22900,0.04
2013-04-25,0.04,0.04,0.04,0.04,000,0.04
2013-04-24,0.04,0.04,0.04,0.04,000,0.04
2013-04-23,0.04,0.04,0.04,0.04,2000,0.04
2013-04-22,0.05,0.05,0.04,0.04,55000,0.04
2013-04-19,0.05,0.05,0.05,0.05,000,0.05
2013-04-18,0.05,0.05,0.05,0.05,000,0.05
2013-04-17,0.05,0.05,0.05,0.05,000,0.05
2013-04-16,0.05,0.05,0.05,0.05,000,0.05
2013-04-15,0.05,0.05,0.05,0.05,161500,0.05
2013-04-12,0.05,0.05,0.05,0.05,11000,0.05
2013-04-11,0.05,0.05,0.05,0.05,000,0.05
2013-04-10,0.05,0.05,0.05,0.05,79000,0.05
2013-04-09,0.05,0.05,0.05,0.05,130000,0.05
2013-04-08,0.05,0.05,0.05,0.05,000,0.05
2013-04-05,0.05,0.05,0.05,0.05,10000,0.05
2013-04-04,0.05,0.05,0.05,0.05,50000,0.05
2013-04-03,0.05,0.05,0.05,0.05,150000,0.05
2013-04-02,0.05,0.05,0.05,0.05,150000,0.05
2013-04-01,0.05,0.05,0.05,0.05,000,0.05
2013-03-29,0.05,0.05,0.05,0.05,000,0.05
2013-03-28,0.05,0.05,0.05,0.05,000,0.05
2013-03-27,0.05,0.05,0.05,0.05,000,0.05
2013-03-26,0.05,0.05,0.05,0.05,141600,0.05
2013-03-25,0.05,0.05,0.05,0.05,000,0.05
2013-03-22,0.05,0.05,0.05,0.05,000,0.05
2013-03-21,0.05,0.05,0.05,0.05,32100,0.05
2013-03-20,0.05,0.05,0.05,0.05,000,0.05
2013-03-19,0.05,0.05,0.05,0.05,000,0.05
2013-03-18,0.05,0.05,0.05,0.05,000,0.05
2013-03-15,0.05,0.05,0.05,0.05,12800,0.05
2013-03-14,0.05,0.05,0.05,0.05,000,0.05
2013-03-13,0.05,0.05,0.05,0.05,9100,0.05
2013-03-12,0.05,0.05,0.05,0.05,000,0.05
2013-03-11,0.05,0.05,0.05,0.05,30000,0.05
2013-03-08,0.05,0.05,0.05,0.05,000,0.05
2013-03-07,0.05,0.05,0.05,0.05,270500,0.05
2013-03-06,0.05,0.05,0.05,0.05,000,0.05
2013-03-05,0.05,0.05,0.05,0.05,16000,0.05
2013-03-04,0.05,0.05,0.05,0.05,100000,0.05
2013-03-01,0.05,0.05,0.05,0.05,000,0.05
2013-02-28,0.05,0.05,0.05,0.05,10000,0.05
2013-02-27,0.05,0.05,0.05,0.05,000,0.05
2013-02-26,0.05,0.05,0.05,0.05,200000,0.05
2013-02-25,0.05,0.05,0.05,0.05,311300,0.05
2013-02-22,0.05,0.05,0.05,0.05,150000,0.05
2013-02-21,0.05,0.05,0.05,0.05,000,0.05
2013-02-20,0.05,0.05,0.05,0.05,90000,0.05
2013-02-19,0.05,0.05,0.05,0.05,250000,0.05
2013-02-18,0.05,0.05,0.05,0.05,000,0.05
2013-02-15,0.05,0.05,0.05,0.05,20000,0.05
2013-02-14,0.05,0.05,0.05,0.05,159200,0.05
2013-02-13,0.05,0.05,0.05,0.05,96000,0.05
2013-02-12,0.05,0.05,0.05,0.05,000,0.05
2013-02-11,0.05,0.05,0.05,0.05,000,0.05
2013-02-08,0.05,0.05,0.05,0.05,175000,0.05
2013-02-07,0.05,0.05,0.05,0.05,000,0.05
2013-02-06,0.05,0.05,0.05,0.05,104800,0.05
2013-02-05,0.05,0.05,0.05,0.05,000,0.05
2013-02-04,0.05,0.05,0.05,0.05,000,0.05
2013-02-01,0.05,0.05,0.05,0.05,114000,0.05
2013-01-31,0.05,0.05,0.05,0.05,50000,0.05
2013-01-30,0.05,0.05,0.05,0.05,240000,0.05
2013-01-29,0.05,0.05,0.05,0.05,1456100,0.05
2013-01-28,0.05,0.05,0.05,0.05,000,0.05
2013-01-25,0.05,0.05,0.05,0.05,000,0.05
2013-01-24,0.05,0.05,0.05,0.05,47000,0.05
2013-01-23,0.05,0.05,0.05,0.05,76100,0.05
2013-01-22,0.05,0.05,0.05,0.05,54700,0.05
2013-01-21,0.05,0.05,0.05,0.05,100100,0.05
2013-01-18,0.05,0.05,0.05,0.05,58500,0.05
2013-01-17,0.05,0.05,0.05,0.05,70000,0.05
2013-01-16,0.05,0.05,0.05,0.05,90000,0.05
2013-01-15,0.05,0.05,0.05,0.05,21500,0.05
2013-01-14,0.05,0.05,0.05,0.05,50000,0.05
2013-01-11,0.05,0.05,0.05,0.05,66600,0.05
2013-01-10,0.05,0.05,0.05,0.05,20000,0.05
2013-01-09,0.05,0.05,0.05,0.05,000,0.05
2013-01-08,0.05,0.05,0.05,0.05,000,0.05
2013-01-07,0.05,0.05,0.05,0.05,56000,0.05
2013-01-04,0.05,0.05,0.05,0.05,11800,0.05
2013-01-03,0.05,0.05,0.05,0.05,25000,0.05
2013-01-02,0.05,0.05,0.05,0.05,7500,0.05
2013-01-01,0.05,0.05,0.05,0.05,000,0.05
2012-12-31,0.05,0.05,0.05,0.05,000,0.05
2012-12-28,0.05,0.05,0.05,0.05,000,0.05
2012-12-27,0.05,0.05,0.05,0.05,170200,0.05
2012-12-26,0.05,0.05,0.05,0.05,000,0.05
2012-12-25,0.05,0.05,0.05,0.05,000,0.05
2012-12-24,0.05,0.05,0.05,0.05,000,0.05
2012-12-21,0.05,0.05,0.05,0.05,000,0.05
2012-12-20,0.05,0.05,0.05,0.05,58500,0.05
2012-12-19,0.05,0.05,0.05,0.05,000,0.05
2012-12-18,0.05,0.05,0.05,0.05,20000,0.05
2012-12-17,0.05,0.05,0.05,0.05,000,0.05
2012-12-14,0.05,0.05,0.05,0.05,100000,0.05
2012-12-13,0.05,0.05,0.05,0.05,000,0.05
2012-12-12,0.05,0.05,0.05,0.05,18000,0.05
2012-12-11,0.05,0.05,0.05,0.05,000,0.05
2012-12-10,0.05,0.05,0.05,0.05,000,0.05
2012-12-07,0.05,0.05,0.05,0.05,000,0.05
2012-12-06,0.05,0.05,0.05,0.05,15800,0.05
2012-12-05,0.05,0.05,0.05,0.05,000,0.05
2012-12-04,0.05,0.05,0.05,0.05,473500,0.05
2012-12-03,0.05,0.05,0.05,0.05,325000,0.05
2012-11-30,0.05,0.05,0.05,0.05,4000,0.05
2012-11-29,0.05,0.05,0.05,0.05,53300,0.05
2012-11-28,0.05,0.05,0.05,0.05,129200,0.05
2012-11-27,0.05,0.05,0.05,0.05,369800,0.05
2012-11-26,0.05,0.05,0.05,0.05,200000,0.05
2012-11-23,0.05,0.05,0.05,0.05,000,0.05
2012-11-22,0.05,0.05,0.05,0.05,6300,0.05
2012-11-21,0.05,0.05,0.05,0.05,526000,0.05
2012-11-20,0.05,0.05,0.05,0.05,14900,0.05
2012-11-19,0.05,0.05,0.05,0.05,110000,0.05
2012-11-16,0.05,0.05,0.05,0.05,000,0.05
2012-11-15,0.05,0.05,0.05,0.05,000,0.05
2012-11-14,0.05,0.05,0.05,0.05,126900,0.05
2012-11-13,0.05,0.05,0.05,0.05,000,0.05
2012-11-12,0.05,0.05,0.05,0.05,128000,0.05
2012-11-09,0.05,0.05,0.05,0.05,000,0.05
2012-11-08,0.05,0.05,0.05,0.05,000,0.05
2012-11-07,0.05,0.05,0.05,0.05,000,0.05
2012-11-06,0.05,0.05,0.05,0.05,000,0.05
2012-11-05,0.05,0.05,0.05,0.05,19100,0.05
2012-11-02,0.05,0.05,0.05,0.05,000,0.05
2012-11-01,0.05,0.05,0.05,0.05,450000,0.05
2012-10-31,0.05,0.05,0.05,0.05,60000,0.05
2012-10-30,0.05,0.05,0.05,0.05,50000,0.05
2012-10-29,0.05,0.05,0.05,0.05,000,0.05
2012-10-26,0.05,0.05,0.05,0.05,17000,0.05
2012-10-25,0.05,0.05,0.05,0.05,18500,0.05
2012-10-24,0.05,0.05,0.05,0.05,515100,0.05
2012-10-23,0.05,0.05,0.05,0.05,000,0.05
2012-10-22,0.05,0.05,0.05,0.05,166100,0.05
2012-10-19,0.05,0.05,0.05,0.05,000,0.05
2012-10-18,0.05,0.05,0.05,0.05,000,0.05
2012-10-17,0.05,0.05,0.05,0.05,000,0.05
2012-10-16,0.05,0.05,0.05,0.05,238200,0.05
2012-10-15,0.05,0.05,0.05,0.05,000,0.05
2012-10-12,0.05,0.05,0.05,0.05,128100,0.05
2012-10-11,0.05,0.05,0.05,0.05,200000,0.05
2012-10-10,0.05,0.05,0.05,0.05,12000,0.05
2012-10-09,0.05,0.05,0.05,0.05,110000,0.05
2012-10-08,0.05,0.05,0.05,0.05,11000,0.05
2012-10-05,0.05,0.05,0.05,0.05,000,0.05
2012-10-04,0.05,0.05,0.05,0.05,50000,0.05
2012-10-03,0.05,0.05,0.05,0.05,000,0.05
2012-10-02,0.05,0.05,0.05,0.05,57300,0.05
2012-10-01,0.05,0.05,0.05,0.05,000,0.05
2012-09-28,0.05,0.05,0.05,0.05,207900,0.05
2012-09-27,0.05,0.05,0.05,0.05,37500,0.05
2012-09-26,0.05,0.05,0.05,0.05,300000,0.05
2012-09-25,0.05,0.05,0.05,0.05,000,0.05
2012-09-24,0.05,0.05,0.05,0.05,280000,0.05
2012-09-21,0.06,0.06,0.06,0.06,000,0.06
2012-09-20,0.06,0.06,0.06,0.06,000,0.06
2012-09-19,0.06,0.06,0.06,0.06,000,0.06
2012-09-18,0.06,0.06,0.06,0.06,000,0.06
2012-09-17,0.06,0.06,0.06,0.06,000,0.06
2012-09-14,0.06,0.06,0.06,0.06,100000,0.06
2012-09-13,0.06,0.06,0.06,0.06,000,0.06
2012-09-12,0.06,0.06,0.06,0.06,000,0.06
2012-09-11,0.06,0.06,0.06,0.06,000,0.06
2012-09-10,0.06,0.06,0.06,0.06,10000,0.06
2012-09-07,0.06,0.06,0.06,0.06,000,0.06
2012-09-06,0.06,0.06,0.06,0.06,000,0.06
2012-09-05,0.06,0.06,0.06,0.06,000,0.06
2012-09-04,0.06,0.06,0.06,0.06,000,0.06
2012-09-03,0.06,0.06,0.06,0.06,000,0.06
2012-08-31,0.06,0.06,0.06,0.06,86000,0.06
2012-08-30,0.06,0.06,0.06,0.06,000,0.06
2012-08-29,0.06,0.06,0.06,0.06,7700,0.06
2012-08-28,0.06,0.06,0.06,0.06,000,0.06
2012-08-27,0.06,0.06,0.06,0.06,000,0.06
2012-08-24,0.06,0.06,0.06,0.06,000,0.06
2012-08-23,0.06,0.06,0.06,0.06,80600,0.06
2012-08-22,0.06,0.06,0.06,0.06,7200,0.06
2012-08-21,0.06,0.06,0.06,0.06,24500,0.06
2012-08-20,0.06,0.06,0.06,0.06,000,0.06
2012-08-17,0.06,0.06,0.06,0.06,000,0.06
2012-08-16,0.06,0.06,0.06,0.06,000,0.06
2012-08-15,0.06,0.06,0.06,0.06,000,0.06
2012-08-14,0.06,0.06,0.06,0.06,62000,0.06
2012-08-13,0.06,0.06,0.06,0.06,55400,0.06
2012-08-10,0.06,0.06,0.06,0.06,000,0.06
2012-08-09,0.06,0.06,0.06,0.06,62000,0.06
2012-08-08,0.06,0.06,0.06,0.06,000,0.06
2012-08-07,0.06,0.06,0.06,0.06,1100,0.06
2012-08-06,0.06,0.06,0.06,0.06,000,0.06
2012-08-03,0.06,0.06,0.06,0.06,000,0.06
2012-08-02,0.06,0.06,0.06,0.06,000,0.06
2012-08-01,0.06,0.06,0.06,0.06,000,0.06
2012-07-31,0.06,0.06,0.06,0.06,000,0.06
2012-07-30,0.06,0.06,0.06,0.06,298500,0.06
2012-07-27,0.06,0.06,0.06,0.06,1500,0.06
2012-07-26,0.05,0.05,0.05,0.05,000,0.05
2012-07-25,0.05,0.05,0.05,0.05,100000,0.05
2012-07-24,0.06,0.06,0.06,0.06,000,0.06
2012-07-23,0.06,0.06,0.06,0.06,000,0.06
2012-07-20,0.06,0.06,0.06,0.06,000,0.06
2012-07-19,0.06,0.06,0.06,0.06,000,0.06
2012-07-18,0.06,0.06,0.06,0.06,83500,0.06
2012-07-17,0.06,0.06,0.06,0.06,167000,0.06
2012-07-16,0.05,0.05,0.05,0.05,000,0.05
2012-07-13,0.05,0.05,0.05,0.05,000,0.05
2012-07-12,0.06,0.06,0.05,0.05,50000,0.05
2012-07-11,0.06,0.06,0.06,0.06,300000,0.06
2012-07-10,0.06,0.06,0.06,0.06,6000,0.06
2012-07-09,0.06,0.06,0.06,0.06,000,0.06
