Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.00,1.00,1.00,1.00,000,1.00
2013-09-19,1.00,1.00,1.00,1.00,000,1.00
2013-09-18,1.00,1.00,1.00,1.00,000,1.00
2013-09-17,0.99,1.00,0.99,1.00,5400,1.00
2013-09-16,1.05,1.05,1.05,1.05,000,1.05
2013-09-13,1.05,1.05,1.05,1.05,500,1.05
2013-09-12,1.05,1.05,1.05,1.05,000,1.05
2013-09-11,1.05,1.05,1.05,1.05,000,1.05
2013-09-10,1.05,1.05,1.05,1.05,000,1.05
2013-09-09,1.05,1.05,1.05,1.05,100,1.05
2013-09-06,1.05,1.05,1.05,1.05,800,1.05
2013-09-05,1.05,1.05,1.05,1.05,000,1.05
2013-09-04,1.05,1.05,1.05,1.05,000,1.05
2013-09-03,1.05,1.05,1.05,1.05,000,1.05
2013-09-02,1.01,1.05,1.00,1.05,28600,1.05
2013-08-30,0.99,0.99,0.99,0.99,2000,0.99
2013-08-29,1.01,1.01,1.01,1.01,3300,1.01
2013-08-28,1.01,1.01,1.01,1.01,000,1.01
2013-08-27,1.01,1.01,1.01,1.01,000,1.01
2013-08-26,1.01,1.01,1.01,1.01,000,1.01
2013-08-23,1.01,1.01,1.01,1.01,000,1.01
2013-08-22,1.01,1.01,1.01,1.01,000,1.01
2013-08-21,1.01,1.01,1.01,1.01,000,1.01
2013-08-20,1.01,1.01,1.01,1.01,16700,1.01
2013-08-19,1.00,1.00,1.00,1.00,000,1.00
2013-08-16,1.00,1.00,1.00,1.00,500,1.00
2013-08-15,1.00,1.00,1.00,1.00,000,1.00
2013-08-14,1.00,1.00,1.00,1.00,10000,1.00
2013-08-13,1.02,1.02,1.02,1.02,000,1.02
2013-08-12,1.03,1.03,1.02,1.02,12300,1.02
2013-08-09,1.03,1.03,1.03,1.03,000,1.03
2013-08-08,1.03,1.03,1.03,1.03,18000,1.03
2013-08-07,1.03,1.03,1.03,1.03,1700,1.03
2013-08-06,1.10,1.10,1.10,1.10,000,1.10
2013-08-05,1.10,1.10,1.10,1.10,000,1.10
2013-08-02,1.10,1.10,1.10,1.10,20000,1.10
2013-08-01,1.00,1.00,1.00,1.00,000,1.00
2013-07-31,0.85,1.00,0.85,1.00,17500,1.00
2013-07-30,0.75,0.75,0.75,0.75,000,0.75
2013-07-29,0.75,0.75,0.75,0.75,000,0.75
2013-07-26,0.75,0.75,0.75,0.75,000,0.75
2013-07-25,0.75,0.75,0.75,0.75,000,0.75
2013-07-24,0.75,0.75,0.75,0.75,000,0.75
2013-07-23,0.75,0.75,0.75,0.75,000,0.75
2013-07-22,0.75,0.75,0.75,0.75,000,0.75
2013-07-19,0.75,0.75,0.75,0.75,000,0.75
2013-07-18,0.75,0.75,0.75,0.75,000,0.75
2013-07-17,0.75,0.75,0.75,0.75,000,0.75
2013-07-16,0.75,0.75,0.75,0.75,000,0.75
2013-07-15,0.75,0.75,0.75,0.75,000,0.75
2013-07-12,0.75,0.75,0.75,0.75,000,0.75
2013-07-11,0.75,0.75,0.75,0.75,000,0.75
2013-07-10,0.75,0.75,0.75,0.75,20000,0.75
2013-07-09,0.71,0.71,0.71,0.71,000,0.71
2013-07-08,0.71,0.71,0.71,0.71,000,0.71
2013-07-05,0.71,0.71,0.71,0.71,000,0.71
2013-07-04,0.71,0.71,0.71,0.71,000,0.71
2013-07-03,0.71,0.71,0.71,0.71,000,0.71
2013-07-02,0.71,0.71,0.71,0.71,000,0.71
2013-07-01,0.71,0.71,0.71,0.71,000,0.71
2013-06-28,0.71,0.71,0.71,0.71,000,0.71
2013-06-27,0.71,0.71,0.71,0.71,000,0.71
2013-06-26,0.71,0.71,0.71,0.71,000,0.71
2013-06-25,0.71,0.71,0.71,0.71,000,0.71
2013-06-24,0.71,0.71,0.71,0.71,000,0.71
2013-06-21,0.71,0.71,0.71,0.71,6500,0.71
2013-06-20,0.71,0.71,0.71,0.71,000,0.71
2013-06-19,0.71,0.71,0.71,0.71,26600,0.71
2013-06-18,0.71,0.71,0.71,0.71,000,0.71
2013-06-17,0.71,0.71,0.71,0.71,000,0.71
2013-06-14,0.71,0.71,0.71,0.71,000,0.71
2013-06-13,0.77,0.77,0.71,0.71,34600,0.71
2013-06-12,0.80,0.82,0.80,0.82,4200,0.82
2013-06-11,0.82,0.82,0.82,0.82,700,0.82
2013-06-10,0.85,0.85,0.85,0.85,000,0.85
2013-06-07,0.85,0.85,0.85,0.85,000,0.85
2013-06-06,0.85,0.85,0.85,0.85,000,0.85
2013-06-05,0.85,0.85,0.85,0.85,10000,0.85
2013-06-04,0.85,0.85,0.85,0.85,000,0.85
2013-06-03,0.85,0.85,0.85,0.85,1600,0.85
2013-05-31,0.85,0.85,0.85,0.85,5000,0.85
2013-05-30,1.00,1.00,1.00,1.00,000,1.00
2013-05-29,1.00,1.00,1.00,1.00,000,1.00
2013-05-28,1.00,1.00,1.00,1.00,400,1.00
2013-05-27,0.90,0.90,0.90,0.90,500,0.90
2013-05-24,0.84,0.85,0.84,0.85,7900,0.85
2013-05-23,0.90,0.90,0.90,0.90,000,0.90
2013-05-22,0.90,0.90,0.90,0.90,000,0.90
2013-05-21,0.90,0.90,0.90,0.90,000,0.90
2013-05-20,0.90,0.90,0.90,0.90,000,0.90
2013-05-17,0.90,0.90,0.90,0.90,000,0.90
2013-05-16,0.90,0.90,0.90,0.90,000,0.90
2013-05-15,0.90,0.90,0.90,0.90,000,0.90
2013-05-14,0.90,0.90,0.90,0.90,000,0.90
2013-05-13,0.90,0.90,0.90,0.90,000,0.90
2013-05-10,0.90,0.90,0.90,0.90,000,0.90
2013-05-09,0.90,0.90,0.90,0.90,000,0.90
