Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,2.00,2.10,2.00,2.04,822200,2.04
2013-09-19,1.93,2.05,1.93,2.00,564900,2.00
2013-09-18,1.82,2.00,1.79,1.90,746000,1.90
2013-09-17,1.73,1.94,1.73,1.85,690600,1.85
2013-09-16,1.59,1.75,1.55,1.71,359500,1.71
2013-09-13,1.58,1.59,1.50,1.55,200000,1.55
2013-09-12,1.44,1.60,1.43,1.58,524700,1.58
2013-09-11,1.42,1.45,1.33,1.42,154600,1.42
2013-09-10,1.49,1.50,1.41,1.45,489900,1.45
2013-09-09,1.38,1.55,1.38,1.49,652100,1.49
2013-09-06,1.35,1.44,1.35,1.38,379300,1.38
2013-09-05,1.20,1.35,1.20,1.33,328700,1.33
2013-09-04,1.28,1.29,1.15,1.20,602700,1.20
2013-09-03,1.20,1.34,1.20,1.33,722300,1.33
2013-09-02,1.14,1.20,1.14,1.18,588800,1.18
2013-08-30,1.03,1.12,1.03,1.11,470500,1.11
2013-08-29,1.00,1.07,1.00,1.07,340100,1.07
2013-08-28,0.96,1.02,0.96,1.00,274500,1.00
2013-08-27,1.00,1.03,0.95,1.00,347500,1.00
2013-08-26,1.01,1.06,1.01,1.06,468200,1.06
2013-08-23,0.96,1.03,0.90,1.03,278700,1.03
2013-08-22,0.97,1.00,0.94,0.98,336100,0.98
2013-08-21,0.99,1.00,0.97,1.00,80700,1.00
2013-08-20,0.96,1.04,0.95,1.00,948700,1.00
2013-08-19,0.98,0.98,0.98,0.98,185200,0.98
2013-08-16,0.93,0.98,0.93,0.98,65000,0.98
2013-08-15,0.94,0.94,0.90,0.92,244100,0.92
2013-08-14,0.95,0.95,0.94,0.94,33500,0.94
2013-08-13,0.95,0.97,0.94,0.94,166200,0.94
2013-08-12,0.96,0.99,0.95,0.96,124600,0.96
2013-08-09,0.94,0.94,0.93,0.93,137800,0.93
2013-08-08,0.95,0.95,0.92,0.94,94600,0.94
2013-08-07,0.93,0.96,0.93,0.94,161500,0.94
2013-08-06,0.97,0.97,0.90,0.93,300000,0.93
2013-08-05,0.92,0.99,0.92,0.98,370200,0.98
2013-08-02,0.89,0.90,0.88,0.90,61600,0.90
2013-08-01,0.89,0.89,0.86,0.89,61000,0.89
2013-07-31,0.95,0.95,0.91,0.91,80000,0.91
2013-07-30,0.91,0.95,0.91,0.95,287600,0.95
2013-07-29,0.78,0.91,0.78,0.89,750200,0.89
2013-07-26,0.79,0.79,0.76,0.77,114900,0.77
2013-07-25,0.74,0.80,0.74,0.80,76800,0.80
2013-07-24,0.74,0.77,0.73,0.73,94900,0.73
2013-07-23,0.79,0.80,0.74,0.76,88500,0.76
2013-07-22,0.80,0.80,0.73,0.79,182100,0.79
2013-07-19,0.75,0.80,0.75,0.78,112600,0.78
2013-07-18,0.71,0.73,0.70,0.70,43400,0.70
2013-07-17,0.73,0.74,0.71,0.73,148300,0.73
2013-07-16,0.71,0.73,0.71,0.73,54600,0.73
2013-07-15,0.74,0.74,0.74,0.74,17100,0.74
2013-07-12,0.76,0.76,0.72,0.75,184100,0.75
2013-07-11,0.77,0.79,0.75,0.76,91300,0.76
2013-07-10,0.74,0.77,0.74,0.75,270900,0.75
2013-07-09,0.73,0.73,0.73,0.73,22200,0.73
2013-07-08,0.73,0.73,0.68,0.73,51100,0.73
2013-07-05,0.69,0.74,0.68,0.72,144500,0.72
2013-07-04,0.66,0.66,0.65,0.65,1600,0.65
2013-07-03,0.68,0.70,0.65,0.70,73300,0.70
2013-07-02,0.65,0.67,0.65,0.67,110300,0.67
2013-07-01,0.64,0.64,0.63,0.63,14600,0.63
2013-06-28,0.65,0.65,0.64,0.64,43200,0.64
2013-06-27,0.68,0.68,0.65,0.65,54300,0.65
