Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,3.34,3.35,3.28,3.33,821500,3.33
2013-09-19,3.31,3.37,3.31,3.35,1143800,3.35
2013-09-18,3.36,3.36,3.24,3.31,672000,3.31
2013-09-17,3.35,3.37,3.30,3.35,613800,3.35
2013-09-16,3.37,3.38,3.34,3.35,800500,3.35
2013-09-13,3.40,3.40,3.33,3.33,1098400,3.33
2013-09-12,3.44,3.48,3.41,3.43,2138900,3.43
2013-09-11,3.45,3.46,3.38,3.45,636100,3.45
2013-09-10,3.45,3.48,3.41,3.45,1125500,3.45
2013-09-09,3.35,3.46,3.35,3.44,1340800,3.44
2013-09-06,3.33,3.35,3.30,3.33,566100,3.33
2013-09-05,3.33,3.34,3.30,3.31,733500,3.31
2013-09-04,3.31,3.35,3.23,3.32,1467300,3.32
2013-09-03,3.36,3.42,3.35,3.39,872000,3.39
2013-09-02,3.37,3.39,3.32,3.35,843700,3.35
2013-08-30,3.22,3.32,3.22,3.30,685800,3.30
2013-08-29,3.19,3.30,3.19,3.28,744600,3.28
2013-08-28,3.20,3.24,3.13,3.16,716400,3.16
2013-08-27,3.30,3.30,3.20,3.22,546200,3.22
2013-08-26,3.25,3.30,3.24,3.28,710200,3.28
2013-08-23,3.22,3.29,3.19,3.27,968900,3.27
2013-08-22,3.25,3.28,3.20,3.23,868500,3.23
2013-08-21,3.30,3.30,3.25,3.30,557700,3.30
2013-08-20,3.25,3.29,3.24,3.27,576500,3.27
2013-08-19,3.33,3.33,3.29,3.30,669500,3.30
2013-08-16,3.26,3.33,3.26,3.33,961100,3.33
2013-08-15,3.32,3.32,3.29,3.30,1665600,3.30
2013-08-14,3.35,3.37,3.27,3.31,1840000,3.31
2013-08-13,3.20,3.31,3.18,3.31,1415700,3.31
2013-08-12,3.21,3.22,3.12,3.19,1002600,3.19
2013-08-09,3.16,3.27,3.10,3.27,662300,3.27
2013-08-08,3.20,3.28,3.11,3.20,978900,3.20
2013-08-07,3.32,3.32,3.17,3.21,1477100,3.21
2013-08-06,3.33,3.36,3.29,3.32,769900,3.32
2013-08-05,3.39,3.39,3.29,3.32,461600,3.32
2013-08-02,3.36,3.39,3.33,3.37,1576100,3.37
2013-08-01,3.30,3.39,3.30,3.32,3060100,3.32
2013-07-31,3.07,3.27,3.07,3.23,1270200,3.23
2013-07-30,3.15,3.19,3.08,3.08,2138600,3.08
2013-07-29,3.20,3.23,3.13,3.13,1709100,3.13
2013-07-26,3.25,3.31,3.15,3.16,3017400,3.16
2013-07-25,3.36,3.38,3.19,3.20,2697100,3.20
2013-07-24,3.46,3.48,3.36,3.36,2169300,3.36
2013-07-23,3.59,3.59,3.46,3.48,947200,3.48
2013-07-22,3.54,3.60,3.52,3.56,883500,3.56
2013-07-19,3.55,3.58,3.50,3.50,837500,3.50
2013-07-18,3.56,3.56,3.52,3.54,631900,3.54
2013-07-17,3.44,3.55,3.43,3.54,1010100,3.54
2013-07-16,3.53,3.53,3.45,3.48,1731500,3.48
2013-07-15,3.48,3.53,3.44,3.52,919800,3.52
2013-07-12,3.48,3.51,3.43,3.48,1743400,3.48
2013-07-11,3.40,3.48,3.36,3.45,2346800,3.45
2013-07-10,3.21,3.35,3.21,3.30,2589500,3.30
2013-07-09,3.18,3.26,3.16,3.23,1754900,3.23
2013-07-08,3.09,3.18,3.05,3.16,1261300,3.16
2013-07-05,3.14,3.15,3.11,3.14,1085000,3.14
2013-07-04,2.99,3.13,2.98,3.10,1897600,3.10
2013-07-03,2.87,2.97,2.85,2.97,1217200,2.97
2013-07-02,2.82,2.91,2.82,2.89,1821200,2.89
2013-07-01,2.92,2.92,2.82,2.85,1446900,2.85
2013-06-28,2.88,2.94,2.88,2.91,1456200,2.91
2013-06-27,2.82,2.90,2.77,2.88,1234600,2.88
2013-06-26,2.73,2.85,2.73,2.81,2842000,2.81
2013-06-25,2.70,2.73,2.63,2.67,2713900,2.67
2013-06-24,2.75,2.76,2.66,2.68,2113300,2.68
2013-06-21,2.79,2.81,2.72,2.79,1806000,2.79
2013-06-20,2.75,2.83,2.71,2.80,4054900,2.80
2013-06-19,2.81,2.83,2.76,2.80,3089800,2.80
2013-06-18,2.89,2.89,2.74,2.81,2906200,2.81
2013-06-17,2.89,2.89,2.78,2.86,1572000,2.86
2013-06-14,2.85,2.92,2.83,2.90,2860700,2.90
2013-06-13,2.93,2.93,2.83,2.83,2763300,2.83
2013-06-12,2.94,2.99,2.93,2.97,1736100,2.97
2013-06-11,2.97,3.03,2.95,3.00,1901800,3.00
2013-06-10,2.96,2.96,2.96,2.96,000,2.96
2013-06-07,2.94,2.99,2.94,2.96,1421500,2.96
2013-06-06,3.01,3.02,2.91,2.97,2358900,2.97
2013-06-05,3.04,3.07,3.03,3.07,1880600,3.07
2013-06-04,3.00,3.12,3.00,3.06,2462900,3.06
2013-06-03,3.08,3.11,3.01,3.02,2126700,3.02
2013-05-31,3.05,3.15,3.04,3.13,2336000,3.13
2013-05-30,3.00,3.08,2.98,3.08,1322100,3.08
2013-05-29,3.00,3.06,2.96,3.01,1353900,3.01
2013-05-28,2.95,3.02,2.91,3.00,1098700,3.00
2013-05-27,2.92,3.01,2.90,2.98,1491900,2.98
2013-05-24,3.00,3.01,2.93,2.96,1850000,2.96
2013-05-23,2.98,3.02,2.93,3.01,2494600,3.01
2013-05-22,2.97,3.00,2.94,2.95,2182700,2.95
2013-05-21,3.00,3.00,2.89,2.91,679400,2.91
2013-05-20,2.95,3.01,2.90,2.93,2148900,2.93
2013-05-17,2.89,2.99,2.87,2.95,2731100,2.95
2013-05-16,2.92,2.92,2.78,2.83,2425900,2.83
2013-05-15,3.08,3.08,2.92,2.92,1467700,2.92
2013-05-14,3.06,3.08,3.03,3.04,1092100,3.04
2013-05-13,3.08,3.11,3.06,3.08,679500,3.08
2013-05-10,3.13,3.18,3.11,3.13,857200,3.13
2013-05-09,3.12,3.17,3.11,3.13,1298000,3.13
2013-05-08,3.15,3.16,3.12,3.14,2413700,3.14
2013-05-07,3.09,3.13,3.06,3.07,2929500,3.07
2013-05-06,3.06,3.07,3.02,3.05,1477900,3.05
2013-05-03,3.07,3.07,2.93,2.95,1243200,2.95
2013-05-02,2.99,3.01,2.97,2.99,1644200,2.99
2013-05-01,3.10,3.12,2.98,3.01,2181400,3.01
2013-04-30,2.99,3.09,2.99,3.05,1659700,3.05
2013-04-29,3.02,3.06,2.94,2.96,814200,2.96
2013-04-26,3.07,3.14,3.03,3.03,1298200,3.03
2013-04-25,2.99,2.99,2.99,2.99,000,2.99
2013-04-24,3.00,3.04,2.95,2.99,1025700,2.99
2013-04-23,2.98,3.05,2.94,2.98,1471200,2.98
2013-04-22,3.00,3.05,2.93,2.95,1235700,2.95
2013-04-19,2.89,3.02,2.88,3.02,3594500,3.02
2013-04-18,2.95,2.97,2.70,2.80,3776900,2.80
2013-04-17,3.05,3.07,3.00,3.02,1422900,3.02
2013-04-16,3.00,3.04,2.95,3.03,2169300,3.03
2013-04-15,3.15,3.15,3.05,3.09,2423200,3.09
2013-04-12,3.29,3.30,3.20,3.23,2481000,3.23
2013-04-11,3.40,3.40,3.24,3.27,2239500,3.27
2013-04-10,3.28,3.34,3.25,3.34,3239200,3.34
2013-04-09,3.20,3.29,3.18,3.27,3902200,3.27
2013-04-08,3.13,3.20,3.11,3.16,2293300,3.16
2013-04-05,3.06,3.12,3.06,3.10,3694700,3.10
2013-04-04,3.15,3.15,3.04,3.10,3887400,3.10
2013-04-03,3.24,3.29,3.14,3.18,6670900,3.18
2013-04-02,3.43,3.46,3.28,3.29,4574200,3.29
2013-04-01,3.30,3.30,3.30,3.30,000,3.30
2013-03-29,3.30,3.30,3.30,3.30,000,3.30
2013-03-28,3.64,3.66,3.30,3.30,8031600,3.30
2013-03-27,3.70,3.74,3.67,3.74,1060900,3.74
2013-03-26,3.65,3.75,3.63,3.73,1560300,3.73
2013-03-25,3.63,3.67,3.59,3.65,2002600,3.65
2013-03-22,3.66,3.70,3.64,3.67,2494200,3.67
2013-03-21,3.74,3.75,3.66,3.69,5119000,3.69
2013-03-20,3.85,3.85,3.72,3.74,1781900,3.74
2013-03-19,3.83,3.87,3.81,3.85,2688400,3.85
2013-03-18,3.72,3.82,3.65,3.77,3139200,3.77
2013-03-15,3.71,3.72,3.65,3.72,2336600,3.72
2013-03-14,3.56,3.65,3.52,3.59,2822600,3.59
2013-03-13,3.67,3.69,3.58,3.58,1471500,3.58
2013-03-12,3.70,3.72,3.64,3.66,2414000,3.66
2013-03-11,3.73,3.74,3.69,3.71,1200800,3.71
2013-03-08,3.72,3.79,3.68,3.77,1518000,3.77
2013-03-07,3.71,3.74,3.67,3.70,1964600,3.70
2013-03-06,3.69,3.76,3.52,3.71,5309600,3.71
2013-03-05,3.70,3.72,3.56,3.70,4216300,3.70
2013-03-04,3.82,3.82,3.66,3.68,1803100,3.68
2013-03-01,3.84,3.88,3.73,3.85,2057000,3.85
2013-02-28,3.74,3.89,3.74,3.88,2345000,3.88
2013-02-27,3.66,3.69,3.65,3.66,742600,3.66
2013-02-26,3.65,3.69,3.60,3.64,1667900,3.64
2013-02-25,3.65,3.69,3.62,3.68,1725900,3.68
2013-02-22,3.67,3.69,3.57,3.66,2665700,3.66
2013-02-21,3.80,3.84,3.71,3.72,1193000,3.72
2013-02-20,3.85,3.89,3.83,3.88,1178600,3.88
2013-02-19,3.82,3.86,3.78,3.85,739400,3.85
2013-02-18,3.78,3.92,3.76,3.82,1138700,3.82
2013-02-15,3.69,3.77,3.69,3.74,742600,3.74
2013-02-14,3.65,3.74,3.60,3.71,591400,3.71
2013-02-13,3.70,3.74,3.66,3.69,964700,3.69
2013-02-12,3.65,3.69,3.61,3.67,869100,3.67
2013-02-11,3.65,3.70,3.65,3.65,964900,3.65
2013-02-08,3.65,3.71,3.65,3.66,1981100,3.66
2013-02-07,3.67,3.72,3.65,3.68,913700,3.68
2013-02-06,3.69,3.72,3.66,3.68,1284200,3.68
2013-02-05,3.66,3.72,3.65,3.65,1107900,3.65
2013-02-04,3.67,3.77,3.66,3.74,1815800,3.74
2013-02-01,3.70,3.78,3.66,3.67,3337100,3.67
2013-01-31,3.60,3.79,3.58,3.78,2350100,3.78
2013-01-30,3.50,3.66,3.48,3.63,1455600,3.63
2013-01-29,3.55,3.58,3.50,3.51,2672300,3.51
2013-01-28,3.65,3.65,3.65,3.65,000,3.65
2013-01-25,3.49,3.67,3.49,3.65,2191400,3.65
2013-01-24,3.48,3.52,3.48,3.49,942200,3.49
2013-01-23,3.46,3.50,3.40,3.47,1382500,3.47
2013-01-22,3.41,3.45,3.40,3.43,1276400,3.43
2013-01-21,3.44,3.48,3.43,3.43,1125000,3.43
2013-01-18,3.53,3.58,3.42,3.44,1158300,3.44
2013-01-17,3.48,3.55,3.45,3.48,1102700,3.48
2013-01-16,3.55,3.57,3.50,3.50,985200,3.50
2013-01-15,3.61,3.63,3.58,3.60,1031400,3.60
2013-01-14,3.71,3.72,3.60,3.63,1321200,3.63
2013-01-11,3.70,3.77,3.70,3.73,865900,3.73
2013-01-10,3.78,3.79,3.69,3.69,830900,3.69
2013-01-09,3.74,3.76,3.70,3.73,685500,3.73
2013-01-08,3.67,3.74,3.67,3.70,824000,3.70
2013-01-07,3.84,3.84,3.73,3.74,1023400,3.74
2013-01-04,3.85,3.85,3.77,3.79,534200,3.79
2013-01-03,3.76,3.84,3.76,3.83,1224000,3.83
2013-01-02,3.60,3.75,3.59,3.75,1180200,3.75
2013-01-01,3.63,3.63,3.63,3.63,000,3.63
2012-12-31,3.62,3.67,3.61,3.63,418800,3.63
2012-12-28,3.67,3.72,3.64,3.65,656300,3.65
2012-12-27,3.65,3.66,3.62,3.64,567100,3.64
2012-12-26,3.65,3.65,3.65,3.65,000,3.65
2012-12-25,3.65,3.65,3.65,3.65,000,3.65
2012-12-24,3.67,3.68,3.61,3.65,239500,3.65
2012-12-21,3.69,3.69,3.59,3.62,817100,3.62
2012-12-20,3.70,3.70,3.63,3.65,2545900,3.65
2012-12-19,3.68,3.72,3.64,3.66,1998400,3.66
2012-12-18,3.77,3.77,3.63,3.64,1476700,3.64
2012-12-17,3.65,3.75,3.63,3.71,2279700,3.71
2012-12-14,3.57,3.65,3.55,3.62,1562900,3.62
2012-12-13,3.49,3.58,3.45,3.57,2326400,3.57
2012-12-12,3.40,3.51,3.40,3.48,2816800,3.48
2012-12-11,3.44,3.45,3.36,3.38,970800,3.38
2012-12-10,3.40,3.47,3.33,3.40,1798100,3.40
2012-12-07,3.32,3.43,3.32,3.36,1945600,3.36
2012-12-06,3.40,3.45,3.34,3.34,1967400,3.34
2012-12-05,3.40,3.46,3.40,3.42,1372800,3.42
2012-12-04,3.58,3.59,3.45,3.46,1446900,3.46
2012-12-03,3.60,3.70,3.55,3.58,1456600,3.58
2012-11-30,3.58,3.65,3.54,3.63,1756400,3.63
2012-11-29,3.59,3.59,3.49,3.57,754800,3.57
2012-11-28,3.50,3.60,3.48,3.56,1300100,3.56
2012-11-27,3.47,3.50,3.44,3.49,773500,3.49
2012-11-26,3.51,3.57,3.49,3.49,962900,3.49
2012-11-23,3.48,3.54,3.46,3.50,457200,3.50
2012-11-22,3.55,3.57,3.48,3.50,1368300,3.50
2012-11-21,3.57,3.59,3.48,3.50,1450700,3.50
2012-11-20,3.65,3.67,3.58,3.59,1606300,3.59
2012-11-19,3.54,3.63,3.54,3.59,1044100,3.59
2012-11-16,3.50,3.63,3.45,3.56,1688600,3.56
2012-11-15,3.36,3.54,3.36,3.52,4078700,3.52
