Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.14,0.14,0.14,0.14,135000,0.14
2013-09-19,0.14,0.14,0.14,0.14,1000,0.14
2013-09-18,0.14,0.14,0.14,0.14,191000,0.14
2013-09-17,0.14,0.14,0.14,0.14,583500,0.14
2013-09-16,0.14,0.14,0.14,0.14,40000,0.14
2013-09-13,0.14,0.14,0.14,0.14,187000,0.14
2013-09-12,0.14,0.14,0.14,0.14,458000,0.14
2013-09-11,0.14,0.14,0.14,0.14,699400,0.14
2013-09-10,0.14,0.14,0.14,0.14,80000,0.14
2013-09-09,0.14,0.14,0.14,0.14,522400,0.14
2013-09-06,0.13,0.13,0.13,0.13,000,0.13
2013-09-05,0.14,0.14,0.13,0.13,302600,0.13
2013-09-04,0.13,0.13,0.13,0.13,000,0.13
2013-09-03,0.13,0.13,0.13,0.13,000,0.13
2013-09-02,0.14,0.14,0.13,0.13,682900,0.13
2013-08-30,0.14,0.14,0.14,0.14,100000,0.14
2013-08-29,0.13,0.14,0.13,0.13,368200,0.13
2013-08-28,0.13,0.13,0.13,0.13,402800,0.13
2013-08-27,0.14,0.14,0.14,0.14,50000,0.14
2013-08-26,0.14,0.14,0.14,0.14,100000,0.14
2013-08-23,0.14,0.14,0.14,0.14,000,0.14
2013-08-22,0.14,0.14,0.14,0.14,24500,0.14
2013-08-21,0.14,0.14,0.14,0.14,75000,0.14
2013-08-20,0.14,0.14,0.14,0.14,100000,0.14
2013-08-19,0.13,0.13,0.13,0.13,10500,0.13
2013-08-16,0.13,0.13,0.13,0.13,64000,0.13
2013-08-15,0.13,0.13,0.13,0.13,15700,0.13
2013-08-14,0.13,0.14,0.12,0.14,129900,0.14
2013-08-13,0.14,0.14,0.13,0.13,115100,0.13
2013-08-12,0.14,0.14,0.14,0.14,371300,0.14
2013-08-09,0.14,0.14,0.14,0.14,239100,0.14
2013-08-08,0.14,0.14,0.14,0.14,647100,0.14
2013-08-07,0.15,0.15,0.14,0.14,577400,0.14
2013-08-06,0.14,0.16,0.14,0.15,1842500,0.15
2013-08-05,0.14,0.14,0.14,0.14,780100,0.14
2013-08-02,0.13,0.13,0.13,0.13,117500,0.13
2013-08-01,0.13,0.14,0.13,0.13,621000,0.13
2013-07-31,0.13,0.13,0.12,0.13,543700,0.13
2013-07-30,0.12,0.13,0.12,0.13,182900,0.13
2013-07-29,0.12,0.12,0.12,0.12,202200,0.12
2013-07-26,0.12,0.12,0.12,0.12,100000,0.12
2013-07-25,0.12,0.12,0.12,0.12,109100,0.12
2013-07-24,0.12,0.12,0.12,0.12,294700,0.12
2013-07-23,0.12,0.12,0.12,0.12,299100,0.12
2013-07-22,0.12,0.12,0.12,0.12,40000,0.12
2013-07-19,0.12,0.12,0.12,0.12,819800,0.12
2013-07-18,0.12,0.12,0.12,0.12,141000,0.12
2013-07-17,0.12,0.12,0.12,0.12,112000,0.12
2013-07-16,0.12,0.12,0.12,0.12,1164700,0.12
2013-07-15,0.12,0.12,0.12,0.12,455000,0.12
2013-07-12,0.12,0.12,0.12,0.12,12900,0.12
2013-07-11,0.12,0.12,0.12,0.12,895000,0.12
2013-07-10,0.12,0.13,0.11,0.12,1620300,0.12
2013-07-09,0.12,0.12,0.11,0.12,623100,0.12
2013-07-08,0.11,0.12,0.11,0.11,348000,0.11
2013-07-05,0.11,0.11,0.11,0.11,11000,0.11
2013-07-04,0.12,0.12,0.12,0.12,500000,0.12
2013-07-03,0.12,0.12,0.12,0.12,000,0.12
2013-07-02,0.11,0.12,0.11,0.12,385300,0.12
2013-07-01,0.11,0.11,0.11,0.11,000,0.11
2013-06-28,0.10,0.11,0.10,0.11,150000,0.11
2013-06-27,0.10,0.10,0.10,0.10,110000,0.10
2013-06-26,0.10,0.10,0.10,0.10,53800,0.10
2013-06-25,0.10,0.10,0.10,0.10,624600,0.10
2013-06-24,0.11,0.11,0.11,0.11,000,0.11
2013-06-21,0.10,0.11,0.10,0.11,381800,0.11
2013-06-20,0.11,0.11,0.11,0.11,000,0.11
2013-06-19,0.11,0.11,0.11,0.11,78500,0.11
2013-06-18,0.10,0.11,0.10,0.10,866200,0.10
2013-06-17,0.11,0.11,0.10,0.10,107500,0.10
2013-06-14,0.11,0.12,0.11,0.11,1219000,0.11
2013-06-13,0.10,0.10,0.10,0.10,75000,0.10
2013-06-12,0.10,0.10,0.10,0.10,100000,0.10
2013-06-11,0.11,0.11,0.10,0.11,475000,0.11
2013-06-10,0.10,0.10,0.10,0.10,000,0.10
2013-06-07,0.10,0.10,0.10,0.10,50000,0.10
2013-06-06,0.10,0.11,0.10,0.11,193000,0.11
2013-06-05,0.10,0.10,0.10,0.10,3101400,0.10
2013-06-04,0.09,0.10,0.09,0.10,2603000,0.10
2013-06-03,0.10,0.10,0.10,0.10,8500,0.10
2013-05-31,0.10,0.10,0.10,0.10,1263900,0.10
2013-05-30,0.10,0.10,0.10,0.10,74800,0.10
2013-05-29,0.10,0.10,0.10,0.10,294000,0.10
2013-05-28,0.10,0.11,0.10,0.10,267800,0.10
2013-05-27,0.10,0.10,0.10,0.10,333900,0.10
2013-05-24,0.10,0.10,0.10,0.10,107700,0.10
2013-05-23,0.10,0.10,0.10,0.10,10000,0.10
2013-05-22,0.11,0.11,0.11,0.11,125000,0.11
2013-05-21,0.10,0.10,0.10,0.10,521700,0.10
2013-05-20,0.10,0.11,0.10,0.10,527100,0.10
2013-05-17,0.11,0.11,0.10,0.10,552600,0.10
2013-05-16,0.12,0.12,0.11,0.11,229600,0.11
2013-05-15,0.12,0.12,0.12,0.12,149200,0.12
2013-05-14,0.12,0.12,0.12,0.12,000,0.12
2013-05-13,0.12,0.12,0.12,0.12,000,0.12
2013-05-10,0.12,0.12,0.12,0.12,420400,0.12
2013-05-09,0.12,0.12,0.12,0.12,328600,0.12
2013-05-08,0.10,0.12,0.10,0.12,244200,0.12
2013-05-07,0.12,0.12,0.12,0.12,97700,0.12
2013-05-06,0.13,0.13,0.12,0.12,132200,0.12
2013-05-03,0.12,0.13,0.12,0.13,250000,0.13
2013-05-02,0.13,0.13,0.12,0.12,427500,0.12
2013-05-01,0.12,0.13,0.12,0.13,652900,0.13
2013-04-30,0.12,0.12,0.12,0.12,314100,0.12
2013-04-29,0.13,0.13,0.12,0.12,357900,0.12
2013-04-26,0.13,0.13,0.13,0.13,000,0.13
2013-04-25,0.13,0.13,0.13,0.13,000,0.13
2013-04-24,0.13,0.13,0.12,0.13,330000,0.13
2013-04-23,0.13,0.14,0.13,0.14,218900,0.14
2013-04-22,0.13,0.13,0.13,0.13,000,0.13
2013-04-19,0.12,0.13,0.12,0.13,164000,0.13
2013-04-18,0.13,0.13,0.12,0.12,160000,0.12
2013-04-17,0.13,0.13,0.13,0.13,195000,0.13
2013-04-16,0.13,0.13,0.13,0.13,305000,0.13
2013-04-15,0.14,0.14,0.14,0.14,150000,0.14
2013-04-12,0.14,0.14,0.14,0.14,575000,0.14
2013-04-11,0.14,0.14,0.14,0.14,10000,0.14
2013-04-10,0.14,0.14,0.14,0.14,16800,0.14
2013-04-09,0.13,0.14,0.13,0.14,110000,0.14
2013-04-08,0.13,0.13,0.13,0.13,30000,0.13
2013-04-05,0.13,0.13,0.13,0.13,300000,0.13
2013-04-04,0.13,0.13,0.13,0.13,20000,0.13
2013-04-03,0.14,0.14,0.14,0.14,241700,0.14
2013-04-02,0.14,0.14,0.14,0.14,70500,0.14
2013-04-01,0.14,0.14,0.14,0.14,000,0.14
2013-03-29,0.14,0.14,0.14,0.14,000,0.14
2013-03-28,0.15,0.15,0.14,0.14,395800,0.14
2013-03-27,0.14,0.14,0.14,0.14,175000,0.14
2013-03-26,0.14,0.14,0.14,0.14,460700,0.14
2013-03-25,0.14,0.14,0.14,0.14,662100,0.14
2013-03-22,0.15,0.15,0.14,0.15,484800,0.15
2013-03-21,0.14,0.14,0.14,0.14,000,0.14
2013-03-20,0.15,0.15,0.14,0.14,296000,0.14
2013-03-19,0.16,0.16,0.15,0.15,800000,0.15
2013-03-18,0.16,0.16,0.16,0.16,694200,0.16
2013-03-15,0.17,0.17,0.16,0.16,1415500,0.16
2013-03-14,0.17,0.17,0.17,0.17,817500,0.17
2013-03-13,0.17,0.17,0.16,0.17,5729800,0.17
2013-03-12,0.16,0.19,0.16,0.17,6748200,0.17
2013-03-11,0.14,0.14,0.14,0.14,000,0.14
2013-03-08,0.14,0.14,0.14,0.14,000,0.14
2013-03-07,0.14,0.14,0.14,0.14,20000,0.14
2013-03-06,0.14,0.14,0.14,0.14,000,0.14
2013-03-05,0.14,0.14,0.14,0.14,160000,0.14
2013-03-04,0.14,0.14,0.14,0.14,309700,0.14
2013-03-01,0.13,0.14,0.12,0.13,400000,0.13
2013-02-28,0.13,0.13,0.13,0.13,218000,0.13
2013-02-27,0.13,0.13,0.13,0.13,47000,0.13
2013-02-26,0.13,0.13,0.13,0.13,194300,0.13
2013-02-25,0.13,0.13,0.13,0.13,53000,0.13
2013-02-22,0.13,0.13,0.13,0.13,50000,0.13
2013-02-21,0.14,0.14,0.13,0.13,490200,0.13
2013-02-20,0.14,0.14,0.14,0.14,000,0.14
2013-02-19,0.14,0.14,0.14,0.14,571000,0.14
2013-02-18,0.14,0.14,0.14,0.14,188700,0.14
2013-02-15,0.14,0.14,0.14,0.14,90000,0.14
2013-02-14,0.14,0.14,0.14,0.14,112000,0.14
2013-02-13,0.14,0.14,0.14,0.14,1029200,0.14
2013-02-12,0.14,0.14,0.14,0.14,300000,0.14
2013-02-11,0.14,0.14,0.13,0.14,1085000,0.14
2013-02-08,0.14,0.14,0.14,0.14,000,0.14
