Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.46,0.46,0.44,0.45,516000,0.45
2013-09-19,0.46,0.46,0.46,0.46,25000,0.46
2013-09-18,0.46,0.46,0.45,0.46,354200,0.46
2013-09-17,0.45,0.46,0.45,0.46,516000,0.46
2013-09-16,0.45,0.46,0.45,0.46,706100,0.46
2013-09-13,0.45,0.47,0.45,0.47,1318600,0.47
2013-09-12,0.44,0.44,0.44,0.44,000,0.44
2013-09-11,0.44,0.44,0.44,0.44,000,0.44
2013-09-10,0.44,0.44,0.44,0.44,145000,0.44
2013-09-09,0.45,0.46,0.44,0.44,58000,0.44
2013-09-06,0.44,0.44,0.44,0.44,1800,0.44
2013-09-05,0.45,0.45,0.44,0.44,164100,0.44
2013-09-04,0.45,0.45,0.44,0.44,26100,0.44
2013-09-03,0.44,0.44,0.44,0.44,94900,0.44
2013-09-02,0.44,0.45,0.44,0.44,71200,0.44
2013-08-30,0.47,0.47,0.47,0.47,349600,0.44
2013-08-29,0.47,0.47,0.47,0.47,440900,0.44
2013-08-28,0.47,0.47,0.47,0.47,224100,0.44
2013-08-27,0.49,0.49,0.47,0.47,252700,0.44
2013-08-26,0.49,0.49,0.48,0.48,220800,0.45
2013-08-23,0.47,0.50,0.47,0.49,774700,0.46
2013-08-22,0.47,0.47,0.47,0.47,12100,0.44
2013-08-21,0.47,0.47,0.47,0.47,110600,0.44
2013-08-20,0.47,0.47,0.47,0.47,117100,0.44
2013-08-19,0.47,0.47,0.47,0.47,1700,0.44
2013-08-16,0.48,0.48,0.48,0.48,000,0.45
2013-08-15,0.48,0.48,0.48,0.48,23500,0.45
2013-08-14,0.48,0.49,0.48,0.49,87000,0.46
2013-08-13,0.49,0.49,0.49,0.49,46100,0.46
2013-08-12,0.47,0.47,0.47,0.47,22400,0.44
2013-08-09,0.47,0.47,0.47,0.47,2300,0.44
2013-08-08,0.47,0.47,0.47,0.47,230300,0.44
2013-08-07,0.48,0.48,0.47,0.47,100500,0.45
2013-08-06,0.48,0.48,0.47,0.47,59000,0.45
