Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.01,0.01,0.01,0.01,000,0.01
2013-09-19,0.01,0.01,0.01,0.01,1170000,0.01
2013-09-18,0.01,0.01,0.01,0.01,800,0.01
2013-09-17,0.01,0.01,0.01,0.01,155000,0.01
2013-09-16,0.01,0.01,0.01,0.01,000,0.01
2013-09-13,0.01,0.01,0.01,0.01,481800,0.01
2013-09-12,0.01,0.01,0.01,0.01,1100,0.01
2013-09-11,0.01,0.01,0.01,0.01,900,0.01
2013-09-10,0.01,0.01,0.01,0.01,2300,0.01
2013-09-09,0.01,0.01,0.01,0.01,1100,0.01
2013-09-06,0.01,0.01,0.01,0.01,355700,0.01
2013-09-05,0.01,0.01,0.01,0.01,448500,0.01
2013-09-04,0.01,0.01,0.01,0.01,000,0.01
2013-09-03,0.01,0.01,0.01,0.01,000,0.01
2013-09-02,0.01,0.01,0.01,0.01,000,0.01
2013-08-30,0.01,0.01,0.01,0.01,000,0.01
2013-08-29,0.01,0.01,0.01,0.01,000,0.01
2013-08-28,0.01,0.01,0.01,0.01,100000,0.01
2013-08-27,0.01,0.01,0.01,0.01,000,0.01
2013-08-26,0.01,0.01,0.01,0.01,000,0.01
2013-08-23,0.01,0.01,0.01,0.01,75000,0.01
2013-08-22,0.01,0.01,0.01,0.01,50000,0.01
2013-08-21,0.01,0.01,0.01,0.01,000,0.01
2013-08-20,0.01,0.01,0.01,0.01,100000,0.01
2013-08-19,0.01,0.01,0.01,0.01,115000,0.01
2013-08-16,0.01,0.01,0.01,0.01,000,0.01
2013-08-15,0.01,0.01,0.01,0.01,000,0.01
2013-08-14,0.01,0.01,0.01,0.01,7600,0.01
2013-08-13,0.01,0.01,0.01,0.01,000,0.01
2013-08-12,0.01,0.01,0.01,0.01,8444400,0.01
2013-08-09,0.01,0.01,0.01,0.01,1347400,0.01
2013-08-08,0.01,0.01,0.01,0.01,000,0.01
2013-08-07,0.01,0.01,0.01,0.01,200000,0.01
2013-08-06,0.02,0.02,0.02,0.02,7000,0.02
2013-08-05,0.01,0.01,0.01,0.01,000,0.01
2013-08-02,0.01,0.01,0.01,0.01,000,0.01
2013-08-01,0.02,0.02,0.01,0.01,1394000,0.01
2013-07-31,0.02,0.02,0.02,0.02,000,0.02
2013-07-30,0.02,0.02,0.02,0.02,7800,0.02
2013-07-29,0.02,0.02,0.02,0.02,65000,0.02
2013-07-26,0.02,0.02,0.02,0.02,000,0.02
2013-07-25,0.02,0.02,0.02,0.02,000,0.02
2013-07-24,0.02,0.02,0.02,0.02,000,0.02
2013-07-23,0.02,0.02,0.02,0.02,10000,0.02
2013-07-22,0.01,0.02,0.01,0.01,1494400,0.01
2013-07-19,0.02,0.02,0.02,0.02,519100,0.02
2013-07-18,0.02,0.02,0.02,0.02,650000,0.02
2013-07-17,0.02,0.02,0.02,0.02,1700000,0.02
2013-07-16,0.02,0.02,0.02,0.02,000,0.02
2013-07-15,0.02,0.02,0.02,0.02,873200,0.02
2013-07-12,0.01,0.01,0.01,0.01,99700,0.01
2013-07-11,0.01,0.01,0.01,0.01,49200,0.01
2013-07-10,0.02,0.02,0.02,0.02,418200,0.02
2013-07-09,0.01,0.02,0.01,0.02,1067600,0.02
2013-07-08,0.01,0.01,0.01,0.01,000,0.01
2013-07-05,0.01,0.01,0.01,0.01,2384600,0.01
2013-07-04,0.01,0.01,0.01,0.01,132000,0.01
2013-07-03,0.01,0.01,0.01,0.01,000,0.01
2013-07-02,0.01,0.01,0.01,0.01,98700,0.01
2013-07-01,0.01,0.01,0.01,0.01,20000,0.01
2013-06-28,0.01,0.01,0.01,0.01,246200,0.01
2013-06-27,0.01,0.01,0.01,0.01,254500,0.01
2013-06-26,0.01,0.01,0.01,0.01,830600,0.01
2013-06-25,0.01,0.01,0.01,0.01,60000,0.01
2013-06-24,0.01,0.01,0.01,0.01,000,0.01
2013-06-21,0.01,0.01,0.01,0.01,000,0.01
2013-06-20,0.01,0.01,0.01,0.01,270000,0.01
2013-06-19,0.01,0.01,0.01,0.01,962000,0.01
2013-06-18,0.01,0.01,0.01,0.01,000,0.01
2013-06-17,0.01,0.01,0.01,0.01,79600,0.01
2013-06-14,0.01,0.01,0.01,0.01,20000,0.01
2013-06-13,0.01,0.01,0.01,0.01,335700,0.01
2013-06-12,0.01,0.01,0.01,0.01,318600,0.01
2013-06-11,0.01,0.01,0.01,0.01,2307200,0.01
2013-06-10,0.01,0.01,0.01,0.01,000,0.01
2013-06-07,0.01,0.01,0.01,0.01,1805000,0.01
2013-06-06,0.01,0.01,0.01,0.01,515000,0.01
2013-06-05,0.01,0.01,0.01,0.01,17133900,0.01
2013-06-04,0.01,0.02,0.01,0.01,1001300,0.01
2013-06-03,0.01,0.01,0.01,0.01,80000,0.01
2013-05-31,0.01,0.01,0.01,0.01,503400,0.01
2013-05-30,0.01,0.01,0.01,0.01,190000,0.01
2013-05-29,0.01,0.01,0.01,0.01,1221100,0.01
2013-05-28,0.01,0.01,0.01,0.01,2626100,0.01
2013-05-27,0.01,0.02,0.01,0.01,460200,0.01
2013-05-24,0.02,0.02,0.01,0.01,789200,0.01
2013-05-23,0.02,0.02,0.02,0.02,200000,0.02
2013-05-22,0.02,0.02,0.02,0.02,246600,0.02
2013-05-21,0.02,0.02,0.02,0.02,1453300,0.02
2013-05-20,0.02,0.02,0.02,0.02,000,0.02
2013-05-17,0.04,0.04,0.02,0.02,2098400,0.02
2013-05-16,0.04,0.04,0.04,0.04,000,0.04
2013-05-15,0.04,0.04,0.04,0.04,000,0.04
2013-05-14,0.04,0.04,0.04,0.04,000,0.04
2013-05-13,0.04,0.04,0.04,0.04,233500,0.04
2013-05-10,0.04,0.04,0.04,0.04,000,0.04
2013-05-09,0.04,0.04,0.04,0.04,245000,0.04
2013-05-08,0.04,0.04,0.04,0.04,000,0.04
2013-05-07,0.04,0.04,0.04,0.04,280000,0.04
2013-05-06,0.04,0.04,0.04,0.04,000,0.04
2013-05-03,0.04,0.04,0.04,0.04,477600,0.04
2013-05-02,0.04,0.04,0.04,0.04,100000,0.04
2013-05-01,0.04,0.04,0.04,0.04,20000,0.04
2013-04-30,0.05,0.05,0.04,0.05,156700,0.05
2013-04-29,0.04,0.05,0.04,0.05,105000,0.05
2013-04-26,0.04,0.05,0.04,0.05,392600,0.05
2013-04-25,0.05,0.05,0.05,0.05,000,0.05
2013-04-24,0.04,0.05,0.04,0.05,2173900,0.05
2013-04-23,0.05,0.05,0.05,0.05,122200,0.05
2013-04-22,0.05,0.05,0.05,0.05,000,0.05
2013-04-19,0.05,0.05,0.05,0.05,000,0.05
2013-04-18,0.05,0.05,0.05,0.05,000,0.05
2013-04-17,0.05,0.05,0.05,0.05,25000,0.05
2013-04-16,0.06,0.06,0.06,0.06,000,0.06
2013-04-15,0.06,0.06,0.06,0.06,8300,0.06
2013-04-12,0.06,0.06,0.06,0.06,000,0.06
2013-04-11,0.06,0.06,0.06,0.06,000,0.06
2013-04-10,0.06,0.06,0.06,0.06,000,0.06
2013-04-09,0.06,0.06,0.06,0.06,000,0.06
2013-04-08,0.06,0.06,0.06,0.06,18500,0.06
2013-04-05,0.06,0.06,0.06,0.06,21600,0.06
2013-04-04,0.06,0.06,0.06,0.06,133000,0.06
2013-04-03,0.06,0.06,0.06,0.06,111500,0.06
2013-04-02,0.06,0.06,0.06,0.06,68200,0.06
2013-04-01,0.06,0.06,0.06,0.06,000,0.06
2013-03-29,0.06,0.06,0.06,0.06,000,0.06
2013-03-28,0.06,0.06,0.06,0.06,000,0.06
2013-03-27,0.06,0.06,0.06,0.06,304000,0.06
2013-03-26,0.06,0.06,0.06,0.06,410000,0.06
2013-03-25,0.06,0.06,0.06,0.06,340000,0.06
2013-03-22,0.06,0.06,0.06,0.06,000,0.06
2013-03-21,0.06,0.06,0.06,0.06,202000,0.06
2013-03-20,0.06,0.06,0.06,0.06,168400,0.06
2013-03-19,0.06,0.06,0.06,0.06,000,0.06
2013-03-18,0.06,0.06,0.06,0.06,000,0.06
2013-03-15,0.06,0.06,0.06,0.06,79400,0.06
2013-03-14,0.06,0.06,0.06,0.06,268500,0.06
2013-03-13,0.06,0.06,0.06,0.06,000,0.06
2013-03-12,0.06,0.06,0.06,0.06,000,0.06
2013-03-11,0.06,0.06,0.06,0.06,000,0.06
2013-03-08,0.06,0.06,0.06,0.06,139600,0.06
2013-03-07,0.06,0.06,0.06,0.06,50000,0.06
2013-03-06,0.06,0.06,0.06,0.06,102200,0.06
2013-03-05,0.06,0.06,0.06,0.06,8000,0.06
2013-03-04,0.07,0.07,0.07,0.07,000,0.07
2013-03-01,0.07,0.07,0.07,0.07,000,0.07
2013-02-28,0.07,0.07,0.07,0.07,000,0.07
2013-02-27,0.07,0.07,0.07,0.07,000,0.07
2013-02-26,0.07,0.07,0.07,0.07,000,0.07
2013-02-25,0.07,0.07,0.07,0.07,000,0.07
2013-02-22,0.07,0.07,0.07,0.07,300000,0.07
2013-02-21,0.07,0.07,0.07,0.07,240000,0.07
2013-02-20,0.07,0.07,0.07,0.07,000,0.07
2013-02-19,0.07,0.07,0.07,0.07,286500,0.07
2013-02-18,0.07,0.07,0.07,0.07,441700,0.07
2013-02-15,0.07,0.07,0.07,0.07,109400,0.07
2013-02-14,0.07,0.07,0.07,0.07,30000,0.07
2013-02-13,0.07,0.07,0.07,0.07,247000,0.07
2013-02-12,0.07,0.07,0.07,0.07,171000,0.07
2013-02-11,0.07,0.07,0.07,0.07,28000,0.07
2013-02-08,0.07,0.07,0.07,0.07,000,0.07
2013-02-07,0.07,0.07,0.07,0.07,000,0.07
2013-02-06,0.07,0.07,0.07,0.07,440000,0.07
2013-02-05,0.07,0.07,0.07,0.07,883500,0.07
2013-02-04,0.07,0.07,0.07,0.07,912000,0.07
2013-02-01,0.07,0.07,0.07,0.07,380000,0.07
2013-01-31,0.07,0.07,0.07,0.07,148200,0.07
2013-01-30,0.07,0.07,0.07,0.07,41400,0.07
2013-01-29,0.06,0.06,0.06,0.06,38000,0.06
2013-01-28,0.06,0.06,0.06,0.06,000,0.06
2013-01-25,0.06,0.06,0.06,0.06,319900,0.06
2013-01-24,0.07,0.07,0.06,0.06,862100,0.06
2013-01-23,0.06,0.06,0.06,0.06,50000,0.06
2013-01-22,0.06,0.06,0.06,0.06,000,0.06
2013-01-21,0.06,0.06,0.06,0.06,80000,0.06
2013-01-18,0.06,0.06,0.06,0.06,150000,0.06
2013-01-17,0.07,0.07,0.06,0.06,75000,0.06
2013-01-16,0.06,0.07,0.06,0.07,910200,0.07
2013-01-15,0.07,0.07,0.06,0.06,142500,0.06
2013-01-14,0.07,0.07,0.07,0.07,50000,0.07
2013-01-11,0.06,0.06,0.06,0.06,000,0.06
2013-01-10,0.06,0.06,0.06,0.06,21700,0.06
2013-01-09,0.07,0.07,0.07,0.07,000,0.07
2013-01-08,0.07,0.07,0.07,0.07,170900,0.07
2013-01-07,0.07,0.07,0.07,0.07,80000,0.07
2013-01-04,0.07,0.07,0.07,0.07,150300,0.07
2013-01-03,0.06,0.06,0.06,0.06,000,0.06
2013-01-02,0.06,0.06,0.06,0.06,150000,0.06
2013-01-01,0.07,0.07,0.07,0.07,000,0.07
2012-12-31,0.07,0.07,0.07,0.07,000,0.07
2012-12-28,0.07,0.07,0.07,0.07,000,0.07
2012-12-27,0.07,0.07,0.07,0.07,000,0.07
2012-12-26,0.07,0.07,0.07,0.07,000,0.07
2012-12-25,0.07,0.07,0.07,0.07,000,0.07
2012-12-24,0.07,0.07,0.07,0.07,000,0.07
2012-12-21,0.07,0.07,0.07,0.07,15000,0.07
2012-12-20,0.07,0.07,0.06,0.06,323500,0.06
2012-12-19,0.07,0.07,0.07,0.07,000,0.07
2012-12-18,0.07,0.07,0.07,0.07,334900,0.07
2012-12-17,0.06,0.06,0.06,0.06,000,0.06
2012-12-14,0.06,0.06,0.06,0.06,14000,0.06
2012-12-13,0.07,0.07,0.06,0.06,155100,0.06
2012-12-12,0.07,0.07,0.07,0.07,000,0.07
2012-12-11,0.07,0.07,0.06,0.07,446700,0.07
2012-12-10,0.07,0.07,0.06,0.07,425000,0.07
2012-12-07,0.07,0.07,0.07,0.07,145000,0.07
2012-12-06,0.07,0.07,0.07,0.07,183500,0.07
2012-12-05,0.08,0.08,0.07,0.07,195000,0.07
2012-12-04,0.08,0.08,0.08,0.08,79300,0.08
2012-12-03,0.07,0.08,0.07,0.08,428100,0.08
2012-11-30,0.07,0.08,0.07,0.08,981800,0.08
2012-11-29,0.08,0.08,0.08,0.08,000,0.08
2012-11-28,0.08,0.08,0.08,0.08,407100,0.08
2012-11-27,0.08,0.08,0.08,0.08,000,0.08
2012-11-26,0.07,0.08,0.07,0.08,98000,0.08
2012-11-23,0.07,0.07,0.07,0.07,000,0.07
2012-11-22,0.07,0.07,0.07,0.07,62900,0.07
2012-11-21,0.07,0.07,0.07,0.07,338100,0.07
2012-11-20,0.07,0.07,0.07,0.07,1409000,0.07
2012-11-19,0.08,0.08,0.07,0.07,674600,0.07
2012-11-16,0.08,0.08,0.08,0.08,155300,0.08
2012-11-15,0.08,0.08,0.08,0.08,000,0.08
2012-11-14,0.08,0.08,0.08,0.08,50000,0.08
2012-11-13,0.08,0.08,0.08,0.08,458600,0.08
2012-11-12,0.08,0.08,0.08,0.08,97000,0.08
2012-11-09,0.07,0.08,0.07,0.08,230000,0.08
2012-11-08,0.08,0.08,0.07,0.07,202000,0.07
2012-11-07,0.08,0.08,0.08,0.08,500,0.08
2012-11-06,0.08,0.08,0.08,0.08,000,0.08
2012-11-05,0.08,0.08,0.08,0.08,218500,0.08
2012-11-02,0.08,0.08,0.08,0.08,120000,0.08
2012-11-01,0.08,0.09,0.08,0.08,985000,0.08
2012-10-31,0.07,0.07,0.07,0.07,000,0.07
2012-10-30,0.07,0.07,0.07,0.07,000,0.07
2012-10-29,0.07,0.07,0.07,0.07,000,0.07
2012-10-26,0.08,0.08,0.07,0.07,100000,0.07
2012-10-25,0.08,0.08,0.08,0.08,000,0.08
2012-10-24,0.08,0.08,0.08,0.08,100000,0.08
2012-10-23,0.08,0.08,0.07,0.08,331000,0.08
2012-10-22,0.08,0.08,0.08,0.08,225000,0.08
2012-10-19,0.08,0.08,0.08,0.08,130000,0.08
2012-10-18,0.09,0.09,0.09,0.09,000,0.09
2012-10-17,0.09,0.09,0.09,0.09,000,0.09
2012-10-16,0.09,0.09,0.08,0.09,285000,0.09
2012-10-15,0.09,0.09,0.09,0.09,21700,0.09
2012-10-12,0.09,0.09,0.09,0.09,242000,0.09
2012-10-11,0.08,0.09,0.08,0.09,98000,0.09
2012-10-10,0.08,0.08,0.08,0.08,139000,0.08
2012-10-09,0.08,0.08,0.08,0.08,150000,0.08
2012-10-08,0.08,0.08,0.08,0.08,000,0.08
2012-10-05,0.08,0.08,0.08,0.08,274700,0.08
2012-10-04,0.08,0.08,0.08,0.08,10000,0.08
2012-10-03,0.08,0.08,0.08,0.08,67000,0.08
2012-10-02,0.08,0.08,0.08,0.08,32300,0.08
2012-10-01,0.07,0.07,0.07,0.07,000,0.07
2012-09-28,0.07,0.07,0.07,0.07,146000,0.07
2012-09-27,0.07,0.07,0.07,0.07,50000,0.07
2012-09-26,0.08,0.08,0.08,0.08,000,0.08
2012-09-25,0.08,0.08,0.08,0.08,000,0.08
2012-09-24,0.08,0.08,0.07,0.08,669400,0.08
2012-09-21,0.09,0.09,0.08,0.08,696000,0.08
2012-09-20,0.09,0.09,0.09,0.09,210800,0.09
2012-09-19,0.09,0.09,0.09,0.09,28800,0.09
2012-09-18,0.09,0.09,0.09,0.09,280000,0.09
2012-09-17,0.09,0.09,0.09,0.09,97100,0.09
2012-09-14,0.09,0.09,0.09,0.09,344700,0.09
2012-09-13,0.09,0.09,0.09,0.09,1559000,0.09
2012-09-12,0.09,0.09,0.08,0.09,233500,0.09
2012-09-11,0.08,0.08,0.08,0.08,356200,0.08
2012-09-10,0.08,0.08,0.07,0.08,288200,0.08
2012-09-07,0.08,0.08,0.08,0.08,000,0.08
2012-09-06,0.08,0.08,0.08,0.08,100000,0.08
