Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.61,0.62,0.61,0.61,91200,0.61
2013-09-19,0.61,0.61,0.61,0.61,307600,0.61
2013-09-18,0.61,0.61,0.60,0.60,146600,0.60
2013-09-17,0.60,0.61,0.60,0.61,3384700,0.61
2013-09-16,0.59,0.60,0.58,0.58,225800,0.58
2013-09-13,0.60,0.60,0.58,0.58,34000,0.58
2013-09-12,0.61,0.61,0.60,0.60,18200,0.60
2013-09-11,0.59,0.62,0.57,0.61,2860600,0.61
2013-09-10,0.57,0.59,0.57,0.58,57600,0.58
2013-09-09,0.56,0.57,0.56,0.57,60600,0.57
2013-09-06,0.56,0.56,0.56,0.56,000,0.56
2013-09-05,0.58,0.58,0.56,0.56,67100,0.56
2013-09-04,0.59,0.60,0.57,0.57,74800,0.57
2013-09-03,0.58,0.61,0.58,0.59,337700,0.59
2013-09-02,0.60,0.60,0.59,0.59,2399900,0.59
2013-08-30,0.60,0.61,0.58,0.58,619000,0.58
2013-08-29,0.56,0.58,0.56,0.58,723300,0.58
2013-08-28,0.55,0.56,0.55,0.56,5871700,0.56
2013-08-27,0.54,0.54,0.54,0.54,000,0.54
2013-08-26,0.54,0.55,0.53,0.54,183900,0.54
2013-08-23,0.54,0.54,0.53,0.53,20300,0.53
2013-08-22,0.54,0.56,0.54,0.56,25700,0.56
2013-08-21,0.55,0.56,0.54,0.55,2201800,0.55
2013-08-20,0.54,0.56,0.54,0.56,334100,0.56
2013-08-19,0.49,0.55,0.49,0.55,218500,0.55
2013-08-16,0.47,0.50,0.47,0.50,119000,0.50
2013-08-15,0.47,0.49,0.47,0.47,15200,0.47
2013-08-14,0.47,0.47,0.47,0.47,000,0.47
2013-08-13,0.47,0.47,0.47,0.47,60100,0.47
2013-08-12,0.47,0.47,0.47,0.47,12000,0.47
2013-08-09,0.46,0.46,0.46,0.46,1100,0.46
2013-08-08,0.49,0.49,0.49,0.49,000,0.49
2013-08-07,0.48,0.49,0.47,0.49,481300,0.49
2013-08-06,0.48,0.48,0.48,0.48,2200,0.48
2013-08-05,0.49,0.50,0.49,0.49,18400,0.49
2013-08-02,0.48,0.49,0.48,0.49,31300,0.49
2013-08-01,0.47,0.47,0.47,0.47,15200,0.47
2013-07-31,0.47,0.47,0.47,0.47,64000,0.47
