Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.02,0.02,0.02,0.02,81800,0.02
2013-09-19,0.01,0.02,0.01,0.02,1058300,0.02
2013-09-18,0.02,0.02,0.01,0.01,494300,0.01
2013-09-17,0.02,0.02,0.02,0.02,44300,0.02
2013-09-16,0.02,0.02,0.02,0.02,937300,0.02
2013-09-13,0.01,0.02,0.01,0.02,2033800,0.02
2013-09-12,0.01,0.02,0.01,0.01,464000,0.01
2013-09-11,0.01,0.02,0.01,0.02,145000,0.02
2013-09-10,0.01,0.01,0.01,0.01,10400,0.01
2013-09-09,0.02,0.02,0.01,0.02,225000,0.02
2013-09-06,0.02,0.02,0.02,0.02,30000,0.02
2013-09-05,0.01,0.01,0.01,0.01,000,0.01
2013-09-04,0.02,0.02,0.01,0.01,358200,0.01
2013-09-03,0.02,0.02,0.02,0.02,203700,0.02
2013-09-02,0.02,0.02,0.02,0.02,714100,0.02
2013-08-30,0.02,0.02,0.02,0.02,538700,0.02
2013-08-29,0.01,0.02,0.01,0.02,667100,0.02
2013-08-28,0.02,0.02,0.02,0.02,61900,0.02
2013-08-27,0.01,0.02,0.01,0.02,145000,0.02
2013-08-26,0.01,0.01,0.01,0.01,37000,0.01
2013-08-23,0.01,0.01,0.01,0.01,1400,0.01
2013-08-22,0.01,0.01,0.01,0.01,500000,0.01
2013-08-21,0.02,0.02,0.02,0.02,000,0.02
2013-08-20,0.02,0.02,0.02,0.02,000,0.02
2013-08-19,0.02,0.02,0.02,0.02,50000,0.02
2013-08-16,0.02,0.02,0.01,0.01,880000,0.01
2013-08-15,0.02,0.02,0.01,0.01,122100,0.01
2013-08-14,0.02,0.02,0.02,0.02,32000,0.02
2013-08-13,0.02,0.02,0.01,0.01,309000,0.01
2013-08-12,0.01,0.01,0.01,0.01,5000,0.01
2013-08-09,0.01,0.01,0.01,0.01,000,0.01
2013-08-08,0.01,0.01,0.01,0.01,206600,0.01
2013-08-07,0.01,0.01,0.01,0.01,103800,0.01
2013-08-06,0.01,0.01,0.01,0.01,400000,0.01
2013-08-05,0.02,0.02,0.02,0.02,200000,0.02
