Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.05,1.06,1.03,1.04,25520300,1.04
2013-09-19,1.06,1.07,1.04,1.07,25814700,1.07
2013-09-18,1.02,1.04,1.02,1.02,14392400,1.02
2013-09-17,1.03,1.03,1.01,1.02,11112400,1.02
2013-09-16,1.02,1.03,1.01,1.02,10689100,1.02
2013-09-13,1.03,1.04,1.01,1.01,10926300,1.01
2013-09-12,1.04,1.05,1.03,1.04,16417000,1.04
2013-09-11,1.03,1.04,1.03,1.04,10638900,1.04
2013-09-10,1.02,1.04,1.01,1.04,9872500,1.04
2013-09-09,1.00,1.02,1.00,1.01,7755200,1.01
2013-09-06,1.00,1.01,0.99,1.00,6583700,1.00
2013-09-05,1.03,1.04,1.00,1.00,13204800,1.00
2013-09-04,1.04,1.04,1.03,1.03,8007800,1.03
2013-09-03,1.02,1.04,1.01,1.03,5879600,1.03
2013-09-02,1.01,1.02,1.00,1.02,11824000,1.02
2013-08-30,0.99,1.01,0.99,1.01,12682900,1.01
2013-08-29,1.01,1.01,0.99,1.00,37587100,1.00
2013-08-28,1.02,1.04,1.01,1.02,21868700,1.02
2013-08-27,1.04,1.05,1.01,1.05,10295800,1.05
2013-08-26,1.02,1.04,1.01,1.03,10973700,1.03
2013-08-23,0.99,1.01,0.98,1.00,20957600,1.00
2013-08-22,0.98,0.99,0.95,0.98,17795900,0.98
2013-08-21,0.99,1.00,0.97,1.00,10215000,1.00
2013-08-20,0.98,1.00,0.96,0.97,8838900,0.97
2013-08-19,1.00,1.01,0.97,0.98,8859400,0.98
2013-08-16,1.02,1.03,0.99,1.01,15773600,1.01
2013-08-15,1.02,1.03,1.00,1.02,6716600,1.02
2013-08-14,1.05,1.05,1.01,1.02,7141000,1.02
2013-08-13,1.03,1.05,1.02,1.05,12636900,1.05
2013-08-12,0.98,1.03,0.97,1.02,10692500,1.02
2013-08-09,0.97,0.98,0.95,0.98,9657800,0.98
2013-08-08,0.98,1.00,0.95,0.96,18658200,0.96
2013-08-07,1.00,1.00,0.98,0.98,10952400,0.98
2013-08-06,1.00,1.02,1.00,1.01,10725400,1.01
2013-08-05,1.00,1.00,0.99,1.00,11634700,1.00
2013-08-02,1.02,1.02,1.00,1.00,22651900,1.00
2013-08-01,0.99,1.00,0.98,1.00,15738000,1.00
2013-07-31,0.98,0.99,0.96,0.97,8622500,0.97
2013-07-30,0.98,0.99,0.96,0.96,11666000,0.96
2013-07-29,1.00,1.00,0.98,0.99,6571200,0.99
2013-07-26,1.00,1.01,0.97,1.00,10609100,1.00
