Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.01,0.01,0.01,0.01,125100,0.01
2013-09-19,0.01,0.01,0.01,0.01,6510100,0.01
2013-09-18,0.01,0.01,0.01,0.01,2695400,0.01
2013-09-17,0.01,0.01,0.01,0.01,1927500,0.01
2013-09-16,0.01,0.01,0.01,0.01,1855000,0.01
2013-09-13,0.01,0.01,0.01,0.01,000,0.01
2013-09-12,0.01,0.01,0.01,0.01,4000000,0.01
2013-09-11,0.01,0.01,0.01,0.01,1677500,0.01
2013-09-10,0.01,0.01,0.01,0.01,4922500,0.01
2013-09-09,0.01,0.01,0.01,0.01,2207200,0.01
2013-09-06,0.01,0.01,0.01,0.01,5816700,0.01
2013-09-05,0.01,0.01,0.01,0.01,1660700,0.01
2013-09-04,0.01,0.01,0.01,0.01,4850700,0.01
2013-09-03,0.01,0.01,0.01,0.01,475000,0.01
2013-09-02,0.01,0.01,0.01,0.01,2150000,0.01
2013-08-30,0.01,0.01,0.01,0.01,5689000,0.01
2013-08-29,0.01,0.01,0.01,0.01,530000,0.01
2013-08-28,0.01,0.01,0.01,0.01,7817600,0.01
2013-08-27,0.01,0.01,0.01,0.01,3450500,0.01
2013-08-26,0.01,0.01,0.01,0.01,7097200,0.01
2013-08-23,0.01,0.01,0.01,0.01,1997500,0.01
2013-08-22,0.01,0.01,0.01,0.01,1388500,0.01
2013-08-21,0.01,0.01,0.01,0.01,5479300,0.01
2013-08-20,0.01,0.01,0.00,0.00,237500,0.00
2013-08-19,0.01,0.01,0.00,0.01,2750000,0.01
2013-08-16,0.01,0.01,0.01,0.01,15375000,0.01
2013-08-15,0.01,0.01,0.01,0.01,1069200,0.01
2013-08-14,0.01,0.01,0.01,0.01,1812200,0.01
2013-08-13,0.01,0.01,0.01,0.01,1375000,0.01
2013-08-12,0.01,0.01,0.01,0.01,342800,0.01
2013-08-09,0.01,0.01,0.01,0.01,3720000,0.01
2013-08-08,0.01,0.01,0.01,0.01,9205000,0.01
2013-08-07,0.01,0.01,0.01,0.01,8825000,0.01
2013-08-06,0.01,0.01,0.01,0.01,257200,0.01
2013-08-05,0.01,0.01,0.01,0.01,4522200,0.01
2013-08-02,0.01,0.01,0.01,0.01,576700,0.01
2013-08-01,0.01,0.01,0.01,0.01,5445000,0.01
2013-07-31,0.01,0.01,0.01,0.01,5955200,0.01
2013-07-30,0.01,0.01,0.01,0.01,24779800,0.01
2013-07-29,0.01,0.01,0.01,0.01,2419000,0.01
2013-07-26,0.01,0.01,0.01,0.01,14936500,0.01
2013-07-25,0.01,0.01,0.01,0.01,1540400,0.01
2013-07-24,0.01,0.01,0.01,0.01,7397700,0.01
2013-07-23,0.01,0.01,0.01,0.01,1933900,0.01
2013-07-22,0.01,0.01,0.00,0.01,7939600,0.01
2013-07-19,0.00,0.01,0.00,0.00,7548700,0.00
2013-07-18,0.00,0.00,0.00,0.00,200000,0.00
2013-07-17,0.00,0.01,0.00,0.00,791000,0.00
2013-07-16,0.01,0.01,0.01,0.01,833300,0.01
2013-07-15,0.01,0.01,0.01,0.01,1945000,0.01
2013-07-12,0.01,0.01,0.01,0.01,1100000,0.01
2013-07-11,0.01,0.01,0.01,0.01,22585500,0.01
2013-07-10,0.00,0.01,0.00,0.00,20141300,0.00
2013-07-09,0.00,0.00,0.00,0.00,300000,0.00
2013-07-08,0.00,0.00,0.00,0.00,8200000,0.00
2013-07-05,0.00,0.00,0.00,0.00,1100000,0.00
2013-07-04,0.00,0.00,0.00,0.00,4650000,0.00
2013-07-03,0.01,0.01,0.00,0.00,4715700,0.00
2013-07-02,0.00,0.00,0.00,0.00,19234800,0.00
2013-07-01,0.01,0.01,0.00,0.00,2364300,0.00
2013-06-28,0.01,0.01,0.00,0.00,4419400,0.00
2013-06-27,0.01,0.01,0.00,0.01,19335000,0.01
2013-06-26,0.01,0.01,0.00,0.01,76649400,0.01
2013-06-25,0.01,0.01,0.00,0.01,15457700,0.01
2013-06-24,0.01,0.01,0.01,0.01,921900,0.01
2013-06-21,0.01,0.01,0.01,0.01,10549400,0.01
2013-06-20,0.01,0.01,0.01,0.01,188600,0.01
2013-06-19,0.01,0.01,0.01,0.01,4522600,0.01
2013-06-18,0.01,0.01,0.01,0.01,5262800,0.01
2013-06-17,0.01,0.01,0.01,0.01,2503600,0.01
2013-06-14,0.01,0.01,0.01,0.01,342800,0.01
2013-06-13,0.01,0.01,0.01,0.01,23288900,0.01
2013-06-12,0.01,0.01,0.01,0.01,2114200,0.01
2013-06-11,0.01,0.01,0.01,0.01,3519900,0.01
2013-06-10,0.01,0.01,0.01,0.01,000,0.01
2013-06-07,0.01,0.01,0.01,0.01,5100000,0.01
2013-06-06,0.01,0.01,0.01,0.01,6913200,0.01
2013-06-05,0.01,0.01,0.01,0.01,9095400,0.01
2013-06-04,0.01,0.01,0.01,0.01,6877800,0.01
2013-06-03,0.01,0.01,0.01,0.01,2305000,0.01
2013-05-31,0.01,0.01,0.01,0.01,7003300,0.01
2013-05-30,0.01,0.01,0.01,0.01,995600,0.01
2013-05-29,0.01,0.01,0.01,0.01,12013700,0.01
2013-05-28,0.01,0.01,0.01,0.01,9797700,0.01
2013-05-27,0.01,0.01,0.01,0.01,9201900,0.01
2013-05-24,0.01,0.01,0.01,0.01,7124000,0.01
2013-05-23,0.01,0.01,0.01,0.01,8462400,0.01
2013-05-22,0.01,0.01,0.01,0.01,3277100,0.01
2013-05-21,0.01,0.01,0.01,0.01,4640200,0.01
2013-05-20,0.01,0.01,0.01,0.01,19965900,0.01
2013-05-17,0.01,0.01,0.01,0.01,12708600,0.01
2013-05-16,0.01,0.01,0.01,0.01,7637800,0.01
2013-05-15,0.01,0.01,0.01,0.01,8098900,0.01
