Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.03,0.03,0.03,0.03,000,0.03
2013-09-19,0.03,0.03,0.03,0.03,000,0.03
2013-09-18,0.03,0.03,0.03,0.03,000,0.03
2013-09-17,0.03,0.03,0.03,0.03,000,0.03
2013-09-16,0.03,0.03,0.03,0.03,20000,0.03
2013-09-13,0.02,0.02,0.02,0.02,4500,0.02
2013-09-12,0.02,0.02,0.02,0.02,5300,0.02
2013-09-11,0.02,0.02,0.02,0.02,10000,0.02
2013-09-10,0.03,0.03,0.03,0.03,000,0.03
2013-09-09,0.03,0.03,0.03,0.03,000,0.03
2013-09-06,0.03,0.03,0.03,0.03,55000,0.03
2013-09-05,0.03,0.03,0.03,0.03,26500,0.03
2013-09-04,0.03,0.03,0.03,0.03,278700,0.03
2013-09-03,0.03,0.03,0.03,0.03,5000,0.03
2013-09-02,0.03,0.03,0.03,0.03,000,0.03
2013-08-30,0.03,0.03,0.03,0.03,000,0.03
2013-08-29,0.03,0.03,0.03,0.03,25000,0.03
2013-08-28,0.03,0.03,0.03,0.03,000,0.03
2013-08-27,0.03,0.03,0.03,0.03,000,0.03
2013-08-26,0.03,0.03,0.03,0.03,000,0.03
2013-08-23,0.03,0.03,0.03,0.03,1020000,0.03
2013-08-22,0.03,0.03,0.03,0.03,90000,0.03
2013-08-21,0.03,0.03,0.03,0.03,20000,0.03
2013-08-20,0.03,0.03,0.03,0.03,1200000,0.03
2013-08-19,0.03,0.03,0.03,0.03,385000,0.03
2013-08-16,0.02,0.02,0.02,0.02,000,0.02
2013-08-15,0.02,0.02,0.02,0.02,000,0.02
2013-08-14,0.03,0.03,0.02,0.02,1325000,0.02
2013-08-13,0.03,0.03,0.03,0.03,340000,0.03
2013-08-12,0.03,0.03,0.03,0.03,100000,0.03
2013-08-09,0.03,0.03,0.03,0.03,121200,0.03
2013-08-08,0.03,0.03,0.03,0.03,60000,0.03
2013-08-07,0.03,0.03,0.03,0.03,270000,0.03
2013-08-06,0.03,0.03,0.03,0.03,5500,0.03
2013-08-05,0.03,0.03,0.03,0.03,18800,0.03
2013-08-02,0.03,0.03,0.03,0.03,19000,0.03
2013-08-01,0.03,0.03,0.03,0.03,20600,0.03
2013-07-31,0.03,0.03,0.03,0.03,100000,0.03
2013-07-30,0.03,0.03,0.03,0.03,200000,0.03
2013-07-29,0.03,0.03,0.03,0.03,000,0.03
2013-07-26,0.02,0.03,0.02,0.03,11410300,0.03
2013-07-25,0.02,0.02,0.02,0.02,23000,0.02
2013-07-24,0.02,0.02,0.02,0.02,299100,0.02
2013-07-23,0.03,0.03,0.03,0.03,28800,0.03
2013-07-19,0.03,0.03,0.03,0.03,55500,0.03
2013-07-18,0.03,0.03,0.03,0.03,000,0.03
2013-07-17,0.03,0.03,0.03,0.03,000,0.03
2013-07-16,0.03,0.03,0.03,0.03,000,0.03
2013-07-15,0.03,0.03,0.03,0.03,000,0.03
2013-07-12,0.03,0.03,0.03,0.03,244400,0.03
2013-07-11,0.03,0.03,0.03,0.03,100000,0.03
2013-07-10,0.03,0.03,0.03,0.03,68500,0.03
2013-07-09,0.03,0.03,0.03,0.03,91200,0.03
2013-07-08,0.03,0.03,0.03,0.03,122000,0.03
2013-07-05,0.03,0.03,0.03,0.03,6600,0.03
2013-07-04,0.03,0.03,0.03,0.03,3600,0.03
2013-07-03,0.03,0.03,0.03,0.03,271400,0.03
2013-07-02,0.03,0.03,0.03,0.03,32400,0.03
2013-07-01,0.02,0.02,0.02,0.02,000,0.02
2013-06-28,0.02,0.02,0.02,0.02,811400,0.02
2013-06-27,0.02,0.02,0.02,0.02,16700,0.02
2013-06-26,0.02,0.02,0.02,0.02,370200,0.02
2013-06-25,0.02,0.02,0.02,0.02,90000,0.02
2013-06-24,0.02,0.02,0.02,0.02,17000,0.02
2013-06-21,0.02,0.02,0.02,0.02,75500,0.02
2013-06-20,0.02,0.02,0.02,0.02,50000,0.02
2013-06-18,0.03,0.03,0.03,0.03,238700,0.03
2013-06-17,0.03,0.03,0.03,0.03,000,0.03
2013-06-14,0.03,0.03,0.03,0.03,37100,0.03
2013-06-13,0.03,0.03,0.03,0.03,52800,0.03
2013-06-12,0.03,0.03,0.03,0.03,309500,0.03
2013-06-11,0.03,0.03,0.03,0.03,22000,0.03
2013-06-10,0.03,0.03,0.03,0.03,000,0.03
2013-06-07,0.03,0.03,0.03,0.03,1500,0.03
2013-06-06,0.03,0.03,0.03,0.03,66300,0.03
2013-06-05,0.03,0.03,0.03,0.03,26800,0.03
2013-06-04,0.03,0.03,0.03,0.03,99900,0.03
2013-06-03,0.03,0.03,0.03,0.03,31500,0.03
2013-05-31,0.03,0.03,0.03,0.03,124600,0.03
2013-05-30,0.03,0.03,0.03,0.03,10000,0.03
2013-05-29,0.03,0.03,0.03,0.03,18700,0.03
2013-05-28,0.03,0.03,0.03,0.03,164800,0.03
2013-05-27,0.03,0.03,0.03,0.03,000,0.03
2013-05-24,0.03,0.03,0.03,0.03,354100,0.03
2013-05-23,0.03,0.03,0.03,0.03,25700,0.03
2013-05-22,0.03,0.03,0.03,0.03,83900,0.03
2013-05-21,0.04,0.04,0.04,0.04,115900,0.04
2013-05-20,0.04,0.04,0.04,0.04,128000,0.04
2013-05-17,0.04,0.04,0.04,0.04,16400,0.04
2013-05-16,0.04,0.04,0.04,0.04,69600,0.04
2013-05-15,0.04,0.04,0.04,0.04,000,0.04
2013-05-14,0.04,0.04,0.04,0.04,73200,0.04
2013-05-13,0.04,0.04,0.04,0.04,000,0.04
2013-05-10,0.04,0.04,0.04,0.04,000,0.04
2013-05-09,0.04,0.04,0.04,0.04,62700,0.04
2013-05-08,0.04,0.04,0.04,0.04,205400,0.04
2013-05-07,0.04,0.04,0.04,0.04,000,0.04
2013-05-06,0.04,0.04,0.04,0.04,100000,0.04
2013-05-03,0.04,0.04,0.04,0.04,000,0.04
2013-05-02,0.04,0.04,0.04,0.04,50000,0.04
2013-05-01,0.04,0.04,0.04,0.04,101800,0.04
2013-04-30,0.04,0.04,0.04,0.04,216000,0.04
2013-04-26,0.04,0.04,0.04,0.04,19300,0.04
2013-04-25,0.04,0.04,0.04,0.04,000,0.04
2013-04-24,0.04,0.04,0.04,0.04,74000,0.04
2013-04-23,0.05,0.05,0.04,0.04,251100,0.04
