Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,1.00,1.00,1.00,1.00,1500,1.00
2013-09-19,1.00,1.00,1.00,1.00,000,1.00
2013-09-18,0.99,1.00,0.99,1.00,7800,1.00
2013-09-17,1.00,1.00,1.00,1.00,6100,1.00
2013-09-16,1.00,1.01,1.00,1.00,16000,1.00
2013-09-13,1.10,1.10,1.10,1.10,16700,1.10
2013-09-12,1.10,1.10,1.10,1.10,4000,1.10
2013-09-11,1.10,1.10,1.10,1.10,4000,1.10
2013-09-10,1.10,1.10,1.10,1.10,3000,1.10
2013-09-09,1.00,1.00,1.00,1.00,8000,1.00
2013-09-06,0.94,0.95,0.94,0.95,28300,0.95
2013-09-05,0.95,0.95,0.94,0.95,8800,0.95
2013-09-04,0.92,0.95,0.92,0.95,52100,0.95
2013-09-03,0.92,0.92,0.92,0.92,5000,0.92
2013-09-02,0.97,0.97,0.97,0.97,000,0.97
2013-08-30,0.97,0.97,0.97,0.97,000,0.97
2013-08-29,0.97,0.97,0.97,0.97,000,0.97
2013-08-28,0.97,0.97,0.97,0.97,000,0.97
2013-08-27,0.97,0.97,0.97,0.97,000,0.97
2013-08-26,0.97,0.97,0.97,0.97,5000,0.97
2013-08-23,0.95,0.95,0.95,0.95,000,0.95
2013-08-22,0.95,0.95,0.95,0.95,000,0.95
2013-08-21,0.95,0.95,0.95,0.95,1800,0.95
2013-08-20,0.95,0.95,0.95,0.95,000,0.95
2013-08-19,0.95,0.95,0.95,0.95,000,0.95
2013-08-16,0.95,0.95,0.95,0.95,000,0.95
2013-08-15,0.95,0.95,0.95,0.95,1800,0.95
2013-08-14,0.99,0.99,0.99,0.99,000,0.99
2013-08-13,0.99,0.99,0.99,0.99,11000,0.99
2013-08-12,0.99,0.99,0.99,0.99,10500,0.99
2013-08-09,0.99,0.99,0.99,0.99,23500,0.99
2013-08-08,0.99,1.00,0.99,1.00,42000,1.00
2013-08-07,0.99,0.99,0.99,0.99,20000,0.99
2013-08-06,0.99,0.99,0.99,0.99,10000,0.99
2013-08-05,0.99,0.99,0.99,0.99,1000,0.99
2013-08-02,1.00,1.00,0.99,1.00,27000,1.00
2013-08-01,1.00,1.01,0.98,1.00,44700,1.00
2013-07-31,0.95,1.00,0.95,1.00,29000,1.00
2013-07-30,0.98,0.98,0.97,0.97,21000,0.97
2013-07-29,1.00,1.00,1.00,1.00,29000,1.00
2013-07-26,1.03,1.03,1.00,1.00,14200,1.00
2013-07-25,1.03,1.03,1.03,1.03,000,1.03
2013-07-24,1.03,1.03,1.03,1.03,000,1.03
2013-07-23,1.03,1.03,1.03,1.03,000,1.03
2013-07-19,1.03,1.03,1.03,1.03,000,1.03
2013-07-18,1.03,1.03,1.03,1.03,000,1.03
2013-07-17,1.03,1.03,1.03,1.03,000,1.03
2013-07-16,1.04,1.04,1.03,1.03,7000,1.03
2013-07-15,1.04,1.04,1.04,1.04,000,1.04
2013-07-12,1.04,1.04,1.04,1.04,000,1.04
2013-07-11,1.04,1.04,1.04,1.04,000,1.04
2013-07-10,1.04,1.04,1.04,1.04,1000,1.04
2013-07-09,1.05,1.10,1.05,1.10,7000,1.10
2013-07-08,1.03,1.03,1.03,1.03,000,1.03
2013-07-05,1.07,1.07,1.03,1.03,11200,1.03
2013-07-04,1.10,1.10,1.10,1.10,000,1.10
2013-07-03,1.09,1.10,1.09,1.10,10000,1.10
2013-07-02,1.05,1.05,1.05,1.05,4700,1.05
2013-07-01,1.10,1.10,1.10,1.10,10000,1.10
2013-06-28,1.10,1.10,1.10,1.10,000,1.10
2013-06-27,1.10,1.10,1.10,1.10,000,1.10
2013-06-26,1.05,1.10,1.05,1.10,23000,1.10
2013-06-25,1.08,1.08,1.08,1.08,000,1.08
2013-06-24,1.08,1.08,1.08,1.08,5000,1.08
2013-06-21,1.10,1.10,1.10,1.10,000,1.10
2013-06-20,1.10,1.10,1.10,1.10,000,1.10
2013-06-18,1.00,1.10,1.00,1.10,27000,1.10
2013-06-17,1.00,1.00,1.00,1.00,2900,1.00
2013-06-14,1.10,1.10,1.10,1.10,000,1.10
2013-06-13,1.00,1.10,1.00,1.10,31000,1.10
2013-06-12,1.00,1.00,1.00,1.00,19300,1.00
2013-06-11,1.08,1.08,1.05,1.05,12000,1.05
2013-06-10,1.05,1.05,1.05,1.05,000,1.05
2013-06-07,1.01,1.05,1.01,1.05,7300,1.05
2013-06-06,1.05,1.05,0.95,1.01,14600,1.01
2013-06-05,1.00,1.00,1.00,1.00,2000,1.00
2013-06-04,0.95,1.00,0.95,1.00,54300,1.00
2013-06-03,1.00,1.00,0.95,0.95,14000,0.95
2013-05-31,1.00,1.00,1.00,1.00,84000,1.00
2013-05-30,1.00,1.00,1.00,1.00,1500,1.00
2013-05-29,1.00,1.00,1.00,1.00,28000,1.00
2013-05-28,1.01,1.01,1.00,1.00,30100,1.00
2013-05-27,1.10,1.10,1.05,1.05,8300,1.05
2013-05-24,1.10,1.10,1.10,1.10,15000,1.10
2013-05-23,1.10,1.10,1.10,1.10,6900,1.10
2013-05-22,1.10,1.10,1.10,1.10,3100,1.10
2013-05-21,1.10,1.10,1.10,1.10,7500,1.10
2013-05-20,1.10,1.10,1.10,1.10,000,1.10
2013-05-17,1.10,1.10,1.10,1.10,000,1.10
2013-05-16,1.10,1.10,1.10,1.10,2000,1.10
2013-05-15,1.12,1.12,1.12,1.12,4000,1.12
2013-05-14,1.10,1.10,1.10,1.10,2000,1.10
2013-05-13,1.35,1.35,1.35,1.35,000,1.35
2013-05-10,1.35,1.35,1.35,1.35,000,1.35
2013-05-09,1.35,1.35,1.35,1.35,000,1.35
2013-05-08,1.35,1.35,1.35,1.35,000,1.35
2013-05-07,1.35,1.35,1.35,1.35,000,1.35
2013-05-06,1.27,1.35,1.27,1.35,20000,1.35
2013-05-03,1.30,1.30,1.30,1.30,000,1.30
2013-05-02,1.30,1.30,1.30,1.30,000,1.30
2013-05-01,1.29,1.30,1.25,1.30,6200,1.30
2013-04-30,1.28,1.28,1.28,1.28,1000,1.28
2013-04-26,1.25,1.25,1.25,1.25,1000,1.25
2013-04-25,1.21,1.21,1.21,1.21,000,1.21
2013-04-24,1.21,1.21,1.21,1.21,1000,1.21
2013-04-23,1.40,1.40,1.40,1.40,7500,1.40
2013-04-22,1.34,1.40,1.34,1.40,20000,1.40
2013-04-19,1.37,1.37,1.33,1.33,8000,1.33
2013-04-18,1.36,1.36,1.36,1.36,30000,1.36
2013-04-17,1.34,1.34,1.34,1.34,2000,1.34
2013-04-16,1.34,1.34,1.34,1.34,10000,1.34
2013-04-15,1.36,1.36,1.36,1.36,3000,1.36
2013-04-12,1.36,1.36,1.36,1.36,000,1.36
2013-04-11,1.36,1.36,1.36,1.36,10000,1.36
2013-04-10,1.40,1.40,1.35,1.35,10000,1.35
2013-04-09,1.34,1.34,1.34,1.34,2200,1.34
2013-04-08,1.30,1.44,1.30,1.44,36200,1.44
2013-04-05,1.31,1.31,1.30,1.30,18600,1.30
2013-04-04,1.32,1.32,1.31,1.31,10000,1.31
2013-04-03,1.45,1.45,1.45,1.45,000,1.45
2013-04-02,1.45,1.45,1.43,1.45,25500,1.45
