Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.70,0.70,0.70,0.70,000,0.70
2013-09-19,0.69,0.70,0.69,0.70,61300,0.70
2013-09-18,0.68,0.68,0.68,0.68,64600,0.68
2013-09-17,0.68,0.68,0.68,0.68,4200,0.68
2013-09-16,0.68,0.68,0.68,0.68,000,0.68
2013-09-13,0.66,0.69,0.66,0.68,85000,0.68
2013-09-12,0.69,0.69,0.69,0.69,000,0.69
2013-09-11,0.69,0.69,0.69,0.69,000,0.69
2013-09-10,0.68,0.70,0.68,0.69,47600,0.69
2013-09-09,0.63,0.64,0.63,0.64,7100,0.64
2013-09-06,0.64,0.64,0.62,0.62,30000,0.62
2013-09-05,0.65,0.65,0.65,0.65,2800,0.65
2013-09-04,0.62,0.62,0.62,0.62,000,0.62
2013-09-03,0.65,0.65,0.62,0.62,2200,0.62
2013-09-02,0.65,0.70,0.65,0.69,62000,0.69
2013-08-30,0.57,0.61,0.57,0.61,33000,0.61
2013-08-29,0.53,0.53,0.52,0.52,260000,0.52
2013-08-28,0.58,0.58,0.58,0.58,000,0.58
2013-08-27,0.58,0.58,0.58,0.58,25000,0.58
2013-08-26,0.60,0.60,0.60,0.60,30000,0.60
2013-08-23,0.59,0.60,0.59,0.60,14500,0.60
2013-08-22,0.59,0.59,0.59,0.59,10000,0.59
2013-08-21,0.57,0.57,0.57,0.57,38000,0.57
2013-08-20,0.53,0.53,0.53,0.53,13500,0.53
2013-08-19,0.53,0.53,0.53,0.53,5000,0.53
2013-08-16,0.48,0.52,0.46,0.52,111000,0.52
2013-08-15,0.46,0.51,0.46,0.51,105200,0.51
2013-08-14,0.46,0.46,0.46,0.46,29300,0.46
2013-08-13,0.47,0.54,0.47,0.49,106700,0.49
2013-08-12,0.47,0.47,0.45,0.45,16500,0.45
2013-08-09,0.49,0.49,0.49,0.49,000,0.49
2013-08-08,0.49,0.49,0.49,0.49,20000,0.49
2013-08-07,0.45,0.45,0.45,0.45,27500,0.45
2013-08-06,0.45,0.45,0.45,0.45,10000,0.45
2013-08-05,0.40,0.40,0.40,0.40,000,0.40
2013-08-02,0.40,0.40,0.40,0.40,59000,0.40
2013-08-01,0.40,0.40,0.40,0.40,3900,0.40
2013-07-31,0.41,0.41,0.40,0.40,179100,0.40
2013-07-30,0.39,0.41,0.38,0.41,34500,0.41
2013-07-29,0.41,0.41,0.39,0.39,20000,0.39
2013-07-26,0.45,0.45,0.45,0.45,000,0.45
2013-07-25,0.44,0.45,0.44,0.45,274500,0.45
2013-07-24,0.41,0.41,0.41,0.41,97300,0.41
2013-07-23,0.43,0.43,0.40,0.40,53900,0.40
2013-07-19,0.37,0.44,0.37,0.42,46800,0.42
2013-07-18,0.36,0.37,0.33,0.37,411100,0.37
2013-07-17,0.36,0.36,0.36,0.36,000,0.36
2013-07-16,0.36,0.36,0.36,0.36,000,0.36
2013-07-15,0.36,0.36,0.36,0.36,000,0.36
2013-07-12,0.36,0.36,0.36,0.36,000,0.36
2013-07-11,0.36,0.36,0.36,0.36,28800,0.36
2013-07-10,0.39,0.39,0.39,0.39,000,0.39
2013-07-09,0.39,0.39,0.39,0.39,000,0.39
2013-07-08,0.39,0.39,0.39,0.39,000,0.39
2013-07-05,0.39,0.39,0.39,0.39,64000,0.39
2013-07-04,0.39,0.39,0.39,0.39,000,0.39
2013-07-03,0.39,0.39,0.39,0.39,20000,0.39
2013-07-02,0.39,0.39,0.39,0.39,11500,0.39
2013-07-01,0.40,0.40,0.40,0.40,5500,0.40
2013-06-28,0.44,0.44,0.44,0.44,000,0.44
2013-06-27,0.45,0.45,0.44,0.44,10800,0.44
2013-06-26,0.45,0.45,0.45,0.45,5800,0.45
2013-06-25,0.45,0.45,0.42,0.45,28000,0.45
2013-06-24,0.45,0.45,0.45,0.45,18700,0.45
2013-06-21,0.45,0.45,0.45,0.45,000,0.45
2013-06-20,0.45,0.45,0.45,0.45,000,0.45
2013-06-18,0.45,0.45,0.45,0.45,000,0.45
2013-06-17,0.45,0.45,0.45,0.45,9200,0.45
2013-06-14,0.45,0.45,0.45,0.45,5000,0.45
2013-06-13,0.45,0.45,0.45,0.45,000,0.45
2013-06-12,0.45,0.45,0.41,0.45,682500,0.45
2013-06-11,0.45,0.45,0.45,0.45,30000,0.45
2013-06-10,0.49,0.49,0.49,0.49,000,0.49
2013-06-07,0.49,0.49,0.49,0.49,000,0.49
2013-06-06,0.49,0.49,0.49,0.49,000,0.49
2013-06-05,0.49,0.49,0.49,0.49,000,0.49
2013-06-04,0.49,0.49,0.49,0.49,000,0.49
2013-06-03,0.49,0.49,0.49,0.49,10000,0.49
2013-05-31,0.50,0.50,0.50,0.50,000,0.50
2013-05-30,0.49,0.50,0.49,0.50,20000,0.50
2013-05-29,0.50,0.50,0.50,0.50,000,0.50
2013-05-28,0.50,0.50,0.50,0.50,000,0.50
2013-05-27,0.50,0.50,0.50,0.50,000,0.50
2013-05-24,0.50,0.50,0.50,0.50,1600,0.50
2013-05-23,0.52,0.52,0.50,0.50,25000,0.50
2013-05-22,0.51,0.51,0.51,0.51,14200,0.51
2013-05-21,0.52,0.52,0.52,0.52,7100,0.52
2013-05-20,0.55,0.55,0.52,0.52,48700,0.52
2013-05-17,0.62,0.62,0.62,0.62,000,0.62
2013-05-16,0.62,0.62,0.62,0.62,000,0.62
2013-05-15,0.62,0.62,0.62,0.62,11000,0.62
2013-05-14,0.64,0.64,0.64,0.64,000,0.64
2013-05-13,0.64,0.64,0.64,0.64,000,0.64
2013-05-10,0.64,0.64,0.64,0.64,700,0.64
2013-05-09,0.67,0.67,0.67,0.67,000,0.67
2013-05-08,0.67,0.67,0.67,0.67,000,0.67
2013-05-07,0.67,0.67,0.67,0.67,000,0.67
2013-05-06,0.67,0.67,0.67,0.67,000,0.67
2013-05-03,0.67,0.67,0.67,0.67,000,0.67
2013-05-02,0.67,0.67,0.67,0.67,000,0.67
2013-05-01,0.67,0.67,0.67,0.67,000,0.67
2013-04-30,0.67,0.67,0.67,0.67,000,0.67
2013-04-26,0.67,0.67,0.67,0.67,000,0.67
2013-04-25,0.67,0.67,0.67,0.67,000,0.67
2013-04-24,0.67,0.67,0.67,0.67,000,0.67
2013-04-23,0.67,0.67,0.67,0.67,000,0.67
2013-04-22,0.67,0.67,0.67,0.67,000,0.67
2013-04-19,0.67,0.67,0.67,0.67,000,0.67
2013-04-18,0.67,0.67,0.67,0.67,000,0.67
2013-04-17,0.67,0.67,0.67,0.67,4800,0.67
2013-04-16,0.67,0.67,0.67,0.67,14800,0.67
2013-04-15,0.69,0.69,0.66,0.68,17100,0.68
2013-04-12,0.70,0.70,0.69,0.69,20000,0.69
2013-04-11,0.69,0.70,0.69,0.70,27000,0.70
2013-04-10,0.68,0.70,0.62,0.70,19500,0.70
2013-04-09,0.70,0.70,0.70,0.70,10400,0.70
2013-04-08,0.66,0.70,0.66,0.70,50100,0.70
2013-04-05,0.65,0.65,0.65,0.65,5000,0.65
2013-04-04,0.70,0.70,0.70,0.70,100,0.70
2013-04-03,0.70,0.70,0.70,0.70,000,0.70
2013-04-02,0.70,0.70,0.69,0.70,56900,0.70
2013-04-01,0.71,0.71,0.71,0.71,000,0.71
2013-03-29,0.71,0.71,0.71,0.71,000,0.71
2013-03-28,0.71,0.71,0.71,0.71,000,0.71
2013-03-27,0.71,0.71,0.71,0.71,000,0.71
2013-03-26,0.71,0.71,0.71,0.71,000,0.71
2013-03-25,0.71,0.71,0.71,0.71,1000,0.71
2013-03-22,0.71,0.71,0.70,0.70,16900,0.70
2013-03-21,0.74,0.74,0.70,0.70,9900,0.70
2013-03-20,0.73,0.73,0.73,0.73,000,0.73
2013-03-19,0.73,0.73,0.73,0.73,131600,0.73
2013-03-18,0.75,0.78,0.75,0.78,14200,0.78
2013-03-15,0.75,0.75,0.75,0.75,49700,0.75
2013-03-14,0.71,0.75,0.71,0.75,18000,0.75
