Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.14,0.14,0.14,0.14,000,0.14
2013-09-19,0.14,0.14,0.14,0.14,56300,0.14
2013-09-18,0.14,0.14,0.14,0.14,000,0.14
2013-09-17,0.14,0.14,0.14,0.14,90100,0.14
2013-09-16,0.14,0.14,0.14,0.14,000,0.14
2013-09-13,0.14,0.14,0.14,0.14,82000,0.14
2013-09-12,0.14,0.14,0.14,0.14,25000,0.14
2013-09-11,0.14,0.14,0.14,0.14,4000,0.14
2013-09-10,0.14,0.14,0.14,0.14,116500,0.14
2013-09-09,0.14,0.14,0.14,0.14,97600,0.14
2013-09-06,0.14,0.14,0.14,0.14,691000,0.14
2013-09-05,0.14,0.14,0.14,0.14,108000,0.14
2013-09-04,0.14,0.14,0.14,0.14,186900,0.14
2013-09-03,0.14,0.14,0.14,0.14,430600,0.14
2013-09-02,0.14,0.14,0.14,0.14,80000,0.14
2013-08-30,0.14,0.15,0.14,0.14,596300,0.14
2013-08-29,0.14,0.14,0.14,0.14,128200,0.14
2013-08-28,0.14,0.14,0.14,0.14,215900,0.14
2013-08-27,0.14,0.14,0.14,0.14,962900,0.14
2013-08-26,0.14,0.14,0.14,0.14,32500,0.14
2013-08-23,0.14,0.14,0.14,0.14,15000,0.14
2013-08-22,0.14,0.14,0.14,0.14,60000,0.14
2013-08-21,0.14,0.14,0.14,0.14,14400,0.14
2013-08-20,0.14,0.14,0.14,0.14,252000,0.14
2013-08-19,0.14,0.15,0.14,0.15,804700,0.15
2013-08-16,0.14,0.14,0.14,0.14,781400,0.14
2013-08-15,0.14,0.14,0.14,0.14,601900,0.14
2013-08-14,0.14,0.14,0.14,0.14,985000,0.14
2013-08-13,0.14,0.14,0.14,0.14,828100,0.14
2013-08-12,0.14,0.14,0.14,0.14,350800,0.14
2013-08-09,0.14,0.14,0.14,0.14,326300,0.14
2013-08-08,0.14,0.14,0.14,0.14,322600,0.14
2013-08-07,0.13,0.14,0.13,0.14,90000,0.14
2013-08-06,0.14,0.14,0.13,0.13,807200,0.13
2013-08-05,0.14,0.14,0.13,0.13,132700,0.13
2013-08-02,0.13,0.13,0.13,0.13,140000,0.13
2013-08-01,0.14,0.14,0.13,0.13,233200,0.13
2013-07-31,0.12,0.14,0.12,0.13,2970700,0.13
2013-07-30,0.12,0.12,0.12,0.12,150000,0.12
2013-07-29,0.12,0.12,0.12,0.12,2233600,0.12
2013-07-26,0.12,0.12,0.12,0.12,623500,0.12
2013-07-25,0.12,0.12,0.12,0.12,378000,0.12
2013-07-24,0.12,0.12,0.12,0.12,393800,0.12
2013-07-23,0.12,0.12,0.11,0.12,783900,0.12
2013-07-22,0.12,0.12,0.12,0.12,572400,0.12
2013-07-19,0.12,0.12,0.12,0.12,3151200,0.12
