Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.47,0.47,0.42,0.42,21897500,0.42
2013-09-19,0.48,0.50,0.47,0.47,8597300,0.47
2013-09-18,0.47,0.47,0.44,0.45,2391100,0.45
2013-09-17,0.46,0.49,0.46,0.47,7808100,0.47
2013-09-16,0.44,0.46,0.44,0.46,3559900,0.46
2013-09-13,0.44,0.44,0.43,0.43,1415600,0.43
2013-09-12,0.45,0.46,0.44,0.44,2419200,0.44
2013-09-11,0.47,0.48,0.44,0.44,3220500,0.44
2013-09-10,0.44,0.48,0.44,0.47,7995900,0.47
2013-09-09,0.45,0.46,0.43,0.43,3497100,0.43
2013-09-06,0.45,0.46,0.44,0.44,3307600,0.44
2013-09-05,0.47,0.47,0.44,0.44,2399600,0.44
2013-09-04,0.48,0.49,0.44,0.46,5663300,0.46
2013-09-03,0.49,0.50,0.48,0.49,3592300,0.49
2013-09-02,0.43,0.52,0.43,0.49,12288200,0.49
2013-08-30,0.41,0.44,0.41,0.43,4935900,0.43
2013-08-29,0.46,0.46,0.41,0.43,13754400,0.43
2013-08-28,0.50,0.51,0.48,0.49,11028300,0.49
2013-08-27,0.55,0.56,0.47,0.54,13084600,0.54
2013-08-26,0.60,0.61,0.55,0.56,7408000,0.56
2013-08-23,0.55,0.59,0.53,0.59,7932400,0.59
2013-08-22,0.57,0.58,0.54,0.55,4731100,0.55
2013-08-21,0.59,0.61,0.57,0.57,6569200,0.57
2013-08-20,0.62,0.62,0.56,0.56,7305100,0.56
2013-08-19,0.54,0.62,0.54,0.62,10341000,0.62
2013-08-16,0.55,0.56,0.52,0.54,5508200,0.54
2013-08-15,0.57,0.59,0.56,0.56,3005400,0.56
2013-08-14,0.61,0.61,0.56,0.58,8248900,0.58
2013-08-13,0.65,0.65,0.60,0.61,8770900,0.61
2013-08-12,0.63,0.67,0.59,0.63,17679500,0.63
2013-08-09,0.61,0.71,0.58,0.59,27790100,0.59
2013-08-08,0.49,0.58,0.49,0.57,25563100,0.57
2013-08-07,0.46,0.50,0.44,0.49,15343200,0.49
2013-08-06,0.44,0.46,0.43,0.44,8493200,0.44
2013-08-05,0.42,0.45,0.41,0.43,7707900,0.43
2013-08-02,0.41,0.44,0.41,0.41,8405200,0.41
2013-08-01,0.41,0.41,0.40,0.41,2115400,0.41
2013-07-31,0.41,0.43,0.40,0.41,6921200,0.41
2013-07-30,0.40,0.41,0.39,0.41,6397400,0.41
2013-07-29,0.39,0.40,0.38,0.38,2709100,0.38
2013-07-26,0.40,0.40,0.38,0.38,4868400,0.38
2013-07-25,0.39,0.41,0.37,0.40,11069500,0.40
2013-07-24,0.41,0.41,0.38,0.39,6567400,0.39
2013-07-23,0.43,0.43,0.37,0.41,12882700,0.41
2013-07-22,0.41,0.43,0.41,0.42,16273400,0.42
2013-07-19,0.37,0.43,0.37,0.40,41513100,0.40
2013-07-18,0.36,0.37,0.34,0.37,21517000,0.37
2013-07-17,0.31,0.37,0.31,0.34,83010600,0.34
2013-07-16,0.26,0.26,0.25,0.25,1864000,0.25
2013-07-15,0.24,0.26,0.24,0.25,9007700,0.25
2013-07-12,0.23,0.24,0.22,0.23,6012700,0.23
2013-07-11,0.22,0.24,0.22,0.23,12246300,0.23
2013-07-10,0.25,0.25,0.21,0.22,14451400,0.22
2013-07-09,0.30,0.31,0.23,0.24,18578200,0.24
2013-07-08,0.28,0.31,0.27,0.28,17205600,0.28
2013-07-05,0.24,0.28,0.24,0.26,19495500,0.26
2013-07-04,0.20,0.25,0.19,0.22,17329700,0.22
2013-07-03,0.17,0.20,0.17,0.19,12983100,0.19
2013-07-02,0.16,0.17,0.16,0.17,7255800,0.17
2013-07-01,0.16,0.16,0.15,0.15,4520100,0.15
2013-06-28,0.17,0.17,0.15,0.15,6337100,0.15
2013-06-27,0.17,0.18,0.16,0.17,6986000,0.17
2013-06-26,0.19,0.20,0.17,0.18,23661900,0.18
2013-06-25,0.13,0.19,0.13,0.19,29212300,0.19
2013-06-24,0.13,0.14,0.12,0.13,20921100,0.13
2013-06-21,0.14,0.14,0.12,0.13,32598500,0.13
2013-06-20,0.15,0.16,0.14,0.14,4544100,0.14
2013-06-19,0.17,0.17,0.15,0.16,3401000,0.16
2013-06-18,0.18,0.19,0.16,0.16,6665100,0.16
2013-06-17,0.19,0.19,0.18,0.18,4207700,0.18
2013-06-14,0.19,0.22,0.19,0.19,6374900,0.19
2013-06-13,0.19,0.19,0.19,0.19,3095000,0.19
2013-06-12,0.20,0.20,0.19,0.19,4256200,0.19
2013-06-11,0.22,0.22,0.20,0.20,8878400,0.20
2013-06-10,0.21,0.21,0.21,0.21,000,0.21
2013-06-07,0.22,0.23,0.20,0.21,14078100,0.21
2013-06-06,0.22,0.22,0.21,0.22,10297800,0.22
2013-06-05,0.23,0.25,0.22,0.22,31851100,0.22
2013-06-04,0.19,0.30,0.19,0.23,65106100,0.23
2013-06-03,0.46,0.46,0.46,0.46,000,0.46
2013-05-31,0.46,0.46,0.46,0.46,000,0.46
2013-05-30,0.46,0.46,0.46,0.46,000,0.46
2013-05-29,0.46,0.46,0.46,0.46,000,0.46
2013-05-28,0.46,0.46,0.46,0.46,000,0.46
2013-05-27,0.46,0.46,0.46,0.46,000,0.46
2013-05-24,0.46,0.46,0.46,0.46,000,0.46
2013-05-23,0.46,0.46,0.46,0.46,000,0.46
2013-05-22,0.46,0.46,0.46,0.46,000,0.46
2013-05-21,0.46,0.46,0.46,0.46,000,0.46
2013-05-20,0.46,0.46,0.46,0.46,000,0.46
2013-05-17,0.46,0.46,0.46,0.46,000,0.46
2013-05-16,0.46,0.46,0.46,0.46,000,0.46
2013-05-15,0.46,0.46,0.46,0.46,000,0.46
2013-05-14,0.46,0.46,0.46,0.46,000,0.46
2013-05-13,0.46,0.46,0.46,0.46,000,0.46
2013-05-10,0.46,0.46,0.46,0.46,000,0.46
2013-05-09,0.46,0.46,0.46,0.46,000,0.46
2013-05-08,0.46,0.46,0.46,0.46,000,0.46
2013-05-07,0.46,0.46,0.46,0.46,000,0.46
2013-05-06,0.46,0.46,0.45,0.46,6064200,0.46
2013-05-03,0.47,0.47,0.45,0.46,4568400,0.46
2013-05-02,0.47,0.47,0.47,0.47,1383100,0.47
2013-05-01,0.47,0.48,0.47,0.47,2532400,0.47
2013-04-30,0.47,0.48,0.47,0.47,1400600,0.47
2013-04-29,0.49,0.49,0.47,0.48,2016000,0.48
2013-04-26,0.47,0.49,0.47,0.48,1308600,0.48
2013-04-25,0.48,0.48,0.48,0.48,000,0.48
2013-04-24,0.48,0.49,0.47,0.48,3962300,0.48
2013-04-23,0.49,0.50,0.48,0.48,1735800,0.48
2013-04-22,0.50,0.50,0.48,0.49,3941700,0.49
2013-04-19,0.50,0.50,0.49,0.50,8698700,0.50
2013-04-18,0.50,0.50,0.49,0.49,4752800,0.49
2013-04-17,0.50,0.50,0.48,0.50,2935800,0.50
2013-04-16,0.51,0.51,0.50,0.50,4355500,0.50
2013-04-15,0.52,0.52,0.51,0.52,1250700,0.52
2013-04-12,0.53,0.54,0.52,0.52,5231300,0.52
2013-04-11,0.54,0.54,0.53,0.54,5905700,0.54
2013-04-10,0.52,0.55,0.51,0.54,18718100,0.54
2013-04-09,0.73,0.73,0.73,0.73,000,0.73
2013-04-08,0.73,0.73,0.73,0.73,000,0.73
2013-04-05,0.73,0.73,0.73,0.73,000,0.73
2013-04-04,0.73,0.73,0.73,0.73,000,0.73
2013-04-03,0.73,0.73,0.73,0.73,000,0.73
