Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.00,0.00,0.00,0.00,600000,0.00
2013-09-19,0.00,0.00,0.00,0.00,143900,0.00
2013-09-18,0.00,0.00,0.00,0.00,1600000,0.00
2013-09-17,0.00,0.00,0.00,0.00,000,0.00
2013-09-16,0.00,0.00,0.00,0.00,796000,0.00
2013-09-13,0.00,0.00,0.00,0.00,234200,0.00
2013-09-12,0.00,0.00,0.00,0.00,1141700,0.00
2013-09-11,0.00,0.00,0.00,0.00,000,0.00
2013-09-10,0.00,0.00,0.00,0.00,000,0.00
2013-09-09,0.00,0.00,0.00,0.00,1400000,0.00
2013-09-06,0.00,0.00,0.00,0.00,125000,0.00
2013-09-05,0.00,0.00,0.00,0.00,000,0.00
2013-09-04,0.00,0.00,0.00,0.00,000,0.00
2013-09-03,0.00,0.00,0.00,0.00,3899900,0.00
2013-09-02,0.00,0.00,0.00,0.00,000,0.00
2013-08-30,0.00,0.00,0.00,0.00,000,0.00
2013-08-29,0.00,0.00,0.00,0.00,2200000,0.00
2013-08-28,0.00,0.00,0.00,0.00,000,0.00
2013-08-27,0.00,0.00,0.00,0.00,100000,0.00
2013-08-26,0.00,0.00,0.00,0.00,250000,0.00
2013-08-23,0.00,0.00,0.00,0.00,300000,0.00
2013-08-22,0.00,0.00,0.00,0.00,000,0.00
2013-08-21,0.00,0.00,0.00,0.00,669300,0.00
2013-08-20,0.00,0.00,0.00,0.00,490900,0.00
2013-08-19,0.00,0.00,0.00,0.00,000,0.00
2013-08-16,0.00,0.00,0.00,0.00,000,0.00
2013-08-15,0.00,0.00,0.00,0.00,460900,0.00
2013-08-14,0.00,0.00,0.00,0.00,000,0.00
2013-08-13,0.00,0.00,0.00,0.00,000,0.00
2013-08-12,0.00,0.00,0.00,0.00,000,0.00
2013-08-09,0.00,0.00,0.00,0.00,000,0.00
2013-08-08,0.00,0.00,0.00,0.00,4000000,0.00
2013-08-07,0.00,0.00,0.00,0.00,1500000,0.00
2013-08-06,0.00,0.00,0.00,0.00,000,0.00
2013-08-05,0.00,0.00,0.00,0.00,000,0.00
2013-08-02,0.00,0.00,0.00,0.00,000,0.00
2013-08-01,0.00,0.00,0.00,0.00,000,0.00
2013-07-31,0.00,0.00,0.00,0.00,2089900,0.00
2013-07-30,0.00,0.00,0.00,0.00,000,0.00
2013-07-29,0.00,0.00,0.00,0.00,530000,0.00
2013-07-26,0.00,0.00,0.00,0.00,000,0.00
2013-07-25,0.00,0.00,0.00,0.00,640000,0.00
2013-07-24,0.00,0.00,0.00,0.00,1400000,0.00
2013-07-23,0.00,0.00,0.00,0.00,000,0.00
2013-07-22,0.00,0.00,0.00,0.00,500000,0.00
2013-07-19,0.00,0.00,0.00,0.00,000,0.00
2013-07-18,0.00,0.00,0.00,0.00,000,0.00
2013-07-17,0.00,0.00,0.00,0.00,3269200,0.00
2013-07-16,0.00,0.00,0.00,0.00,8200000,0.00
2013-07-15,0.00,0.00,0.00,0.00,13110900,0.00
2013-07-12,0.00,0.00,0.00,0.00,200000,0.00
2013-07-11,0.00,0.00,0.00,0.00,200000,0.00
2013-07-10,0.00,0.00,0.00,0.00,000,0.00
2013-07-09,0.00,0.00,0.00,0.00,375000,0.00
2013-07-08,0.00,0.00,0.00,0.00,000,0.00
2013-07-05,0.00,0.00,0.00,0.00,300000,0.00
2013-07-04,0.00,0.00,0.00,0.00,51996100,0.00
2013-07-03,0.00,0.00,0.00,0.00,750000,0.00
2013-07-02,0.00,0.00,0.00,0.00,000,0.00
2013-07-01,0.00,0.00,0.00,0.00,1100000,0.00
2013-06-28,0.00,0.00,0.00,0.00,1230000,0.00
2013-06-27,0.00,0.00,0.00,0.00,231000,0.00
2013-06-26,0.00,0.00,0.00,0.00,91600,0.00
2013-06-25,0.00,0.00,0.00,0.00,1120000,0.00
2013-06-24,0.00,0.00,0.00,0.00,230000,0.00
2013-06-21,0.00,0.00,0.00,0.00,100000,0.00
2013-06-20,0.00,0.00,0.00,0.00,6000000,0.00
2013-06-19,0.00,0.00,0.00,0.00,000,0.00
2013-06-18,0.00,0.00,0.00,0.00,4706000,0.00
2013-06-17,0.00,0.00,0.00,0.00,885900,0.00
2013-06-14,0.00,0.00,0.00,0.00,1501600,0.00
2013-06-13,0.00,0.00,0.00,0.00,110000,0.00
2013-06-12,0.00,0.00,0.00,0.00,000,0.00
2013-06-11,0.00,0.00,0.00,0.00,640000,0.00
2013-06-10,0.00,0.00,0.00,0.00,000,0.00
2013-06-07,0.00,0.00,0.00,0.00,406000,0.00
2013-06-06,0.00,0.00,0.00,0.00,262500,0.00
2013-06-05,0.00,0.00,0.00,0.00,500000,0.00
2013-06-04,0.00,0.00,0.00,0.00,580000,0.00
2013-06-03,0.00,0.00,0.00,0.00,300000,0.00
2013-05-31,0.00,0.00,0.00,0.00,000,0.00
2013-05-30,0.00,0.00,0.00,0.00,100000,0.00
2013-05-29,0.00,0.00,0.00,0.00,000,0.00
2013-05-28,0.00,0.00,0.00,0.00,1140000,0.00
2013-05-27,0.00,0.00,0.00,0.00,6892200,0.00
2013-05-24,0.00,0.00,0.00,0.00,185500,0.00
2013-05-23,0.00,0.00,0.00,0.00,2264200,0.00
2013-05-22,0.00,0.00,0.00,0.00,000,0.00
2013-05-21,0.00,0.00,0.00,0.00,000,0.00
2013-05-20,0.00,0.00,0.00,0.00,1200000,0.00
2013-05-17,0.00,0.00,0.00,0.00,81000,0.00
2013-05-16,0.00,0.00,0.00,0.00,380000,0.00
2013-05-15,0.00,0.00,0.00,0.00,2901500,0.00
2013-05-14,0.00,0.00,0.00,0.00,000,0.00
2013-05-13,0.00,0.00,0.00,0.00,3190000,0.00
2013-05-10,0.00,0.00,0.00,0.00,000,0.00
2013-05-09,0.00,0.00,0.00,0.00,1180000,0.00
2013-05-08,0.00,0.00,0.00,0.00,299900,0.00
2013-05-07,0.00,0.00,0.00,0.00,280000,0.00
2013-05-06,0.00,0.00,0.00,0.00,510000,0.00
2013-05-03,0.00,0.00,0.00,0.00,935500,0.00
2013-05-02,0.00,0.00,0.00,0.00,745000,0.00
2013-05-01,0.00,0.00,0.00,0.00,000,0.00
2013-04-30,0.00,0.00,0.00,0.00,000,0.00
2013-04-29,0.00,0.00,0.00,0.00,1470000,0.00
2013-04-26,0.00,0.00,0.00,0.00,1050000,0.00
2013-04-25,0.00,0.00,0.00,0.00,000,0.00
2013-04-24,0.00,0.00,0.00,0.00,9800,0.00
2013-04-23,0.00,0.00,0.00,0.00,6345900,0.00
2013-04-22,0.00,0.00,0.00,0.00,000,0.00
2013-04-19,0.00,0.00,0.00,0.00,1161100,0.00
2013-04-18,0.00,0.00,0.00,0.00,280000,0.00
2013-04-17,0.00,0.00,0.00,0.00,6266200,0.00
2013-04-16,0.00,0.00,0.00,0.00,1583800,0.00
2013-04-15,0.00,0.00,0.00,0.00,300000,0.00
2013-04-12,0.00,0.00,0.00,0.00,110000,0.00
2013-04-11,0.00,0.00,0.00,0.00,1440000,0.00
2013-04-10,0.00,0.00,0.00,0.00,300000,0.00
2013-04-09,0.00,0.00,0.00,0.00,1400000,0.00
2013-04-08,0.00,0.00,0.00,0.00,200000,0.00
2013-04-05,0.00,0.00,0.00,0.00,1668000,0.00
2013-04-04,0.00,0.00,0.00,0.00,000,0.00
2013-04-03,0.00,0.00,0.00,0.00,355000,0.00
2013-04-02,0.00,0.00,0.00,0.00,20000,0.00
2013-04-01,0.00,0.00,0.00,0.00,000,0.00
2013-03-29,0.00,0.00,0.00,0.00,000,0.00
2013-03-28,0.00,0.00,0.00,0.00,000,0.00
2013-03-27,0.00,0.00,0.00,0.00,150000,0.00
2013-03-26,0.00,0.00,0.00,0.00,000,0.00
2013-03-25,0.00,0.00,0.00,0.00,919200,0.00
2013-03-22,0.00,0.00,0.00,0.00,000,0.00
2013-03-21,0.00,0.00,0.00,0.00,536100,0.00
2013-03-20,0.00,0.00,0.00,0.00,125000,0.00
2013-03-19,0.00,0.00,0.00,0.00,77200,0.00
2013-03-18,0.00,0.00,0.00,0.00,000,0.00
2013-03-15,0.00,0.00,0.00,0.00,200000,0.00
2013-03-14,0.00,0.00,0.00,0.00,1909000,0.00
2013-03-13,0.00,0.00,0.00,0.00,000,0.00
2013-03-12,0.00,0.00,0.00,0.00,3617900,0.00
2013-03-11,0.00,0.00,0.00,0.00,1500000,0.00
2013-03-08,0.00,0.00,0.00,0.00,153000,0.00
2013-03-07,0.00,0.00,0.00,0.00,426000,0.00
2013-03-06,0.00,0.00,0.00,0.00,000,0.00
2013-03-05,0.00,0.00,0.00,0.00,473900,0.00
