Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.87,0.88,0.84,0.85,23330500,0.85
2013-09-19,0.81,0.88,0.80,0.87,7991700,0.87
2013-09-18,0.76,0.77,0.73,0.74,4926400,0.74
2013-09-17,0.80,0.81,0.76,0.77,6402400,0.77
2013-09-16,0.84,0.85,0.81,0.81,3904800,0.81
2013-09-13,0.84,0.85,0.81,0.82,4789700,0.82
2013-09-12,0.86,0.87,0.86,0.87,1863900,0.87
2013-09-11,0.86,0.88,0.85,0.88,2935900,0.88
2013-09-10,0.89,0.90,0.88,0.88,3549300,0.88
2013-09-09,0.85,0.90,0.85,0.88,4593200,0.88
2013-09-06,0.86,0.87,0.83,0.83,4379500,0.83
2013-09-05,0.91,0.91,0.87,0.88,1769400,0.88
2013-09-04,0.88,0.93,0.88,0.91,2600500,0.91
2013-09-03,0.90,0.90,0.87,0.87,2028500,0.87
2013-09-02,0.88,0.89,0.86,0.89,2898800,0.89
2013-08-30,0.83,0.91,0.83,0.91,4456700,0.91
2013-08-29,0.86,0.87,0.83,0.85,2322400,0.85
2013-08-28,0.88,0.90,0.85,0.87,3575600,0.87
2013-08-27,0.90,0.91,0.86,0.88,2908100,0.88
2013-08-26,0.89,0.92,0.88,0.89,3388500,0.89
2013-08-23,0.84,0.87,0.83,0.86,2475500,0.86
2013-08-22,0.82,0.86,0.80,0.81,4255600,0.81
2013-08-21,0.85,0.90,0.83,0.84,6337000,0.84
2013-08-20,0.81,0.84,0.80,0.84,4674000,0.84
2013-08-19,0.82,0.84,0.81,0.82,4057200,0.82
2013-08-16,0.81,0.82,0.81,0.81,4155500,0.81
2013-08-15,0.78,0.82,0.77,0.79,8569900,0.79
2013-08-14,0.77,0.77,0.75,0.76,2982500,0.76
2013-08-13,0.75,0.79,0.74,0.79,4874400,0.79
2013-08-12,0.71,0.75,0.71,0.75,5364700,0.75
2013-08-09,0.70,0.70,0.68,0.69,2444600,0.69
2013-08-08,0.65,0.69,0.63,0.66,4877000,0.66
2013-08-07,0.69,0.69,0.63,0.65,6533200,0.65
2013-08-06,0.72,0.74,0.69,0.70,4780500,0.70
2013-08-05,0.72,0.75,0.71,0.71,2358300,0.71
2013-08-02,0.74,0.74,0.67,0.69,4655600,0.69
2013-08-01,0.75,0.76,0.74,0.75,3187200,0.75
2013-07-31,0.74,0.76,0.73,0.75,1803100,0.75
2013-07-30,0.74,0.75,0.71,0.73,6203000,0.73
2013-07-29,0.78,0.80,0.73,0.74,5304100,0.74
2013-07-26,0.76,0.78,0.74,0.75,2962400,0.75
2013-07-25,0.75,0.76,0.72,0.76,2945000,0.76
2013-07-24,0.77,0.79,0.76,0.76,5845600,0.76
2013-07-23,0.80,0.81,0.75,0.77,7763300,0.77
2013-07-19,0.72,0.73,0.69,0.70,5674400,0.70
2013-07-18,0.67,0.73,0.67,0.72,5573400,0.72
2013-07-17,0.68,0.70,0.67,0.69,5595700,0.69
2013-07-16,0.67,0.68,0.64,0.66,4200500,0.66
2013-07-15,0.65,0.67,0.62,0.67,3947500,0.67
2013-07-12,0.64,0.68,0.63,0.65,12079600,0.65
2013-07-11,0.57,0.62,0.56,0.62,10713200,0.62
2013-07-10,0.54,0.55,0.53,0.54,2436100,0.54
2013-07-09,0.52,0.55,0.50,0.53,7288000,0.53
2013-07-08,0.55,0.55,0.50,0.50,6641000,0.50
2013-07-05,0.58,0.58,0.56,0.58,4844800,0.58
2013-07-04,0.59,0.60,0.56,0.58,3193900,0.58
2013-07-03,0.55,0.57,0.53,0.57,5613300,0.57
2013-07-02,0.52,0.57,0.52,0.56,8237800,0.56
2013-07-01,0.52,0.55,0.51,0.51,5516500,0.51
2013-06-28,0.52,0.55,0.49,0.50,8754000,0.50
2013-06-27,0.51,0.56,0.50,0.52,7526800,0.52
2013-06-26,0.53,0.56,0.51,0.53,5146700,0.53
2013-06-25,0.56,0.58,0.50,0.54,7223800,0.54
2013-06-24,0.61,0.61,0.56,0.56,5898800,0.56
2013-06-21,0.57,0.64,0.56,0.62,23065100,0.62
2013-06-20,0.67,0.68,0.62,0.62,6976200,0.62
2013-06-18,0.65,0.67,0.64,0.67,4314000,0.67
2013-06-17,0.65,0.67,0.64,0.66,6070800,0.66
2013-06-14,0.65,0.67,0.63,0.65,2617000,0.65
2013-06-13,0.68,0.69,0.65,0.65,3395600,0.65
