Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.16,0.16,0.16,0.16,700,0.16
2013-09-19,0.26,0.26,0.26,0.26,000,0.26
2013-09-18,0.17,0.17,0.17,0.17,20000,0.17
2013-09-17,0.26,0.26,0.26,0.26,000,0.26
2013-09-16,0.16,0.16,0.16,0.16,12400,0.16
2013-09-13,0.26,0.26,0.26,0.26,000,0.26
2013-09-12,0.16,0.16,0.16,0.16,468100,0.16
2013-09-11,0.16,0.16,0.16,0.16,29100,0.16
2013-09-10,0.16,0.16,0.16,0.16,135000,0.16
2013-09-09,0.26,0.26,0.26,0.26,000,0.26
2013-09-06,0.26,0.26,0.26,0.26,000,0.26
2013-09-05,0.16,0.16,0.16,0.16,32500,0.16
2013-09-04,0.26,0.26,0.26,0.26,000,0.26
2013-09-03,0.26,0.26,0.26,0.26,000,0.26
2013-09-02,0.26,0.26,0.26,0.26,000,0.26
2013-08-30,0.26,0.26,0.26,0.26,000,0.26
2013-08-29,0.26,0.26,0.26,0.26,000,0.26
2013-08-28,0.26,0.26,0.26,0.26,000,0.26
2013-08-27,0.16,0.16,0.16,0.16,3000,0.16
2013-08-26,0.26,0.26,0.26,0.26,000,0.26
2013-08-23,0.16,0.16,0.16,0.16,32900,0.16
2013-08-22,0.26,0.26,0.26,0.26,000,0.26
2013-08-21,0.26,0.26,0.26,0.26,000,0.26
2013-08-20,0.26,0.26,0.26,0.26,000,0.26
2013-08-19,0.16,0.16,0.16,0.16,44500,0.16
2013-08-15,0.26,0.26,0.26,0.26,000,0.26
2013-08-14,0.16,0.16,0.16,0.16,900,0.16
2013-08-13,0.16,0.16,0.16,0.16,27600,0.16
2013-08-12,0.25,0.25,0.25,0.25,000,0.25
2013-08-09,0.25,0.25,0.25,0.25,000,0.25
2013-08-08,0.25,0.25,0.25,0.25,000,0.25
2013-08-07,0.25,0.25,0.25,0.25,000,0.25
2013-08-06,0.16,0.16,0.16,0.16,3000,0.16
2013-08-05,0.25,0.25,0.25,0.25,000,0.25
2013-08-02,0.25,0.25,0.25,0.25,000,0.25
2013-08-01,0.16,0.16,0.16,0.16,1600,0.16
2013-07-31,0.16,0.16,0.16,0.16,18200,0.16
2013-07-30,0.25,0.25,0.25,0.25,000,0.25
2013-07-29,0.25,0.25,0.25,0.25,000,0.25
2013-07-26,0.25,0.25,0.25,0.25,000,0.25
2013-07-25,0.25,0.25,0.25,0.25,000,0.25
2013-07-24,0.16,0.16,0.16,0.16,139000,0.16
2013-07-23,0.25,0.25,0.25,0.25,000,0.25
2013-07-22,0.25,0.25,0.25,0.25,000,0.25
2013-07-19,0.16,0.16,0.16,0.16,12200,0.16
2013-07-18,0.16,0.16,0.16,0.16,5000,0.16
2013-07-17,0.25,0.25,0.25,0.25,000,0.25
2013-07-16,0.16,0.16,0.16,0.16,7900,0.16
2013-07-15,0.25,0.25,0.25,0.25,000,0.25
2013-07-12,0.25,0.25,0.25,0.25,000,0.25
2013-07-11,0.25,0.25,0.25,0.25,000,0.25
2013-07-10,0.25,0.25,0.25,0.25,000,0.25
2013-07-09,0.25,0.25,0.25,0.25,000,0.25
2013-07-08,0.25,0.25,0.25,0.25,000,0.25
2013-07-05,0.25,0.25,0.25,0.25,000,0.25
2013-07-04,0.25,0.25,0.25,0.25,000,0.25
2013-07-03,0.25,0.25,0.25,0.25,000,0.25
2013-07-02,0.25,0.25,0.25,0.25,000,0.25
2013-07-01,0.25,0.25,0.25,0.25,000,0.25
2013-06-28,0.15,0.15,0.14,0.14,7800,0.14
2013-06-27,0.25,0.25,0.25,0.25,000,0.25
2013-06-26,0.25,0.25,0.25,0.25,000,0.25
2013-06-25,0.15,0.15,0.15,0.15,43300,0.15
2013-06-24,0.15,0.15,0.15,0.15,146600,0.15
2013-06-21,0.16,0.16,0.16,0.16,34200,0.16
2013-06-20,0.15,0.16,0.15,0.16,68900,0.16
2013-06-19,0.25,0.25,0.25,0.25,000,0.25
2013-06-18,0.15,0.15,0.15,0.15,16700,0.15
2013-06-17,0.25,0.25,0.25,0.25,000,0.25
2013-06-14,0.15,0.15,0.15,0.15,5500,0.15
2013-06-13,0.16,0.16,0.15,0.15,98500,0.15
2013-06-12,0.16,0.16,0.16,0.16,3300,0.16
2013-06-11,0.26,0.26,0.26,0.26,000,0.26
2013-06-10,0.26,0.26,0.26,0.26,000,0.26
2013-06-07,0.26,0.26,0.26,0.26,000,0.26
2013-06-06,0.26,0.26,0.26,0.26,000,0.26
2013-06-05,0.16,0.16,0.16,0.16,183000,0.16
2013-06-04,0.26,0.26,0.26,0.26,000,0.26
2013-06-03,0.16,0.16,0.16,0.16,150000,0.16
2013-05-31,0.16,0.16,0.16,0.16,2700,0.16
2013-05-30,0.26,0.26,0.26,0.26,000,0.26
2013-05-29,0.26,0.26,0.26,0.26,000,0.26
2013-05-28,0.26,0.26,0.26,0.26,000,0.26
2013-05-27,0.26,0.26,0.26,0.26,000,0.26
2013-05-24,0.16,0.16,0.16,0.16,105600,0.16
2013-05-23,0.26,0.26,0.26,0.26,000,0.26
2013-05-22,0.26,0.26,0.26,0.26,000,0.26
2013-05-21,0.16,0.16,0.16,0.16,65000,0.16
2013-05-20,0.26,0.26,0.26,0.26,000,0.26
2013-05-17,0.26,0.26,0.26,0.26,000,0.26
2013-05-16,0.17,0.17,0.16,0.16,144700,0.16
2013-05-15,0.17,0.17,0.16,0.16,63400,0.16
2013-05-14,0.26,0.26,0.26,0.26,000,0.26
2013-05-13,0.27,0.27,0.27,0.27,000,0.27
2013-05-10,0.16,0.16,0.16,0.16,52100,0.16
2013-05-09,0.27,0.27,0.27,0.27,000,0.27
2013-05-08,0.16,0.16,0.16,0.16,8600,0.16
2013-05-07,0.27,0.27,0.27,0.27,000,0.27
2013-05-06,0.17,0.17,0.16,0.16,35500,0.16
2013-05-03,0.27,0.27,0.27,0.27,000,0.27
2013-05-02,0.16,0.16,0.16,0.16,4400,0.16
2013-05-01,0.16,0.16,0.16,0.16,25000,0.16
2013-04-30,0.27,0.27,0.27,0.27,000,0.27
2013-04-29,0.16,0.16,0.16,0.16,2100,0.16
2013-04-26,0.16,0.16,0.16,0.16,135000,0.16
2013-04-25,0.27,0.27,0.27,0.27,000,0.27
2013-04-24,0.27,0.27,0.27,0.27,000,0.27
2013-04-23,0.27,0.27,0.27,0.27,000,0.27
2013-04-22,0.16,0.16,0.16,0.16,7300,0.16
2013-04-19,0.16,0.16,0.16,0.16,14500,0.16
2013-04-18,0.15,0.16,0.15,0.16,116900,0.16
2013-04-17,0.16,0.16,0.16,0.16,000,0.16
2013-04-16,0.16,0.16,0.15,0.15,18400,0.15
2013-04-15,0.27,0.27,0.27,0.27,000,0.27
2013-04-12,0.27,0.27,0.27,0.27,000,0.27
2013-04-11,0.15,0.16,0.15,0.16,37400,0.16
2013-04-10,0.27,0.27,0.27,0.27,000,0.27
2013-04-09,0.16,0.16,0.15,0.15,112000,0.15
2013-04-08,0.16,0.16,0.16,0.16,84400,0.16
2013-04-04,0.16,0.16,0.16,0.16,12300,0.16
2013-04-03,0.17,0.17,0.16,0.16,14100,0.16
2013-04-02,0.27,0.27,0.27,0.27,000,0.27
2013-04-01,0.27,0.27,0.27,0.27,000,0.27
2013-03-29,0.27,0.27,0.27,0.27,000,0.27
2013-03-28,0.16,0.17,0.16,0.17,44900,0.17
2013-03-27,0.16,0.16,0.16,0.16,50000,0.16
2013-03-26,0.17,0.17,0.17,0.17,50000,0.17
2013-03-25,0.27,0.27,0.27,0.27,000,0.27
2013-03-22,0.27,0.27,0.27,0.27,000,0.27
2013-03-21,0.27,0.27,0.27,0.27,000,0.27
2013-03-20,0.27,0.27,0.27,0.27,000,0.27
2013-03-19,0.27,0.27,0.27,0.27,000,0.27
2013-03-18,0.27,0.27,0.27,0.27,000,0.27
2013-03-15,0.17,0.17,0.17,0.17,53900,0.17
2013-03-14,0.27,0.27,0.27,0.27,000,0.27
2013-03-13,0.27,0.27,0.27,0.27,000,0.27
2013-03-12,0.16,0.16,0.16,0.16,61900,0.16
2013-03-11,0.27,0.27,0.27,0.27,000,0.27
2013-03-08,0.16,0.16,0.16,0.16,19100,0.16
2013-03-07,0.17,0.17,0.17,0.17,80100,0.17
2013-03-06,0.17,0.17,0.16,0.16,54000,0.16
2013-03-05,0.17,0.17,0.16,0.16,60100,0.16
2013-03-04,0.17,0.17,0.17,0.17,3200,0.17
2013-03-01,0.27,0.27,0.27,0.27,000,0.27
2013-02-28,0.27,0.27,0.27,0.27,000,0.27
2013-02-27,0.17,0.17,0.17,0.17,6000,0.17
2013-02-26,0.27,0.27,0.27,0.27,000,0.27
2013-02-25,0.17,0.17,0.17,0.17,15000,0.17
2013-02-22,0.27,0.27,0.27,0.27,000,0.27
2013-02-21,0.17,0.17,0.17,0.17,75000,0.17
2013-02-20,0.27,0.27,0.27,0.27,000,0.27
2013-02-19,0.27,0.27,0.27,0.27,000,0.27
2013-02-18,0.27,0.27,0.27,0.27,000,0.27
2013-02-15,0.27,0.27,0.27,0.27,000,0.27
2013-02-14,0.27,0.27,0.27,0.27,000,0.27
2013-02-13,0.27,0.27,0.27,0.27,000,0.27
2013-02-12,0.17,0.17,0.17,0.17,105500,0.17
2013-02-11,0.26,0.26,0.26,0.26,000,0.26
2013-02-08,0.17,0.17,0.17,0.17,148300,0.17
2013-02-07,0.17,0.17,0.17,0.17,30000,0.17
2013-02-06,0.26,0.26,0.26,0.26,000,0.26
2013-02-05,0.26,0.26,0.26,0.26,000,0.26
2013-02-04,0.17,0.17,0.17,0.17,10000,0.17
2013-02-01,0.17,0.17,0.17,0.17,7500,0.17
2013-01-31,0.16,0.16,0.16,0.16,25200,0.16
2013-01-30,0.17,0.17,0.17,0.17,150000,0.17
2013-01-29,0.26,0.26,0.26,0.26,000,0.26
2013-01-28,0.26,0.26,0.26,0.26,000,0.26
2013-01-25,0.26,0.26,0.26,0.26,000,0.26
2013-01-24,0.26,0.26,0.26,0.26,000,0.26
2013-01-23,0.26,0.26,0.26,0.26,000,0.26
2013-01-22,0.16,0.17,0.16,0.17,29000,0.17
