Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.18,0.18,0.17,0.17,127400,0.17
2013-09-19,0.18,0.18,0.18,0.18,000,0.18
2013-09-18,0.18,0.18,0.18,0.18,25000,0.18
2013-09-17,0.18,0.18,0.18,0.18,41000,0.18
2013-09-16,0.17,0.18,0.17,0.18,120000,0.18
2013-09-13,0.17,0.17,0.17,0.17,78700,0.17
2013-09-12,0.17,0.17,0.17,0.17,70000,0.17
2013-09-11,0.17,0.17,0.17,0.17,3000,0.17
2013-09-10,0.17,0.17,0.17,0.17,000,0.17
2013-09-09,0.17,0.17,0.17,0.17,143000,0.17
2013-09-06,0.17,0.17,0.17,0.17,000,0.17
2013-09-05,0.17,0.17,0.17,0.17,20000,0.17
2013-09-04,0.17,0.17,0.17,0.17,39200,0.17
2013-09-03,0.17,0.17,0.17,0.17,000,0.17
2013-09-02,0.17,0.18,0.17,0.17,260900,0.17
2013-08-30,0.17,0.17,0.17,0.17,130000,0.17
2013-08-29,0.15,0.15,0.15,0.15,000,0.15
2013-08-28,0.15,0.15,0.15,0.15,000,0.15
2013-08-27,0.15,0.15,0.15,0.15,000,0.15
2013-08-26,0.16,0.16,0.15,0.15,9000,0.15
2013-08-23,0.18,0.18,0.18,0.18,000,0.18
2013-08-22,0.18,0.18,0.18,0.18,7000,0.18
2013-08-21,0.16,0.16,0.16,0.16,9000,0.16
2013-08-20,0.16,0.16,0.16,0.16,000,0.16
2013-08-19,0.16,0.16,0.16,0.16,3400,0.16
2013-08-16,0.17,0.17,0.17,0.17,000,0.17
2013-08-15,0.17,0.17,0.17,0.17,59100,0.17
2013-08-14,0.17,0.17,0.17,0.17,000,0.17
2013-08-13,0.17,0.17,0.17,0.17,91900,0.17
2013-08-12,0.18,0.18,0.18,0.18,150000,0.18
2013-08-09,0.19,0.19,0.19,0.19,50000,0.19
2013-08-08,0.19,0.19,0.19,0.19,110000,0.19
2013-08-07,0.19,0.19,0.19,0.19,000,0.19
2013-08-06,0.19,0.19,0.19,0.19,000,0.19
2013-08-05,0.19,0.19,0.19,0.19,42700,0.19
2013-08-02,0.20,0.20,0.20,0.20,000,0.20
2013-08-01,0.20,0.20,0.20,0.20,369800,0.20
2013-07-31,0.19,0.20,0.19,0.20,160000,0.20
2013-07-30,0.19,0.19,0.19,0.19,7200,0.19
2013-07-29,0.18,0.19,0.18,0.19,30600,0.19
2013-07-26,0.19,0.19,0.19,0.19,000,0.19
2013-07-25,0.19,0.19,0.19,0.19,234000,0.19
2013-07-24,0.19,0.19,0.19,0.19,15000,0.19
